Orthogroup	Drosophila_melanogaster	Ceratina_calcarata
OG0000001	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1	XP_017879813.1, XP_017879816.1, XP_017891081.1, XP_017891747.1, XP_017888037.1, XP_026674593.1, XP_017891756.1, XP_017891764.1, XP_026675117.1, XP_017888667.1, XP_026673601.1, XP_017884717.1, XP_017886303.1, XP_017882560.1, XP_017883314.2, NP_001352268.1, XP_026670615.1
OG0000006	NP_523647.2, NP_523721.1	XP_026667224.1
OG0000008	NP_572981.1	XP_026675049.1
OG0000008	NP_572985.1	XP_017877132.1, XP_017887927.2
OG0000008	NP_651466.1	XP_026667992.1
OG0000008	NP_572978.1, NP_572977.1	XP_026675083.1
OG0000008	NP_001285251.1	XP_017891654.1
OG0000008	NP_001285249.1	XP_017891655.1
OG0000008	NP_572987.1	XP_026666941.1
OG0000009	NP_523850.1, NP_610820.1, NP_523645.1, NP_523646.1, NP_001350862.1, NP_650189.1	XP_017887163.1, XP_017887153.1, XP_017887158.1, XP_017887159.1, XP_017887161.1, XP_017882285.1, XP_017888595.2, XP_017882209.1, XP_017882161.1, XP_017882162.1, XP_026672903.1
OG0000011	NP_523520.2	XP_026674950.1, XP_017891474.1, XP_026674951.1, XP_026674959.1, XP_026674961.1, XP_026674957.1, XP_026674960.1, XP_026674952.1, XP_026674953.1, XP_017879450.1, XP_026669011.1, XP_017891472.2, XP_017881630.1, XP_026674945.1, XP_017891477.2, XP_026674947.1
OG0000012	NP_729270.1, NP_729271.1, NP_648134.1	XP_017893158.1
OG0000012	NP_610673.1, NP_523692.1, NP_523691.1, NP_610674.5, NP_651732.1	XP_017890720.1, XP_017889198.1, XP_026674581.1
OG0000012	NP_611479.2, NP_001027441.1, NP_001097340.1	XP_017875047.1
OG0000012	NP_722915.1, NP_001285772.1	XP_026666907.1
OG0000012	NP_001036717.1	XP_017890257.1, XP_026672566.1, XP_017889230.1, XP_017890394.1, XP_017886295.1
OG0000013	NP_001027303.1, NP_001027308.1, NP_001027298.1, NP_001027294.1, NP_001027338.1	XP_017875197.1
OG0000013	NP_001027313.1, NP_001027383.1, NP_001027318.1, NP_001027378.1, NP_001027373.1, NP_001027323.1, NP_001027328.1, NP_001027363.1, NP_001027368.1, NP_001027353.1, NP_001027358.1, NP_001027348.1, NP_001027343.1, NP_001027289.1, NP_001027285.1, NP_001027333.1	XP_017887567.1
OG0000013	NP_001259374.1	XP_017884545.1, XP_026671800.1, XP_026671799.1, XP_026671798.1, XP_026671797.1, XP_026671796.1, XP_017884546.1, XP_026671801.1
OG0000017	NP_611325.2, NP_611326.1, NP_611327.1, NP_611328.1, NP_001286571.1, NP_611329.1, NP_725784.1, NP_001286570.1, NP_611323.1, NP_611324.1, NP_001246500.1, NP_001286575.1, NP_001188889.1	XP_017892800.1
OG0000017	NP_001138040.1	XP_026675002.1
OG0000017	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1	XP_026675010.1, XP_026675012.1, XP_026675011.1
OG0000018	NP_001262747.1, NP_609930.4, NP_995741.2, NP_650086.2, NP_001260823.1, NP_001245943.1, NP_001260548.1	XP_026673006.1, XP_026673004.1
OG0000018	NP_001247286.1	XP_017890581.1, XP_017889371.1
OG0000019	NP_001285811.1, NP_001260357.1, NP_609429.1, NP_001285807.1, NP_001285806.1, NP_001260356.1, NP_609419.1, NP_609420.1, NP_723607.1, NP_524667.1	XP_017885630.1
OG0000020	NP_001097100.1, NP_001188701.2	XP_017881798.1, XP_026672764.1
OG0000020	NP_001137799.1, NP_723441.2	XP_017892668.1
OG0000020	NP_001138225.1	XP_017876760.1
OG0000020	NP_001259218.1	XP_026668767.1
OG0000021	NP_648539.1	XP_017892171.1
OG0000021	NP_001263113.1, NP_651812.1, NP_001189282.1	XP_026674526.1, XP_017890431.1
OG0000021	NP_650482.1, NP_732032.1	XP_017878927.1
OG0000022	NP_001027366.1, NP_001027371.1, NP_001027376.1	XP_017879112.1
OG0000022	NP_001027301.1, NP_001027341.1	XP_017888174.1
OG0000023	NP_001027291.1, NP_001027283.1, NP_001027287.1, NP_001027345.1, NP_001027350.1, NP_001027320.1, NP_001027360.1, NP_001027355.1, NP_001027370.1, NP_001027365.1, NP_001027330.1, NP_001027325.1, NP_001027380.1, NP_001027315.1, NP_724342.1, NP_001027385.1, NP_001027375.1, NP_001027300.1, NP_001027305.1, NP_001027310.1, NP_001027296.1, NP_001027340.1, NP_001027335.1	XP_017888175.1
OG0000026	NP_729591.1, NP_001287018.1	XP_017881604.1
OG0000026	NP_001287332.1	XP_017886012.1
OG0000026	NP_001285239.1	XP_026667172.1, XP_026667174.1, XP_026667173.1, XP_026667176.1, XP_026667175.1, XP_026667177.1
OG0000027	NP_001027312.1, NP_001027302.1, NP_001027297.1, NP_001027293.1, NP_001027307.1, NP_001027342.1	XP_017875198.1
OG0000027	NP_001027352.1, NP_001027357.1, NP_001027362.1, NP_001027382.1	XP_017888171.1
OG0000029	NP_647872.1, NP_650813.2	XP_017879055.1, XP_017878925.1
OG0000029	NP_647875.1, NP_647873.2	XP_026668846.1, XP_026671320.1, XP_017878918.1
OG0000032	NP_609175.2	XP_017879113.1
OG0000032	NP_651524.1, NP_651523.1, NP_651522.1, NP_651525.1, NP_651526.1, NP_651521.1, NP_651520.1, NP_651403.1	XP_026669191.1, XP_017879823.1, XP_017891597.1
OG0000035	NP_001261394.1, NP_001287111.1, NP_001246079.1, NP_001036565.1, NP_001286734.1, NP_611563.1, NP_001097859.4, NP_651153.1, NP_651152.1, NP_651154.1, NP_001262470.1, NP_652619.1, NP_524313.2, NP_652623.2, NP_652622.3, NP_651866.1, NP_524314.2, NP_001097744.1, NP_652625.2, NP_652626.1, NP_001287281.1	XP_017886557.1
OG0000036	NP_001287583.1, NP_001369024.1	XP_017881584.1
OG0000037	NP_001137869.1, NP_648209.1, NP_001262052.1, NP_001261293.1, NP_001097547.1, NP_649120.1, NP_649121.1	XP_017893255.1
OG0000038	NP_476772.1, NP_524264.1	XP_017875625.1, XP_017877449.1
OG0000038	NP_650674.1	XP_017889363.1
OG0000040	NP_650601.2, NP_650599.1, NP_001097818.1, NP_001287372.1, NP_650598.1, NP_001138068.1, NP_732214.1, NP_650603.1, NP_650604.1	XP_017877450.1, XP_017888048.1, XP_017889733.1, XP_017888163.1
OG0000041	NP_001014725.1	XP_026675486.1, XP_017892322.1, XP_017892323.1
OG0000041	NP_001262200.1	XP_017880124.1, XP_017880121.1, XP_017880123.1
OG0000041	NP_477037.2	XP_017893662.1
OG0000042	NP_731781.1	XP_017883943.2, XP_026673615.1
OG0000043	NP_001286870.1	XP_017886026.1
OG0000043	NP_524121.2	XP_017877704.1
OG0000044	NP_732652.1, NP_001303538.1, NP_650979.1	XP_026674447.1, XP_026673576.1
OG0000044	NP_651674.3	XP_026675544.1
OG0000045	NP_001188791.2, NP_609522.1, NP_476627.3, NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2	XP_017885494.1, XP_017885495.1, XP_026672577.1
OG0000046	NP_001285139.1	XP_017880728.1
OG0000046	NP_001262586.1	XP_017877146.1, XP_017889622.1
OG0000046	NP_524063.1	XP_017876333.1
OG0000047	NP_652056.2	XP_017880334.1, XP_017892805.1, XP_017875626.1, XP_017888678.1, XP_026675543.1
OG0000050	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1, NP_001287487.1	XP_017877630.1, XP_026668996.1, XP_017881679.1, XP_017888731.1, XP_017879668.1, XP_017890628.2
OG0000052	NP_610332.3, NP_726254.1, NP_611723.3, NP_611722.2, NP_001286747.1, NP_001286144.1, NP_611724.1, NP_651903.2, NP_611725.2, NP_611376.1, NP_001286591.1, NP_611375.2	XP_017876353.1, XP_017876352.1, XP_026667536.1
OG0000052	NP_725600.1	XP_017886239.1
OG0000054	NP_477282.2, NP_729146.1, NP_729147.1	XP_017882628.1, XP_017882621.1, XP_017879473.2
OG0000055	NP_001284925.1	XP_026669288.1, XP_026670741.1
OG0000055	NP_650904.3	XP_026669873.1
OG0000055	NP_609815.1	XP_026668345.1, XP_017877892.1
OG0000055	NP_001246914.1	XP_026670737.1
OG0000056	NP_001369131.1	XP_026668599.1
OG0000056	NP_647937.2	XP_017878877.2
OG0000056	NP_995958.2	XP_026673034.1
OG0000057	NP_524290.2	XP_017893593.1
OG0000057	NP_523842.2	XP_017893591.1
OG0000057	NP_729172.1	XP_026666868.1
OG0000060	NP_650848.1	XP_017886873.1
OG0000060	NP_001163168.1	XP_017888800.1, XP_017888809.1, XP_017888818.1, XP_017888829.1
OG0000061	NP_001097692.1	XP_017875889.1
OG0000061	NP_648605.1, NP_536732.1, NP_523675.1, NP_611234.1	XP_017878262.1
OG0000065	NP_524105.2, NP_001285777.1, NP_001027266.1, NP_001027272.1, NP_648885.1, NP_652673.2	XP_017879155.1, XP_017882484.1, XP_017882497.1
OG0000066	NP_610976.1	XP_026669810.1, XP_026674360.1
OG0000067	NP_001284994.1	XP_017879415.1
OG0000067	NP_524243.2, NP_572330.2	XP_017890435.1
OG0000067	NP_001261491.1	XP_017893293.1
OG0000077	NP_001137778.2, NP_001259986.1	XP_017875015.1
OG0000077	NP_001015405.3	XP_026672146.1, XP_026671946.1, XP_017888250.2, XP_017885489.2, XP_017893147.2, XP_026672126.1
OG0000080	NP_001262255.1	XP_017890681.1
OG0000080	NP_001262254.1	XP_017890685.1
OG0000082	NP_001260835.1, NP_648293.1, NP_725122.2, NP_611364.2, NP_609726.1, NP_572219.1	XP_017884449.1, XP_017884391.1, XP_017884390.1
OG0000085	NP_651221.1	XP_017890150.1, XP_026671441.1
OG0000086	NP_651662.1, NP_651661.1, NP_001287578.1, NP_611736.1, NP_001033953.1	XP_017886282.1, XP_017890445.1
OG0000086	NP_650254.1, NP_001246901.1, NP_001368950.1, NP_001097766.1	XP_017889819.1
OG0000087	NP_001261716.1	XP_017889598.1, XP_017889597.1
OG0000087	NP_647840.1, NP_647839.1, NP_001287050.1, NP_610235.1, NP_001163844.1	XP_017889543.1, XP_026674171.1
OG0000088	NP_476589.4	XP_017876693.1
OG0000089	NP_001162840.1, NP_001259800.1	XP_017879467.1, XP_017879474.1, XP_026669111.1, XP_026669105.1, XP_026669096.1
OG0000091	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2	XP_017878945.1, XP_017878947.1, XP_017875917.2
OG0000092	NP_001262592.1	XP_017890756.1, XP_017879703.1, XP_026669127.1, XP_017879700.1, XP_017883478.1
OG0000094	NP_001284983.1, NP_651446.2, NP_650069.2	XP_017879892.1, XP_017892146.2, XP_017879895.1
OG0000094	NP_651889.3, NP_001189331.1, NP_651891.2	XP_026667942.1, XP_017877215.1
OG0000096	NP_726022.1, NP_001246550.1	XP_026671822.1
OG0000096	NP_611542.2	XP_017880991.1, XP_017890421.1, XP_017876925.1, XP_026674562.1
OG0000097	NP_524611.1	XP_017882777.1, XP_017882779.1, XP_026670731.1, XP_026670734.1, XP_026670732.1, XP_026669182.1, XP_017879834.1
OG0000098	NP_001260487.1	XP_017882103.1, XP_017882102.1, XP_017882104.1, XP_017882105.1, XP_026670298.1
OG0000099	NP_608954.1	XP_017878131.1
OG0000099	NP_001034071.1	XP_017882904.1
OG0000099	NP_651628.1	XP_017889756.1
OG0000100	NP_001262908.1, NP_001262907.1	XP_026672742.1, XP_026672741.1, XP_026672740.1
OG0000101	NP_001286204.1, NP_610403.1, NP_609640.1	XP_026672149.1
OG0000101	NP_001285802.1, NP_001015212.1	XP_017885597.1
OG0000102	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2	XP_017888807.1, XP_017888735.1
OG0000103	NP_001303368.1	XP_017881956.1
OG0000108	NP_648918.1	XP_017875876.1, XP_026667327.1, XP_017875874.1, XP_026667326.1
OG0000109	NP_648392.1, NP_001245736.1	XP_017877144.1, XP_017877143.1, XP_017877142.1, XP_017877141.1, XP_017877145.1
OG0000110	NP_788521.2, NP_729246.2, NP_729014.1	XP_026671942.1, XP_026671669.1, XP_026671670.1, XP_017884745.1
OG0000111	NP_650264.1	XP_017892963.2
OG0000112	NP_001369123.1	XP_017883504.1, XP_026671066.1
OG0000113	NP_650037.2, NP_649736.3, NP_001097703.1, NP_652649.1, NP_652648.1, NP_652650.2, NP_649737.1, NP_001138022.2, NP_650035.1, NP_001262348.1, NP_649688.1	XP_017875141.1, XP_017886534.2, XP_017878803.1
OG0000115	NP_001261040.1	XP_017887780.1, XP_017887778.1, XP_017885409.1, XP_017881706.1, XP_017881697.1
