Orthogroup	Dufourea_novaeangliae	Nomia_melanderi
OG0000000	XP_015438034.1	XP_031839043.1
OG0000000	XP_015438108.1	XP_031848866.1
OG0000000	XP_015433592.1, XP_015433132.1	XP_031848507.1
OG0000000	XP_015437077.1, XP_015438112.1	XP_031836774.1
OG0000000	XP_015435716.1, XP_015440280.1, XP_015438118.1, XP_015436991.1	XP_031836767.1, XP_031836982.1
OG0000001	XP_015434777.1, XP_015434764.1, XP_015434775.1, XP_015434757.1, XP_015434758.1	XP_031826091.1, XP_031826099.1, XP_031826098.1, XP_031826097.1, XP_031826095.1, XP_031826093.1, XP_031826092.1, XP_031826094.1
OG0000002	XP_015431885.1, XP_015430410.1, XP_015434271.1	XP_031836533.1
OG0000002	XP_015431457.1	XP_031840851.1, XP_031840849.1, XP_031840848.1
OG0000002	XP_015439681.1	XP_031825293.1
OG0000002	XP_015429399.1	XP_031844082.1
OG0000002	XP_015431916.1, XP_015431919.1, XP_015431920.1, XP_015431917.1, XP_015431918.1, XP_015431915.1	XP_031834591.1
OG0000002	XP_015429000.1	XP_031844871.1
OG0000006	XP_015434157.1	XP_031829654.1
OG0000006	XP_015435345.1	XP_031839362.1
OG0000007	XP_015439489.1	XP_031838462.1, XP_031838489.1, XP_031838503.1, XP_031838476.1
OG0000008	XP_015433852.1	XP_031836960.1, XP_031836959.1
OG0000008	XP_015434651.1	XP_031828119.1
OG0000009	XP_015437448.1, XP_015437450.1, XP_015437451.1	XP_031837140.1, XP_031837144.1, XP_031837147.1, XP_031837148.1, XP_031837149.1, XP_031837141.1, XP_031837143.1, XP_031837145.1, XP_031837139.1, XP_031837146.1
OG0000010	XP_015437926.1	XP_031847372.1
OG0000010	XP_015437927.1	XP_031847521.1, XP_031847522.1, XP_031847371.1, XP_031847370.1
OG0000011	XP_015432705.1, XP_015432704.1	XP_031841395.1, XP_031841408.1, XP_031841407.1, XP_031841406.1, XP_031841405.1, XP_031841404.1, XP_031841403.1, XP_031841402.1, XP_031841400.1, XP_031841399.1, XP_031841409.1, XP_031841396.1, XP_031841397.1, XP_031841398.1
OG0000012	XP_015432146.1	XP_031826024.1, XP_031826006.1, XP_031825979.1, XP_031825989.1, XP_031825998.1, XP_031826014.1
OG0000013	XP_015440032.1, XP_015433591.1	XP_031843910.1
OG0000013	XP_015438310.1	XP_031828440.1
OG0000014	XP_015435403.1	XP_031839376.1
OG0000014	XP_015435405.1, XP_015440405.1	XP_031839490.1
OG0000015	XP_015432301.1	XP_031827714.1, XP_031827713.1
OG0000016	XP_015438494.1	XP_031843734.1
OG0000018	XP_015429717.1	XP_031828712.1, XP_031828710.1, XP_031828711.1, XP_031828716.1, XP_031828715.1, XP_031828714.1, XP_031828722.1, XP_031828723.1, XP_031828724.1, XP_031828718.1, XP_031828719.1, XP_031828720.1, XP_031828721.1, XP_031828713.1
OG0000019	XP_015437181.1	XP_031838643.1, XP_031838638.1, XP_031838640.1, XP_031838636.1, XP_031838637.1, XP_031838635.1, XP_031838641.1, XP_031838642.1
OG0000021	XP_015437897.1	XP_031836775.1
OG0000021	XP_015437076.1	XP_031848885.1, XP_031848883.1
OG0000022	XP_015433494.1	XP_031830368.1
OG0000023	XP_015440316.1	XP_031848017.1
OG0000024	XP_015428709.1	XP_031841206.1
OG0000025	XP_015428496.1	XP_031846352.1
OG0000026	XP_015431421.1, XP_015431420.1, XP_015431419.1, XP_015431417.1, XP_015431416.1	XP_031830538.1, XP_031830540.1, XP_031830536.1, XP_031830537.1
OG0000027	XP_015436027.1	XP_031848648.1, XP_031848647.1
OG0000028	XP_015429673.1, XP_015429675.1, XP_015429674.1	XP_031850487.1, XP_031850488.1, XP_031850486.1, XP_031850491.1, XP_031850490.1, XP_031850493.1, XP_031850492.1, XP_031850494.1
OG0000029	XP_015435655.1, XP_015435654.1	XP_031829219.1
OG0000031	XP_015432264.1, XP_015432266.1, XP_015432267.1	XP_031827527.1
