Orthogroup	Vespa_mandarinia	Aedes_aegypti
OG0000001	XP_035732647.1, XP_035732646.1, XP_035732645.1, XP_035732533.1, XP_035732420.1, XP_035726105.1, XP_035737410.1, XP_035737418.1, XP_035737424.1, XP_035734021.1, XP_035734020.1, XP_035734019.1, XP_035738421.1, XP_035741324.1	XP_021704701.1
OG0000002	XP_035737286.1, XP_035737171.1, XP_035737322.1, XP_035737321.1, XP_035737299.1, XP_035737317.1, XP_035737318.1, XP_035737326.1, XP_035737177.1, XP_035737160.1, XP_035737224.1, XP_035737208.1, XP_035737170.1, XP_035737172.1, XP_035737325.1, XP_035737203.1, XP_035737175.1, XP_035737209.1, XP_035737176.1, XP_035737173.1, XP_035737210.1	XP_021711562.1
OG0000006	XP_035732062.1	XP_021709039.1, XP_021709040.1
OG0000006	XP_035740898.1	XP_001651754.2, XP_001651756.3
OG0000008	XP_035740079.1, XP_035736062.1, XP_035736014.1, XP_035739952.1, XP_035739953.1	XP_001648300.1
OG0000008	XP_035736007.1	XP_021710651.1, XP_021710652.1, XP_021710650.1, XP_021710649.1, XP_021710648.1
OG0000008	XP_035736200.1, XP_035736201.1, XP_035736202.1	XP_001648302.1
OG0000008	XP_035739950.1, XP_035739951.1, XP_035739948.1	XP_021710647.1
OG0000009	XP_035722243.1, XP_035733996.1, XP_035722232.1, XP_035722233.1, XP_035722235.1, XP_035722241.1, XP_035722237.1, XP_035722240.1, XP_035722236.1, XP_035722238.1, XP_035722239.1	XP_021705958.1, XP_001649103.2, XP_001649101.2, XP_021700263.1, XP_001649098.2, XP_001649095.1, XP_001649100.3, XP_001649097.2, XP_021705963.1, XP_001649093.1, XP_001649094.1, XP_021700373.1, XP_001661968.1, XP_001661969.1, XP_001649106.2, XP_001652216.1, XP_001652217.1, XP_001649108.2, XP_001649107.2, XP_021705961.1, XP_001652222.1, XP_001652218.2, XP_021705962.1, XP_001657206.1
OG0000012	XP_035729179.1	XP_001655419.1, XP_021709641.1
OG0000012	XP_035731128.1, XP_035731058.1, XP_035731059.1	XP_001651150.1, XP_001651148.1, XP_001651149.1, XP_001651147.1, XP_001651146.1
OG0000013	XP_035732971.1	XP_021711158.1, XP_021711157.1
OG0000013	XP_035725915.1	XP_021707704.1
