Orthogroup	Bombus_terrestris	Megalopta_genalis
OG0000000	XP_012174517.1, XP_020723248.1	XP_033339380.1
OG0000001	XP_012170860.1, XP_003400131.1	XP_033326750.1, XP_033326752.1, XP_033326753.1, XP_033326751.1, XP_033326754.1, XP_033326755.1, XP_033326761.1, XP_033326760.1, XP_033326759.1, XP_033326756.1, XP_033326758.1
OG0000001	XP_012170855.1	XP_033329018.1, XP_033329017.1, XP_033331299.1, XP_033331298.1, XP_033329019.1, XP_033329022.1
OG0000001	XP_003400119.1	XP_033323542.1
OG0000001	XP_012170859.1, XP_020721796.1, XP_020721795.1, XP_012170857.1	XP_033326763.1, XP_033326762.1
OG0000002	XP_012171355.1	XP_033337381.1, XP_033340639.1, XP_033340640.1, XP_033328756.1, XP_033333817.1, XP_033333818.1, XP_033322608.1, XP_033330931.1, XP_033330929.1, XP_033330930.1, XP_033322845.1, XP_033322222.1, XP_033334442.1, XP_033324606.1, XP_033328275.1, XP_033322035.1, XP_033341707.1, XP_033321306.1, XP_033330633.1
OG0000006	XP_003400772.1, XP_003400771.1	XP_033330794.1, XP_033330795.1, XP_033330796.1
OG0000006	XP_003392969.1	XP_033328965.1, XP_033328623.1, XP_033328768.1
OG0000006	XP_020718381.1	XP_033328624.1
OG0000007	XP_012167402.1, XP_020720438.1, XP_020719100.1, XP_020723333.1, XP_012173473.1, XP_012173466.1, XP_020720441.1, XP_003397834.1, XP_003403225.1, XP_020720439.1	XP_033339129.1, XP_033339131.1, XP_033339132.1, XP_033339133.1, XP_033339140.1, XP_033328276.1, XP_033339130.1, XP_033339134.1, XP_033339139.1, XP_033339137.1, XP_033339287.1, XP_033339138.1
OG0000008	XP_003396990.1	XP_033333605.1, XP_033333606.1
OG0000008	XP_003399722.1	XP_033338815.1
OG0000008	XP_003394490.1	XP_033322535.1
OG0000008	XP_003394488.1	XP_033322537.1
OG0000009	XP_012176279.1	XP_033326042.1, XP_033326033.1
OG0000009	XP_012171450.1, XP_012171449.1, XP_012171451.1, XP_012171455.1, XP_012171452.1, XP_012171447.1, XP_012171454.1, XP_003400542.1	XP_033323873.1
OG0000010	XP_003401176.1	XP_033339806.1
OG0000010	XP_020722486.1, XP_020722598.1, XP_003401178.1, XP_020722589.1, XP_003403234.2, XP_003403422.1, XP_003401115.1, XP_020722487.1, XP_003401116.2, XP_020722597.1, XP_003403027.1	XP_033339803.1
OG0000011	XP_012170379.1, XP_012170380.1, XP_020721435.1, XP_003399794.1, XP_020721436.1, XP_012170385.1, XP_012170387.1, XP_012170386.1	XP_033332438.1, XP_033332435.1, XP_033332436.1
OG0000012	XP_012170544.1, XP_012170543.1, XP_012170542.1, XP_012170541.1, XP_012170540.1, XP_012170539.1, XP_020721690.1, XP_012170538.1	XP_033326361.1
OG0000014	XP_012166136.1	XP_033328773.1
OG0000014	XP_003392970.1	XP_033328969.1, XP_033328626.1, XP_033328627.1
