Orthogroup	Eufriesea_mexicana	Megachile_rotundata
OG0000000	XP_017765285.1	XP_012153563.1
OG0000000	XP_017762447.1	XP_012152724.1
OG0000000	XP_017763965.1	XP_012151339.1
OG0000000	XP_017764141.1	XP_012152147.1, XP_012152740.1
OG0000000	XP_017765002.1	XP_012153566.1
OG0000001	XP_017753392.1, XP_017753391.1	XP_012153916.1, XP_012153915.1
OG0000001	XP_017758027.1, XP_017758031.1, XP_017758026.1	XP_012136792.1, XP_012150537.1, XP_003707539.1, XP_012146067.1
OG0000001	XP_017757759.1	XP_003704416.1, XP_012143065.1, XP_012143066.1, XP_003704415.1, XP_003704279.1, XP_012143067.1
OG0000001	XP_017757757.1, XP_017757758.1	XP_003704414.1
OG0000001	XP_017757797.1, XP_017757798.1, XP_017757795.1, XP_017757796.1, XP_017757799.1	XP_012140371.1, XP_012140372.1, XP_003703231.1
OG0000001	XP_017757764.1	XP_012143070.1, XP_012143071.1, XP_012143072.1, XP_003704281.1
OG0000001	XP_017757780.1, XP_017757738.1	XP_003704278.1, XP_012143061.1, XP_003704412.1
OG0000001	XP_017759613.1	XP_003703200.1
OG0000001	XP_017767083.1	XP_003699913.1
OG0000001	XP_017759625.1	XP_003701310.1, XP_003701343.1, XP_012136078.1, XP_012136077.1, XP_003701345.1, XP_012136079.1
OG0000002	XP_017759720.1, XP_017759719.1, XP_017759718.1, XP_017759717.1	XP_003700910.2
OG0000002	XP_017759746.1	XP_003700909.2
OG0000002	XP_017759702.1, XP_017759703.1, XP_017759734.1	XP_003700936.1, XP_003700935.1
OG0000002	XP_017759707.1, XP_017759704.1, XP_017759700.1	XP_003700845.1, XP_003700846.1, XP_003700844.1
OG0000002	XP_017759706.1, XP_017759708.1	XP_003700934.1
OG0000002	XP_017759716.1	XP_003700913.1, XP_003700912.1, XP_012135096.1, XP_003700836.1, XP_003700837.1
OG0000002	XP_017759752.1, XP_017759759.1, XP_017759710.1, XP_017759755.1, XP_017759744.1, XP_017759709.1, XP_017759756.1	XP_003700843.1, XP_003700842.2
OG0000002	XP_017759713.1	XP_012135240.1
OG0000003	XP_017759422.1	XP_012145059.1
OG0000004	XP_017762744.1	XP_012147783.1
OG0000004	XP_017765284.1	XP_012152409.1
OG0000004	XP_017762861.1, XP_017753050.1	XP_012153684.1, XP_012145948.1, XP_012153556.1, XP_012152733.1, XP_003708235.1
OG0000004	XP_017759221.1	XP_012142569.1, XP_012151017.1
OG0000004	XP_017759096.1	XP_012152967.1
OG0000004	XP_017757888.1, XP_017762896.1	XP_012151870.1
OG0000004	XP_017764808.1, XP_017765506.1, XP_017764873.1, XP_017759467.1	XP_012146535.1
OG0000004	XP_017757887.1	XP_012138587.1, XP_012143764.1, XP_012153187.1
OG0000004	XP_017756490.1, XP_017765529.1, XP_017762446.1	XP_012147779.1
OG0000004	XP_017759643.1, XP_017765018.1, XP_017762993.1, XP_017765344.1, XP_017756226.1, XP_017759329.1	XP_012145925.1
OG0000004	XP_017765490.1, XP_017752726.1	XP_003706754.1
OG0000004	XP_017754359.1	XP_012153575.1
OG0000004	XP_017763966.1	XP_012145431.1
OG0000004	XP_017763517.1	XP_012152390.1, XP_012146360.1
OG0000005	XP_017763088.1, XP_017763087.1	XP_012141791.1
OG0000005	XP_017763034.1	XP_012146667.1
OG0000005	XP_017760232.1, XP_017756229.1	XP_012136356.1
OG0000005	XP_017761075.1	XP_012148507.1
OG0000006	XP_017766722.1	XP_012143123.1
OG0000008	XP_017764283.1	XP_003705710.1
OG0000008	XP_017764386.1	XP_003705708.1
OG0000008	XP_017752288.1	XP_012141335.1
OG0000008	XP_017765710.1	XP_003705713.2
OG0000008	XP_017764163.1	XP_003705711.1
OG0000008	XP_017764510.1	XP_003705712.1
OG0000008	XP_017764053.1, XP_017763974.1	XP_003705707.1
OG0000009	XP_017757841.1	XP_012145773.1
OG0000009	XP_017757840.1	XP_012145771.1, XP_012145774.1
OG0000009	XP_017765586.1	XP_003703411.1
OG0000010	XP_017762078.1	XP_012150535.1
OG0000010	XP_017758941.1	XP_012143531.1, XP_012153225.1
OG0000010	XP_017766494.1, XP_017764809.1, XP_017765358.1	XP_012146537.1
OG0000011	XP_017766920.1, XP_017766930.1, XP_017766937.1, XP_017766938.1	XP_003704159.1
OG0000011	XP_017766951.1, XP_017766915.1, XP_017766916.1, XP_017766912.1, XP_017766917.1	XP_012152696.1, XP_012152697.1
OG0000011	XP_017766931.1	XP_012152699.1, XP_012142611.1, XP_003708369.2, XP_012152698.1, XP_012142612.1
OG0000011	XP_017766923.1, XP_017766924.1, XP_017766928.1, XP_017766929.1, XP_017766939.1, XP_017766952.1, XP_017766932.1	XP_012142616.1, XP_012142615.1, XP_012142614.1
OG0000011	XP_017766919.1, XP_017766926.1, XP_017766946.1, XP_017766936.1	XP_003704157.1, XP_003704158.1
OG0000012	XP_017754921.1	XP_003705464.1
OG0000012	XP_017754945.1	XP_003705466.1
OG0000012	XP_017765063.1	XP_003705999.2
OG0000012	XP_017765064.1	XP_012146828.1
OG0000012	XP_017765060.1	XP_012146827.1
OG0000013	XP_017764546.1	XP_003707914.1
OG0000013	XP_017760617.1, XP_017760618.1, XP_017760616.1	XP_003708097.1
OG0000014	XP_017764543.1	XP_012153581.1, XP_012141730.1
OG0000014	XP_017754143.1	XP_003707917.1
OG0000016	XP_017766957.1	XP_012153435.1, XP_012148641.1
OG0000017	XP_017756243.1	XP_012145418.1
OG0000017	XP_017756241.1, XP_017756242.1	XP_012145417.1
OG0000017	XP_017756232.1	XP_012153570.1
OG0000018	XP_017760876.1, XP_017760875.1	XP_003699290.1
OG0000018	XP_017760874.1	XP_012135493.1
OG0000018	XP_017758049.1	XP_012146800.1, XP_012146802.1, XP_012146801.1, XP_012146803.1
OG0000019	XP_017758970.1	XP_012138718.1, XP_012138710.1, XP_012138725.1
OG0000019	XP_017754922.1	XP_012135889.1
OG0000019	XP_017757913.1	XP_012148065.1, XP_012148068.1, XP_012148067.1, XP_012148063.1, XP_012148064.1
OG0000020	XP_017759430.1	XP_012144180.1
OG0000020	XP_017758962.1	XP_012136049.1
OG0000020	XP_017759431.1	XP_012144181.1
OG0000020	XP_017763358.1	XP_003701701.2
OG0000020	XP_017758008.1	XP_012141764.1
OG0000020	XP_017756344.1	XP_012136672.1
OG0000020	XP_017763402.1	XP_012137465.1
OG0000021	XP_017759339.1	XP_012152676.1, XP_003708291.1
OG0000021	XP_017763116.1	XP_012145971.1, XP_012145969.1
OG0000021	XP_017758713.1, XP_017758722.1, XP_017758731.1	XP_012138701.1
OG0000021	XP_017764524.1	XP_012135825.1
OG0000021	XP_017759315.1	XP_012152675.1, XP_003708289.1
OG0000022	XP_017765129.1	XP_012137783.1
OG0000022	XP_017760075.1	XP_003706155.1
OG0000022	XP_017764547.1	XP_012141737.1
OG0000023	XP_017764548.1	XP_003707916.2
OG0000024	XP_017760258.1, XP_017760233.1, XP_017760260.1	XP_003705303.1
OG0000024	XP_017753491.1	XP_003705639.2
OG0000024	XP_017753899.1	XP_003699641.1, XP_012142103.1
OG0000024	XP_017753900.1	XP_003699642.1
OG0000025	XP_017765600.1	XP_012152028.1, XP_003708364.1
OG0000025	XP_017752640.1	XP_003708133.2, XP_012149733.1, XP_003704143.1, XP_003705684.1
OG0000025	XP_017752725.1	XP_012152731.1
OG0000026	XP_017756869.1	XP_003699994.1
OG0000026	XP_017760223.1	XP_012144087.1
OG0000026	XP_017763291.1, XP_017763214.1	XP_012137100.1
OG0000026	XP_017753312.1	XP_012148280.1, XP_003706585.1
OG0000026	XP_017752170.1	XP_012140605.1, XP_012140604.1, XP_012140603.1, XP_012140597.1, XP_012140598.1, XP_012140599.1, XP_012140600.1, XP_012140601.1, XP_012140602.1, XP_003703247.1
OG0000027	XP_017764550.1, XP_017764549.1	XP_012151723.1
OG0000028	XP_017756507.1, XP_017756506.1	XP_012151895.1
OG0000029	XP_017755085.1	XP_003704047.1, XP_012142317.1
OG0000029	XP_017764405.1, XP_017764404.1	XP_012154358.1
OG0000029	XP_017755092.1	XP_003704721.1
OG0000030	XP_017764870.1	XP_012151824.1
OG0000030	XP_017761417.1, XP_017761416.1	XP_012136054.1
