Orthogroup	Ceratina_calcarata	Osmia_bicornis
OG0000000	XP_017887262.1	XP_029054064.1, XP_029054855.1
OG0000000	XP_017887274.1, XP_026671887.1	XP_029054805.1, XP_029054649.1
OG0000000	XP_017875321.1	XP_029054235.1
OG0000000	XP_017893334.1, XP_017881156.1	XP_029055099.1
OG0000000	XP_017889631.1	XP_029055095.1
OG0000000	XP_017879465.1	XP_029054261.1, XP_029054346.1
OG0000000	XP_017883322.1, XP_017875143.1	XP_029053969.1
OG0000000	XP_017881790.1, XP_017875371.1	XP_029054672.1, XP_029053863.1
OG0000000	XP_017875370.2	XP_029054786.1, XP_029054770.1
OG0000000	XP_017876324.1	XP_029054415.1, XP_029055002.1
OG0000000	XP_017875755.1	XP_029054703.1
OG0000000	XP_017875124.1, XP_017875054.1	XP_029053795.1, XP_029054177.1, XP_029054739.1, XP_029054402.1, XP_029054850.1, XP_029054450.1, XP_029054401.1
OG0000001	XP_017879816.1	XP_029047550.1, XP_029047546.1, XP_029047548.1, XP_029047547.1, XP_029055795.1
OG0000001	XP_017891747.1	XP_029054161.1, XP_029052981.1, XP_029052980.1, XP_029052979.1, XP_029052978.1
OG0000001	XP_017888037.1	XP_029053697.1
OG0000001	XP_026674593.1, XP_017891756.1, XP_017891764.1	XP_029053980.1, XP_029053981.1, XP_029053979.1, XP_029053978.1
OG0000001	XP_026675117.1	XP_029053876.1
OG0000001	XP_017888667.1, XP_026673601.1	XP_029053701.1, XP_029053700.1, XP_029053699.1, XP_029053698.1, XP_029053704.1
OG0000001	XP_017884717.1	XP_029036021.1
OG0000001	XP_017882560.1, XP_017883314.2, NP_001352268.1, XP_026670615.1	XP_029033204.1, XP_029033205.1
OG0000002	XP_026669569.1, XP_026669568.1, XP_026669563.1, XP_017880491.1	XP_029048273.1
OG0000002	XP_017878910.1, XP_026670968.1, XP_017878912.1, XP_017878909.1, XP_017878913.1	XP_029048274.1
OG0000002	XP_017883164.2, XP_026669570.1, XP_017878908.2	XP_029048309.1
OG0000002	XP_026668770.1	XP_029034429.1
OG0000002	XP_026668785.1, XP_017878897.1, XP_017878896.1, XP_017878895.1, XP_017878899.1, XP_017878898.1	XP_029034428.1
OG0000002	XP_017885095.1	XP_029054356.1, XP_029048299.1
OG0000003	XP_017884413.1	XP_029054798.1
OG0000003	XP_017881808.1	XP_029054894.1
OG0000003	XP_017891009.1	XP_029053950.1, XP_029054738.1
OG0000003	XP_017885064.1	XP_029054525.1
OG0000003	XP_017891010.1, XP_017875587.1	XP_029053944.1
OG0000003	XP_026668696.1	XP_029053920.1, XP_029055270.1
OG0000003	XP_017892179.1	XP_029055276.1, XP_029055313.1
OG0000003	XP_017888063.1, XP_017884305.1	XP_029055262.1
OG0000003	XP_017889192.1	XP_029054746.1
OG0000004	XP_026672920.1	XP_029054867.1
OG0000004	XP_017884089.1	XP_029055315.1
OG0000004	XP_026673061.1	XP_029054950.1
OG0000005	XP_026667095.1	XP_029040939.1
OG0000005	XP_017891414.1	XP_029055018.1
OG0000005	XP_017891019.1	XP_029038971.1
OG0000006	XP_026671184.1	XP_029036167.1
OG0000006	XP_026667224.1	XP_029033655.1
OG0000007	XP_026667908.1, XP_017875316.1, XP_017881154.1	XP_029054123.1, XP_029055261.1, XP_029055254.1, XP_029054451.1, XP_029054587.1
OG0000007	XP_026673863.1	XP_029053574.1
OG0000008	XP_026675049.1	XP_029037761.1
OG0000008	XP_017877132.1, XP_017887927.2	XP_029037752.1, XP_029037753.1
OG0000008	XP_026667992.1	XP_029041248.1
OG0000008	XP_017891654.1	XP_029037757.1
OG0000008	XP_017891655.1	XP_029037755.1
OG0000008	XP_026666941.1	XP_029037762.1
OG0000009	XP_017887163.1	XP_029039353.1
OG0000009	XP_017887153.1, XP_017887158.1, XP_017887159.1, XP_017887161.1	XP_029039416.1
OG0000009	XP_017882285.1, XP_017888595.2, XP_017882209.1, XP_017882161.1, XP_017882162.1	XP_029039350.1, XP_029039348.1, XP_029039349.1
OG0000010	XP_017877879.2	XP_029054044.1, XP_029054342.1, XP_029053689.1, XP_029053833.1, XP_029054571.1, XP_029055204.1, XP_029055000.1, XP_029054706.1, XP_029054282.1, XP_029054238.1
OG0000010	XP_017882798.1	XP_029054090.1
OG0000010	XP_017890567.1, XP_017892844.1, XP_026673534.1, XP_017877435.1, XP_017889234.1, XP_017875216.1, XP_017881849.1	XP_029054267.1, XP_029053688.1, XP_029055081.1
OG0000011	XP_026674957.1	XP_029054371.1
OG0000011	XP_026674960.1, XP_026674952.1	XP_029039510.1, XP_029039509.1, XP_029039508.1
OG0000011	XP_026674953.1	XP_029039506.1, XP_029039474.1, XP_029039507.1
