Orthogroup	Nomia_melanderi	Acyrthosiphon_pisum
OG0000000	XP_031839043.1	XP_008182367.1, XP_008182376.2, XP_008179509.1, XP_029348283.1
OG0000000	XP_031836982.1, XP_031836767.1	XP_008178810.1, XP_029346889.1, XP_029340893.1, XP_008187343.1, XP_016664979.2, XP_008185105.1, XP_008182963.1, XP_008180484.1
OG0000000	XP_031848883.1	XP_029341016.1
OG0000000	XP_031848507.1	XP_008189442.1, XP_029343287.1, XP_008178811.1
OG0000001	XP_031828824.1	XP_001943981.2, XP_001947920.1, XP_001948421.1, XP_016656332.1, XP_016659432.1, XP_016659132.2, XP_001952450.1, XP_016655759.1, XP_029344134.1, XP_029344133.1, XP_001948581.2, XP_029344135.1, XP_001943570.2, XP_008183473.1, XP_029341969.1, NP_001353126.1, XP_001946384.4, XP_029344453.1, XP_003248692.2, NP_001156683.2, XP_001945100.2, XP_001946428.1, XP_029344865.1, XP_016657118.1, XP_001944599.2, XP_008189491.3, XP_016660356.1
OG0000003	XP_031830190.1	XP_008182004.1, XP_008182761.1, XP_008180189.1
OG0000003	XP_031844104.1	XP_008189500.1, XP_029342151.1, XP_008189441.1, XP_008182642.1, XP_016659987.1, XP_008182863.1
OG0000004	XP_031836773.1, XP_031850304.1, XP_031848018.1	XP_008184892.1, XP_008189998.1, XP_016658202.2, XP_029348322.1, XP_029348356.1, XP_008186742.1, XP_008178409.1, XP_008189971.1, XP_029348597.1, XP_016661423.2, XP_008180700.1
OG0000004	XP_031848014.1, XP_031848017.1	XP_008188519.1, XP_008178932.1, XP_008181865.1, XP_008189921.1, XP_029347881.1, XP_008184523.1, XP_016659515.1
OG0000004	XP_031842150.1	XP_029348167.1
OG0000004	XP_031842129.1, XP_031847540.1, XP_031847633.1	XP_008181189.1, XP_008178696.1, XP_008184865.1, XP_029348501.1, XP_008189957.1, XP_008187534.1, XP_029347760.1
OG0000005	XP_031836533.1, XP_031848459.1	XP_016662685.1
OG0000006	XP_031827662.1, XP_031827661.1, XP_031827663.1, XP_031827715.1, XP_031827713.1, XP_031827714.1, XP_031827716.1, XP_031827664.1, XP_031847963.1, XP_031847958.1, XP_031847960.1	XP_016661819.1
OG0000008	XP_031838197.1	XP_016663037.1
OG0000008	XP_031838199.1, XP_031838198.1	XP_029347046.1
OG0000008	XP_031845812.1	XP_001942555.1, XP_008181935.1
OG0000008	XP_031838187.1	XP_001951039.1, XP_016661460.1, XP_008179022.1, XP_001946107.1
OG0000008	XP_031838213.1	XP_001945226.1
OG0000008	XP_031838205.1	XP_001948787.1, XP_008186873.1
OG0000008	XP_031838211.1	XP_029347673.1, XP_001947912.2, XP_008185220.1, XP_029341168.1, XP_029345772.1, XP_029341167.1, XP_029347064.1, XP_029347063.1, XP_029347062.1, XP_001947727.3
OG0000010	XP_031836981.1, XP_031831047.1, XP_031848973.1, XP_031848770.1, XP_031848469.1, XP_031848731.1, XP_031847715.1, XP_031848783.1	XP_016657651.1
OG0000013	XP_031839304.1	XP_001952101.2, XP_008190047.2, XP_008190048.2, XP_003246588.2
