Orthogroup	Bombyx_mori	Habropoda_laboriosa
OG0000000	XP_037873921.1, XP_037871812.1	XP_017797012.1, XP_017797005.1
OG0000000	XP_037875266.1	XP_017791907.1, XP_017791919.1
OG0000000	XP_037870339.1	XP_017791920.1
OG0000000	XP_037876336.1, XP_037876715.1, XP_037871352.1, XP_004934170.2, XP_037875621.1, XP_037873684.1, XP_037871945.1, XP_037868562.1, XP_037871128.1, XP_037868698.1, XP_037873843.1, XP_037876794.1, XP_037867490.1	XP_017797004.1, XP_017794325.1, XP_017792102.1
OG0000001	NP_001106226.1, NP_001266427.1, XP_012545238.2, NP_001073135.1, NP_001104007.1	XP_017793598.1, XP_017796836.1, XP_017796838.1, XP_017795399.1, XP_017796200.1, XP_017791301.1, XP_017795398.1
OG0000001	NP_001296520.1, NP_001266295.1	XP_017791778.1
OG0000001	XP_037874444.1, XP_037874445.1, XP_037874443.1, XP_037874442.1, NP_001108340.1	XP_017791425.1
OG0000003	XP_037870101.1, XP_021204964.2, XP_037875250.1, XP_037870130.1, XP_037870373.1, XP_037867208.1	XP_017795781.1, XP_017797025.1
OG0000003	XP_037866749.1, XP_037875440.1, XP_037875446.1, XP_037875869.1, XP_037869897.1, XP_037868552.1, XP_037875805.1, XP_021204444.2, XP_037866490.1	XP_017795844.1
OG0000004	XP_037866663.1, XP_037874920.1	XP_017796976.1, XP_017796999.1, XP_017796386.1, XP_017792763.1, XP_017794734.1
OG0000004	XP_012549606.2	XP_017795719.1, XP_017796807.1
OG0000004	XP_037872760.1, XP_037868220.1, XP_037874112.1, XP_037871694.1	XP_017791302.1, XP_017795072.1, XP_017795982.1, XP_017795846.1, XP_017795920.1, XP_017792764.1, XP_017790882.1
OG0000005	XP_037870301.1	XP_017790206.1
OG0000006	XP_012548049.2, NP_001155299.1, XP_037872108.1, NP_001104798.1, XP_037868147.1, XP_037868149.1, XP_012545176.2, NP_001166620.1, NP_001104819.1, XP_037873404.1, NP_001104832.2, NP_001091787.1	XP_017789424.1
OG0000008	XP_012548163.2	XP_017797987.1
OG0000008	XP_012548032.1	XP_017793615.1
OG0000008	XP_037872354.1	XP_017797940.1
OG0000008	XP_012548168.1	XP_017797975.1
OG0000008	XP_021205470.2	XP_017797962.1
OG0000008	XP_037872353.1, XP_012548164.1	XP_017798022.1
OG0000009	XP_037872543.1, NP_001095934.1, XP_037872544.1, NP_001103394.1, NP_001103404.1, NP_001077079.1, XP_021202508.2, NP_001108456.1	XP_017789192.1, XP_017794730.1, XP_017794617.1, XP_017794731.1, XP_017794737.1
OG0000010	XP_037877604.1, XP_037877550.1, XP_037869235.1	XP_017792998.1
OG0000010	XP_037872909.1	XP_017792996.1, XP_017796553.1
OG0000012	XP_012543999.1, NP_001037317.1	XP_017797597.1
OG0000012	XP_037870940.1, XP_012547171.2, XP_021203795.1, XP_021204459.2	XP_017797590.1
OG0000013	XP_004933313.1	XP_017799299.1
OG0000013	NP_001040399.1	XP_017795688.1
OG0000013	NP_001091756.1	XP_017797795.1, XP_017797793.1
OG0000016	XP_037871463.1, XP_004927060.2, XP_037874057.1, XP_004923984.2, XP_037872903.1, XP_004927452.2, XP_004934209.2, XP_037876361.1, XP_037877133.1, XP_037869633.1, XP_037873340.1, XP_037867761.1, XP_037871662.1, XP_037871125.1, XP_037868132.1, XP_037872522.1, XP_004921763.2, XP_037872764.1, XP_037868492.1, XP_037874875.1, XP_037868964.1, XP_037877124.1, XP_037867762.1, XP_037871595.1, XP_037870977.1, XP_037871622.1, XP_037867766.1	XP_017796994.1, XP_017797009.1
OG0000017	NP_001108466.1, XP_012546875.1, NP_001037420.1, NP_001037197.1, NP_001108464.1, NP_001108460.1	XP_017788278.1
OG0000017	XP_037877194.1, NP_001037546.1, XP_037867588.1, XP_037877193.1, XP_037867593.1, NP_001036974.1	XP_017795363.1, XP_017795361.1
OG0000018	XP_037871931.1	XP_017793008.1
OG0000018	XP_021205339.2, XP_037871705.1	XP_017793336.1
OG0000018	NP_001243945.1, XP_037871800.1	XP_017796703.1
OG0000019	NP_001268819.1, XP_037869432.1, NP_001040220.1	XP_017790272.1
OG0000019	XP_037866672.1, XP_004931474.1, XP_004925522.1, XP_021203269.2, XP_004922003.2	XP_017787413.1
OG0000019	XP_004927318.1	XP_017788514.1
OG0000020	XP_021206581.1	XP_017791573.1
OG0000020	XP_012545030.1	XP_017790081.1, XP_017792589.1
OG0000020	XP_037867737.1	XP_017791574.1
OG0000020	XP_012552719.1, XP_021202222.1	XP_017794423.1, XP_017794434.1, XP_017798982.1
OG0000020	XP_037874470.1, XP_037874469.1	XP_017793275.1
OG0000020	XP_012548770.1	XP_017796526.1
OG0000020	XP_037867242.1, XP_012549186.1	XP_017794610.1
OG0000021	XP_004932475.1, XP_021207797.1	XP_017798657.1
OG0000021	XP_012546046.1	XP_017790331.1
OG0000021	XP_004926417.1	XP_017790276.1
OG0000021	XP_037869061.1	XP_017787416.1, XP_017790325.1
OG0000021	XP_037872785.1	XP_017798692.1
OG0000022	NP_001153667.1	XP_017795686.1
OG0000022	NP_001153666.1, NP_001036781.1	XP_017799306.1
OG0000023	NP_001153668.1	XP_017799305.1
OG0000026	XP_037867257.1	XP_017799538.1
OG0000026	XP_021205952.1, XP_037874519.1, XP_037874423.1	XP_017790381.1
OG0000026	XP_021204803.2	XP_017797652.1
OG0000026	XP_004929451.1, XP_012548588.1	XP_017795812.1, XP_017789050.1
OG0000027	NP_001153669.1, XP_012551883.1	XP_017799307.1
OG0000028	XP_037876627.1	XP_017796995.1, XP_017796351.1
OG0000028	XP_037876866.1, XP_037874105.1, XP_037872934.1, XP_037868529.1, XP_037867214.1, XP_037877749.1, XP_037875622.1, XP_037873747.1, XP_037877519.1	XP_017791905.1, XP_017797006.1, XP_017792950.1, XP_017797074.1, XP_017794490.1, XP_017788507.1
OG0000029	NP_001036866.1, NP_001166691.1, NP_001166687.1	XP_017792656.1, XP_017792675.1
OG0000029	NP_001093082.1, NP_001166690.1, NP_001166689.1	XP_017798436.1, XP_017792700.1
OG0000030	XP_037875304.1	XP_017799391.1, XP_017799392.1
OG0000030	XP_004926017.1	XP_017791372.1
OG0000031	XP_021204146.2, XP_004932428.2, XP_037875263.1, XP_012545031.2, XP_037871454.1, XP_037866963.1, XP_037871337.1	XP_017795847.1
OG0000031	XP_037868210.1	XP_017796962.1, XP_017797833.1
OG0000032	XP_012545284.2, XP_021208619.1	XP_017791965.1
OG0000032	XP_037867207.1, XP_004924199.2, NP_001036966.1, XP_012549133.1	XP_017793574.1, XP_017790226.1
OG0000033	XP_021203082.2, XP_037875893.1	XP_017796735.1
OG0000035	NP_001243971.1, NP_001243970.1, NP_001243969.1, NP_001243968.1, NP_001274756.1, XP_037870343.1, NP_001243972.1, XP_037870428.1	XP_017797282.1
OG0000035	NP_001243964.1, NP_001243980.1	XP_017793793.1, XP_017793792.1
OG0000036	XP_037877629.1, XP_012544322.2	XP_017791875.1, XP_017791824.1, XP_017791822.1, XP_017791523.1, XP_017791522.1
OG0000037	NP_001166634.1, NP_001166643.1, NP_001166640.1, XP_021207417.1, NP_001166642.1, NP_001166626.1, NP_001166646.1, NP_001166657.1, NP_001166648.1, NP_001166659.1, NP_001166661.1, NP_001166647.1, NP_001166654.1, NP_001166652.1, NP_001166656.1, NP_001166655.1, NP_001166651.1, NP_001166653.1, NP_001166650.1, XP_012550695.2, XP_037874610.1, NP_001166649.1, NP_001166658.1, NP_001166660.1, XP_037874849.1, XP_037874613.1, XP_037874612.1, NP_001166662.1, NP_001036864.1, NP_001166674.1, NP_001166673.1, NP_001166676.1, NP_001166675.1, NP_001036838.1, NP_001166677.1, XP_012550704.2, NP_001166625.1, NP_001166671.1, NP_001166678.1, XP_012550693.1, NP_001166641.1, XP_004931961.1, NP_001166635.1, NP_001166644.1, NP_001166637.1	XP_017798855.1
OG0000038	NP_001036884.1	XP_017789191.1, XP_017795058.1
OG0000038	NP_001036886.1, XP_021204307.1	XP_017796596.1
OG0000039	XP_037877377.1, XP_037875720.1, XP_037875730.1, XP_037875679.1, XP_037877102.1, XP_037877190.1, XP_037877066.1	XP_017793816.1
OG0000040	XP_037871589.1, XP_037877007.1	XP_017797294.1, XP_017797297.1, XP_017797034.1, XP_017789776.1
OG0000041	NP_001119724.1	XP_017796748.1, XP_017796749.1
OG0000041	NP_001119726.1, XP_037872546.1	XP_017798373.1
OG0000042	XP_004925565.1	XP_017797246.1
OG0000042	NP_001296508.1, XP_037868172.1, NP_001037018.1, XP_012545279.1, XP_021205712.2, NP_001036971.1	XP_017797230.1
OG0000043	NP_001037067.1, NP_001037068.1	XP_017797621.1
OG0000043	NP_001091780.1, XP_021206019.2	XP_017793789.1
OG0000044	NP_001036834.1	XP_017792515.1, XP_017792514.1
OG0000044	XP_037868658.1	XP_017792527.1, XP_017792526.1
OG0000045	XP_037866529.1, XP_037866527.1, NP_001296551.1, XP_012549946.3, NP_001182391.1, XP_004930880.1	XP_017797443.1, XP_017797444.1
OG0000046	NP_001036837.1, XP_012547740.1	XP_017789468.1
OG0000046	NP_001036892.1	XP_017790988.1, XP_017792943.1
OG0000050	NP_001165227.1, NP_001040466.1, XP_037875050.1, NP_001124352.1, NP_001116814.1, XP_004927162.1, XP_021203217.2, XP_021203196.2, XP_037870386.1, XP_037870387.1, XP_004925199.1, XP_004924525.1, XP_004932947.1, NP_001040174.1	XP_017787690.1
OG0000052	XP_012545178.1, NP_001036907.1, XP_037868558.1, XP_037868546.1, XP_012545207.2, XP_012545182.2, XP_004925374.1, XP_037868485.1, XP_004925372.1, XP_004925371.1	XP_017790871.1, XP_017790994.1
OG0000052	XP_012545590.1, XP_012545589.1, XP_004925854.2, XP_004925855.2, XP_021203470.2, XP_004925899.1	XP_017798778.1
OG0000052	XP_012545009.1, NP_001182634.1	XP_017793145.1
OG0000054	NP_001040112.1	XP_017797421.1
OG0000054	NP_001036835.1, NP_001166743.1	XP_017797389.1, XP_017797390.1
OG0000055	XP_021207833.1	XP_017789854.1
OG0000055	XP_012548893.1, NP_001036959.1	XP_017791354.1
OG0000056	XP_037866675.1	XP_017795795.1, XP_017792816.1
OG0000056	XP_037872689.1	XP_017792926.1
OG0000056	XP_037871311.1	XP_017789030.1
OG0000056	XP_037873641.1	XP_017792979.1
OG0000057	NP_001036887.1, NP_001036964.1	XP_017798095.1
OG0000057	XP_004923508.1, XP_012553252.3	XP_017798766.1
OG0000057	NP_001036965.1	XP_017798094.1
OG0000057	NP_001036888.1	XP_017798097.1
OG0000057	NP_001037492.1, NP_001093079.1	XP_017798098.1
OG0000060	XP_004925993.2	XP_017787543.1
OG0000060	XP_021206640.1, XP_004930776.1	XP_017792478.1
OG0000061	XP_012551685.2	XP_017799273.1
OG0000062	XP_004923510.1, XP_037876893.1, XP_004933665.1, NP_001036941.1, NP_001036984.1, NP_001091794.1, XP_037877361.1, XP_037877362.1, NP_001037038.1, NP_001036942.1	XP_017794533.1, XP_017794504.1, XP_017794445.1, XP_017794580.1, XP_017794526.1
OG0000063	XP_037868526.1	XP_017797024.1
OG0000065	XP_004931596.1	XP_017793945.1
OG0000065	NP_001037610.1, XP_037869237.1, XP_037869334.1, XP_012550936.1, XP_037869425.1, XP_037869333.1, XP_004921651.2	XP_017793851.1
OG0000067	XP_004931451.1	XP_017790603.1
OG0000067	NP_001037582.1	XP_017795551.1
OG0000067	XP_037877745.1	XP_017787992.1
OG0000069	NP_001243973.1	XP_017795598.1, XP_017795596.1, XP_017795597.1, XP_017795595.1
OG0000070	NP_001166602.1	XP_017795125.1, XP_017795128.1, XP_017795126.1
OG0000072	XP_037866767.1	XP_017793474.1
OG0000073	NP_001243938.1	XP_017792787.1, XP_017793055.1, XP_017793138.1
OG0000074	XP_037875797.1	XP_017795199.1
OG0000075	XP_037868115.1	XP_017792483.1, XP_017795752.1
OG0000075	XP_037870991.1	XP_017791911.1, XP_017795512.1
OG0000076	XP_037869185.1, XP_037874698.1, XP_037877095.1	XP_017797150.1, XP_017791909.1, XP_017793566.1, XP_017795383.1, XP_017797031.1, XP_017795922.1, XP_017797047.1, XP_017797064.1, XP_017796208.1, XP_017797036.1, XP_017791630.1, XP_017796723.1, XP_017792098.1, XP_017790175.1
OG0000077	XP_037870080.1	XP_017797118.1, XP_017795753.1
OG0000077	NP_001037478.1	XP_017789897.1
OG0000078	XP_037872110.1, NP_001159625.1, NP_001116810.1	XP_017792696.1, XP_017792652.1, XP_017792653.1, XP_017792695.1
OG0000080	XP_021207527.1, XP_021207524.1, XP_021207523.1, XP_021207526.1, XP_021207525.1, XP_004931947.1, XP_037874742.1	XP_017798424.1
OG0000080	XP_004931946.1	XP_017798328.1
OG0000080	XP_037874734.1	XP_017798422.1
OG0000082	XP_004927040.1, NP_001124343.1	XP_017797726.1, XP_017797683.1, XP_017797684.1, XP_017797819.1
OG0000084	XP_012550708.1, NP_001166718.1	XP_017792624.1, XP_017792625.1, XP_017792708.1
OG0000084	NP_001166714.1, NP_001036828.1, NP_001166712.1, NP_001166744.1, NP_001036827.1, NP_001166742.1	XP_017791300.1
OG0000085	NP_001239600.1, XP_037876340.1, XP_037876341.1, XP_037876393.1, XP_037876339.1	XP_017793167.1
OG0000086	NP_001243984.1	XP_017787894.1
OG0000086	XP_004922188.1	XP_017791806.1
OG0000087	XP_004925118.1	XP_017792906.1, XP_017792917.1
OG0000087	XP_004926772.1	XP_017792908.1
OG0000088	XP_037876269.1, XP_037876266.1	XP_017789815.1
OG0000091	XP_037871523.1, NP_001037021.1, NP_001139714.1, XP_012547717.1, NP_001037305.1, XP_037874620.1	XP_017792668.1, XP_017792670.1
OG0000092	NP_001040445.1	XP_017799316.1, XP_017789003.1, XP_017789058.1, XP_017789059.1, XP_017788769.1
OG0000093	XP_037875612.1	XP_017796954.1
OG0000093	XP_037875268.1	XP_017796719.1, XP_017795063.1
OG0000094	XP_037867226.1	XP_017791335.1
OG0000094	XP_004929868.2	XP_017798352.1
OG0000095	XP_037874252.1, NP_001296528.1, XP_004927603.2, NP_001073134.1, NP_001103833.1	XP_017790301.1
OG0000096	XP_004933352.2	XP_017798525.1
OG0000097	XP_012544532.1, XP_037871911.1, XP_004924657.1	XP_017791424.1, XP_017791423.1, XP_017793649.1
OG0000098	XP_037867250.1, XP_037867248.1, XP_037867247.1, XP_037867246.1, XP_037867249.1	XP_017790036.1, XP_017790037.1, XP_017790033.1, XP_017790034.1, XP_017790035.1
OG0000099	XP_012551708.2	XP_017796840.1
OG0000099	XP_004933046.1	XP_017796299.1, XP_017796300.1
OG0000099	XP_037876655.1	XP_017791883.1
OG0000102	XP_004925858.1, XP_037872752.1, XP_021205415.1, XP_004929095.1	XP_017787422.1, XP_017787495.1
OG0000103	XP_037869904.1	XP_017793916.1
OG0000108	XP_004923866.1, XP_012545628.2, XP_037876582.1, XP_021203645.2, XP_021203646.2, XP_037876625.1, XP_037876626.1, XP_012551634.2, XP_004932336.1	XP_017797595.1
OG0000109	XP_021205885.1	XP_017787680.1, XP_017787682.1, XP_017787681.1, XP_017787684.1, XP_017787683.1, XP_017787686.1, XP_017787685.1, XP_017787687.1
OG0000110	XP_037872696.1, XP_037872695.1, XP_037872710.1, XP_037872709.1	XP_017794692.1, XP_017797747.1
OG0000111	XP_037868928.1, XP_037868924.1, XP_004922902.1, XP_004931121.1	XP_017797783.1, XP_017787491.1
OG0000111	XP_004927517.1	XP_017793968.1
