ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"LOC114880101"	NA	chrOU015519.1	-	8152470	8153796	8152470	8152529	8152624	8153796
1	"LOC114880101"	NA	chrOU015519.1	-	8152470	8153796	8152470	8152597	8152690	8153796
2	"LOC114880101"	NA	chrOU015519.1	-	8152470	8153796	8152470	8153375	8153588	8153796
3	"LOC114880085"	NA	chrOU015519.1	+	8030599	8031648	8030599	8030778	8030863	8031648
4	"LOC114872160"	NA	chrOU015519.1	-	7967782	7968639	7967782	7968031	7968196	7968639
5	"LOC114872160"	NA	chrOU015519.1	-	7967782	7968639	7967782	7968031	7968469	7968639
6	"LOC114872160"	NA	chrOU015519.1	-	7971652	7972120	7971652	7971697	7971779	7972120
7	"LOC114872160"	NA	chrOU015519.1	-	7971652	7972120	7971652	7971894	7971992	7972120
8	"LOC114872160"	NA	chrOU015519.1	-	7971652	7972120	7971652	7971911	7971992	7972120
9	"LOC114872158"	NA	chrOU015519.1	-	7959468	7960310	7959468	7959668	7959736	7960310
10	"LOC114872158"	NA	chrOU015519.1	-	7959468	7960310	7959468	7959826	7960034	7960310
11	"LOC114872170"	NA	chrOU015519.1	+	7945806	7946376	7945806	7945819	7945972	7946376
12	"LOC114872168"	NA	chrOU015519.1	-	7931275	7938806	7931275	7932294	7932352	7938806
13	"LOC114872168"	NA	chrOU015519.1	-	7931275	7938806	7931275	7933091	7933493	7938806
14	"LOC114872168"	NA	chrOU015519.1	-	7931275	7938806	7931275	7933598	7933666	7938806
15	"LOC114872168"	NA	chrOU015519.1	-	7931275	7938806	7931275	7933953	7934018	7938806
16	"LOC114872168"	NA	chrOU015519.1	-	7931275	7938806	7931275	7934163	7934272	7938806
17	"LOC114872168"	NA	chrOU015519.1	-	7931275	7938806	7931275	7934994	7935080	7938806
18	"LOC114872191"	NA	chrOU015519.1	-	7807297	7811876	7807297	7811122	7811200	7811876
19	"LOC114872233"	NA	chrOU015519.1	+	7676847	7679021	7676847	7677234	7677323	7679021
20	"LOC114872233"	NA	chrOU015519.1	+	7676847	7679021	7676847	7677573	7677707	7679021
21	"LOC114872233"	NA	chrOU015519.1	+	7676847	7679021	7676847	7677573	7678109	7679021
22	"LOC114872233"	NA	chrOU015519.1	+	7676847	7679021	7676847	7678029	7678109	7679021
23	"LOC114872240"	NA	chrOU015519.1	+	7604142	7604802	7604142	7604398	7604449	7604802
24	"LOC114872240"	NA	chrOU015519.1	+	7604142	7604802	7604142	7604398	7604464	7604802
25	"LOC114872248"	NA	chrOU015519.1	-	7014505	7018391	7014505	7014756	7014833	7018391
26	"LOC114876707"	NA	chrOU015519.1	-	6106537	6107080	6106537	6106920	6106983	6107080
27	"LOC114876700"	NA	chrOU015519.1	-	6050115	6053287	6050115	6052594	6052712	6053287
28	"LOC114876700"	NA	chrOU015519.1	-	6050115	6053287	6050115	6053115	6053181	6053287
29	"LOC114876653"	NA	chrOU015519.1	-	5759696	5764611	5759696	5761590	5761682	5764611
30	"LOC114876690"	NA	chrOU015519.1	-	5694582	5695264	5694582	5694812	5695122	5695264
31	"LOC114871537"	NA	chrOU015519.1	+	4259313	4259876	4259313	4259504	4259580	4259876
32	"LOC114871541"	NA	chrOU015519.1	-	4227137	4227527	4227137	4227288	4227345	4227527
33	"LOC114871541"	NA	chrOU015519.1	-	4228509	4228713	4228509	4228615	4228678	4228713
34	"LOC114877993"	NA	chrOU015519.1	+	3672161	3673702	3672161	3672630	3672707	3673702
