Orthogroup	Drosophila_melanogaster	Acyrthosiphon_pisum
OG0000001	NP_611698.1, NP_609891.1, NP_650327.1	XP_003243002.1
OG0000001	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1	XP_001943981.2, XP_001947920.1, XP_001948421.1, XP_016656332.1, XP_016659432.1, XP_016659132.2, XP_001952450.1, XP_016655759.1, XP_029344134.1, XP_029344133.1, XP_001948581.2, XP_029344135.1, XP_001943570.2, XP_008183473.1, XP_029341969.1, NP_001353126.1, XP_001946384.4, XP_029344453.1, XP_003248692.2, NP_001156683.2, XP_001945100.2, XP_001946428.1, XP_029344865.1, XP_016657118.1, XP_001944599.2, XP_008189491.3, XP_016660356.1
OG0000004	NP_001262388.1	XP_029347358.1
OG0000005	NP_001260876.1	XP_008189659.2, XP_016658826.1, XP_003241284.1
OG0000006	NP_995793.1, NP_524078.2, NP_524455.1, NP_524456.1, NP_523647.2, NP_523721.1	XP_016661819.1
OG0000007	NP_648146.1	XP_016656399.1, XP_016658578.1, XP_016658583.1, XP_008183630.3, XP_029348031.1
OG0000008	NP_572981.1	XP_016663037.1
OG0000008	NP_572985.1	XP_029347046.1
OG0000008	NP_651466.1	XP_001942555.1, XP_008181935.1
OG0000008	NP_572978.1, NP_572977.1	XP_001951039.1, XP_016661460.1, XP_008179022.1, XP_001946107.1
OG0000008	NP_001285251.1	XP_001945226.1
OG0000008	NP_001285249.1	XP_001948787.1, XP_008186873.1
OG0000008	NP_572987.1	XP_029347673.1, XP_001947912.2, XP_008185220.1, XP_029341168.1, XP_029345772.1, XP_029341167.1, XP_029347064.1, XP_029347063.1, XP_029347062.1, XP_001947727.3
OG0000013	NP_001027338.1	XP_008190047.2, XP_008190048.2, XP_003246588.2
OG0000013	NP_001259374.1	XP_008188188.1, XP_008186887.1
OG0000014	NP_001027290.1, NP_001027282.1, NP_001027369.1, NP_001027374.1, NP_001027379.1, NP_001027334.1, NP_001027286.1, NP_001027344.1, NP_001027349.1, NP_001027359.1, NP_001027354.1, NP_001027364.1, NP_001027329.1, NP_001027324.1, NP_001027319.1, NP_001027314.1, NP_001027384.1, NP_724341.1, NP_001027304.1, NP_001027309.1, NP_001027299.1, NP_001027295.1, NP_001027339.1	XP_008188957.2, XP_029347345.1, XP_003246585.1, XP_003248955.1, XP_003249023.1, XP_003246589.1, XP_003245105.1, XP_029344422.1, XP_029348663.1, XP_008179018.1, XP_001944346.2, XP_008190049.1, XP_001944288.1
OG0000017	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1	XP_029345033.1, XP_016662561.1, XP_003246468.3, XP_016662288.1, XP_029345886.1, XP_008186550.1, XP_008186556.2, XP_029345031.1, NP_001156274.1
OG0000018	NP_001262747.1, NP_609930.4, NP_995741.2, NP_650086.2, NP_001260823.1, NP_001245943.1, NP_001260548.1, NP_651678.1, NP_651679.2, NP_611571.2, NP_001247286.1	XP_016663044.1, XP_008186888.2, XP_001946763.2, XP_008188568.1, XP_029346478.1, XP_029346617.1, XP_016664244.1, XP_029346475.1, XP_029346477.1, XP_029346476.1, XP_001948798.2, XP_001943056.2, XP_016658122.1, XP_001943526.2
OG0000019	NP_477331.1, NP_610138.4, NP_001286441.1, NP_650219.2, NP_001014548.1	XP_001952539.2
OG0000020	NP_723103.1	XP_003244194.1
OG0000020	NP_001097100.1, NP_001188701.2	XP_029343120.1, XP_029345653.1
OG0000020	NP_723828.1	XP_008182108.1
OG0000020	NP_001137799.1, NP_723441.2	XP_029344335.1, XP_016664934.1
OG0000020	NP_001097508.2	NP_001280338.1
OG0000020	NP_651649.1	XP_029347131.1
OG0000020	NP_001138225.1	XP_001947843.1
OG0000020	NP_001259218.1	XP_029343394.1
OG0000021	NP_648539.1	XP_001945018.2
OG0000021	NP_001263113.1, NP_651812.1, NP_001189282.1	XP_016663029.1, XP_003240228.1, XP_029342725.1
OG0000021	NP_611262.1, NP_651761.2, NP_650482.1, NP_732032.1	XP_016659978.2, XP_016662637.1, XP_016659979.1, XP_001949549.1, XP_029343712.1, XP_029343713.1, XP_016659980.1, XP_008183245.1, XP_029343716.1, XP_029343717.1, XP_029343714.1, XP_029343715.1, XP_029343711.1, XP_029343709.1
