Orthogroup	Osmia_lignaria	Megachile_rotundata
OG0000000	XP_034194192.1	XP_012136801.1, XP_012152727.1
OG0000000	XP_034194536.1	XP_012146525.1, XP_012153583.1
OG0000000	XP_034194634.1	XP_012145447.1
OG0000000	XP_034192189.1, XP_034179509.1	XP_012134488.1
OG0000001	XP_034194619.1, XP_034194603.1	XP_003704416.1
OG0000001	XP_034194594.1	XP_003704279.1, XP_012143067.1
OG0000001	XP_034178689.1, XP_034178688.1, XP_034178687.1	XP_012143061.1
OG0000001	XP_034178696.1	XP_003704412.1
OG0000001	XP_034194583.1, XP_034194581.1, XP_034194582.1	XP_003704414.1
OG0000001	XP_034178690.1	XP_012140371.1, XP_012140372.1, XP_003703231.1
OG0000001	XP_034178111.1	XP_012143070.1, XP_003704281.1, XP_012143072.1, XP_012143071.1
OG0000002	XP_034192193.1, XP_034194539.1	XP_012142409.1
OG0000002	XP_034194881.1, XP_034189857.1, XP_034194584.1	XP_012151833.1, XP_012151897.1, XP_012152158.1, XP_012148727.1, XP_012142570.1
OG0000002	XP_034194801.1, XP_034195199.1, XP_034194884.1, XP_034177368.1, XP_034183909.1, XP_034195200.1	XP_012150520.1, XP_012151027.1, XP_012146357.1
OG0000002	XP_034195189.1, XP_034192544.1, XP_034194984.1	XP_012152029.1
OG0000002	XP_034186984.1	XP_012134947.1
OG0000004	XP_034183284.1	XP_012142565.1
OG0000004	XP_034183285.1, XP_034183048.1	XP_012142564.1, XP_012142566.1, XP_003704115.1
OG0000005	XP_034178174.1	XP_003704403.2, XP_012143137.1, XP_012143140.1, XP_012143138.1, XP_012143135.1
OG0000005	XP_034176023.1	XP_012138695.1, XP_012138708.1, XP_012138654.1
OG0000005	XP_034175224.1, XP_034175225.1	XP_012138734.1
OG0000005	XP_034176024.1	XP_012138745.1
OG0000006	XP_034191426.1	XP_003708097.1
OG0000006	XP_034195020.1, XP_034171306.1, XP_034174016.1, XP_034173944.1	XP_003707914.1
OG0000007	XP_034196577.1, XP_034179608.1, XP_034196053.1, XP_034179620.1, XP_034191910.1	XP_012152319.1, XP_012152339.1, XP_012152307.1
OG0000007	XP_034196442.1	XP_012148352.1
OG0000008	XP_034174481.1, XP_034174489.1	XP_012137793.1, XP_012137792.1, XP_003702208.1
OG0000008	XP_034186914.1	XP_003700544.1
OG0000008	XP_034183063.1	XP_012147265.1, XP_012147266.1, XP_012147267.1, XP_003706099.1
OG0000010	XP_034179226.1	XP_012143985.1, XP_012143891.1
OG0000010	XP_034179208.1	XP_012143986.1
OG0000010	XP_034179214.1, XP_034179212.1, XP_034179508.1, XP_034179507.1	XP_012143988.1
OG0000010	XP_034179211.1	XP_003704733.2, XP_012143893.1
OG0000011	XP_034186670.1, XP_034186666.1, XP_034186667.1, XP_034186658.1, XP_034186654.1, XP_034186665.1, XP_034186664.1, XP_034186663.1, XP_034186662.1, XP_034186661.1, XP_034186660.1, XP_034186659.1, XP_034186656.1, XP_034186655.1, XP_034186669.1	XP_012144536.1, XP_012144535.1, XP_003704922.1, XP_012144537.1, XP_012144538.1
OG0000012	XP_034186457.1, XP_034186455.1, XP_034186454.1, XP_034186459.1, XP_034186458.1, XP_034186462.1, XP_034186460.1, XP_034186461.1, XP_034186464.1, XP_034186463.1	XP_003704990.1, XP_012144440.1, XP_012144439.1, XP_012144443.1, XP_012144442.1, XP_012144441.1, XP_012144449.1, XP_012144447.1, XP_012144448.1, XP_012144445.1, XP_012144446.1
OG0000013	XP_034194692.1	XP_012153435.1, XP_012148641.1
OG0000013	XP_034172342.1	XP_012148353.1
OG0000013	XP_034177369.1	XP_012150588.1, XP_012150531.1, XP_012152709.1
OG0000013	XP_034174822.1, XP_034182100.1	XP_012141582.1
OG0000014	XP_034172089.1, XP_034195019.1, XP_034171801.1, XP_034174017.1, XP_034173430.1	XP_012151723.1
OG0000014	XP_034172344.1, XP_034172482.1	XP_003703732.1
OG0000015	XP_034178504.1, XP_034178505.1	XP_012143130.1
OG0000015	XP_034178500.1, XP_034178499.1	XP_003704378.1
OG0000015	XP_034178503.1	XP_012143128.1, XP_012143127.1, XP_003704370.1, XP_012143125.1, XP_012143126.1, XP_012143129.1
OG0000016	XP_034190095.1	XP_012149455.1
OG0000017	XP_034173428.1	XP_003702158.1
OG0000018	XP_034187723.1, XP_034187722.1, XP_034187720.1, XP_034187719.1, XP_034187724.1	XP_003700281.2
OG0000019	XP_034195722.1, XP_034195724.1, XP_034195725.1, XP_034195721.1, XP_034195720.1, XP_034195717.1, XP_034195716.1, XP_034195719.1, XP_034195718.1, XP_034195715.1, XP_034195714.1	XP_003703399.2
OG0000020	XP_034179001.1, XP_034179112.1, XP_034179105.1	XP_012142615.1
OG0000020	XP_034192240.1, XP_034179568.1, XP_034179326.1, XP_034179496.1, XP_034179104.1, XP_034179567.1, XP_034179107.1, XP_034179109.1, XP_034178945.1, XP_034179106.1, XP_034179327.1, XP_034178946.1	XP_012142616.1
OG0000021	XP_034194686.1, XP_034177277.1, XP_034196681.1	XP_012146123.1
OG0000021	XP_034194632.1	XP_012142411.1
OG0000021	XP_034194642.1	XP_012151895.1
OG0000022	XP_034190542.1, XP_034190549.1, XP_034190548.1, XP_034190550.1, XP_034190544.1, XP_034190547.1, XP_034190545.1, XP_034190543.1	XP_012135670.1, XP_012135669.1, XP_012135674.1, XP_012135673.1, XP_012135668.1, XP_003701272.1, XP_012135671.1
OG0000023	XP_034194812.1	XP_012153684.1, XP_012152733.1, XP_012145948.1, XP_003708235.1, XP_012153556.1, XP_012151017.1, XP_012142569.1, XP_012152967.1
OG0000024	XP_034194909.1, XP_034187270.1, XP_034187269.1, XP_034187268.1, XP_034187271.1	XP_012135354.1, XP_012135355.1, XP_012135348.1
OG0000025	XP_034182852.1, XP_034182855.1	XP_012154268.1, XP_012154273.1, XP_012154274.1, XP_012154271.1, XP_012154272.1, XP_012154275.1
OG0000025	XP_034182856.1	XP_012154270.1
OG0000026	XP_034189435.1, XP_034189434.1, XP_034189436.1, XP_034189437.1, XP_034189438.1	XP_012149137.1, XP_012149140.1, XP_003706871.1, XP_012149138.1, XP_012149139.1
OG0000027	XP_034176177.1, XP_034176176.1, XP_034176171.1, XP_034176175.1, XP_034176174.1, XP_034176173.1, XP_034176178.1, XP_034176172.1	XP_012149831.1, XP_012149830.1, XP_012149829.1, XP_012149828.1, XP_012149826.1, XP_012149827.1, XP_012149825.1
OG0000028	XP_034171188.1, XP_034171191.1, XP_034171190.1, XP_034171189.1	XP_003704470.2
OG0000029	XP_034189051.1, XP_034189052.1	XP_003702607.2
OG0000031	XP_034187152.1, XP_034187153.1, XP_034187150.1, XP_034187149.1, XP_034187151.1, XP_034187148.1	XP_003704987.1, XP_012144433.1, XP_012144432.1, XP_012144434.1, XP_012144430.1, XP_012144435.1, XP_012144429.1
OG0000032	XP_034188074.1, XP_034188075.1, XP_034188076.1	XP_012148161.1, XP_012148158.1, XP_012148159.1, XP_003706562.1, XP_012148157.1, XP_012148160.1
OG0000033	XP_034180404.1, XP_034180403.1, XP_034180406.1, XP_034180402.1	XP_003701918.1, XP_012137454.1, XP_012137456.1, XP_012137455.1
OG0000034	XP_034176957.1, XP_034176958.1, XP_034176959.1, XP_034176953.1, XP_034176954.1, XP_034176955.1, XP_034176956.1	XP_003707471.1, XP_012149993.1
OG0000035	XP_034193470.1, XP_034193472.1, XP_034193474.1, XP_034193475.1, XP_034193473.1, XP_034193476.1	XP_012141604.1
OG0000036	XP_034186581.1, XP_034186577.1, XP_034186579.1, XP_034186578.1, XP_034186576.1, XP_034186580.1	XP_012152961.1, XP_012152968.1, XP_012152971.1, XP_012152963.1
OG0000037	XP_034172064.1	XP_012150894.1
OG0000038	XP_034190835.1, XP_034190836.1	XP_012153341.1
OG0000038	XP_034176738.1, XP_034176739.1	XP_003705350.1
OG0000039	XP_034181405.1, XP_034181399.1, XP_034181401.1, XP_034181402.1, XP_034181400.1, XP_034181403.1	XP_012141557.1, XP_012141554.1, XP_003703563.1, XP_012141555.1, XP_012141556.1
OG0000040	XP_034184421.1	XP_003707562.1, XP_012150853.1, XP_012150852.1
OG0000041	XP_034195325.1	XP_012153215.1
OG0000042	XP_034185227.1	XP_012150732.1, XP_012150733.1, XP_012150728.1, XP_012150724.1, XP_012150729.1, XP_012150745.1, XP_012150740.1
