Orthogroup	Apis_mellifera	Solenopsis_invicta
OG0000001	XP_624795.3, XP_026302253.1, XP_016772837.1	XP_039312729.1, XP_011170312.2, XP_039312609.1, XP_039312344.1, XP_039312343.1, XP_039312342.1, XP_039312341.1, XP_039312340.1, XP_039312352.1, XP_039312733.1, XP_039312720.1, XP_039312719.1, XP_039312723.1, XP_039312861.1, XP_039312722.1, XP_011165642.3, XP_039306285.1, XP_039312730.1, XP_039312734.1, XP_039301776.1, XP_025997129.2, XP_039306128.1, XP_011164151.3, XP_039312726.1, XP_039312725.1, XP_039312353.1
OG0000001	XP_623362.3	NP_001306576.1, XP_011159731.1
OG0000001	XP_026300534.1, NP_001352129.1, NP_001352128.1, XP_026300533.1, XP_026300532.1, XP_026300343.1, NP_001035324.1, XP_006565062.2, XP_397347.4, XP_026300531.1, XP_623595.1, NP_001352068.1, XP_006565077.1, XP_026300601.1, XP_006565076.1, NP_001352069.1, XP_026300602.1, XP_026300530.1, XP_016771320.1, XP_026300535.1, XP_395671.3	XP_011173390.1, XP_039305737.1, XP_011173391.1, XP_011173392.2, XP_011173393.2
OG0000001	XP_026296210.1	XP_011164185.1
OG0000001	XP_006564499.3	XP_011164532.2, XP_011164534.2
OG0000001	NP_001191991.1, XP_016770827.2	XP_011162032.2, XP_039315612.1
OG0000002	NP_001229891.1, NP_001229890.1, NP_001229892.1, NP_001229889.1, XP_006565945.1, XP_016773520.1, XP_016773523.1, NP_001229894.1, XP_026302135.1, NP_001229893.1, XP_026302134.1, NP_001229888.1, XP_006565941.2, XP_006565943.1, NP_001229887.1, XP_003250767.2, XP_026294956.1	XP_025986773.2, XP_025986694.2, XP_039304867.1, XP_011159003.3
OG0000002	XP_003250769.3, XP_026294905.1, XP_026294912.1	XP_011175322.2, XP_011158991.3
OG0000002	XP_006565883.2, NP_001229910.1, XP_026294765.1, NP_001229909.1, XP_006572517.1, NP_001229911.1, XP_016773537.1, XP_016773528.1, XP_016773529.1, XP_006565970.2	XP_039304861.1, XP_025986698.2, XP_025986687.1, XP_025986681.1
OG0000002	NP_001229907.1, NP_001229906.1, NP_001229905.1, XP_026302143.1	XP_011159024.2
OG0000002	NP_001229900.1	XP_011159023.1, XP_039305194.1
OG0000002	NP_001229895.1, XP_003250726.1	XP_039304869.1
OG0000002	XP_016773538.1, XP_003250765.1, XP_006565948.1, XP_001121659.1, XP_006565947.2, NP_001229896.1, XP_016773454.2, XP_006565887.1, NP_001229899.1	XP_039304870.1, XP_011159010.2, XP_011158761.2, XP_039304864.1
OG0000002	NP_001229898.1, XP_026294907.1, XP_026294903.1, XP_016773531.1, XP_016773532.1, XP_001121864.2, NP_001229904.1, XP_026302131.1, XP_006565964.1, XP_026294957.1, XP_016773539.1, NP_001229902.1, XP_003250750.1, XP_003250751.1, XP_006565958.1, XP_016773535.1, XP_006565962.1, XP_026294766.1, XP_003250754.2, XP_016773534.1, XP_006565886.1, NP_001229901.1, XP_006565953.2	XP_025986690.1, XP_011159014.1, XP_011159015.1, XP_011159011.2, XP_025986684.1
OG0000002	NP_001229897.1	XP_025986692.1, XP_025986695.2, XP_025986775.1, XP_039304878.1
OG0000005	XP_006558866.1, XP_016768598.1	XP_025990901.2
OG0000006	XP_016771362.2	XP_025989821.2
OG0000006	XP_026300642.1, XP_016771366.1	XP_039308764.1, XP_011163434.2
