Orthogroup	Drosophila_melanogaster	Nasonia_vitripennis
OG0000001	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1	NP_001166001.1, XP_031789348.1, NP_001165999.1, XP_031787437.1, XP_001604822.1, XP_031780875.1, XP_031780867.1, XP_032451660.1, XP_001603529.3, NP_001165939.1, XP_016843419.1, XP_032451623.1, XP_032451622.1, XP_008208821.1, XP_001599214.2, XP_032451621.1, XP_001603508.1, NP_001165940.1, XP_001599460.2, NP_001165997.1, NP_001165995.1, NP_001165996.1, XP_001599361.4, NP_001165998.1
OG0000008	NP_572981.1	XP_001602085.1
OG0000008	NP_572985.1	XP_008205990.2
OG0000008	NP_651466.1	XP_031788628.1
OG0000008	NP_572978.1, NP_572977.1	XP_003424681.1, XP_031782089.1, XP_016845733.1, XP_003427944.1, XP_003424536.2, XP_001602364.1, XP_016844951.1, XP_016843209.1
OG0000008	NP_001285251.1	XP_001602133.1
OG0000008	NP_001285249.1	XP_001600419.1
OG0000008	NP_572987.1	XP_032456689.1, XP_032456688.1, XP_001601943.1
OG0000009	NP_523850.1, NP_610820.1, NP_523645.1, NP_523646.1, NP_001350862.1, NP_650189.1	XP_032456865.1, NP_001166017.1, XP_031788634.1, XP_031788637.1, NP_001166016.1, XP_031788638.1, NP_001165945.1, NP_001166009.1, NP_001166010.1, XP_001608020.1, XP_001608016.1, NP_001166011.1, NP_001166012.1, XP_001603857.1, XP_001605061.4, NP_001166013.1, XP_003423799.1, XP_003423800.1, XP_003423798.1, NP_001165942.1, XP_001608022.1
OG0000012	NP_610673.1, NP_523692.1, NP_523691.1, NP_610674.5, NP_651732.1	XP_032452116.1, XP_032452115.1
OG0000012	NP_611479.2, NP_001027441.1, NP_001097340.1	XP_016838732.1
OG0000012	NP_001036717.1	NP_001166049.1, XP_032452528.1, XP_008205022.1, XP_008205021.1, XP_031781824.1, NP_001166051.1, XP_031778733.1, NP_001166074.1, XP_016836975.1, NP_001166093.1, XP_008204755.1, XP_016837090.2, NP_001155845.1, XP_001599663.2, XP_003425960.1, XP_001604966.2, NP_001166088.1, XP_001603672.1
OG0000013	NP_001027298.1, NP_001027294.1, NP_001027338.1	XP_001599179.2
OG0000013	NP_001027343.1, NP_001027289.1, NP_001027285.1	XP_001607608.3, XP_031777922.1, XP_031777921.1
OG0000013	NP_001027333.1	XP_008218130.1
OG0000013	NP_001259374.1	XP_001608166.1, XP_001608174.1
OG0000013	NP_001260082.1	XP_031778016.1
OG0000014	NP_001027290.1, NP_001027282.1, NP_001027369.1, NP_001027374.1, NP_001027379.1, NP_001027334.1, NP_001027286.1, NP_001027344.1, NP_001027349.1, NP_001027359.1, NP_001027354.1, NP_001027364.1, NP_001027329.1, NP_001027324.1, NP_001027319.1, NP_001027314.1, NP_001027384.1, NP_724341.1, NP_001027304.1, NP_001027309.1, NP_001027299.1, NP_001027295.1, NP_001027339.1	XP_031787726.1, XP_001608125.1
OG0000017	NP_001138040.1	NP_001165915.1, XP_031787492.1, XP_001600187.1
OG0000017	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1	NP_001165913.1, NP_001165914.1
OG0000018	NP_001262747.1, NP_609930.4, NP_995741.2, NP_650086.2, NP_001260823.1, NP_001245943.1, NP_001260548.1	XP_008214580.1
OG0000018	NP_001247286.1	XP_031784239.1, XP_032455220.1, XP_001603263.2, XP_001603558.2, XP_001603825.1
OG0000019	NP_001285811.1, NP_001260357.1, NP_609429.1, NP_001285807.1, NP_001285806.1, NP_001260356.1, NP_609419.1, NP_609420.1, NP_723607.1, NP_524667.1	XP_031783671.1
OG0000020	NP_001137799.1, NP_723441.2	XP_031778749.1, XP_031781856.1
OG0000020	NP_001259218.1	XP_016838656.1, XP_031778996.1
