GO.ID,Term,Annotated,Significant,Expected,classicFisher,classicFisherPadj
GO:0004601,peroxidase activity,23,12,0.42,8.5e-16,3.3575e-13
GO:0016684,"oxidoreductase activity, acting on perox...",24,12,0.44,1.7e-15,3.3575e-13
GO:0016209,antioxidant activity,33,13,0.6,5.1e-15,6.714999999999999e-13
GO:0061134,peptidase regulator activity,33,11,0.6,6.2e-12,6.1225e-10
GO:0004866,endopeptidase inhibitor activity,22,9,0.4,6.5e-11,5.134999999999999e-9
GO:0003724,RNA helicase activity,52,12,0.94,8.3e-11,5.4641666666666665e-9
GO:0061135,endopeptidase regulator activity,24,9,0.44,1.7e-10,9.592857142857143e-9
GO:0030414,peptidase inhibitor activity,26,9,0.47,3.8e-10,1.87625e-8
GO:0004175,endopeptidase activity,163,18,2.96,5.6e-10,2.457777777777778e-8
GO:0004252,serine-type endopeptidase activity,66,12,1.2,1.6e-9,6.32e-8
GO:0030246,carbohydrate binding,58,11,1.05,5e-9,1.7954545454545453e-7
GO:0004386,helicase activity,112,14,2.03,1.1e-8,3.620833333333333e-7
GO:0008236,serine-type peptidase activity,81,12,1.47,1.8e-8,5.078571428571428e-7
GO:0017171,serine hydrolase activity,81,12,1.47,1.8e-8,5.078571428571428e-7
GO:0016787,hydrolase activity,1279,48,23.21,1.2e-7,3.1599999999999994e-6
GO:0008233,peptidase activity,263,19,4.77,2.1e-7,5.184375e-6
GO:0004857,enzyme inhibitor activity,53,9,0.96,3.6e-7,8.36470588235294e-6
GO:0140098,"catalytic activity, acting on RNA",267,18,4.85,1.2e-6,2.633333333333333e-5
GO:0003824,catalytic activity,2912,78,52.84,3.3e-6,6.860526315789474e-5
GO:0004197,cysteine-type endopeptidase activity,29,6,0.53,1.1e-5,2.1725e-4
GO:0020037,heme binding,84,9,1.52,1.9e-5,3.573809523809524e-4
GO:0046906,tetrapyrrole binding,85,9,1.54,2.1e-5,3.770454545454545e-4
GO:0004519,endonuclease activity,71,8,1.29,3.8e-5,6.526086956521739e-4
GO:0005102,signaling receptor binding,199,13,3.61,5.8e-5,9.164e-4
GO:0016891,"endoribonuclease activity, producing 5'-...",24,5,0.44,5.8e-5,9.164e-4
