Orthogroup	Vespa_mandarinia	Bombyx_mori
OG0000001	XP_035732647.1, XP_035732646.1, XP_035732645.1, XP_035732533.1, XP_035732420.1, XP_035726105.1, XP_035737410.1, XP_035737418.1, XP_035737424.1	NP_001106226.1, NP_001266427.1, XP_012545238.2, NP_001073135.1, NP_001104007.1
OG0000001	XP_035734021.1, XP_035734020.1, XP_035734019.1	NP_001296520.1, NP_001266295.1
OG0000001	XP_035738421.1, XP_035741324.1	XP_037874444.1, XP_037874445.1, XP_037874443.1, XP_037874442.1, NP_001108340.1
OG0000003	XP_035731237.1, XP_035742199.1	XP_037870101.1, XP_021204964.2, XP_037875250.1, XP_037870130.1, XP_037870373.1, XP_037867208.1
OG0000004	XP_035735035.1, XP_035734136.1, XP_035734899.1, XP_035744268.1	XP_037866663.1, XP_037874920.1
OG0000004	XP_035737763.1, XP_035737762.1, XP_035742402.1, XP_035734902.1, XP_035739245.1	XP_037872760.1, XP_037868220.1, XP_037874112.1, XP_037871694.1
OG0000006	XP_035732062.1	XP_012548737.1, NP_001166607.1, NP_001116806.1, NP_001104829.1, NP_001091789.1, NP_001166603.1
OG0000006	XP_035740898.1	XP_012548049.2, NP_001155299.1, XP_037872108.1, NP_001104798.1, XP_037868147.1, XP_037868149.1, XP_012545176.2, NP_001166620.1, NP_001104819.1, XP_037873404.1, NP_001104832.2, NP_001091787.1
OG0000008	XP_035740079.1, XP_035736062.1, XP_035736014.1, XP_035739952.1, XP_035739953.1	XP_012548163.2
OG0000008	XP_035736007.1	XP_012548168.1
OG0000008	XP_035736200.1, XP_035736201.1, XP_035736202.1	XP_021205470.2
OG0000008	XP_035739950.1, XP_035739951.1, XP_035739948.1	XP_037872353.1, XP_012548164.1
OG0000009	XP_035722243.1, XP_035733996.1, XP_035722232.1, XP_035722233.1, XP_035722235.1, XP_035722241.1, XP_035722237.1, XP_035722240.1, XP_035722236.1, XP_035722238.1, XP_035722239.1	XP_037872543.1, NP_001095934.1, XP_037872544.1, NP_001103394.1, NP_001103404.1, NP_001077079.1, XP_021202508.2, NP_001108456.1
OG0000010	XP_035740330.1, XP_035741893.1, XP_035731225.1, XP_035742782.1, XP_035739222.1	XP_021208868.2, XP_037877292.1, XP_037870974.1, XP_037877378.1, XP_004925231.2, XP_037871371.1, XP_037869407.1, XP_037873430.1, XP_037874123.1, XP_037877306.1, XP_004922866.1, XP_037877604.1, XP_037877550.1, XP_037869235.1
OG0000012	XP_035733658.1	XP_021205514.2
OG0000012	XP_035729179.1	XP_012543999.1, NP_001037317.1
OG0000013	XP_035732971.1	XP_004933313.1
OG0000013	XP_035725915.1	NP_001040399.1
