Orthogroup	Anopheles_gambiae	Eufriesea_mexicana
OG0000001	XP_563971.3	XP_017758028.1, XP_017758027.1, XP_017758031.1, XP_017758026.1, XP_017757765.1, XP_017757760.1, XP_017757755.1, XP_017757759.1, XP_017757781.1, XP_017757757.1, XP_017757758.1, XP_017757797.1, XP_017757798.1, XP_017757795.1, XP_017757796.1, XP_017757799.1, XP_017757740.1, XP_017757764.1, XP_017757780.1, XP_017757738.1, XP_017759613.1, XP_017767083.1, XP_017759625.1
OG0000002	XP_317343.1	XP_017759720.1, XP_017759719.1, XP_017759718.1, XP_017759717.1, XP_017759746.1, XP_017759702.1, XP_017759703.1, XP_017759734.1, XP_017759707.1, XP_017759704.1, XP_017759700.1, XP_017759706.1, XP_017759708.1, XP_017759729.1, XP_017759714.1, XP_017759715.1, XP_017759716.1, XP_017759712.1, XP_017759730.1, XP_017759757.1, XP_017759752.1, XP_017759759.1, XP_017759710.1, XP_017759755.1, XP_017759744.1, XP_017759709.1, XP_017759756.1, XP_017759713.1
OG0000003	XP_001688581.1	XP_017759424.1
OG0000004	XP_310729.1	XP_017762744.1, XP_017762860.1
OG0000004	XP_320414.1	XP_017765503.1, XP_017759221.1, XP_017759096.1
OG0000005	XP_308124.5	XP_017763034.1, XP_017756505.1, XP_017756502.1, XP_017761859.1, XP_017760232.1, XP_017756229.1, XP_017765412.1, XP_017754456.1, XP_017761075.1
OG0000008	XP_310333.7	XP_017764283.1
OG0000008	XP_310338.7, XP_310337.6	XP_017764386.1
OG0000008	XP_312388.4, XP_312387.5	XP_017752288.1
OG0000008	XP_003436608.1, XP_003436609.1, XP_003436607.1	XP_017765710.1
OG0000008	XP_310332.7, XP_003436611.1	XP_017764163.1
OG0000008	XP_559558.6, XP_003436610.1	XP_017764510.1
OG0000008	XP_310340.1	XP_017764053.1, XP_017763974.1
OG0000009	XP_001689238.1, XP_001238278.2, XP_561320.5, XP_320243.1, XP_551896.3, XP_001238280.1, XP_316781.2	XP_017757841.1, XP_017757840.1, XP_017765586.1, XP_017758639.1, XP_017758640.1, XP_017758638.1, XP_017765620.1, XP_017758637.1
OG0000012	XP_317829.4	XP_017754921.1, XP_017754945.1
OG0000012	XP_554157.3, XP_319603.2, XP_317170.2, XP_317171.2, XP_317172.2, XP_555167.1, XP_317173.2, XP_317175.2, XP_317174.2, XP_318046.3, XP_319102.4, XP_001231167.2	XP_017754933.1
OG0000012	XP_321898.3, XP_001689374.2, XP_308888.1, XP_001689375.2, XP_001689376.2, XP_321901.4, XP_001238557.2	XP_017765063.1, XP_017765064.1, XP_017765060.1
OG0000013	XP_560604.5, XP_305996.3, XP_307081.3, XP_315130.3	XP_017764546.1
OG0000013	XP_307601.3	XP_017754146.1
OG0000013	XP_320335.2, XP_320336.2	XP_017760618.1
OG0000017	XP_562676.3	XP_017756243.1
OG0000017	XP_562680.2, XP_313048.1, XP_313052.1, XP_313050.3, XP_313049.1	XP_017756241.1, XP_017756242.1, XP_017756232.1
OG0000018	XP_316463.3, XP_557101.2	XP_017763433.1
OG0000018	XP_558678.4, XP_551022.4, XP_321300.4	XP_017760876.1, XP_017760875.1
OG0000018	XP_312930.5	XP_017760874.1, XP_017758049.1
OG0000019	XP_321444.5	XP_017758970.1
OG0000019	XP_003436388.1, XP_312768.5, XP_314084.4, XP_312606.4	XP_017757913.1
OG0000020	XP_554133.3	XP_017759430.1
OG0000020	XP_314903.3, XP_554132.3	XP_017758962.1, XP_017756685.1
OG0000020	XP_314904.3	XP_017759431.1
OG0000020	XP_001238085.2, XP_319101.4	XP_017763358.1
OG0000020	XP_315006.4	XP_017758008.1
