Orthogroup	Eufriesea_mexicana	Megalopta_genalis
OG0000001	XP_017757759.1, XP_017757755.1, XP_017757765.1, XP_017757760.1	XP_033326750.1, XP_033326752.1, XP_033326753.1, XP_033326751.1, XP_033326754.1, XP_033326755.1, XP_033326761.1, XP_033326760.1, XP_033326759.1, XP_033326756.1, XP_033326758.1
OG0000001	XP_017757738.1, XP_017757780.1	XP_033329018.1, XP_033329017.1, XP_033331299.1, XP_033331298.1, XP_033329019.1, XP_033329022.1
OG0000001	XP_017757799.1, XP_017757796.1, XP_017757795.1, XP_017757798.1, XP_017757797.1	XP_033323542.1
OG0000001	XP_017757764.1, XP_017757740.1	XP_033326763.1, XP_033326762.1
OG0000002	XP_017757739.1	XP_033337381.1, XP_033340639.1, XP_033340640.1, XP_033328756.1, XP_033333817.1, XP_033333818.1, XP_033322608.1, XP_033330931.1, XP_033330929.1, XP_033330930.1, XP_033322845.1, XP_033322222.1, XP_033334442.1, XP_033324606.1, XP_033328275.1, XP_033322035.1, XP_033341707.1, XP_033321306.1, XP_033330633.1
OG0000003	XP_017752640.1	XP_033331393.1
OG0000003	XP_017767748.1, XP_017755835.1	XP_033340902.1
OG0000003	XP_017765117.1	XP_033330636.1
OG0000006	XP_017760616.1	XP_033330794.1, XP_033330795.1, XP_033330796.1, XP_033330798.1
OG0000006	XP_017754146.1	XP_033328623.1
OG0000006	XP_017764546.1	XP_033328768.1
OG0000006	XP_017760618.1	XP_033328624.1
OG0000007	XP_017758952.1, XP_017765356.1, XP_017765413.1, XP_017759157.1, XP_017760963.1, XP_017760962.1, XP_017760967.1, XP_017760966.1, XP_017760964.1, XP_017753024.1	XP_033339129.1, XP_033339131.1, XP_033339132.1, XP_033339133.1, XP_033339140.1, XP_033328276.1, XP_033339130.1, XP_033339134.1, XP_033339139.1, XP_033339137.1, XP_033339287.1, XP_033339138.1
OG0000008	XP_017765153.1	XP_033333605.1, XP_033333606.1
OG0000008	XP_017754630.1	XP_033338815.1
OG0000008	XP_017759619.1, XP_017759620.1	XP_033322535.1
OG0000008	XP_017759621.1	XP_033322537.1
OG0000009	XP_017760325.1, XP_017760326.1, XP_017760327.1	XP_033323873.1
OG0000010	XP_017758034.1	XP_033339806.1
OG0000011	XP_017762097.1	XP_033332438.1, XP_033332435.1, XP_033332436.1
OG0000012	XP_017756205.1, XP_017756206.1, XP_017756207.1, XP_017756208.1, XP_017756209.1, XP_017756212.1, XP_017756211.1, XP_017756210.1	XP_033326361.1
OG0000013	XP_017766957.1	XP_033337658.1
OG0000014	XP_017754149.1	XP_033328773.1
OG0000014	XP_017764550.1	XP_033328969.1, XP_033328626.1, XP_033328627.1, XP_033328968.1
OG0000015	XP_017766522.1	XP_033332229.1, XP_033331540.1, XP_033331527.1, XP_033331543.1, XP_033331542.1, XP_033332230.1, XP_033332231.1, XP_033332235.1, XP_033331544.1, XP_033332227.1
OG0000017	XP_017764548.1	XP_033337165.1, XP_033337190.1, XP_033328772.1, XP_033328607.1, XP_033328578.1
OG0000017	XP_017761097.1	XP_033328493.1, XP_033328495.1
OG0000018	XP_017765545.1, XP_017765546.1, XP_017765543.1, XP_017765544.1, XP_017765541.1, XP_017765542.1, XP_017765540.1	XP_033339546.1, XP_033339550.1, XP_033339549.1, XP_033339548.1, XP_033339547.1
OG0000019	XP_017759439.1, XP_017759448.1	XP_033323692.1, XP_033323694.1, XP_033323690.1, XP_033323691.1, XP_033323688.1, XP_033323689.1, XP_033323686.1, XP_033323687.1
OG0000021	XP_017759127.1	XP_033332580.1, XP_033331103.1
OG0000021	XP_017765002.1, XP_017765495.1, XP_017765120.1, XP_017763841.1	XP_033320862.1
OG0000022	XP_017752524.1, XP_017752525.1, XP_017752522.1, XP_017752521.1, XP_017752519.1, XP_017752523.1	XP_033337897.1, XP_033337898.1, XP_033337899.1, XP_033337900.1, XP_033337901.1
OG0000023	XP_017762861.1, XP_017753050.1	XP_033334494.1, XP_033335543.1, XP_033339814.1, XP_033335211.1
OG0000023	XP_017757975.1, XP_017762901.1	XP_033342845.1
OG0000025	XP_017753605.1, XP_017753606.1, XP_017753607.1, XP_017753608.1, XP_017753604.1	XP_033325052.1, XP_033325051.1, XP_033325054.1, XP_033325053.1, XP_033325048.1, XP_033325047.1, XP_033325050.1, XP_033325049.1, XP_033325055.1
OG0000026	XP_017760518.1, XP_017760517.1, XP_017760519.1, XP_017760520.1, XP_017760522.1, XP_017760521.1, XP_017760524.1, XP_017760523.1	XP_033321452.1, XP_033321451.1, XP_033321450.1
OG0000027	XP_017753388.1	XP_033337252.1, XP_033337236.1, XP_033337245.1, XP_033337219.1, XP_033337227.1, XP_033337260.1
OG0000028	XP_017754494.1, XP_017754495.1	XP_033330647.1, XP_033330816.1, XP_033330486.1, XP_033330568.1, XP_033330405.1, XP_033330738.1, XP_033330319.1
OG0000029	XP_017760452.1, XP_017760451.1, XP_017760450.1, XP_017760449.1, XP_017760448.1	XP_033333520.1, XP_033333521.1
OG0000030	XP_017759130.1	XP_033332404.1
OG0000030	XP_017759129.1	XP_033323499.1, XP_033335180.1
