GO.ID,Term,Annotated,Significant,Expected,classicFisher,classicFisherPadj
GO:0004601,peroxidase activity,23,9,0.25,9.7e-13,1.9157499999999998e-10
GO:0016209,antioxidant activity,33,10,0.36,9.7e-13,1.9157499999999998e-10
GO:0016684,"oxidoreductase activity, acting on perox...",24,9,0.26,1.5e-12,1.975e-10
GO:0004252,serine-type endopeptidase activity,66,12,0.72,3.5e-12,3.45625e-10
GO:0003724,RNA helicase activity,52,11,0.57,5.2e-12,4.1079999999999997e-10
GO:0008236,serine-type peptidase activity,81,12,0.88,4.4e-11,2.482857142857143e-9
GO:0017171,serine hydrolase activity,81,12,0.88,4.4e-11,2.482857142857143e-9
GO:0004175,endopeptidase activity,163,15,1.78,1.5e-10,7.40625e-9
GO:0004386,helicase activity,112,12,1.22,2.1e-9,9.216666666666666e-8
GO:0030246,carbohydrate binding,58,9,0.63,9.3e-9,3.6735e-7
GO:0016787,hydrolase activity,1279,35,13.96,2.2e-8,7.899999999999998e-7
GO:0008233,peptidase activity,263,15,2.87,1.1e-7,3.620833333333333e-6
GO:0140098,"catalytic activity, acting on RNA",267,15,2.92,1.3e-7,3.9499999999999995e-6
GO:0003824,catalytic activity,2912,52,31.79,1.7e-6,4.7964285714285717e-5
GO:0016887,ATPase activity,294,12,3.21,6.9e-5,0.0018169999999999998
GO:0003723,RNA binding,615,18,6.71,7.7e-5,0.0019009375
GO:0016891,"endoribonuclease activity, producing 5'-...",24,4,0.26,1.2e-4,0.002788235294117647
GO:0020037,heme binding,84,6,0.92,2.9e-4,0.0063638888888888885
GO:0046906,tetrapyrrole binding,85,6,0.93,3.1e-4,0.0064447368421052635
GO:0016893,"endonuclease activity, active with eithe...",33,4,0.36,4.2e-4,0.008295
GO:0017111,nucleoside-triphosphatase activity,443,13,4.84,8.8e-4,0.016552380952380954
GO:0140096,"catalytic activity, acting on a protein",885,20,9.66,9.5e-4,0.01705681818181818
GO:0004519,endonuclease activity,71,5,0.78,0.00101,0.017345652173913047
GO:0003725,double-stranded RNA binding,20,3,0.22,0.00125,0.01918571428571429
GO:0004521,endoribonuclease activity,44,4,0.48,0.00128,0.01918571428571429
GO:0016462,pyrophosphatase activity,462,13,5.04,0.0013,0.01918571428571429
GO:0016817,"hydrolase activity, acting on acid anhyd...",464,13,5.07,0.00136,0.01918571428571429
GO:0016818,"hydrolase activity, acting on acid anhyd...",464,13,5.07,0.00136,0.01918571428571429
GO:0004197,cysteine-type endopeptidase activity,29,3,0.32,0.0037200000000000002,0.050668965517241385
GO:0016491,oxidoreductase activity,417,11,4.55,0.0052,0.06829677419354839
GO:0004540,ribonuclease activity,65,4,0.71,0.00536,0.06829677419354839
GO:0004518,nuclease activity,115,5,1.26,0.00819,0.10109531249999999
GO:0008234,cysteine-type peptidase activity,53,3,0.58,0.01981,0.231075
GO:0097367,carbohydrate derivative binding,927,17,10.12,0.01989,0.231075
GO:0004866,endopeptidase inhibitor activity,22,2,0.24,0.02359,0.2588347222222222
GO:0005507,copper ion binding,22,2,0.24,0.02359,0.2588347222222222
GO:0005524,ATP binding,661,13,7.22,0.02531,0.2702013513513513
GO:0061135,endopeptidase regulator activity,24,2,0.26,0.0278,0.2889736842105263
GO:0032559,adenyl ribonucleotide binding,676,13,7.38,0.02978,0.2890243902439024
GO:0019209,kinase activator activity,25,2,0.27,0.03,0.2890243902439024
GO:0030295,protein kinase activator activity,25,2,0.27,0.03,0.2890243902439024
GO:0030554,adenyl nucleotide binding,680,13,7.42,0.03106,0.2897863636363636
GO:0030414,peptidase inhibitor activity,26,2,0.28,0.03228,0.2897863636363636
GO:0061650,ubiquitin-like protein conjugating enzym...,26,2,0.28,0.03228,0.2897863636363636
GO:0003730,mRNA 3'-UTR binding,29,2,0.32,0.03949,0.34663444444444447
GO:0016798,"hydrolase activity, acting on glycosyl b...",72,3,0.79,0.04359,0.3743054347826087
GO:0003727,single-stranded RNA binding,32,2,0.35,0.04724,0.3970170212765957
GO:0140097,"catalytic activity, acting on DNA",127,4,1.39,0.04955,0.40257755102040815
GO:0061134,peptidase regulator activity,33,2,0.36,0.04994,0.40257755102040815
GO:0035639,purine ribonucleoside triphosphate bindi...,814,14,8.89,0.05495,0.434105
GO:0032555,purine ribonucleotide binding,829,14,9.05,0.0623,0.48251960784313724
GO:0017076,purine nucleotide binding,834,14,9.11,0.0649,0.49082407407407413
GO:0032553,ribonucleotide binding,837,14,9.14,0.06649,0.49082407407407413
GO:0043168,anion binding,1072,17,11.7,0.0671,0.49082407407407413
GO:0016779,nucleotidyltransferase activity,88,3,0.96,0.07101,0.5099809090909091
GO:0003676,nucleic acid binding,1377,20,15.03,0.0999,0.7046517857142858
GO:0003678,DNA helicase activity,53,2,0.58,0.11361,0.7606093220338983
GO:0004857,enzyme inhibitor activity,53,2,0.58,0.11361,0.7606093220338983
GO:1901981,phosphatidylinositol phosphate binding,53,2,0.58,0.11361,0.7606093220338983
GO:0019887,protein kinase regulator activity,55,2,0.6,0.12077,0.7950691666666666
GO:0042802,identical protein binding,176,4,1.92,0.12547,0.8124696721311475
GO:0042803,protein homodimerization activity,117,3,1.28,0.13533,0.85029921875
GO:0000166,nucleotide binding,940,14,10.26,0.13777,0.85029921875
GO:1901265,nucleoside phosphate binding,940,14,10.26,0.13777,0.85029921875
GO:0019207,kinase regulator activity,61,2,0.67,0.1429,0.8683923076923077
GO:0030546,signaling receptor activator activity,63,2,0.69,0.15045,0.9004204545454545
GO:0030545,receptor regulator activity,67,2,0.73,0.1658,0.9774776119402985
GO:0005102,signaling receptor binding,199,4,2.17,0.17193,0.9987110294117647
GO:0008094,DNA-dependent ATPase activity,74,2,0.81,0.19326,1
GO:0036094,small molecule binding,1016,14,11.09,0.21098,1
GO:0035091,phosphatidylinositol binding,79,2,0.86,0.21322,1
GO:0004520,endodeoxyribonuclease activity,23,1,0.25,0.22345,1
GO:0061631,ubiquitin conjugating enzyme activity,23,1,0.25,0.22345,1
GO:0097159,organic cyclic compound binding,2256,28,24.63,0.23631,1
GO:0008289,lipid binding,161,3,1.76,0.2569,1
GO:0019787,ubiquitin-like protein transferase activ...,169,3,1.85,0.28066,1
GO:0005539,glycosaminoglycan binding,31,1,0.34,0.28899,1
GO:0003729,mRNA binding,173,3,1.89,0.29263,1
GO:1901363,heterocyclic compound binding,2242,27,24.48,0.3042,1
GO:0030234,enzyme regulator activity,257,4,2.81,0.3082,1
GO:0004536,deoxyribonuclease activity,36,1,0.39,0.32715,1
GO:0031625,ubiquitin protein ligase binding,37,1,0.4,0.33453,1
GO:0044389,ubiquitin-like protein ligase binding,38,1,0.41,0.34184,1
GO:0008061,chitin binding,40,1,0.44,0.35621,1
GO:0005543,phospholipid binding,116,2,1.27,0.36255,1
GO:1901681,sulfur compound binding,42,1,0.46,0.37027,1
GO:0016788,"hydrolase activity, acting on ester bond...",378,5,4.13,0.39668,1
GO:0008047,enzyme activator activity,138,2,1.51,0.44703,1
GO:0046983,protein dimerization activity,252,3,2.75,0.52325,1
GO:0045182,translation regulator activity,86,1,0.94,0.61329,1
GO:0019901,protein kinase binding,90,1,0.98,0.63012,1
GO:0016772,"transferase activity, transferring phosp...",403,4,4.4,0.64933,1
GO:0019900,kinase binding,106,1,1.16,0.6905,1
GO:0005488,binding,4800,51,52.4,0.69241,1
GO:0046982,protein heterodimerization activity,112,1,1.22,0.71054,1
GO:0019899,enzyme binding,458,4,5,0.74633,1
GO:0003924,GTPase activity,133,1,1.45,0.77111,1
GO:0043167,ion binding,2106,20,22.99,0.81018,1
GO:0004674,protein serine/threonine kinase activity,152,1,1.66,0.81503,1
