GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005515	protein binding	784	139	124.59	0.00028	3e-05	0.03528	0.00378
GO:0004674	protein serine/threonine kinase activity	40	7	6.36	0.00488	0.00488	0.30744	0.164745
GO:0022836	gated channel activity	43	16	6.83	0.01138	0.00657	0.47796	0.16556400000000002
GO:0042578	phosphoric ester hydrolase activity	58	11	9.22	0.02558	0.80116	0.58674	1
GO:0140110	transcription regulator activity	112	22	17.8	0.02721	0.52071	0.58674	0.7541317241379311
GO:0019899	enzyme binding	42	6	6.67	0.02794	0.00523	0.58674	0.164745
GO:0003723	RNA binding	82	10	13.03	0.03431	0.03431	0.589995	0.35127
GO:0004672	protein kinase activity	129	30	20.5	0.03746	0.01302	0.589995	0.26424000000000003
GO:0004842	ubiquitin-protein transferase activity	39	2	6.2	0.04819	0.04819	0.6034254545454546	0.37949625
GO:0005543	phospholipid binding	23	4	3.65	0.05239	0.05239	0.6034254545454546	0.3883023529411765
GO:0008289	lipid binding	38	6	6.04	0.05268	0.01468	0.6034254545454546	0.26424000000000003
GO:0005085	guanyl-nucleotide exchange factor activity	32	3	5.09	0.06449	0.06449	0.6771450000000001	0.406287
GO:0046983	protein dimerization activity	35	11	5.56	0.08384	0.08384	0.8126030769230769	0.4503046153846154
GO:0005509	calcium ion binding	74	19	11.76	0.10532	0.10532	0.8148913043478261	0.4503046153846154
GO:0005524	ATP binding	271	47	43.06	0.11568	0.11568	0.8148913043478261	0.4503046153846154
GO:0015079	potassium ion transmembrane transporter activity	21	7	3.34	0.11918	0.11918	0.8148913043478261	0.4503046153846154
GO:0019842	vitamin binding	20	7	3.18	0.12441	0.12441	0.8148913043478261	0.4503046153846154
GO:0008270	zinc ion binding	108	17	17.16	0.12518	0.12518	0.8148913043478261	0.4503046153846154
GO:0097159	organic cyclic compound binding	693	108	110.13	0.12832	0.24349	0.8148913043478261	0.6015635294117647
GO:0015276	ligand-gated ion channel activity	24	7	3.81	0.13133	0.13133	0.8148913043478261	0.4503046153846154
GO:0016874	ligase activity	31	5	4.93	0.13619	0.13619	0.8148913043478261	0.4503046153846154
GO:0003712	transcription coregulator activity	22	5	3.5	0.14522	0.14522	0.8148913043478261	0.45744299999999993
GO:0008092	cytoskeletal protein binding	63	11	10.01	0.14875	0.10469	0.8148913043478261	0.4503046153846154
GO:0016773	phosphotransferase activity, alcohol group as acceptor	156	37	24.79	0.15740	0.09995	0.82635	0.4503046153846154
GO:1901363	heterocyclic compound binding	692	108	109.97	0.17127	0.26253	0.8632008	0.6361303846153845
GO:0005261	cation channel activity	40	11	6.36	0.18400	0.18400	0.8855000000000001	0.4965472340425532
GO:0016301	kinase activity	167	39	26.54	0.18975	0.05638	0.8855000000000001	0.39466
GO:0005216	ion channel activity	68	20	10.81	0.20683	0.03903	0.888888	0.35127
GO:0043565	sequence-specific DNA binding	40	10	6.36	0.21045	0.21045	0.888888	0.5411571428571429
GO:0019001	guanyl nucleotide binding	53	7	8.42	0.21164	0.27576	0.888888	0.6429511475409836
GO:0036094	small molecule binding	389	65	61.82	0.22095	0.17670	0.8980548387096774	0.4965472340425532
GO:0043168	anion binding	389	67	61.82	0.25489	0.03055	0.9841745454545454	0.35127
GO:0019787	ubiquitin-like protein transferase activity	40	2	6.36	0.25776	0.03695	0.9841745454545454	0.35127
GO:0038023	signaling receptor activity	77	17	12.24	0.27804	0.45582	1	0.7433515384615386
GO:0097367	carbohydrate derivative binding	344	55	54.67	0.28286	0.13938	1	0.4503046153846154
GO:0016817	hydrolase activity, acting on acid anhydrides	124	14	19.71	0.30418	0.51319	1	0.7541317241379311
GO:0008017	microtubule binding	23	5	3.65	0.30590	0.30590	1	0.6429511475409836
GO:0005525	GTP binding	52	6	8.26	0.30710	0.30710	1	0.6429511475409836
GO:0044877	protein-containing complex binding	20	3	3.18	0.31127	0.31127	1	0.6429511475409836
GO:0003779	actin binding	30	4	4.77	0.32089	0.32089	1	0.6430963636363637
