Orthogroup	Osmia_lignaria	Nasonia_vitripennis
OG0000000	XP_034179313.1	XP_031777452.1, XP_031781161.1, XP_032457929.1, XP_031777424.1
OG0000000	XP_034192368.1, XP_034194837.1, XP_034195324.1	XP_031781616.1
OG0000000	XP_034194536.1	XP_031779811.1, XP_031781320.1, XP_008214147.2
OG0000000	XP_034182478.1	XP_031777459.1
OG0000001	XP_034175979.1	NP_001166007.1, NP_001165974.1, NP_001166008.1, XP_001606687.2, XP_001607043.2, NP_001166004.1, NP_001166003.1, XP_001602787.1
OG0000001	XP_034183758.1, XP_034183757.1, XP_034177877.1, XP_034194603.1, XP_034194619.1, XP_034194593.1, XP_034194594.1, XP_034178693.1, XP_034178694.1, XP_034178695.1, XP_034178692.1, XP_034178691.1, XP_034178244.1, XP_034178676.1, XP_034194581.1, XP_034194582.1, XP_034194583.1, XP_034178690.1, XP_034178111.1, XP_034194601.1, XP_034178688.1, XP_034178687.1, XP_034178689.1, XP_034178696.1	NP_001166001.1, XP_031789348.1, NP_001165999.1, XP_031787437.1, XP_001604822.1, XP_031780875.1, XP_031780867.1, XP_032451660.1, XP_001603529.3, NP_001165939.1, XP_016843419.1
OG0000001	XP_034187550.1	XP_032451623.1, XP_032451622.1, XP_008208821.1, XP_001599214.2, XP_032451621.1
OG0000001	XP_034182179.1	XP_001603508.1, NP_001165940.1, XP_001599460.2
OG0000001	XP_034190826.1, XP_034190827.1	NP_001165997.1, NP_001165995.1, NP_001165996.1, XP_001599361.4, NP_001165998.1
OG0000002	XP_034171929.1	NP_001177429.1
OG0000002	XP_034171933.1, XP_034171931.1, XP_034170982.1	NP_001177432.1, NP_001177433.1, XP_032453629.1, NP_001177435.1, NP_001177467.1, NP_001177434.1
OG0000002	XP_034171014.1, XP_034171015.1, XP_034171927.1, XP_034170983.1, XP_034170985.1, XP_034170984.1, XP_034171930.1, XP_034171932.1, XP_034171011.1, XP_034171928.1, XP_034171012.1	NP_001177431.1
OG0000003	XP_034194163.1	XP_031789191.1
OG0000003	XP_034195049.1	XP_031781091.1, XP_031788338.1
OG0000003	XP_034195210.1, XP_034194824.1, XP_034194797.1, XP_034195117.1, XP_034195051.1, XP_034194543.1, XP_034195139.1, XP_034194986.1	XP_031777336.1, XP_016844563.1
OG0000003	XP_034194962.1	XP_031783110.1, XP_016844597.1
OG0000005	XP_034196431.1, XP_034175159.1, XP_034175160.1	XP_001604398.2
OG0000007	XP_034192555.1, XP_034194792.1, XP_034195128.1	XP_031778752.1
OG0000007	XP_034194211.1	XP_016843940.2, XP_016843176.1
OG0000008	XP_034185974.1	XP_001602085.1
OG0000008	XP_034185973.1	XP_008205990.2
OG0000008	XP_034181671.1	XP_031788628.1
OG0000008	XP_034185970.1	XP_003424681.1, XP_031782089.1, XP_016845733.1, XP_003427944.1, XP_003424536.2, XP_001602364.1, XP_016844951.1, XP_016843209.1
OG0000008	XP_034185983.1	XP_001602133.1
OG0000008	XP_034185979.1, XP_034185978.1	XP_001600419.1
OG0000008	XP_034185982.1, XP_034185981.1, XP_034185980.1	XP_032456689.1, XP_032456688.1, XP_001601943.1
OG0000009	XP_034180231.1, XP_034180230.1, XP_034180232.1	XP_032456865.1, NP_001166017.1, XP_031788634.1, XP_031788637.1, NP_001166016.1, XP_031788638.1, NP_001165945.1
OG0000009	XP_034195958.1, XP_034180228.1, XP_034180226.1, XP_034180498.1, XP_034180227.1	NP_001166009.1, NP_001166010.1, XP_001608020.1, XP_001608016.1, NP_001166011.1, NP_001166012.1, XP_001603857.1, XP_001605061.4, NP_001166013.1, XP_003423799.1, XP_003423800.1, XP_003423798.1, NP_001165942.1, XP_001608022.1
OG0000012	XP_034195538.1	XP_016838732.1
OG0000012	XP_034193627.1	NP_001166049.1, XP_032452528.1
OG0000012	XP_034193628.1	XP_008205022.1, XP_008205021.1, XP_031781824.1, NP_001166051.1, XP_031778733.1, NP_001166074.1
OG0000012	XP_034193625.1	XP_001603672.1
OG0000013	XP_034195020.1	XP_001599179.2
OG0000013	XP_034173427.1	XP_031777922.1
OG0000013	XP_034171174.1	XP_031777921.1
OG0000013	XP_034191426.1	XP_001608166.1, XP_001608174.1
OG0000015	XP_034195318.1, XP_034194991.1	XP_031778316.1, XP_031789010.1, XP_008202049.2, XP_031779863.1, XP_031788347.1
OG0000015	XP_034194842.1, XP_034195186.1	XP_008212376.1, XP_031789009.1, XP_031788343.1, XP_032458064.1, XP_031789178.1, XP_008202508.2
OG0000015	XP_034195038.1, XP_034194992.1, XP_034195335.1, XP_034194993.1, XP_034195336.1, XP_034195047.1, XP_034195037.1	XP_016843648.1
OG0000017	XP_034178985.1, XP_034178984.1	NP_001165914.1
OG0000018	XP_034175482.1	XP_008214580.1
OG0000018	XP_034193265.1, XP_034193266.1, XP_034193267.1, XP_034193268.1	XP_001604347.2
OG0000018	XP_034193261.1	XP_031784239.1
OG0000018	XP_034193695.1, XP_034193694.1	XP_032455220.1, XP_001603263.2, XP_001603558.2, XP_001603825.1
OG0000019	XP_034176014.1	XP_032454031.1, XP_008206500.1, XP_032457652.1, XP_031776844.1
OG0000019	XP_034185020.1	XP_016841509.1, XP_031783474.1, XP_003424417.1
OG0000019	XP_034185441.1	XP_031783671.1
OG0000020	XP_034171877.1	XP_031781856.1
OG0000021	XP_034193153.1	XP_031782052.1, XP_008203719.1
OG0000021	XP_034176195.1, XP_034176197.1, XP_034176196.1	XP_001603725.1
OG0000021	XP_034184869.1	XP_001601834.2
OG0000021	XP_034181343.1	XP_008201868.1
OG0000022	XP_034187482.1	XP_016836664.1, XP_031778026.1, XP_001607891.1, XP_001599199.1, XP_001599641.1, XP_001607931.1, XP_001608227.1, XP_031778029.1, XP_031778028.1, XP_031787981.1, XP_031787980.1, XP_001599883.1, XP_001603712.1, XP_001607947.1, XP_001607826.1, XP_032456654.1, XP_008202870.1, XP_001607717.1, XP_016843625.1, XP_001606447.1, XP_001600014.1
OG0000024	XP_034183501.1, XP_034183524.1, XP_034183512.1	XP_001604944.4
OG0000024	XP_034173678.1	XP_001599160.3
OG0000024	XP_034193921.1	XP_008216554.1
OG0000024	XP_034193919.1	NP_001166221.1
OG0000026	XP_034194425.1	XP_032452024.1
OG0000026	XP_034181081.1	XP_008204831.1
OG0000026	XP_034179246.1	XP_008210347.1, XP_016840213.1, XP_016840212.1, XP_031782078.1, XP_031782077.1, XP_031782079.1
OG0000026	XP_034195801.1	XP_001599637.2
OG0000026	XP_034196365.1	XP_001599666.2
OG0000027	XP_034174017.1	XP_001599220.1
OG0000027	XP_034172344.1, XP_034173947.1, XP_034172482.1	XP_001599471.2
OG0000027	XP_034173430.1	XP_001607894.1, XP_031777925.1, XP_031777924.1, XP_001599832.1, XP_001600560.1, XP_031785593.1, XP_031785592.1
OG0000028	XP_034194686.1	XP_031789120.1, XP_031783906.1
OG0000028	XP_034195148.1, XP_034195155.1	XP_031777412.1, XP_031788715.1, XP_008212990.1, XP_008211073.1
OG0000028	XP_034192183.1	XP_031783222.1
OG0000029	XP_034181406.1, XP_034181408.1	XP_031787434.1, NP_001166269.1, NP_001166268.1, NP_001166270.1, NP_001166276.1, NP_001166277.1, XP_032455898.1, NP_001153407.1, NP_001161335.1
OG0000029	XP_034187040.1	NP_001166265.1
OG0000029	XP_034181507.1	NP_001166272.1
OG0000030	XP_034183201.1	XP_031776890.1, XP_032457890.1, XP_001600309.1, XP_031776892.1, XP_008217013.1
OG0000032	XP_034196186.1	XP_001600583.1
OG0000032	XP_034191636.1	XP_031787250.1
OG0000032	XP_034177599.1, XP_034177331.1	NP_001164368.1
OG0000032	XP_034185955.1	XP_003426142.1, XP_016840393.1, NP_001164369.1
OG0000033	XP_034192173.1	XP_031788710.1, XP_008205139.1
OG0000034	XP_034176024.1, XP_034175225.1, XP_034175224.1, XP_034178174.1, XP_034176023.1	NP_001177542.1, XP_008213309.1, XP_016845719.1, NP_001177541.1, XP_031778221.1, NP_001177544.1, NP_001177545.1, NP_001177540.1, XP_032451687.1, NP_001177537.1, NP_001177539.1, XP_008214845.1, NP_001177640.2, NP_001177696.1, NP_001177538.1, NP_001177543.1, XP_008202544.1, NP_001164404.1, NP_001177548.1, NP_001177547.1, XP_032452241.1, NP_001177546.1, XP_031778374.1, NP_001177701.1, NP_001177700.1, XP_031789456.1, XP_031789459.1, NP_001177549.1
OG0000035	XP_034174457.1	XP_016838618.1, XP_032453168.1, XP_031780251.1, XP_008204964.1
OG0000036	XP_034179599.1, XP_034179598.1, XP_034186699.1, XP_034186700.1	XP_001607369.1, XP_031776621.1, XP_032451907.1, XP_032451908.1, XP_008215341.1, NP_001155022.1, XP_031776641.1, XP_003423856.1, XP_032451911.1, XP_016845877.1, XP_008215340.1
OG0000037	XP_034181170.1	XP_008216622.1, XP_008216623.1
OG0000038	XP_034191028.1, XP_034195488.1	XP_001607699.1, XP_001604160.1
OG0000038	XP_034193717.1	XP_031786847.1, XP_032452100.1
OG0000039	XP_034194957.1, XP_034195325.1, XP_034194031.1, XP_034195223.1	XP_031778424.1
OG0000040	XP_034170811.1, XP_034170810.1, XP_034170809.1	XP_001607871.2, XP_031788471.1, XP_031783595.1, XP_032452313.1, XP_032456102.1, XP_016837475.1, XP_016836866.1, NP_001166253.1, XP_032457056.1, NP_001166073.1
OG0000041	XP_034174489.1, XP_034174481.1	XP_032453601.1, NP_001157191.1, NP_001157192.1
OG0000041	XP_034183063.1	XP_001600960.1
OG0000041	XP_034183066.1	XP_001601342.1
OG0000041	XP_034186914.1	XP_001601504.1, XP_016845814.1
OG0000042	XP_034173998.1	XP_008205137.1, XP_008205135.1, XP_008205136.1
OG0000042	XP_034187660.1	XP_001607893.1
OG0000043	XP_034173650.1	XP_008208463.1
OG0000044	XP_034185423.1, XP_034185424.1	XP_031787739.1
OG0000044	XP_034185647.1, XP_034185650.1, XP_034185648.1	XP_031788192.1
OG0000045	XP_034196329.1, XP_034196330.1	XP_001604688.1, XP_001604507.3, XP_001604459.1
OG0000045	XP_034181260.1	NP_001153339.1, NP_001153340.1
OG0000045	XP_034177285.1, XP_034177286.1	XP_032454987.1, XP_031784367.1
OG0000046	XP_034194263.1	XP_001604460.2
OG0000046	XP_034188783.1	XP_032452163.1, NP_001166228.1
OG0000046	XP_034179386.1	XP_001608044.1
OG0000048	XP_034180854.1	XP_016841096.1
OG0000049	XP_034194850.1, XP_034195011.1, XP_034194963.1, XP_034194789.1, XP_034192558.1, XP_034195077.1	XP_031781770.1, XP_031777956.1
OG0000050	XP_034183260.1	XP_008216259.1, XP_001608200.1
OG0000052	XP_034186731.1, XP_034194880.1	XP_031779680.1, XP_016838631.1
OG0000052	XP_034191839.1	XP_031779622.1, XP_003428054.1, XP_031776989.1, XP_001601084.2, XP_001602124.1, XP_016837116.1, XP_001602148.2, XP_001600160.2, XP_016838653.2, XP_008207931.1, XP_001602097.1, XP_031778518.1, XP_032452509.1, XP_016838309.1, XP_031778517.1, XP_031778516.1, XP_001600185.1, XP_001602071.1
OG0000052	XP_034176227.1	XP_001602874.2
OG0000054	XP_034176647.1	XP_031780340.1, XP_031779198.1, NP_001166267.1, XP_032453034.1
OG0000054	XP_034176640.1, XP_034176646.1	XP_016837121.1, XP_001602743.1, NP_001161317.1, XP_031780215.1, XP_031780249.1, XP_001602894.2
OG0000055	XP_034185035.1, XP_034185036.1, XP_034185034.1, XP_034185037.1	XP_001602853.1
OG0000055	XP_034178359.1	XP_008215920.1
OG0000055	XP_034173748.1, XP_034173749.1, XP_034173750.1	XP_032454549.1
OG0000055	XP_034190706.1	XP_001600035.1, XP_008208159.3
OG0000056	XP_034195921.1	XP_031780252.1
OG0000056	XP_034174982.1	XP_001604931.2
OG0000056	XP_034181068.1	XP_008202999.3
OG0000056	XP_034195945.1	XP_008204847.1
OG0000056	XP_034176871.1	XP_032455826.1
OG0000056	XP_034175501.1, XP_034175497.1	XP_031784842.1
OG0000057	XP_034187515.1	XP_031785452.1
OG0000057	XP_034180852.1	XP_001602360.1
OG0000057	XP_034187514.1	XP_003427519.1
OG0000057	XP_034187518.1	XP_001600234.1, XP_001606290.1
OG0000058	XP_034179634.1, XP_034196442.1, XP_034179608.1, XP_034196577.1, XP_034179620.1, XP_034191910.1, XP_034196053.1	NP_001177491.1
OG0000060	XP_034191137.1	XP_031784439.1, XP_031784422.1, XP_031784431.1
OG0000060	XP_034187152.1, XP_034187149.1, XP_034187153.1, XP_034187150.1, XP_034187148.1, XP_034187151.1	XP_008205703.1, XP_016845553.1, XP_016845554.1, XP_016845551.1, XP_016845552.1
OG0000061	XP_034172253.1	XP_031786737.1, NP_001164380.1
OG0000062	XP_034196475.1	XP_003425371.1
OG0000062	XP_034196526.1	XP_032453005.1, XP_001604985.1
OG0000062	XP_034196469.1	XP_003425370.1
OG0000062	XP_034196470.1	XP_001605148.1
OG0000062	XP_034196468.1, XP_034170830.1	XP_008202211.1
OG0000063	XP_034194193.1	XP_031784373.1
OG0000065	XP_034186031.1, XP_034186030.1, XP_034186029.1, XP_034186032.1	XP_001606156.1, XP_016836539.1, XP_016836538.1, XP_016836540.1, XP_008215330.1, XP_008215325.1, XP_008215326.1
OG0000065	XP_034186028.1	XP_032454719.1, XP_032453000.1, XP_008205745.1, XP_031776818.1, XP_001607018.2
OG0000066	XP_034194561.1	XP_031784236.1, XP_031781387.2, XP_016843120.1, XP_031784228.1
OG0000067	XP_034188060.1	XP_001605420.2
OG0000067	XP_034176568.1	XP_031788440.1
OG0000067	XP_034180395.1, XP_034180397.1	XP_031782248.1
OG0000067	XP_034192090.1	XP_008209138.1
