Orthogroup	Vespa_mandarinia	Apis_mellifera
OG0000001	XP_035720574.1	XP_624795.3, XP_026302253.1, XP_016772837.1
OG0000001	XP_035726105.1	XP_623362.3
OG0000001	XP_035737410.1, XP_035737418.1, XP_035737424.1	XP_026300534.1, NP_001352129.1, NP_001352128.1, XP_026300533.1, XP_026300532.1, XP_026300343.1, NP_001035324.1, XP_006565062.2, XP_397347.4, XP_026300531.1, XP_623595.1, NP_001352068.1, XP_006565077.1, XP_026300601.1, XP_006565076.1, NP_001352069.1, XP_026300602.1, XP_026300530.1, XP_016771320.1, XP_026300535.1, XP_395671.3
OG0000001	XP_035734021.1, XP_035734020.1, XP_035734019.1	XP_026296210.1
OG0000001	XP_035738421.1	XP_006564499.3
OG0000002	XP_035737286.1, XP_035737171.1, XP_035737322.1, XP_035737321.1	NP_001229891.1, NP_001229890.1, NP_001229892.1, NP_001229889.1, XP_006565945.1, XP_016773520.1, XP_016773523.1, NP_001229894.1, XP_026302135.1, NP_001229893.1, XP_026302134.1, NP_001229888.1, XP_006565941.2, XP_006565943.1, NP_001229887.1, XP_003250767.2, XP_026294956.1
OG0000002	XP_035737326.1	XP_003250769.3, XP_026294905.1, XP_026294912.1
OG0000002	XP_035737177.1	XP_006565883.2, NP_001229910.1, XP_026294765.1, NP_001229909.1, XP_006572517.1, NP_001229911.1, XP_016773537.1, XP_016773528.1, XP_016773529.1, XP_006565970.2
OG0000002	XP_035737160.1, XP_035737224.1	NP_001229907.1, NP_001229906.1, NP_001229905.1, XP_026302143.1
OG0000002	XP_035737208.1	NP_001229900.1
OG0000002	XP_035737170.1	NP_001229895.1, XP_003250726.1
OG0000002	XP_035737172.1, XP_035737325.1, XP_035737203.1	XP_016773538.1, XP_003250765.1, XP_006565948.1, XP_001121659.1, XP_006565947.2, NP_001229896.1, XP_016773454.2, XP_006565887.1, NP_001229899.1
OG0000002	XP_035737210.1	NP_001229898.1, XP_026294907.1, XP_026294903.1, XP_016773531.1, XP_016773532.1, XP_001121864.2, NP_001229904.1, XP_026302131.1, XP_006565964.1, XP_026294957.1, XP_016773539.1, NP_001229902.1, XP_003250750.1, XP_003250751.1, XP_006565958.1, XP_016773535.1, XP_006565962.1, XP_026294766.1, XP_003250754.2, XP_016773534.1, XP_006565886.1, NP_001229901.1, XP_006565953.2, NP_001229897.1
OG0000004	XP_035742402.1	XP_006572180.1
OG0000006	XP_035718467.1	XP_016771362.2
OG0000006	XP_035718471.1, XP_035718468.1, XP_035718469.1, XP_035718470.1	XP_026300578.1
OG0000006	XP_035740898.1	XP_003250826.2
OG0000008	XP_035740079.1, XP_035736062.1, XP_035736014.1, XP_035739952.1, XP_035739953.1	XP_006565046.2
OG0000008	XP_035736200.1, XP_035736201.1, XP_035736202.1	XP_003250567.1
OG0000008	XP_035739950.1, XP_035739951.1, XP_035739948.1	XP_016769477.1
OG0000009	XP_035722243.1	XP_006562365.2
OG0000009	XP_035722232.1, XP_035722233.1, XP_035722235.1, XP_035722241.1, XP_035722237.1, XP_035722240.1, XP_035722236.1, XP_035722238.1, XP_035722239.1	XP_006562363.1, XP_006562364.1, XP_392000.1, XP_026300962.1
OG0000012	XP_035733658.1	XP_026298215.1
OG0000012	XP_035729179.1	XP_026297101.1, XP_026297165.1
OG0000012	XP_035731128.1	XP_026301256.1
OG0000012	XP_035731058.1, XP_035731059.1	XP_016772201.1, XP_016772200.1
OG0000013	XP_035732971.1	XP_001120132.1
OG0000013	XP_035725915.1	XP_006570899.1
OG0000013	XP_035732323.1	XP_624499.1
OG0000014	XP_035717855.1, XP_035725913.1, XP_035733113.1, XP_035733114.1, XP_035733115.1, XP_035735278.1	XP_003251627.1, XP_006570861.2
OG0000017	XP_035728385.1	XP_006563394.1, NP_001171499.1
