GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005515	protein binding	2548	316	280.68	8.6e-09	3.0e-10	7.051999999999999e-7	2.46e-8
GO:0046872	metal ion binding	1102	143	121.39	2.3e-07	3.8e-05	9.43e-6	7.790000000000001e-4
GO:0005102	signaling receptor binding	197	42	21.7	1.3e-05	1.3e-05	3.553333333333333e-4	5.329999999999999e-4
GO:0098772	molecular function regulator	834	130	91.87	4.7e-05	0.00063	9.635e-4	0.00861
GO:0031267	small GTPase binding	150	22	16.52	0.0026	0.00257	0.04264	0.026165454545454544
GO:0022890	inorganic cation transmembrane transporter activity	207	29	22.8	0.0135	0.01347	0.1845	0.05973052631578948
GO:0004672	protein kinase activity	175	18	19.28	0.0164	0.01636	0.1921142857142857	0.06610761904761905
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	170	23	18.73	0.0246	0.02463	0.25215	0.09180272727272726
GO:0003682	chromatin binding	169	26	18.62	0.0330	0.03304	0.3006666666666667	0.11779478260869565
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	265	36	29.19	0.0462	0.04622	0.3503636363636363	0.1306910344827586
GO:0022857	transmembrane transporter activity	413	64	45.5	0.0470	0.00351	0.3503636363636363	0.026165454545454544
GO:0005524	ATP binding	597	70	65.76	0.0576	0.05759	0.39359999999999995	0.14252055555555554
GO:0003700	DNA-binding transcription factor activity	343	54	37.78	0.0630	0.01266	0.3973846153846154	0.05973052631578948
GO:0097367	carbohydrate derivative binding	838	91	92.31	0.0816	0.04511	0.47794285714285717	0.1306910344827586
GO:0044877	protein-containing complex binding	226	30	24.9	0.0951	0.09511	0.49875294117647057	0.1813725581395349
GO:0038023	signaling receptor activity	209	29	23.02	0.1009	0.07860	0.49875294117647057	0.16113
GO:0022804	active transmembrane transporter activity	157	26	17.29	0.1034	0.10343	0.49875294117647057	0.19275590909090906
GO:1990837	sequence-specific double-stranded DNA binding	319	46	35.14	0.1120	0.01384	0.5019263157894737	0.05973052631578948
GO:0043565	sequence-specific DNA binding	383	52	42.19	0.1163	0.00751	0.5019263157894737	0.042968000000000006
GO:0015075	ion transmembrane transporter activity	313	45	34.48	0.1316	0.00324	0.5388571428571429	0.026165454545454544
GO:0000976	transcription regulatory region sequence-specific DNA binding	299	44	32.94	0.1380	0.03946	0.5388571428571429	0.1306910344827586
GO:0046914	transition metal ion binding	379	42	41.75	0.1513	0.41917	0.5466666666666666	0.5455863492063492
GO:0008092	cytoskeletal protein binding	275	32	30.29	0.1595	0.15949	0.5466666666666666	0.2624492
GO:0008134	transcription factor binding	159	23	17.52	0.1600	0.16003	0.5466666666666666	0.2624492
GO:0042802	identical protein binding	160	21	17.63	0.1866	0.18660	0.56826	0.2833555555555555
GO:1901363	heterocyclic compound binding	2043	237	225.05	0.1944	0.15135	0.56826	0.25855625
GO:0015318	inorganic molecular entity transmembrane transporter activity	284	39	31.29	0.1947	0.00548	0.56826	0.03744666666666666
GO:0000987	cis-regulatory region sequence-specific DNA binding	180	25	19.83	0.2037	0.01029	0.56826	0.052736250000000005
GO:0003677	DNA binding	675	89	74.36	0.2066	0.07256	0.56826	0.15657684210526315
GO:0140098	catalytic activity, acting on RNA	226	18	24.9	0.2079	0.20787	0.56826	0.30991527272727276
GO:0004888	transmembrane signaling receptor activity	169	26	18.62	0.2377	0.23768	0.6130121212121212	0.34192561403508775
GO:0032553	ribonucleotide binding	754	78	83.06	0.2425	0.05295	0.6130121212121212	0.14006129032258063
GO:0016887	ATPase activity	260	25	28.64	0.2467	0.24667	0.6130121212121212	0.3487403448275862
GO:0043169	cation binding	1115	146	122.83	0.2679	2.9e-05	0.6345888888888889	7.790000000000001e-4
GO:0019899	enzyme binding	426	56	46.93	0.2724	0.04074	0.6345888888888889	0.1306910344827586
GO:0097159	organic cyclic compound binding	2055	238	226.38	0.2786	0.14734	0.6345888888888889	0.2570612765957447
GO:0008324	cation transmembrane transporter activity	217	31	23.9	0.2892	0.00786	0.6372871794871795	0.042968000000000006
GO:0005215	transporter activity	451	69	49.68	0.3020	0.00739	0.6372871794871795	0.042968000000000006
GO:0140110	transcription regulator activity	466	74	51.33	0.3031	0.05053	0.6372871794871795	0.13811533333333334
GO:0003729	mRNA binding	161	23	17.74	0.3169	0.31689	0.649645	0.41911258064516127
GO:0016787	hydrolase activity	1142	101	125.8	0.4044	0.80143	0.8088	0.9002364383561644
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	257	34	28.31	0.4347	0.08690	0.8096133333333333	0.16966190476190476
GO:0043168	anion binding	972	109	107.07	0.4381	0.16497	0.8096133333333333	0.2652458823529412
GO:0001882	nucleoside binding	150	8	16.52	0.4428	0.44277	0.8096133333333333	0.5672990625
GO:0017076	purine nucleotide binding	753	78	82.95	0.4443	0.06554	0.8096133333333333	0.14525081081081082
GO:0036094	small molecule binding	912	95	100.46	0.4566	0.14212	0.8139391304347826	0.25334434782608695
GO:0003824	catalytic activity	2618	258	288.4	0.4879	0.88605	0.8512297872340426	0.9687479999999999
GO:0035639	purine ribonucleoside triphosphate binding	735	77	80.97	0.5342	0.06257	0.877078431372549	0.14252055555555554
GO:0051020	GTPase binding	171	26	18.84	0.5385	0.00345	0.877078431372549	0.026165454545454544
GO:0032561	guanyl ribonucleotide binding	150	7	16.52	0.5394	0.53937	0.877078431372549	0.6601244776119403
GO:0030554	adenyl nucleotide binding	614	71	67.64	0.5455	0.06166	0.877078431372549	0.14252055555555554
GO:0017111	nucleoside-triphosphatase activity	391	32	43.07	0.5692	0.23749	0.8933358490566039	0.34192561403508775
GO:0016788	hydrolase activity, acting on ester bonds	347	36	38.23	0.5774	0.87606	0.8933358490566039	0.9687479999999999
GO:0046983	protein dimerization activity	249	28	27.43	0.6096	0.60957	0.925688888888889	0.7350697058823529
GO:0016772	transferase activity, transferring phosphorus-containing groups	350	31	38.56	0.6511	0.12831	0.9707309090909091	0.23380933333333334
GO:0003690	double-stranded DNA binding	347	49	38.23	0.6684	0.01693	0.9787285714285714	0.06610761904761905
GO:0016491	oxidoreductase activity	381	46	41.97	0.6959	0.69595	1	0.8270710144927536
GO:0042578	phosphoric ester hydrolase activity	151	16	16.63	0.7133	0.71326	1	0.8355331428571429
GO:0008270	zinc ion binding	274	24	30.18	0.7248	0.72481	1	0.8371045070422535
GO:0001067	regulatory region nucleic acid binding	300	44	33.05	0.7418	0.04557	1	0.1306910344827586
GO:0030234	enzyme regulator activity	230	30	25.34	0.7538	0.75383	1	0.8585286111111111
GO:0032559	adenyl ribonucleotide binding	611	70	67.31	0.7891	0.05537	1	0.14188562500000002
GO:0016462	pyrophosphatase activity	407	32	44.83	0.7990	0.26576	1	0.3572511475409836
GO:0003676	nucleic acid binding	1262	143	139.02	0.8199	0.53375	1	0.6601244776119403
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	408	32	44.94	0.8244	0.26202	1	0.3572511475409836
GO:0016301	kinase activity	271	28	29.85	0.8452	0.04423	1	0.1306910344827586
GO:0140096	catalytic activity, acting on a protein	798	68	87.91	0.8738	0.99765	1	1
GO:0005488	binding	4385	507	483.05	0.9095	7.9e-05	1	0.0012955999999999998
GO:0019787	ubiquitin-like protein transferase activity	159	11	17.52	0.9344	0.93442	1	0.9950966233766233
GO:0016773	phosphotransferase activity, alcohol group as acceptor	221	22	24.35	0.9443	0.08188	1	0.16376
GO:0016740	transferase activity	972	87	107.07	0.9449	0.90388	1	0.9752389473684211
GO:0005198	structural molecule activity	279	20	30.73	0.9627	0.96273	1	1
GO:0000166	nucleotide binding	841	87	92.64	0.9731	0.17854	1	0.2762316981132076
GO:0003723	RNA binding	545	54	60.04	0.9773	0.98455	1	1
GO:0008233	peptidase activity	232	17	25.56	0.9857	0.98575	1	1
GO:0019001	guanyl nucleotide binding	150	7	16.52	1.0000	0.53937	1	0.6601244776119403
GO:0016817	hydrolase activity, acting on acid anhydrides	408	32	44.94	1.0000	0.26202	1	0.3572511475409836
GO:0043167	ion binding	1901	225	209.41	1.0000	0.00208	1	0.024365714285714282
GO:1901265	nucleoside phosphate binding	841	87	92.64	1.0000	0.17854	1	0.2762316981132076
GO:0032555	purine ribonucleotide binding	749	77	82.51	1.0000	0.06103	1	0.14252055555555554
GO:0060089	molecular transducer activity	209	29	23.02	1.0000	0.07860	1	0.16113
GO:0003674	molecular_function	6182	681	681	1.0000	1.00000	1	1
