GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0006468	protein phosphorylation	210	50	34.35	0.00047	0.00062	0.35048875	0.011494473684210527
GO:0006650	glycerophospholipid metabolic process	52	12	8.51	0.00095	0.47735	0.35048875	0.6169719926873858
GO:0045214	sarcomere organization	28	7	4.58	0.00101	0.00101	0.35048875	0.01635735632183908
GO:0030010	establishment of cell polarity	32	7	5.23	0.00121	0.00121	0.35048875	0.01853141304347826
GO:0045880	positive regulation of smoothened signaling pathway	24	7	3.93	0.00136	0.00136	0.35048875	0.01925168316831683
GO:0030036	actin cytoskeleton organization	172	31	28.13	0.00184	1.7e-07	0.35048875	5.9882499999999995e-5
GO:0071310	cellular response to organic substance	161	31	26.33	0.00205	0.01110	0.35048875	0.06421344262295081
GO:0042058	regulation of epidermal growth factor receptor signaling pathway	25	10	4.09	0.00210	0.00210	0.35048875	0.02445371900826446
GO:0051293	establishment of spindle localization	23	6	3.76	0.00244	0.00244	0.35048875	0.026650852713178293
GO:0045475	locomotor rhythm	43	14	7.03	0.00253	0.00253	0.35048875	0.027421307692307696
GO:0007163	establishment or maintenance of cell polarity	112	25	18.32	0.00284	5.4e-06	0.35048875	5.852769230769231e-4
GO:0016477	cell migration	167	36	27.32	0.00300	0.00598	0.35048875	0.04778005586592179
GO:0050803	regulation of synapse structure or activity	116	28	18.97	0.00362	9.9e-06	0.35048875	7.045e-4
GO:0022407	regulation of cell-cell adhesion	21	7	3.43	0.00462	0.00462	0.35048875	0.04199729032258064
GO:0043297	apical junction assembly	22	9	3.6	0.00473	0.00473	0.35048875	0.04235917721518988
GO:0030866	cortical actin cytoskeleton organization	31	6	5.07	0.00473	0.00473	0.35048875	0.04235917721518988
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	44	6	7.2	0.00497	0.00497	0.35048875	0.043495217391304346
GO:0016197	endosomal transport	50	5	8.18	0.00525	0.00283	0.35048875	0.029319632352941175
GO:0009416	response to light stimulus	52	17	8.51	0.00539	0.02682	0.35048875	0.10735619318181819
GO:0051494	negative regulation of cytoskeleton organization	23	9	3.76	0.00548	0.00548	0.35048875	0.045960238095238096
GO:1902532	negative regulation of intracellular signal transduction	64	17	10.47	0.00552	0.00202	0.35048875	0.02391747899159664
GO:0009636	response to toxic substance	32	6	5.23	0.00553	0.68419	0.35048875	0.7882010358890702
GO:0070507	regulation of microtubule cytoskeleton organization	30	12	4.91	0.00578	0.00578	0.35048875	0.046939828571428574
GO:0007405	neuroblast proliferation	40	13	6.54	0.00597	0.00061	0.35048875	0.011494473684210527
GO:0051302	regulation of cell division	23	7	3.76	0.00667	0.00667	0.3713721428571429	0.050256844919786096
GO:0031647	regulation of protein stability	27	8	4.42	0.00717	0.00717	0.3713721428571429	0.053676190476190475
GO:0035330	regulation of hippo signaling	35	13	5.72	0.00725	0.00725	0.3713721428571429	0.05376447368421053
GO:0016334	establishment or maintenance of polarity of follicular epithelium	20	4	3.27	0.00738	0.00738	0.3713721428571429	0.053950829015544044
GO:0030097	hemopoiesis	40	8	6.54	0.00827	0.06758	0.3791090625	0.18034132575757575
GO:0033044	regulation of chromosome organization	60	17	9.81	0.00855	0.00323	0.3791090625	0.03221979020979021
GO:0045887	positive regulation of synaptic growth at neuromuscular junction	23	4	3.76	0.00856	0.00856	0.3791090625	0.058548737864077674
GO:0017145	stem cell division	41	6	6.71	0.00861	0.00220	0.3791090625	0.024998387096774197
GO:0031109	microtubule polymerization or depolymerization	29	8	4.74	0.00892	0.00892	0.3808569696969697	0.05924353488372092
GO:0007349	cellularization	50	9	8.18	0.00979	0.00091	0.4057091176470588	0.015073023255813955
GO:0035023	regulation of Rho protein signal transduction	22	1	3.6	0.01112	0.01112	0.4476594285714286	0.06421344262295081
GO:0051650	establishment of vesicle localization	39	9	6.38	0.01255	0.01255	0.4794307894736843	0.06622827715355806
GO:0045727	positive regulation of translation	20	4	3.27	0.01290	0.01290	0.4794307894736843	0.06731888888888889
GO:0001738	morphogenesis of a polarized epithelium	66	13	10.8	0.01293	0.04920	0.4794307894736843	0.15094678260869565
GO:0007391	dorsal closure	57	14	9.32	0.01343	0.01343	0.4839915	0.06831361010830325
GO:0007017	microtubule-based process	199	35	32.55	0.01374	0.14167	0.4839915	0.28035537921348314
GO:0009968	negative regulation of signal transduction	182	38	29.77	0.01590	1.0e-05	0.5181010416666667	7.045e-4
GO:0035148	tube formation	20	3	3.27	0.01653	0.01653	0.5181010416666667	0.07949068259385665
GO:0001752	compound eye photoreceptor fate commitment	39	14	6.38	0.01670	0.01688	0.5181010416666667	0.07954488294314381
GO:0051647	nucleus localization	22	6	3.6	0.01670	0.01670	0.5181010416666667	0.07954488294314381
GO:0046330	positive regulation of JNK cascade	20	6	3.27	0.01676	0.01676	0.5181010416666667	0.07954488294314381
GO:0019827	stem cell population maintenance	48	9	7.85	0.01732	0.25545	0.5181010416666667	0.40391333333333335
GO:0003008	system process	244	56	39.91	0.01757	0.00089	0.5181010416666667	0.014928690476190477
GO:0007601	visual perception	21	5	3.43	0.01765	0.01765	0.5181010416666667	0.08153721311475409
GO:1902692	regulation of neuroblast proliferation	23	9	3.76	0.02017	0.02017	0.5350115942028986	0.08993522151898735
GO:0008038	neuron recognition	65	17	10.63	0.02148	0.00834	0.5350115942028986	0.05760323529411765
GO:1902903	regulation of supramolecular fiber organization	63	10	10.3	0.02161	0.00086	0.5350115942028986	0.014769036144578314
GO:0000910	cytokinesis	50	9	8.18	0.02211	0.17437	0.5350115942028986	0.31723407741935483
GO:0051656	establishment of organelle localization	83	22	13.58	0.02244	5.6e-05	0.5350115942028986	0.0025452903225806453
GO:0007298	border follicle cell migration	71	12	11.61	0.02267	0.02946	0.5350115942028986	0.11341295081967213
GO:0031532	actin cytoskeleton reorganization	21	0	3.43	0.02287	0.02287	0.5350115942028986	0.09807828313253011
GO:0007310	oocyte dorsal/ventral axis specification	25	8	4.09	0.02300	0.02300	0.5350115942028986	0.09807828313253011
