Orthogroup	Nomia_melanderi	Bombyx_mori
OG0000000	XP_031839043.1	XP_037873921.1, XP_037871812.1
OG0000000	XP_031836982.1, XP_031836767.1	XP_037873721.1, XP_037874474.1
OG0000000	XP_031836772.1	XP_037870339.1
OG0000001	XP_031826095.1, XP_031826094.1, XP_031826097.1, XP_031826099.1, XP_031826098.1, XP_031826091.1, XP_031826092.1, XP_031826093.1, XP_031842466.1, XP_031836145.1, XP_031836144.1	NP_001106226.1, NP_001266427.1, XP_012545238.2, NP_001073135.1, NP_001104007.1
OG0000001	XP_031828824.1	NP_001296520.1, NP_001266295.1
OG0000001	XP_031840935.1, XP_031848708.1, XP_031848953.1, XP_031848952.1	XP_037874444.1, XP_037874445.1, XP_037874443.1, XP_037874442.1, NP_001108340.1
OG0000004	XP_031836773.1, XP_031850304.1, XP_031848018.1	XP_037866663.1, XP_037874920.1
OG0000004	XP_031842129.1, XP_031847540.1, XP_031847633.1	XP_037872760.1, XP_037868220.1, XP_037874112.1, XP_037871694.1
OG0000005	XP_031836533.1, XP_031848459.1	XP_037870301.1
OG0000006	XP_031847963.1, XP_031847958.1, XP_031847960.1	XP_012548049.2, NP_001155299.1, XP_037872108.1, NP_001104798.1, XP_037868147.1, XP_037868149.1, XP_012545176.2, NP_001166620.1, NP_001104819.1, XP_037873404.1, NP_001104832.2, NP_001091787.1
OG0000008	XP_031838197.1	XP_012548163.2
OG0000008	XP_031845812.1	XP_012548032.1
OG0000008	XP_031838187.1	XP_037872354.1
OG0000008	XP_031838213.1	XP_012548168.1
OG0000008	XP_031838205.1	XP_021205470.2
OG0000008	XP_031838211.1	XP_037872353.1, XP_012548164.1
OG0000009	XP_031837183.1, XP_031839007.1, XP_031837097.1, XP_031848283.1, XP_031848703.1, XP_031848282.1, XP_031847205.1, XP_031848281.1, XP_031848280.1, XP_031837098.1, XP_031848136.1, XP_031842170.1	XP_037872543.1, NP_001095934.1, XP_037872544.1, NP_001103394.1, NP_001103404.1, NP_001077079.1, XP_021202508.2, NP_001108456.1
OG0000010	XP_031836981.1	XP_037877378.1, XP_004925231.2, XP_037871371.1, XP_037869407.1, XP_037873430.1, XP_037874123.1, XP_037877306.1
OG0000010	XP_031831047.1, XP_031848973.1, XP_031848770.1, XP_031848469.1, XP_031848731.1	XP_004922866.1
OG0000012	XP_031845723.1	XP_021205514.2
OG0000012	XP_031836558.1, XP_031836778.1	XP_012543999.1, NP_001037317.1
OG0000012	XP_031836638.1	XP_037870940.1, XP_012547171.2, XP_021203795.1, XP_021204459.2
OG0000013	XP_031839304.1	XP_004933313.1
OG0000013	XP_031829654.1	NP_001091756.1
OG0000017	XP_031840004.1, XP_031840003.1, XP_031840002.1, XP_031840001.1	NP_001108466.1, XP_012546875.1, NP_001037420.1, NP_001037197.1, NP_001108464.1, NP_001108460.1
OG0000017	XP_031829474.1	NP_001037183.1
OG0000017	XP_031829453.1, XP_031829454.1	XP_037877194.1, NP_001037546.1, XP_037867588.1, XP_037877193.1, XP_037867593.1, NP_001036974.1
OG0000018	XP_031835583.1	XP_021205339.2, XP_037871705.1
OG0000018	XP_031847312.1	NP_001243945.1, XP_037871800.1
OG0000019	XP_031838473.1, XP_031838474.1, XP_031838475.1	NP_001268819.1, XP_037869432.1, NP_001040220.1
OG0000019	XP_031830114.1	XP_037866672.1, XP_004931474.1, XP_004925522.1, XP_021203269.2, XP_004922003.2
OG0000019	XP_031838060.1	XP_004927318.1
OG0000020	XP_031839751.1	XP_021206581.1
OG0000020	XP_031845392.1, XP_031837838.1	XP_012545030.1
OG0000020	XP_031845236.1	XP_037867737.1
OG0000020	XP_031828635.1, XP_031828624.1, XP_031847183.1	XP_012552719.1, XP_021202222.1
OG0000020	XP_031830731.1	XP_037874470.1, XP_037874469.1
OG0000020	XP_031837242.1, XP_031837243.1	XP_037867242.1, XP_012549186.1
OG0000021	XP_031837236.1	XP_004932475.1, XP_021207797.1
OG0000021	XP_031838575.1	XP_004926417.1
OG0000021	XP_031830175.1	XP_037869061.1
OG0000023	XP_031839363.1	NP_001153668.1
OG0000024	XP_031825741.1	XP_004924130.1
OG0000025	XP_031834418.1	XP_004927353.2, XP_037870147.1
OG0000026	XP_031843508.1	XP_037867257.1
OG0000026	XP_031834026.1	XP_021205952.1, XP_037874519.1, XP_037874423.1
OG0000026	XP_031839037.1	XP_004929451.1, XP_012548588.1
OG0000028	XP_031836770.1	XP_037876866.1, XP_037874105.1, XP_037872934.1, XP_037868529.1, XP_037867214.1, XP_037877749.1, XP_037875622.1, XP_037873747.1, XP_037877519.1
OG0000029	XP_031829744.1, XP_031829801.1	NP_001036866.1, NP_001166691.1, NP_001166687.1
OG0000029	XP_031827213.1, XP_031827214.1, XP_031827215.1, XP_031829841.1	NP_001093082.1, NP_001166690.1, NP_001166689.1
OG0000030	XP_031839105.1, XP_031839104.1	XP_037875304.1
OG0000030	XP_031848732.1, XP_031827412.1	XP_004926017.1
OG0000031	XP_031841206.1	XP_021204146.2, XP_004932428.2
OG0000031	XP_031836242.1, XP_031836264.1, XP_031829397.1, XP_031829398.1, XP_031829399.1, XP_031842134.1	XP_037875263.1, XP_012545031.2, XP_037871454.1, XP_037866963.1, XP_037871337.1
OG0000032	XP_031845598.1	XP_012545284.2, XP_021208619.1
OG0000032	XP_031832803.1	XP_004931720.1
OG0000032	XP_031833782.1, XP_031831095.1	XP_037867207.1, XP_004924199.2, NP_001036966.1, XP_012549133.1
OG0000033	XP_031837901.1	XP_021203082.2, XP_037875893.1
