GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0033043	regulation of organelle organization	16	3	1.9	0.0025	0.0025	1	0.9491999999999999
GO:0051173	positive regulation of nitrogen compound...	38	7	4.52	0.0164	0.0143	1	0.9770153846153845
GO:0051130	positive regulation of cellular componen...	15	4	1.79	0.0244	0.0244	1	0.9770153846153845
GO:1902532	negative regulation of intracellular sig...	12	4	1.43	0.0339	0.0339	1	1
GO:0032535	regulation of cellular component size	17	4	2.02	0.0363	0.0242	1	0.9770153846153845
GO:0032101	regulation of response to external stimu...	41	6	4.88	0.0492	0.6854	1	1
GO:0060341	regulation of cellular localization	10	4	1.19	0.0525	0.0525	1	1
GO:0045944	positive regulation of transcription by ...	10	1	1.19	0.0611	0.0611	1	1
GO:0051649	establishment of localization in cell	19	5	2.26	0.0731	0.0404	1	1
GO:0022604	regulation of cell morphogenesis	11	3	1.31	0.1048	0.1048	1	1
GO:0010243	response to organonitrogen compound	10	3	1.19	0.1072	0.1072	1	1
GO:1901701	cellular response to oxygen-containing c...	13	3	1.55	0.1078	0.1078	1	1
GO:0050808	synapse organization	10	2	1.19	0.1120	0.1120	1	1
GO:0050877	nervous system process	15	4	1.79	0.1143	0.1143	1	1
GO:0044087	regulation of cellular component biogene...	15	3	1.79	0.1174	0.1174	1	1
GO:0042221	response to chemical	42	6	5	0.1190	0.3189	1	1
GO:0007015	actin filament organization	10	3	1.19	0.1195	0.1195	1	1
GO:0044249	cellular biosynthetic process	50	6	5.95	0.1205	0.1987	1	1
GO:0044267	cellular protein metabolic process	55	6	6.55	0.1279	0.2149	1	1
GO:0051301	cell division	12	3	1.43	0.1291	0.1291	1	1
GO:0045664	regulation of neuron differentiation	14	2	1.67	0.1311	0.1311	1	1
GO:0031328	positive regulation of cellular biosynth...	21	3	2.5	0.1320	0.0205	1	0.9770153846153845
GO:0070727	cellular macromolecule localization	20	3	2.38	0.1359	0.0552	1	1
GO:0051049	regulation of transport	12	3	1.43	0.1369	0.1369	1	1
GO:0016310	phosphorylation	30	7	3.57	0.1382	0.2005	1	1
GO:0080090	regulation of primary metabolic process	59	10	7.02	0.1394	0.5685	1	1
GO:0034645	cellular macromolecule biosynthetic proc...	40	4	4.76	0.1414	0.4921	1	1
GO:0051094	positive regulation of developmental pro...	18	3	2.14	0.1430	0.3471	1	1
GO:0009966	regulation of signal transduction	41	8	4.88	0.1448	0.4478	1	1
GO:0071310	cellular response to organic substance	22	4	2.62	0.1467	0.1467	1	1
