Orthogroup	Nomia_melanderi	Apis_mellifera
OG0000001	XP_031826091.1, XP_031826099.1, XP_031826098.1, XP_031826097.1, XP_031826095.1, XP_031826093.1, XP_031826092.1, XP_031826094.1	NP_001352128.1, NP_001352129.1, XP_026300534.1
OG0000006	XP_031829654.1	XP_006563134.1, XP_006563135.1
OG0000006	XP_031829653.1	XP_624499.1
OG0000006	XP_031839362.1	XP_006570899.1
OG0000006	XP_031839304.1	XP_001120132.1
OG0000007	XP_031838462.1, XP_031838489.1, XP_031838503.1, XP_031838476.1	XP_026298536.1, NP_001314879.1, XP_016766488.1, XP_026294949.1, XP_026294950.1, XP_016766484.1, XP_026300513.1, XP_026294837.1, XP_026301740.1, XP_006557709.2, XP_016766491.1, XP_026297763.1
OG0000008	XP_031836960.1, XP_031836959.1	NP_001172074.1, NP_001172075.1
OG0000008	XP_031828119.1	XP_016767697.1
OG0000009	XP_031837140.1, XP_031837144.1, XP_031837147.1, XP_031837148.1, XP_031837149.1, XP_031837141.1, XP_031837143.1, XP_031837145.1, XP_031837139.1, XP_031837146.1	XP_006559344.1, XP_396662.2, XP_026300992.1, XP_026300993.1, XP_026300994.1
OG0000010	XP_031847372.1	XP_006563549.2
OG0000010	XP_031847521.1, XP_031847522.1, XP_031847371.1, XP_031847370.1	XP_016772004.2, XP_026301357.1, XP_016772002.2, XP_394081.6, NP_001229913.1, XP_026301413.1
OG0000011	XP_031841395.1, XP_031841408.1, XP_031841407.1, XP_031841406.1, XP_031841405.1, XP_031841404.1, XP_031841403.1, XP_031841402.1, XP_031841400.1, XP_031841399.1, XP_031841409.1, XP_031841396.1, XP_031841397.1, XP_031841398.1	XP_026300138.1, XP_026300139.1, XP_026300136.1, XP_026300137.1
OG0000012	XP_031826024.1, XP_031826006.1, XP_031825979.1, XP_031825989.1, XP_031825998.1, XP_031826014.1	XP_006565262.1, XP_006565261.1, XP_006565259.1
OG0000014	XP_031839376.1	XP_003251221.1
OG0000014	XP_031839490.1	XP_016773376.1
OG0000015	XP_031827716.1	XP_026300578.1
OG0000015	XP_031827714.1, XP_031827713.1	XP_016771361.2
OG0000016	XP_031843734.1	XP_026295370.1
OG0000017	XP_031839375.1	XP_003251626.1
OG0000017	XP_031839489.1	XP_001120889.1
OG0000018	XP_031828712.1, XP_031828710.1, XP_031828711.1, XP_031828716.1, XP_031828715.1, XP_031828714.1, XP_031828722.1, XP_031828723.1, XP_031828724.1, XP_031828718.1, XP_031828719.1, XP_031828720.1, XP_031828721.1, XP_031828713.1	XP_026300511.1, XP_006568159.1, XP_006568157.1, XP_396912.1
OG0000019	XP_031838643.1, XP_031838638.1, XP_031838640.1, XP_031838636.1, XP_031838637.1, XP_031838635.1, XP_031838641.1, XP_031838642.1	XP_026297157.1, XP_026297158.1, XP_026297159.1, XP_026297160.1
OG0000020	XP_031849056.1, XP_031844739.1	XP_003249229.1
OG0000022	XP_031830368.1	XP_016768964.1, XP_006564638.1, XP_006564637.1, XP_006564640.1, XP_006564639.1, XP_006564641.1
OG0000025	XP_031846352.1	XP_016772382.1, NP_001011571.1
OG0000026	XP_031830538.1, XP_031830540.1, XP_031830536.1, XP_031830537.1	XP_006561279.1
OG0000027	XP_031848648.1, XP_031848647.1	XP_016772787.1, XP_006571982.1, XP_003251836.1, XP_006571986.1, XP_006571984.1
OG0000028	XP_031850487.1, XP_031850488.1, XP_031850486.1, XP_031850491.1, XP_031850490.1, XP_031850493.1, XP_031850492.1, XP_031850494.1	XP_026295481.1, XP_026295482.1, XP_026295478.1, XP_026295477.1, XP_026295483.1, XP_026295480.1, XP_026295479.1
OG0000029	XP_031829219.1	XP_026296924.1, XP_026296926.1, XP_026296925.1, XP_026296928.1, XP_026296927.1, XP_026296930.1, XP_026296929.1
OG0000030	XP_031834455.1	XP_026300422.1, XP_026300419.1
OG0000030	XP_031849041.1, XP_031848852.1	XP_026300504.1, NP_001229919.1, XP_026300304.1, XP_026300464.1, XP_026300465.1, XP_026300491.1, XP_026300418.1, XP_026300431.1, XP_016772777.2, XP_026300571.1, NP_001229920.1, XP_016767059.1, XP_006562033.1, XP_026296279.1, XP_006562027.2, XP_026296276.1, XP_026296277.1, XP_026296278.1
