Orthogroup	Megachile_rotundata	Osmia_bicornis
OG0000000	XP_012153563.1	XP_029054805.1, XP_029054649.1
OG0000000	XP_012135784.1	XP_029054992.1
OG0000000	XP_012153195.1	XP_029053837.1
OG0000000	XP_012152411.1	XP_029053874.1
OG0000000	XP_012152959.1	XP_029054552.1
OG0000000	XP_012151877.1	XP_029055095.1
OG0000000	XP_012152724.1	XP_029053969.1
OG0000000	XP_003708045.1	XP_029054942.1, XP_029054772.1
OG0000000	XP_012152740.1	XP_029054672.1
OG0000000	XP_012143819.1, XP_012153233.1	XP_029054870.1
OG0000000	XP_012146525.1	XP_029054786.1, XP_029054770.1
OG0000000	XP_012136802.1	XP_029054913.1
OG0000000	XP_012143823.1, XP_012136214.1, XP_012135024.1	XP_029054415.1
OG0000000	XP_012152412.1	XP_029055002.1
OG0000000	XP_012151963.1	XP_029054739.1
OG0000000	XP_012142755.1	XP_029054402.1
OG0000001	XP_012153916.1, XP_012153915.1	XP_029044867.1
OG0000001	XP_012136792.1	XP_029047550.1, XP_029047546.1, XP_029047548.1, XP_029047547.1
OG0000001	XP_012150537.1, XP_003707539.1, XP_012146067.1	XP_029055795.1
OG0000001	XP_003704416.1	XP_029053627.1, XP_029053628.1
OG0000001	XP_012143065.1, XP_012143066.1, XP_003704415.1	XP_029054076.1
OG0000001	XP_003704279.1, XP_012143067.1	XP_029054175.1
OG0000001	XP_003704414.1	XP_029054161.1, XP_029052981.1, XP_029052980.1, XP_029052979.1, XP_029052978.1
OG0000001	XP_012140371.1, XP_012140372.1, XP_003703231.1	XP_029053697.1
OG0000001	XP_012143070.1, XP_012143071.1, XP_012143072.1, XP_003704281.1	XP_029053980.1, XP_029053981.1, XP_029053979.1, XP_029053978.1
OG0000001	XP_012143073.1	XP_029053876.1
OG0000001	XP_012143061.1	XP_029053701.1, XP_029053700.1, XP_029053699.1, XP_029053698.1
OG0000001	XP_003704412.1	XP_029053704.1
OG0000001	XP_003703200.1	XP_029036021.1
OG0000001	XP_003701310.1, XP_003701343.1, XP_012136078.1, XP_012136077.1, XP_003701345.1, XP_012136079.1	XP_029033204.1, XP_029033205.1
OG0000002	XP_003700909.2	XP_029034426.1
OG0000002	XP_003700936.1, XP_003700935.1	XP_029048273.1
OG0000002	XP_003700845.1, XP_003700846.1, XP_003700844.1	XP_029048274.1
OG0000002	XP_003700934.1	XP_029048309.1
OG0000002	XP_003700913.1, XP_003700912.1, XP_012135096.1, XP_003700836.1, XP_003700837.1	XP_029034428.1
OG0000002	XP_003700911.2	XP_029034389.1
OG0000002	XP_003700914.1, XP_012135238.1, XP_012135239.1, XP_012135236.1, XP_003700918.2	XP_029054354.1, XP_029048279.1
OG0000002	XP_012135244.1, XP_012135242.1	XP_029048307.1
OG0000002	XP_012135246.1, XP_003700930.1	XP_029048304.1
OG0000002	XP_003700925.1, XP_003700923.1	XP_029048298.1, XP_029054355.1, XP_029054352.1
OG0000002	XP_003700922.1, XP_012135243.1, XP_012135245.1	XP_029054358.1
OG0000002	XP_003700843.1, XP_003700842.2	XP_029048308.1
OG0000002	XP_012135240.1	XP_029054353.1
OG0000002	XP_012135237.1, XP_012135097.1, XP_012135098.1	XP_029054356.1, XP_029048299.1
OG0000003	XP_012152452.1	XP_029054798.1
OG0000003	XP_012146541.1	XP_029053950.1, XP_029054738.1
OG0000003	XP_003708371.1, XP_012149741.1	XP_029054525.1
OG0000003	XP_012148418.1, XP_012151327.1	XP_029054746.1
OG0000004	XP_012152144.1, XP_012147783.1	XP_029055255.1
OG0000004	XP_012153684.1	XP_029043188.1
OG0000004	XP_012152733.1	XP_029055059.1
OG0000004	XP_012142569.1, XP_012151017.1	XP_029054728.1
OG0000004	XP_012152967.1	XP_029054531.1
OG0000004	XP_012151870.1, XP_012146535.1	XP_029055109.1
OG0000004	XP_012151143.1	XP_029054008.1
OG0000004	XP_012143764.1, XP_012153187.1	XP_029046929.1
OG0000004	XP_012147779.1	XP_029054294.1
OG0000004	XP_012145925.1	XP_029054867.1
OG0000004	XP_012153575.1	XP_029055008.1
OG0000004	XP_012145432.1	XP_029055315.1
OG0000004	XP_012145431.1	XP_029054950.1
OG0000004	XP_012138586.1, XP_003702422.1	XP_029055010.1
OG0000004	XP_003701631.1	XP_029055230.1
OG0000005	XP_012141791.1	XP_029040939.1
OG0000005	XP_012139976.1	XP_029040190.1
OG0000005	XP_012134537.1	XP_029048965.1
OG0000005	XP_012146667.1	XP_029054068.1
OG0000005	XP_012147629.1	XP_029055018.1
OG0000005	XP_012148507.1	XP_029055181.1
OG0000005	XP_012134947.1	XP_029038971.1
OG0000005	XP_012146357.1, XP_012151027.1, XP_012150520.1	XP_029054697.1, XP_029053461.1, XP_029054741.1, XP_029052591.1, XP_029053451.1
OG0000005	XP_012152029.1	XP_029054831.1, XP_029055253.1, XP_029053867.1, XP_029055265.1, XP_029052800.1, XP_029054775.1
OG0000005	XP_012150440.1, XP_012146064.1, XP_012150438.1, XP_012150439.1, XP_012150437.1, XP_012145934.1	XP_029054745.1, XP_029055162.1, XP_029055178.1, XP_029054077.1, XP_029054700.1
OG0000005	XP_012150985.1	XP_029055241.1, XP_029055047.1
OG0000005	XP_012152158.1, XP_012142570.1, XP_012148727.1, XP_012151833.1, XP_012151897.1	XP_029036971.1, XP_029055156.1, XP_029053759.1, XP_029054660.1, XP_029054922.1, XP_029055229.1
OG0000006	XP_003704378.1	XP_029036174.1, XP_029036173.1
OG0000006	XP_012143130.1	XP_029036170.1
OG0000006	XP_012143123.1	XP_029036167.1
OG0000006	XP_012143124.1, XP_012142982.1	XP_029036178.1
OG0000006	XP_012143125.1, XP_012143126.1, XP_003704370.1	XP_029036177.1
OG0000006	XP_003707057.2, XP_012149242.1	XP_029033655.1
OG0000008	XP_003705710.1	XP_029037761.1
OG0000008	XP_003705708.1	XP_029037752.1, XP_029037753.1
OG0000008	XP_012141335.1	XP_029041248.1
OG0000008	XP_003705711.1	XP_029037757.1
OG0000008	XP_003705712.1	XP_029037755.1
OG0000008	XP_003705707.1	XP_029037762.1
OG0000009	XP_012145773.1	XP_029039353.1
OG0000009	XP_012145771.1	XP_029039355.1
OG0000009	XP_012145774.1	XP_029039354.1
OG0000009	XP_003703411.1	XP_029050383.1
OG0000009	XP_003705489.1, XP_003705491.1	XP_029039350.1, XP_029039348.1, XP_029039349.1
