Orthogroup	Dufourea_novaeangliae	Megalopta_genalis
OG0000000	XP_015436978.1	XP_033332143.1
OG0000000	XP_015438108.1	XP_033325358.1, XP_033322444.1, XP_033339068.1, XP_033339063.1, XP_033339380.1
OG0000000	XP_015435716.1, XP_015440280.1, XP_015438118.1, XP_015436991.1	XP_033325360.1, XP_033334388.1
OG0000001	XP_015434777.1, XP_015434764.1, XP_015434775.1, XP_015434757.1, XP_015434758.1	XP_033326750.1, XP_033326752.1, XP_033326753.1, XP_033326751.1, XP_033326754.1, XP_033326755.1, XP_033326761.1, XP_033326760.1, XP_033326759.1, XP_033326756.1, XP_033326758.1
OG0000001	XP_015434774.1	XP_033323542.1
OG0000001	XP_015438122.1	XP_033326763.1, XP_033326762.1
OG0000002	XP_015431885.1, XP_015430410.1, XP_015434271.1	XP_033328756.1, XP_033333817.1, XP_033333818.1, XP_033322608.1, XP_033330931.1, XP_033330929.1, XP_033330930.1, XP_033322845.1, XP_033322222.1, XP_033334442.1, XP_033324606.1, XP_033328275.1
OG0000002	XP_015431457.1	XP_033322035.1
OG0000002	XP_015429000.1	XP_033330633.1
OG0000003	XP_015438097.1, XP_015438320.1, XP_015438738.1, XP_015434210.1	XP_033324870.1
OG0000003	XP_015438307.1, XP_015439948.1	XP_033322610.1
OG0000003	XP_015440315.1, XP_015437574.1	XP_033331349.1, XP_033335340.1, XP_033334345.1
OG0000006	XP_015434157.1	XP_033330794.1, XP_033330795.1, XP_033330796.1
OG0000006	XP_015435345.1	XP_033328965.1, XP_033328623.1, XP_033328768.1
OG0000006	XP_015434156.1	XP_033328624.1
OG0000007	XP_015439489.1	XP_033339129.1, XP_033339131.1, XP_033339132.1, XP_033339133.1, XP_033339140.1, XP_033328276.1, XP_033339130.1, XP_033339134.1, XP_033339139.1, XP_033339137.1, XP_033339287.1, XP_033339138.1
OG0000008	XP_015433852.1	XP_033333605.1, XP_033333606.1
OG0000008	XP_015434651.1	XP_033322535.1
OG0000009	XP_015437448.1, XP_015437450.1, XP_015437451.1	XP_033323873.1
OG0000010	XP_015437926.1	XP_033339806.1
OG0000010	XP_015437927.1	XP_033339803.1
OG0000011	XP_015432705.1, XP_015432704.1	XP_033332438.1, XP_033332435.1, XP_033332436.1
OG0000012	XP_015432146.1	XP_033326361.1
OG0000013	XP_015440395.1	XP_033337658.1, XP_033324994.1
OG0000013	XP_015440032.1, XP_015433591.1	XP_033334291.1, XP_033334295.1, XP_033334493.1, XP_033321457.1
OG0000014	XP_015435403.1	XP_033328773.1
OG0000014	XP_015435405.1, XP_015440405.1	XP_033328969.1, XP_033328626.1, XP_033328627.1
OG0000015	XP_015432301.1	XP_033332229.1, XP_033331540.1, XP_033331527.1, XP_033331543.1, XP_033331542.1, XP_033332230.1, XP_033332231.1, XP_033332235.1, XP_033331544.1, XP_033332227.1
OG0000016	XP_015438494.1	XP_033330472.1, XP_033330470.1
OG0000017	XP_015435373.1, XP_015435410.1, XP_015438105.1	XP_033337165.1, XP_033337190.1
OG0000018	XP_015429717.1	XP_033339546.1, XP_033339550.1, XP_033339549.1, XP_033339548.1, XP_033339547.1
OG0000019	XP_015437181.1	XP_033323692.1, XP_033323694.1, XP_033323690.1, XP_033323691.1, XP_033323688.1, XP_033323689.1, XP_033323686.1, XP_033323687.1
OG0000021	XP_015437897.1	XP_033332580.1, XP_033331103.1
OG0000021	XP_015437076.1	XP_033320862.1
OG0000022	XP_015433494.1	XP_033337897.1, XP_033337898.1, XP_033337899.1, XP_033337900.1, XP_033337901.1
OG0000023	XP_015437622.1, XP_015437540.1	XP_033323539.1
OG0000025	XP_015428496.1	XP_033325052.1, XP_033325051.1, XP_033325054.1, XP_033325053.1, XP_033325048.1, XP_033325047.1, XP_033325050.1, XP_033325049.1, XP_033325055.1
OG0000026	XP_015431421.1, XP_015431420.1, XP_015431419.1, XP_015431417.1, XP_015431416.1	XP_033321452.1, XP_033321451.1, XP_033321450.1
OG0000027	XP_015436027.1	XP_033337252.1, XP_033337236.1, XP_033337245.1, XP_033337219.1, XP_033337227.1, XP_033337260.1
OG0000028	XP_015429673.1, XP_015429675.1, XP_015429674.1	XP_033330647.1, XP_033330816.1, XP_033330486.1, XP_033330568.1, XP_033330405.1, XP_033330738.1, XP_033330319.1
OG0000029	XP_015435655.1, XP_015435654.1	XP_033333520.1, XP_033333521.1
OG0000031	XP_015432264.1, XP_015432266.1, XP_015432267.1	XP_033326345.1, XP_033326344.1, XP_033326347.1, XP_033326346.1, XP_033326351.1, XP_033326352.1, XP_033326348.1, XP_033326349.1
OG0000032	XP_015429644.1, XP_015429643.1, XP_015429641.1, XP_015429642.1	XP_033329243.1, XP_033329242.1, XP_033329244.1
OG0000033	XP_015437422.1, XP_015437423.1	XP_033336003.1, XP_033336004.1, XP_033336005.1, XP_033336006.1, XP_033336007.1, XP_033336008.1, XP_033336009.1
OG0000034	XP_015439801.1	XP_033324165.1
OG0000034	XP_015435295.1, XP_015435294.1	XP_033341112.1, XP_033341113.1
OG0000035	XP_015434866.1, XP_015434867.1, XP_015434868.1, XP_015434869.1, XP_015434870.1, XP_015434871.1	XP_033324679.1, XP_033324678.1, XP_033324677.1, XP_033324680.1
OG0000036	XP_015438705.1	XP_033335344.1, XP_033335343.1, XP_033335345.1, XP_033335342.1, XP_033335341.1
OG0000037	XP_015429868.1	XP_033328353.1, XP_033328354.1, XP_033328352.1, XP_033328348.1, XP_033328347.1, XP_033328345.1, XP_033328346.1, XP_033328349.1, XP_033328356.1, XP_033328355.1
OG0000038	XP_015428850.1, XP_015428848.1, XP_015428851.1, XP_015439294.1, XP_015439293.1	XP_033322825.1
OG0000039	XP_015428729.1	XP_033335273.1, XP_033335248.1, XP_033335255.1, XP_033335265.1
OG0000040	XP_015436163.1	XP_033325796.1, XP_033325797.1
OG0000041	XP_015430124.1	XP_033336526.1, XP_033328733.1, XP_033321465.1, XP_033338214.1
OG0000042	XP_015436228.1, XP_015436225.1	XP_033327860.1, XP_033327858.1, XP_033327861.1, XP_033327862.1
OG0000043	XP_015430085.1	XP_033341999.1
OG0000044	XP_015434933.1, XP_015434934.1	XP_033324696.1, XP_033324693.1, XP_033324694.1, XP_033324700.1, XP_033324699.1, XP_033324698.1, XP_033324701.1, XP_033324695.1
OG0000047	XP_015436673.1	XP_033328481.1
OG0000047	XP_015438104.1	XP_033328967.1
OG0000047	XP_015435346.1	XP_033328581.1
OG0000050	XP_015430457.1, XP_015430455.1, XP_015430454.1, XP_015430456.1	XP_033332614.1, XP_033332612.1, XP_033332613.1, XP_033332615.1
OG0000051	XP_015438716.1	XP_033325147.1, XP_033325149.1
OG0000052	XP_015440357.1	XP_033321049.1
OG0000052	XP_015440372.1	XP_033333313.1, XP_033333310.1, XP_033333311.1, XP_033333314.1
OG0000054	XP_015440360.1, XP_015440376.1, XP_015440359.1, XP_015440379.1	XP_033321046.1, XP_033321048.1
OG0000055	XP_015436316.1	XP_033333278.1, XP_033333280.1, XP_033333281.1, XP_033333279.1
OG0000056	XP_015438965.1	XP_033336684.1, XP_033336683.1, XP_033336682.1
OG0000059	XP_015435357.1	XP_033328603.1, XP_033328582.1, XP_033328621.1
OG0000059	XP_015435350.1	XP_033328576.1
OG0000060	XP_015439981.1	XP_033324135.1, XP_033324136.1
OG0000062	XP_015440301.1	XP_033334294.1
OG0000063	XP_015435591.1	XP_033341364.1
OG0000063	XP_015434704.1	XP_033324523.1
OG0000063	XP_015435639.1	XP_033341282.1
OG0000064	XP_015439422.1	XP_033322375.1, XP_033322376.1
OG0000064	XP_015436794.1	XP_033322848.1
OG0000064	XP_015438692.1	XP_033330101.1
OG0000065	XP_015440531.1	XP_033334751.1, XP_033334748.1, XP_033334749.1, XP_033334750.1
OG0000066	XP_015429769.1	XP_033322048.1, XP_033322049.1, XP_033322050.1
OG0000067	XP_015435677.1, XP_015435676.1	XP_033334552.1
OG0000069	XP_015439140.1	XP_033336074.1, XP_033336075.1, XP_033336076.1
