Orthogroup	Dufourea_novaeangliae	Ceratina_calcarata
OG0000000	XP_015438109.1, XP_015438034.1	XP_017887274.1
OG0000000	XP_015432787.1	XP_026671887.1
OG0000000	XP_015438108.1, XP_015437418.1	XP_017884602.1
OG0000000	XP_015433592.1, XP_015433132.1	XP_017874999.1, XP_017879660.1, XP_017887576.1, XP_017877626.1, XP_017882359.1
OG0000000	XP_015437077.1, XP_015438112.1	XP_017887262.1
OG0000001	XP_015434777.1, XP_015434764.1, XP_015434775.1, XP_015434757.1, XP_015434758.1	XP_017891081.1
OG0000001	XP_015434774.1	XP_017888037.1
OG0000001	XP_015438122.1	XP_026674593.1, XP_017891764.1, XP_017891756.1
OG0000002	XP_015431885.1, XP_015430410.1, XP_015434271.1	XP_026667095.1, XP_017875389.1
OG0000002	XP_015437433.1	XP_017891277.1
OG0000003	XP_015440315.1, XP_015437574.1	XP_017890440.1
OG0000003	XP_015433590.1, XP_015429306.1, XP_015435240.1, XP_015437444.1, XP_015430060.1, XP_015433578.1, XP_015432529.1, XP_015428689.1	XP_026674121.1
OG0000006	XP_015434157.1	XP_026671799.1, XP_026671798.1, XP_026671797.1, XP_026671796.1, XP_026671801.1, XP_026671800.1, XP_017884545.1, XP_017884546.1
OG0000006	XP_015435345.1	XP_017875197.1
OG0000007	XP_015439489.1	XP_026669980.1, XP_026669747.1, XP_026667260.1, XP_026669995.1
OG0000008	XP_015433852.1	XP_026675486.1
OG0000008	XP_015434651.1	XP_017880123.1
OG0000008	XP_015434661.1	XP_017880121.1
OG0000009	XP_015437448.1, XP_015437450.1, XP_015437451.1	XP_026671929.1, XP_017885114.1, XP_026671923.1, XP_026671924.1, XP_026671925.1, XP_026671926.1, XP_017885111.1, XP_017885112.1, XP_017885115.1, XP_026671928.1, XP_026671927.1, XP_017885113.1
OG0000010	XP_015437926.1	XP_026674182.1
OG0000010	XP_015437927.1	XP_017889350.1, XP_026674208.1, XP_026674209.1, XP_017889349.2
OG0000011	XP_015432705.1, XP_015432704.1	XP_026672740.1, XP_026672741.1, XP_026672742.1
OG0000012	XP_015432146.1	XP_017877808.2
OG0000013	XP_015440395.1	XP_017884306.1, XP_026668765.1
OG0000013	XP_015438310.1	XP_017891439.1
OG0000013	XP_015436653.1	XP_017878373.1, XP_017892959.1
OG0000013	XP_015435180.1	XP_017878763.1
OG0000013	XP_015438096.1, XP_015438891.1, XP_015437428.1	XP_026675334.1, XP_026675631.1, XP_026675337.1, XP_026675630.1
OG0000014	XP_015435403.1	XP_017888171.1
OG0000014	XP_015435411.1	XP_017875198.1
OG0000014	XP_015435405.1, XP_015440405.1	XP_017887569.1
OG0000017	XP_015435373.1, XP_015435410.1, XP_015438105.1	XP_017892537.1
OG0000018	XP_015429717.1	XP_017877143.1, XP_017877142.1, XP_017877141.1, XP_017877145.1, XP_017877144.1
OG0000019	XP_015437181.1	XP_026668667.1, XP_026668668.1, XP_026668669.1, XP_026668670.1, XP_017878668.1, XP_017878669.1
OG0000021	XP_015437897.1	XP_017887382.1
OG0000021	XP_015437076.1	XP_017889188.1, XP_017881150.1
OG0000022	XP_015433494.1	XP_026667393.1, XP_026667391.1, XP_026667392.1, XP_017876039.1, XP_026667394.1
OG0000025	XP_015428496.1	XP_026674597.1, XP_026674600.1, XP_026674596.1, XP_017890658.1, XP_026674598.1
OG0000026	XP_015431421.1, XP_015431420.1, XP_015431419.1, XP_015431417.1, XP_015431416.1	XP_017882104.1, XP_017882103.1, XP_017882102.1, XP_026670298.1, XP_017882105.1
OG0000027	XP_015436027.1	XP_026673236.1, XP_026673235.1, XP_017887874.1
OG0000028	XP_015429673.1, XP_015429675.1, XP_015429674.1	XP_026667338.1, XP_026667337.1, XP_017875902.1, XP_026667339.1, XP_017875900.1
OG0000029	XP_015435655.1, XP_015435654.1	XP_026671916.1, XP_017885077.1, XP_017885082.1, XP_017885085.1, XP_017885083.1, XP_017885081.1, XP_017885084.1
OG0000031	XP_015432264.1, XP_015432266.1, XP_015432267.1	XP_017888818.1, XP_017888829.1, XP_017888809.1, XP_017888800.1
OG0000032	XP_015429644.1, XP_015429643.1, XP_015429641.1, XP_015429642.1	XP_017879467.1, XP_026669096.1, XP_026669111.1, XP_017879474.1, XP_026669105.1
OG0000033	XP_015437422.1, XP_015437423.1	XP_017893183.1, XP_017893184.1, XP_017893185.1
OG0000034	XP_015439801.1	XP_017875842.1, XP_017875843.1, XP_026667285.1
