Orthogroup	Megalopta_genalis	Ceratina_calcarata
OG0000000	XP_033329027.1	XP_017875321.1
OG0000000	XP_033332143.1	XP_017883322.1, XP_017875143.1
OG0000000	XP_033321268.1	XP_017876324.1
OG0000000	XP_033323553.1	XP_017875124.1, XP_017875054.1
OG0000001	XP_033326761.1, XP_033326760.1, XP_033326759.1, XP_033326758.1, XP_033326756.1, XP_033326755.1, XP_033326754.1, XP_033326753.1, XP_033326752.1, XP_033326751.1, XP_033326750.1	XP_017891081.1
OG0000001	XP_033323542.1	XP_017888037.1
OG0000001	XP_033326762.1, XP_033326763.1	XP_026674593.1, XP_017891756.1, XP_017891764.1
OG0000001	XP_033326774.1, XP_033326767.1, XP_033326559.1, XP_033326766.1, XP_033326768.1	XP_026675117.1
OG0000001	XP_033329022.1, XP_033329019.1, XP_033329018.1, XP_033329017.1, XP_033331299.1, XP_033331298.1	XP_017888667.1, XP_026673601.1
OG0000001	XP_033339718.1	XP_017884717.1
OG0000001	XP_033326710.1	XP_017886303.1
OG0000001	XP_033338371.1, XP_033322509.1	XP_017882560.1, XP_017883314.2, NP_001352268.1, XP_026670615.1
OG0000003	XP_033335210.1	XP_026668995.1
OG0000004	XP_033320948.1	XP_017875127.1
OG0000005	XP_033333817.1, XP_033333818.1, XP_033333179.1, XP_033333180.1, XP_033333183.1, XP_033333184.1, XP_033333182.1, XP_033333185.1, XP_033333186.1, XP_033333187.1, XP_033333188.1, XP_033333178.1, XP_033333177.1, XP_033333176.1, XP_033333175.1, XP_033331182.1, XP_033331181.1	XP_026667095.1
OG0000005	XP_033321098.1, XP_033328818.1	XP_017891414.1
OG0000006	XP_033332254.1	XP_026671184.1
OG0000006	XP_033331535.1	XP_017883370.2
OG0000006	XP_033331536.1	XP_017883408.2
OG0000006	XP_033325709.1	XP_026667224.1
OG0000008	XP_033329050.1	XP_026675049.1
OG0000008	XP_033321018.1	XP_017877132.1, XP_017887927.2
OG0000008	XP_033329521.1	XP_026667992.1
OG0000008	XP_033329051.1	XP_017891654.1
OG0000008	XP_033329032.1, XP_033329033.1, XP_033329034.1	XP_017891655.1
OG0000008	XP_033321020.1, XP_033321019.1	XP_026666941.1
OG0000009	XP_033323903.1, XP_033323904.1	XP_017887163.1
OG0000009	XP_033323894.1, XP_033323884.1, XP_033323895.1	XP_017887153.1, XP_017887158.1, XP_017887159.1, XP_017887161.1
OG0000009	XP_033323898.1, XP_033323897.1, XP_033323886.1, XP_033323896.1	XP_017882285.1, XP_017888595.2, XP_017882209.1, XP_017882161.1, XP_017882162.1
OG0000009	XP_033323885.1, XP_033323887.1	XP_026672903.1
OG0000010	XP_033342844.1, XP_033332592.1, XP_033332262.1, XP_033329818.1, XP_033328507.1, XP_033337278.1, XP_033333275.1	XP_017877879.2
OG0000010	XP_033337116.1, XP_033332263.1, XP_033339381.1, XP_033337295.1, XP_033333309.1	XP_017890567.1, XP_017892844.1, XP_026673534.1, XP_017877435.1, XP_017889234.1, XP_017875216.1, XP_017881849.1
OG0000011	XP_033341684.1	XP_026674961.1
OG0000011	XP_033340025.1	XP_026674960.1, XP_026674952.1
OG0000011	XP_033340024.1, XP_033325356.1, XP_033340147.1, XP_033340148.1, XP_033341682.1, XP_033341685.1, XP_033341686.1, XP_033341632.1, XP_033330645.1, XP_033340023.1	XP_026674953.1
OG0000012	XP_033333560.1	XP_017890720.1, XP_017889198.1, XP_026674581.1
OG0000012	XP_033333685.1	XP_017875047.1
OG0000012	XP_033324767.1	XP_017890257.1, XP_026672566.1
OG0000012	XP_033324764.1	XP_017889230.1, XP_017890394.1, XP_017886295.1
OG0000013	XP_033328965.1	XP_017875197.1
OG0000013	XP_033328768.1, XP_033328623.1	XP_017887567.1
OG0000013	XP_033330794.1, XP_033330796.1	XP_026671800.1, XP_026671799.1, XP_026671798.1, XP_026671797.1, XP_026671796.1
OG0000013	XP_033330798.1	XP_026671801.1
OG0000014	XP_033328582.1, XP_033328621.1, XP_033328603.1	XP_017887641.1, XP_017875203.1
OG0000014	XP_033328576.1	XP_017888173.1
OG0000016	XP_033337658.1	XP_017884306.1
OG0000016	XP_033324994.1	XP_026668765.1
OG0000017	XP_033323611.1	XP_017892800.1
OG0000017	XP_033341624.1	XP_026675010.1
OG0000017	XP_033341626.1	XP_026675012.1, XP_026675011.1
OG0000018	XP_033334915.1	XP_026673006.1, XP_026673004.1
OG0000018	XP_033333868.1, XP_033333867.1	XP_017883367.1, XP_017883368.1, XP_026670979.1, XP_026670978.1
OG0000018	XP_033342252.1	XP_017890591.1, XP_026674563.1, XP_017890593.1
OG0000018	XP_033342250.1	XP_017890581.1
OG0000018	XP_033327648.1	XP_017889371.1
OG0000019	XP_033335083.1	XP_017887380.2, XP_026668832.1, XP_017890717.1, XP_017877436.1, XP_017885792.1
OG0000019	XP_033337986.1	XP_017888742.1
OG0000019	XP_033321516.1	XP_017885630.1
OG0000020	XP_033341111.1	XP_017881798.1
