Orthogroup	Acyrthosiphon_pisum	Dufourea_novaeangliae
OG0000000	XP_008182367.1, XP_008182376.2, XP_008179509.1, XP_029348283.1	XP_015438034.1, XP_015438109.1, XP_015432787.1, XP_015437079.1
OG0000000	XP_029346889.1, XP_029340893.1	XP_015437064.1, XP_015437899.1, XP_015434762.1
OG0000000	XP_008180485.1	XP_015437886.1
OG0000000	XP_016655727.1, XP_008189037.1, XP_029348568.1, XP_008189492.1, XP_008180316.1, XP_029348389.1, XP_016657058.1, XP_008189073.1, XP_008179733.1, XP_008187555.1, XP_008185172.2	XP_015431641.1
OG0000000	XP_008181101.1, XP_029347204.1, XP_008190207.1, XP_008190198.2, XP_008190181.1, XP_008187510.2, XP_008179860.1, XP_008181657.1, XP_008187352.1, XP_008185128.1, XP_008181175.1, XP_008181389.1, XP_008179896.1, XP_008187175.1, XP_008180601.1, XP_008189918.1, XP_008179889.1, XP_008182965.1, XP_029348135.1, XP_008180912.1, XP_008180911.1, XP_008187174.1, XP_008183125.1, XP_029345522.1, XP_008179019.1, XP_029346803.1	XP_015437823.1, XP_015433132.1, XP_015433592.1
OG0000001	XP_001943981.2, XP_001947920.1, XP_001948421.1, XP_016656332.1, XP_016659432.1, XP_016659132.2, XP_001952450.1, XP_016655759.1, XP_029344134.1, XP_029344133.1, XP_001948581.2, XP_029344135.1, XP_001943570.2, XP_008183473.1, XP_029341969.1, NP_001353126.1, XP_001946384.4, XP_029344453.1, XP_003248692.2, NP_001156683.2, XP_001945100.2, XP_001946428.1, XP_029344865.1, XP_016657118.1, XP_001944599.2, XP_008189491.3, XP_016660356.1	XP_015437062.1
OG0000003	XP_008180445.1	XP_015437705.1
OG0000004	XP_008188519.1, XP_008178932.1, XP_008181865.1, XP_008189921.1, XP_029347881.1, XP_008184523.1, XP_016659515.1	XP_015437622.1, XP_015437540.1, XP_015440316.1
OG0000004	XP_008182727.1	XP_015435694.1
OG0000004	XP_029348167.1	XP_015431440.1
OG0000004	XP_008181189.1, XP_008178696.1, XP_008184865.1, XP_029348501.1, XP_008189957.1, XP_008187534.1, XP_029347760.1	XP_015437848.1, XP_015435242.1, XP_015433735.1, XP_015436675.1, XP_015435722.1, XP_015437624.1, XP_015436732.1
OG0000005	XP_016662685.1	XP_015429633.1, XP_015435795.1
OG0000005	XP_001944491.1	XP_015429685.1, XP_015429410.1
OG0000006	XP_016661819.1	XP_015432327.1, XP_015432301.1, XP_015432304.1, XP_015432300.1, XP_015432303.1, XP_015432328.1, XP_015437631.1
OG0000007	XP_016665006.1, XP_029347711.1, XP_003244198.1, XP_008181053.1, XP_029341068.1, XP_016660482.1, XP_029348538.1, XP_029340998.1, XP_008179485.1, XP_008179463.1, XP_008180335.1, XP_029340906.1, XP_008184270.1, XP_029346063.1, XP_029340971.1, XP_029343684.1, XP_008180263.1, XP_008180483.1, XP_008181021.1, XP_008185984.1	XP_015440301.1
OG0000008	XP_016663037.1	XP_015431031.1
OG0000008	XP_029347046.1	XP_015431231.1, XP_015431027.1, XP_015431244.1, XP_015431029.1, XP_015431028.1
OG0000008	XP_001942555.1, XP_008181935.1	XP_015435962.1
OG0000008	XP_001951039.1, XP_016661460.1, XP_008179022.1, XP_001946107.1	XP_015431211.1
OG0000008	XP_001945226.1	XP_015431032.1
OG0000008	XP_001948787.1, XP_008186873.1	XP_015431033.1
OG0000008	XP_029347673.1, XP_001947912.2, XP_008185220.1, XP_029341168.1, XP_029345772.1, XP_029341167.1, XP_029347064.1, XP_029347063.1, XP_029347062.1, XP_001947727.3	XP_015431233.1
OG0000010	XP_016657651.1	XP_015440399.1
OG0000013	XP_001952101.2, XP_008190047.2, XP_008190048.2, XP_003246588.2	XP_015435345.1
OG0000013	XP_008188188.1, XP_008186887.1	XP_015434156.1
OG0000014	XP_008188957.2, XP_029347345.1, XP_003246585.1, XP_003248955.1, XP_003249023.1, XP_003246589.1, XP_003245105.1, XP_029344422.1, XP_029348663.1, XP_008179018.1, XP_001944346.2, XP_008190049.1, XP_001944288.1	XP_015438106.1
OG0000016	XP_008179439.1, XP_008188179.1, XP_008189245.1	XP_015435180.1
OG0000017	XP_029345033.1, XP_016662561.1, XP_003246468.3, XP_016662288.1, XP_029345886.1, XP_008186550.1, XP_008186556.2, XP_029345031.1, NP_001156274.1	XP_015436973.1, XP_015436975.1, XP_015436974.1, XP_015436971.1
OG0000018	XP_016663044.1, XP_008186888.2, XP_001946763.2, XP_008188568.1, XP_029346478.1, XP_029346617.1, XP_016664244.1, XP_029346475.1, XP_029346477.1, XP_029346476.1, XP_001948798.2, XP_001943056.2, XP_016658122.1, XP_001943526.2	XP_015440533.1, XP_015440532.1, XP_015431114.1, XP_015437296.1, XP_015437285.1, XP_015437283.1, XP_015433210.1
OG0000019	XP_029347490.1, XP_001952550.2, XP_016662737.1, XP_016662736.1, XP_008186492.2, XP_003241200.1	XP_015436531.1
OG0000019	XP_001952539.2	XP_015430887.1
