Orthogroup	Polistes_dominula	Aedes_aegypti
OG0000000	XP_015189866.1, XP_015189951.1	XP_021704707.1, XP_021706494.1
OG0000001	XP_015180415.1, XP_015180416.1, XP_015180260.1, XP_015190970.1, XP_015183493.1, XP_015174482.1, XP_015174918.1, XP_015173619.1	XP_021704701.1
OG0000002	XP_015179396.1, XP_015179319.1, XP_015179317.1, XP_015179443.1, XP_015179316.1, XP_015179442.1, XP_015179331.1, XP_015179329.1, XP_015179330.1, XP_015179496.1, XP_015179323.1, XP_015179394.1, XP_015179320.1, XP_015179321.1, XP_015179328.1, XP_015179325.1, XP_015179324.1, XP_015179392.1, XP_015179322.1, XP_015179497.1	XP_021711562.1
OG0000003	XP_015189778.1	XP_021694215.1
OG0000005	XP_015187494.1	XP_021709990.1, XP_021704183.1
OG0000006	XP_015176242.1	XP_021709039.1, XP_021709040.1
OG0000006	XP_015184251.1	XP_001651754.2, XP_001651756.3
OG0000008	XP_015180320.1	XP_001648300.1
OG0000008	XP_015182812.1	XP_001661923.2
OG0000008	XP_015180327.1, XP_015180328.1	XP_021710651.1, XP_021710652.1, XP_021710650.1, XP_021710649.1, XP_021710648.1
OG0000008	XP_015180322.1, XP_015180321.1, XP_015180323.1	XP_001648302.1
OG0000008	XP_015180324.1, XP_015180325.1	XP_021710647.1
OG0000009	XP_015177367.1, XP_015177306.1, XP_015177200.1, XP_015177307.1, XP_015177305.1	XP_021705958.1, XP_001649103.2, XP_001649101.2, XP_021700263.1, XP_001649098.2, XP_001649095.1, XP_001649100.3, XP_001649097.2, XP_021705963.1, XP_001649093.1, XP_001649094.1, XP_021700373.1, XP_001661968.1, XP_001661969.1, XP_001649106.2, XP_001652216.1, XP_001652217.1, XP_001649108.2, XP_001649107.2, XP_021705961.1, XP_001652222.1, XP_001652218.2, XP_021705962.1, XP_001657206.1
OG0000012	XP_015181488.1, XP_015181463.1	XP_001655419.1, XP_021709641.1
