Orthogroup	Polistes_dominula	Bombyx_mori
OG0000000	XP_015189866.1, XP_015189951.1	XP_037873721.1, XP_037874474.1
OG0000000	XP_015189697.1, XP_015189651.1, XP_015189739.1	XP_037875266.1
OG0000000	XP_015191151.1	XP_037871132.1, XP_037873349.1, XP_037868785.1, XP_037877019.1, XP_037871118.1, XP_037867970.1, XP_037873726.1, XP_037877015.1, XP_037866942.1, XP_037870089.1, XP_037876482.1
OG0000001	XP_015180415.1, XP_015180416.1, XP_015180260.1, XP_015190970.1, XP_015183493.1	NP_001106226.1, NP_001266427.1, XP_012545238.2, NP_001073135.1, NP_001104007.1
OG0000001	XP_015174482.1	NP_001296520.1, NP_001266295.1
OG0000001	XP_015174918.1, XP_015173619.1	XP_037874444.1, XP_037874445.1, XP_037874443.1, XP_037874442.1, NP_001108340.1
OG0000003	XP_015189778.1	XP_037869604.1, XP_037867144.1, XP_037876915.1, XP_037877219.1, XP_037877221.1
OG0000004	XP_015189180.1, XP_015189178.1, XP_015187797.1, XP_015177516.1	XP_037866663.1, XP_037874920.1
OG0000004	XP_015171070.1	XP_012549606.2
OG0000004	XP_015189732.1, XP_015175258.1, XP_015185810.1, XP_015180955.1, XP_015189729.1, XP_015189948.1, XP_015189979.1, XP_015180194.1, XP_015189887.1, XP_015189689.1, XP_015185818.1, XP_015186432.1	XP_037872760.1, XP_037868220.1, XP_037874112.1, XP_037871694.1
OG0000006	XP_015176242.1	XP_012548737.1, NP_001166607.1, NP_001116806.1, NP_001104829.1, NP_001091789.1, NP_001166603.1
OG0000006	XP_015184251.1	XP_012548049.2, NP_001155299.1, XP_037872108.1, NP_001104798.1, XP_037868147.1, XP_037868149.1, XP_012545176.2, NP_001166620.1, NP_001104819.1, XP_037873404.1, NP_001104832.2, NP_001091787.1
OG0000008	XP_015180320.1	XP_012548163.2
OG0000008	XP_015182812.1	XP_012548032.1
OG0000008	XP_015180327.1, XP_015180328.1	XP_012548168.1
OG0000008	XP_015180322.1, XP_015180321.1, XP_015180323.1	XP_021205470.2
OG0000008	XP_015180324.1, XP_015180325.1	XP_037872353.1, XP_012548164.1
OG0000009	XP_015177367.1, XP_015177306.1, XP_015177200.1, XP_015177307.1, XP_015177305.1	XP_037872543.1, NP_001095934.1, XP_037872544.1, NP_001103394.1, NP_001103404.1, NP_001077079.1, XP_021202508.2, NP_001108456.1
OG0000012	XP_015181488.1, XP_015181463.1	XP_012543999.1, NP_001037317.1
