Orthogroup	Polistes_dominula	Bombus_terrestris
OG0000000	XP_015189866.1, XP_015189951.1	XP_012175230.1
OG0000000	XP_015190535.1, XP_015189697.1, XP_015189651.1, XP_015189739.1	XP_012174870.1, XP_012171987.1, XP_012175227.1
OG0000000	XP_015189415.1, XP_015189501.1, XP_015189791.1	XP_012174903.1
OG0000000	XP_015180763.1, XP_015189653.1, XP_015189502.1, XP_015187776.1	XP_020723248.1
OG0000001	XP_015182412.1, XP_015182413.1, XP_015181295.1	XP_020720552.1, XP_003398646.1
OG0000001	XP_015190970.1	XP_003395878.1
OG0000001	XP_015183493.1	XP_003400131.1, XP_012170860.1, XP_003400126.1, XP_003400119.1, XP_020721795.1, XP_012170857.1, XP_020721796.1, XP_012170859.1, XP_012170861.1, XP_012170855.1
OG0000001	XP_015174482.1	XP_012168947.1
OG0000002	XP_015179319.1, XP_015179317.1	XP_003393901.1, XP_020722318.1, XP_020722314.1, XP_020723992.1, XP_020723938.1
OG0000002	XP_015179442.1	XP_020724018.1, XP_003393988.2
OG0000002	XP_015179331.1	XP_020722961.1, XP_012175713.1, XP_012175608.1, XP_012175715.1, XP_012175716.1, XP_012175714.1, XP_012175717.1, XP_012175609.1
OG0000002	XP_015179329.1, XP_015179330.1, XP_015179496.1	XP_003393920.1, XP_003403429.1, XP_003394006.1, XP_003393921.1, XP_012175711.1
OG0000002	XP_015179323.1	XP_003393917.1
OG0000002	XP_015179394.1	XP_003393994.1
OG0000002	XP_015179320.1, XP_015179321.1	XP_020722331.1, XP_020722344.1, XP_003393905.1, XP_020723934.1
OG0000004	XP_015189180.1	XP_003399806.1
OG0000004	XP_015187797.1	XP_003396672.1
OG0000004	XP_015189681.1, XP_015175257.1	XP_012175515.1
OG0000004	XP_015180955.1	XP_020721352.1
OG0000004	XP_015180194.1	XP_020724024.1
OG0000005	XP_015187494.1, XP_015186874.1	XP_012174537.1, XP_012173838.1, XP_003402808.1, XP_012173837.1, XP_012175341.1
OG0000006	XP_015180561.1	XP_020721955.1
OG0000006	XP_015184251.1	XP_012174904.1
OG0000008	XP_015180320.1	XP_012168744.1
