ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"LOC114876654"	NA	chrOU015519.1	-	5757727	5757772	5758045	5758171	5757385	5757472	5758263	5758399
2	"LOC114871522"	NA	chrOU015519.1	+	4826791	4826824	4827893	4827914	4824129	4824318	4840436	4840538
3	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4432613	4432710	4430488	4430615	4433138	4433223
5	"LOC114877840"	NA	chrOU015519.1	-	2834004	2836107	2836788	2837019	2832412	2833014	2837350	2837472
6	"LOC114879732"	NA	chrOU015519.1	-	2540077	2540399	2540436	2540524	2539159	2539399	2540615	2540837
11	"LOC114878476"	NA	chrOU015518.1	+	4350938	4351043	4351434	4352334	4350257	4350401	4352910	4353313
12	"LOC114880579"	NA	chrOU015518.1	+	3695628	3695907	3697286	3697698	3692937	3693455	3698353	3699138
13	"LOC114882828"	NA	chrOU015518.1	+	2064144	2064187	2064330	2064525	2063749	2064058	2065710	2065855
15	"LOC114881700"	NA	chrOU015518.1	-	1638501	1638742	1639409	1639436	1637330	1637572	1639696	1639836
20	"LOC114873001"	NA	chrOU015518.1	-	787370	787601	787701	787859	787187	787268	788280	788447
21	"LOC114873001"	NA	chrOU015518.1	-	789601	789705	790142	790365	789340	789421	790649	791101
23	"LOC114873001"	NA	chrOU015518.1	-	789601	789705	790649	790701	789340	789421	790864	791101
24	"LOC114873001"	NA	chrOU015518.1	-	790142	790365	790506	790591	789340	789421	790649	791101
31	"LOC114873803"	NA	chrOU015514.1	+	6698772	6698982	6699446	6699761	6697953	6698242	6700134	6700533
32	"LOC114880750"	NA	chrOU015510.1	-	20136	20388	20699	20830	19907	20037	21323	21365
36	"LOC114880700"	NA	chrOU015508.1	-	10321733	10321956	10330789	10331059	10313715	10313912	10331888	10332097
37	"LOC114876945"	NA	chrOU015510.1	+	5081848	5081946	5083463	5083499	5079992	5080246	5083947	5084047
39	"LOC114874669"	NA	chrOU015509.1	+	3180709	3180997	3183002	3183248	3180462	3180592	3183306	3183514
40	"LOC114875351"	NA	chrOU015510.1	+	6062393	6062449	6071561	6072572	6060937	6061034	6080548	6080716
41	"LOC114881376"	NA	chrOU015510.1	-	2039933	2039939	2050597	2050606	2036039	2036282	2059809	2059970
43	"LOC114880353"	NA	chrOU015517.1	+	7650234	7653142	7657521	7657711	7618898	7618982	7662864	7662978
45	"LOC114880889"	NA	chrOU015508.1	-	9845369	9845570	9863069	9863340	9838687	9838837	9875813	9876032
46	"LOC114880889"	NA	chrOU015508.1	-	9846062	9846186	9863069	9863340	9845369	9845570	9875813	9876032
47	"LOC114880889"	NA	chrOU015508.1	-	9863069	9863340	9875813	9876032	9846062	9846186	9917252	9918132
49	"LOC114874134"	NA	chrOU015505.1	-	2100726	2100735	2100854	2100950	2100399	2100537	2101130	2101265
51	"LOC114872087"	NA	chrOU015512.1	+	3484885	3484968	3486091	3486725	3483428	3484057	3490228	3490314
52	"LOC114878897"	NA	chrOU015509.1	+	5391931	5392264	5397136	5397208	5389405	5390149	5403873	5404243
53	"LOC114877355"	NA	chrOU015509.1	+	1874521	1874663	1874825	1874887	1874275	1874373	1875329	1875610
54	"LOC114879923"	NA	chrOU015511.1	+	9863506	9863929	9864386	9864609	9860236	9860767	9865405	9865542
56	"LOC114879076"	NA	chrOU015508.1	-	5245771	5246084	5247088	5247460	5244564	5244807	5309458	5309574
57	"LOC114878903"	NA	chrOU015509.1	+	5497086	5497119	5502933	5503339	5496712	5496834	5505154	5505281
58	"LOC114878903"	NA	chrOU015509.1	+	5502933	5503339	5505154	5505281	5496712	5497119	5506390	5506451
59	"LOC114871608"	NA	chrOU015509.1	-	2635281	2635335	2635871	2636018	2634466	2634590	2636260	2636360
61	"LOC114872092"	NA	chrOU015512.1	+	3347255	3347583	3347694	3347765	3346988	3347181	3348621	3348843
65	"LOC114871951"	NA	chrOU015504.1	+	11291078	11291163	11296922	11296955	11290253	11290336	11297748	11297832
67	"LOC114871208"	NA	chrOU015508.1	+	2291329	2291504	2295894	2295989	2287796	2287903	2297103	2297361
70	"LOC114871077"	NA	chrOU015508.1	+	2053547	2053717	2054041	2054103	2052633	2052917	2054393	2054476
73	"LOC114871077"	NA	chrOU015508.1	+	2053565	2053717	2054041	2054103	2052633	2052917	2054393	2054476
77	"LOC114882860"	NA	chrOU015507.1	+	4028841	4029008	4030350	4030527	4028238	4028749	4031663	4031797
79	"LOC114877931"	NA	chrOU015508.1	-	5582711	5584256	5586897	5587133	5576803	5582483	5597614	5597727
80	"LOC114880697"	NA	chrOU015508.1	-	10243896	10244026	10249941	10250111	10240576	10240691	10252943	10253223
81	"LOC114882762"	NA	chrOU015507.1	+	12510949	12511093	12511611	12511689	12510702	12510877	12512816	12512977
82	"LOC114882802"	NA	chrOU015507.1	+	12076218	12076352	12094210	12094465	12072267	12072432	12094631	12094756
83	"LOC114882802"	NA	chrOU015507.1	+	12094210	12094465	12094631	12094756	12076218	12076352	12094969	12095197
88	"LOC114880380"	NA	chrOU015513.1	-	5908381	5908441	5909070	5909232	5907779	5907923	5909341	5909626
89	"LOC114880380"	NA	chrOU015513.1	-	5908381	5908441	5909070	5909232	5907779	5907932	5909341	5909626
91	"LOC114874721"	NA	chrOU015507.1	+	9813779	9813905	9813990	9814149	9813650	9813709	9814211	9814400
92	"LOC114875691"	NA	chrOU015518.1	+	7463509	7463626	7465367	7465469	7463334	7463427	7466094	7467311
93	"LOC114871005"	NA	chrOU015508.1	-	1766488	1766563	1767046	1767102	1765923	1766238	1767554	1767690
94	"LOC114878382"	NA	chrOU015510.1	+	219703	219761	220294	220412	219102	219295	220755	220813
102	"LOC114881187"	NA	chrOU015507.1	+	6956414	6956457	6962552	6962941	6953713	6953901	6963357	6964011
107	"LOC114871833"	NA	chrOU015504.1	+	16338977	16339104	16339614	16339758	16338371	16338737	16339858	16339986
109	"LOC114883227"	NA	chrOU015507.1	-	2906139	2906280	2906631	2906965	2905748	2905895	2907210	2909913
112	"LOC114879681"	NA	chrOU015513.1	+	10667142	10667204	10668851	10668990	10664346	10664576	10669695	10670161
114	"LOC114872389"	NA	chrOU015508.1	+	8499524	8499680	8520274	8520645	8498678	8498746	8562302	8562374
115	"LOC114880413"	NA	chrOU015506.1	+	11259300	11259498	11262569	11262755	11246652	11247156	11269193	11269263
117	"LOC114876853"	NA	chrOU015509.1	+	6050246	6050328	6050766	6050850	6048837	6049023	6051120	6051298
118	"LOC114876853"	NA	chrOU015509.1	+	6050258	6050328	6050766	6050850	6048838	6049023	6051120	6051298
119	"LOC114872510"	NA	chrOU015506.1	+	9484260	9484284	9485859	9485946	9482968	9483381	9490021	9492334
120	"LOC114871916"	NA	chrOU015504.1	+	15892100	15892145	15893925	15893964	15890632	15890812	15896619	15896767
121	"LOC114872535"	NA	chrOU015506.1	-	9004311	9004324	9004634	9004672	9002552	9002622	9004866	9005177
123	"LOC114880753"	NA	chrOU015506.1	-	11499076	11499139	11501474	11501570	11497392	11497468	11502971	11503130
124	"LOC114880753"	NA	chrOU015506.1	-	11499076	11499139	11505437	11505587	11497392	11497468	11510647	11510704
125	"LOC114880753"	NA	chrOU015506.1	-	11499076	11499139	11510647	11510704	11497392	11497468	11518750	11518840
126	"LOC114880753"	NA	chrOU015506.1	-	11505437	11505587	11510647	11510704	11502971	11503130	11518750	11518840
127	"LOC114880753"	NA	chrOU015506.1	-	11510647	11510704	11518750	11518840	11505437	11505587	11527236	11527297
131	"LOC114874522"	NA	chrOU015509.1	+	4618618	4618770	4618912	4618951	4618386	4618548	4619039	4619460
134	"LOC114871729"	NA	chrOU015506.1	+	4931953	4932016	4932403	4932523	4931229	4931413	4933091	4933151
135	"LOC114871729"	NA	chrOU015506.1	+	4932403	4932523	4933091	4933151	4931953	4932016	4933389	4934860
136	"LOC114870982"	NA	chrOU015506.1	+	4828318	4828405	4828936	4829167	4827374	4827514	4833709	4833817
137	"LOC114870982"	NA	chrOU015506.1	+	4828318	4828405	4828936	4829167	4827374	4827514	4835179	4835389
145	"LOC114877236"	NA	chrOU015507.1	-	10188896	10189149	10191038	10191087	10186774	10186985	10213222	10213408
146	"LOC114872172"	NA	chrOU015519.1	+	7909368	7909501	7918861	7921829	7905310	7905462	7921933	7923571
147	"LOC114872172"	NA	chrOU015519.1	+	7909368	7909501	7925559	7925628	7905310	7905462	7929656	7930053
148	"LOC114872172"	NA	chrOU015519.1	+	7911954	7912023	7915632	7915717	7909368	7909501	7925559	7925628
150	"LOC114878034"	NA	chrOU015506.1	-	3288374	3288515	3288585	3288667	3288126	3288309	3288737	3288896
151	"LOC114880410"	NA	chrOU015508.1	+	4725103	4725242	4748359	4748485	4724451	4724669	4778491	4778939
152	"LOC114878656"	NA	chrOU015508.1	+	11322748	11322890	11330267	11330395	11320971	11321034	11332812	11333021
153	"LOC114878656"	NA	chrOU015508.1	+	11322748	11322890	11330267	11330401	11320971	11321034	11332812	11333021
154	"LOC114878656"	NA	chrOU015508.1	+	11322751	11322890	11330267	11330395	11320971	11321034	11332812	11333021
155	"LOC114878656"	NA	chrOU015508.1	+	11322751	11322890	11330267	11330401	11320971	11321034	11332812	11333021
156	"LOC114882681"	NA	chrOU015508.1	-	93310	93456	93605	93854	93117	93215	93947	94143
157	"LOC114877658"	NA	chrOU015511.1	+	10289810	10289972	10296654	10296847	10288782	10289020	10298380	10298664
158	"LOC114877587"	NA	chrOU015515.1	-	398728	398997	400929	401320	398418	398655	401439	401449
159	"LOC114877587"	NA	chrOU015515.1	-	398728	398997	400929	401449	398418	398655	415884	416466
160	"LOC114877587"	NA	chrOU015515.1	-	398728	398997	400929	401449	398418	398655	425276	425826
241	"LOC114872364"	NA	chrOU015506.1	-	5246994	5247068	5247347	5247454	5246555	5246858	5247542	5247671
242	"LOC114875862"	NA	chrOU015505.1	-	14031753	14031897	14032043	14032336	14031577	14031692	14032492	14033053
244	"LOC114874017"	NA	chrOU015510.1	-	506309	509914	511120	511335	505899	505964	511941	512258
245	"LOC114871155"	NA	chrOU015508.1	-	1235446	1235576	1240521	1240625	1229233	1229299	1250010	1250133
246	"LOC114871155"	NA	chrOU015508.1	-	1235446	1235576	1240521	1240625	1229233	1229299	1266204	1267641
247	"LOC114875909"	NA	chrOU015517.1	+	4935598	4935801	4946253	4946467	4926107	4928494	4950340	4950792
248	"LOC114883033"	NA	chrOU015505.1	+	9076896	9076931	9077813	9077922	9076175	9076817	9078226	9078288
249	"LOC114875983"	NA	chrOU015514.1	-	6070372	6070560	6077544	6077790	6070047	6070299	6101768	6102254
250	"LOC114882923"	NA	chrOU015504.1	-	8499761	8499879	8500041	8500182	8499499	8499661	8501271	8501449
251	"LOC114882923"	NA	chrOU015504.1	-	8499761	8499879	8500041	8500182	8499499	8499661	8501336	8501464
252	"LOC114882923"	NA	chrOU015504.1	-	8499761	8499879	8500041	8500182	8499499	8499661	8501426	8501509
254	"LOC114878743"	NA	chrOU015518.1	-	1951681	1951881	1952227	1952288	1951512	1951622	1952493	1952675
255	"LOC114875441"	NA	chrOU015504.1	-	7275036	7275178	7283506	7283607	7271353	7271916	7284085	7284209
262	"LOC114871975"	NA	chrOU015509.1	+	7352575	7352658	7354122	7354336	7346124	7346359	7360376	7360584
265	"LOC114871851"	NA	chrOU015504.1	+	17007827	17008097	17008503	17008743	17007209	17007580	17009120	17009556
267	"LOC114879650"	NA	chrOU015513.1	-	10511530	10511596	10512497	10512732	10511018	10511350	10512813	10512994
268	"LOC114878208"	NA	chrOU015515.1	-	8491854	8491914	8498620	8498990	8439780	8439875	8508083	8508171
269	"LOC114871346"	NA	chrOU015515.1	+	4334896	4335436	4349214	4349499	4333912	4334007	4349787	4349996
286	"LOC114877410"	NA	chrOU015512.1	-	465218	465394	465909	465986	462248	463459	466194	466347
288	"LOC114872610"	NA	chrOU015516.1	-	6133499	6133641	6156508	6156666	6126786	6126954	6160955	6161053
290	"LOC114872016"	NA	chrOU015505.1	+	6310350	6310383	6377878	6378088	6279827	6279863	6440475	6440712
291	"LOC114871127"	NA	chrOU015508.1	+	1482902	1483324	1487821	1487939	1476889	1477048	1489012	1489208
295	"LOC114878683"	NA	chrOU015517.1	-	358397	358700	359096	359192	357254	357664	359607	359896
296	"LOC114872821"	NA	chrOU015504.1	-	12674568	12674670	12681592	12681717	12674004	12674264	12683293	12683441
300	"LOC114872288"	NA	chrOU015508.1	-	8217428	8217440	8258486	8258594	8196277	8196376	8258934	8258970
302	"LOC114875205"	NA	chrOU015511.1	-	9778793	9778920	9779206	9779250	9778285	9778373	9779381	9779522
303	"LOC114875205"	NA	chrOU015511.1	-	9778793	9778930	9779206	9779250	9778285	9778373	9779381	9779522
307	"LOC114879072"	NA	chrOU015514.1	+	3394438	3394574	3408810	3408926	3377021	3377329	3415253	3415350
309	"LOC114878606"	NA	chrOU015514.1	-	1293679	1293802	1294015	1294198	1293063	1293307	1294935	1295007
310	"LOC114878606"	NA	chrOU015514.1	-	1293792	1293802	1294015	1294198	1293329	1293647	1294935	1295007
311	"LOC114878606"	NA	chrOU015514.1	-	1294015	1294198	1294935	1295007	1293063	1293307	1295120	1295293
312	"LOC114878606"	NA	chrOU015514.1	-	1294015	1294198	1294935	1295007	1293679	1293802	1295120	1295293
313	"LOC114875432"	NA	chrOU015504.1	-	7247277	7247470	7254855	7254948	7240058	7240250	7266562	7266914
314	"LOC114879294"	NA	chrOU015515.1	+	723046	723232	723310	723445	722589	722738	723660	723863
317	"LOC114878692"	NA	chrOU015505.1	-	12922044	12922235	12927398	12927471	12918395	12918533	12934125	12935168
318	"LOC114882394"	NA	chrOU015508.1	-	429847	430022	430616	430780	429112	429313	430965	431302
320	"LOC114877793"	NA	chrOU015505.1	+	10218921	10219237	10224013	10224164	10218622	10218824	10224842	10225080
322	"LOC114879956"	NA	chrOU015507.1	-	5747282	5747387	5752516	5752725	5735168	5735310	5754399	5754553
323	"LOC114872113"	NA	chrOU015512.1	-	2831073	2831127	2833463	2833530	2827669	2828042	2853995	2854767
324	"LOC114880666"	NA	chrOU015512.1	-	7374973	7375070	7376296	7376417	7373262	7373470	7378833	7378961
325	"LOC114880666"	NA	chrOU015512.1	-	7374973	7375070	7376296	7376420	7373262	7373470	7378833	7378961
326	"LOC114880666"	NA	chrOU015512.1	-	7374973	7375070	7376296	7376417	7373262	7373470	7380652	7380995
327	"LOC114880666"	NA	chrOU015512.1	-	7374973	7375070	7376296	7376420	7373262	7373470	7380652	7380995
328	"LOC114877140"	NA	chrOU015505.1	-	13585035	13585306	13585362	13585470	13584663	13584946	13585541	13585639
329	"LOC114873601"	NA	chrOU015516.1	+	9307602	9307716	9310443	9310543	9306462	9306801	9310918	9311180
330	"LOC114871637"	NA	chrOU015509.1	+	2442015	2442216	2442965	2443140	2441110	2441621	2449320	2449490
331	"LOC114881108"	NA	chrOU015504.1	-	3960468	3960737	3973816	3973974	3959036	3959283	3979522	3979663
337	"LOC114873634"	NA	chrOU015516.1	-	9024599	9024857	9024932	9025000	9024384	9024487	9025072	9025205
338	"LOC114880854"	NA	chrOU015504.1	-	3808897	3809272	3816846	3816996	3807109	3807382	3836603	3836860
339	"LOC114870916"	NA	chrOU015504.1	+	14432082	14432253	14432742	14432832	14431687	14431754	14432960	14433053
340	"LOC114872165"	NA	chrOU015507.1	+	3614778	3614934	3615511	3615666	3613846	3613965	3616574	3616703
341	"LOC114873184"	NA	chrOU015515.1	+	2172718	2173086	2180019	2180126	2168939	2169190	2182722	2182796
342	"LOC114873184"	NA	chrOU015515.1	+	2172718	2173086	2180023	2180126	2168939	2169190	2182722	2182796
345	"LOC114874966"	NA	chrOU015507.1	+	11152645	11152726	11152959	11153044	11151777	11151885	11153103	11153286
347	"LOC114875962"	NA	chrOU015514.1	+	5961091	5961196	5961254	5961361	5960866	5960965	5961420	5961506
348	"LOC114882806"	NA	chrOU015508.1	-	509417	509516	509986	510143	509219	509309	510454	510815
350	"LOC114880408"	NA	chrOU015505.1	-	11986383	11986528	11987134	11987245	11985843	11986302	11987685	11987796
351	"LOC114880408"	NA	chrOU015505.1	-	11986383	11986528	11987685	11987796	11985843	11986302	11987937	11988086
352	"LOC114880408"	NA	chrOU015505.1	-	11987134	11987245	11987685	11987796	11986383	11986528	11987937	11988086
353	"LOC114879111"	NA	chrOU015505.1	+	945139	945184	948306	948315	943201	944568	949699	949891
354	"LOC114873952"	NA	chrOU015515.1	+	5607937	5608559	5617087	5617207	5603217	5603402	5628414	5628847
355	"LOC114876207"	NA	chrOU015505.1	-	1540715	1541010	1543176	1543239	1538019	1538161	1557345	1557702
356	"LOC114876215"	NA	chrOU015505.1	-	1565432	1565656	1568900	1569029	1564795	1564953	1572968	1573051
358	"LOC114876069"	NA	chrOU015506.1	-	380048	380201	385378	385735	379524	379641	412909	413014
359	"LOC114878883"	NA	chrOU015505.1	+	4258161	4258357	4283081	4283537	4247117	4247375	4285274	4285481
