ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
3	"LOC114880064"	NA	chrOU015519.1	+	8095171	8095305	8094712	8095066	8095437	8095633
4	"LOC114880048"	NA	chrOU015519.1	+	8004613	8004866	8004008	8004352	8004933	8005168
6	"LOC114872167"	NA	chrOU015519.1	+	7948579	7948704	7948343	7948499	7948777	7948930
7	"LOC114872170"	NA	chrOU015519.1	+	7945806	7945819	7945584	7945730	7945972	7946376
8	"LOC114872168"	NA	chrOU015519.1	-	7939815	7939906	7939526	7939747	7939967	7940089
9	"LOC114872196"	NA	chrOU015519.1	+	7843722	7843859	7843011	7843082	7843955	7844072
10	"LOC114872242"	NA	chrOU015519.1	+	7599952	7600119	7599745	7599883	7600186	7600421
13	"LOC114872247"	NA	chrOU015519.1	+	7106945	7107100	7099666	7100077	7107249	7107437
14	"LOC114872247"	NA	chrOU015519.1	+	7108109	7108271	7107920	7108023	7108881	7109114
15	"LOC114872263"	NA	chrOU015519.1	+	7009573	7009669	7004293	7004636	7059311	7059389
16	"LOC114879964"	NA	chrOU015519.1	+	6694999	6695217	6693843	6694097	6695298	6695388
17	"LOC114879963"	NA	chrOU015519.1	-	6692713	6692836	6692477	6692641	6692929	6693097
19	"LOC114879144"	NA	chrOU015519.1	-	6535081	6535190	6534514	6534837	6535912	6536007
20	"LOC114879144"	NA	chrOU015519.1	-	6535081	6535190	6534514	6534837	6536013	6536218
21	"LOC114879144"	NA	chrOU015519.1	-	6535324	6535572	6535081	6535190	6535912	6536007
22	"LOC114879144"	NA	chrOU015519.1	-	6535324	6535572	6535081	6535190	6536013	6536218
28	"LOC114879140"	NA	chrOU015519.1	+	6596900	6597046	6595095	6595267	6599860	6600086
35	"LOC114879140"	NA	chrOU015519.1	+	6603539	6603592	6601109	6601209	6606799	6606906
38	"LOC114879140"	NA	chrOU015519.1	+	6606799	6606906	6603539	6603592	6607552	6607638
39	"LOC114879151"	NA	chrOU015519.1	+	6504944	6505483	6503963	6504281	6505542	6505618
40	"LOC114879151"	NA	chrOU015519.1	+	6504944	6505483	6503963	6504281	6506149	6506810
41	"LOC114879151"	NA	chrOU015519.1	+	6504950	6505483	6503963	6504281	6505542	6505618
42	"LOC114879151"	NA	chrOU015519.1	+	6504950	6505483	6503963	6504281	6506149	6506562
43	"LOC114879151"	NA	chrOU015519.1	+	6505542	6505618	6503963	6504281	6506149	6506562
44	"LOC114879151"	NA	chrOU015519.1	+	6505542	6505618	6504944	6505483	6506149	6506562
45	"LOC114879151"	NA	chrOU015519.1	+	6505704	6505890	6505542	6505618	6506149	6506562
49	"LOC114880459"	NA	chrOU015519.1	-	6285497	6285662	6285231	6285427	6285739	6285850
50	"LOC114880479"	NA	chrOU015519.1	+	6264429	6264531	6262726	6264236	6264810	6264951
51	"LOC114880476"	NA	chrOU015519.1	+	6246873	6246940	6246604	6246768	6247119	6247211
52	"LOC114880476"	NA	chrOU015519.1	+	6246873	6246940	6246604	6246768	6248044	6248129
53	"LOC114880476"	NA	chrOU015519.1	+	6246873	6247008	6246604	6246768	6247119	6247210
54	"LOC114880476"	NA	chrOU015519.1	+	6246873	6247008	6246604	6246768	6248044	6248129
55	"LOC114880470"	NA	chrOU015519.1	-	6219367	6219665	6218929	6219290	6219732	6219967
56	"LOC114881872"	NA	chrOU015519.1	-	6166431	6166544	6166253	6166353	6167124	6167331
57	"LOC114876707"	NA	chrOU015519.1	-	6106377	6106459	6105932	6106253	6106537	6106920
59	"LOC114876703"	NA	chrOU015519.1	-	6022042	6022090	6021613	6021747	6022661	6022800
60	"LOC114876703"	NA	chrOU015519.1	-	6022042	6022090	6021613	6021747	6022709	6022855
63	"LOC114876653"	NA	chrOU015519.1	-	5766409	5776399	5764737	5765246	5777238	5777339
64	"LOC114876654"	NA	chrOU015519.1	-	5757727	5757772	5757385	5757472	5758045	5758171
65	"LOC114876654"	NA	chrOU015519.1	-	5757727	5757772	5757385	5757472	5758263	5758399
66	"LOC114876654"	NA	chrOU015519.1	-	5758045	5758171	5757385	5757472	5758263	5758399
67	"LOC114876654"	NA	chrOU015519.1	-	5758045	5758171	5757727	5757772	5758263	5758399
68	"LOC114876658"	NA	chrOU015519.1	+	5749207	5749523	5748512	5748934	5749918	5749955
69	"LOC114876658"	NA	chrOU015519.1	+	5750714	5750921	5750045	5750323	5751008	5751224
70	"LOC114876658"	NA	chrOU015519.1	+	5751008	5751224	5750045	5750323	5751341	5753670
74	"LOC114876695"	NA	chrOU015519.1	-	5608141	5608236	5607836	5608032	5608412	5608504
75	"LOC114871553"	NA	chrOU015519.1	-	5187866	5187900	5186890	5186983	5189752	5189955
78	"LOC114871553"	NA	chrOU015519.1	-	5296365	5296445	5252152	5252257	5330182	5330337
83	"LOC114871522"	NA	chrOU015519.1	+	4784506	4785775	4771210	4771417	4824129	4824318
84	"LOC114871522"	NA	chrOU015519.1	+	4784506	4785814	4771204	4771417	4824129	4824318
85	"LOC114871522"	NA	chrOU015519.1	+	4826791	4826824	4824129	4824318	4827893	4827914
87	"LOC114871522"	NA	chrOU015519.1	+	4827893	4827914	4824129	4824318	4840436	4840538
89	"LOC114871522"	NA	chrOU015519.1	+	4834942	4835603	4831026	4831322	4840436	4840538
90	"LOC114871522"	NA	chrOU015519.1	+	4840617	4840682	4840436	4840538	4840775	4840888
91	"LOC114871550"	NA	chrOU015519.1	-	4621093	4621283	4619725	4620117	4628891	4629392
93	"LOC114871547"	NA	chrOU015519.1	+	4427034	4427197	4425996	4426121	4430488	4430615
95	"LOC114871547"	NA	chrOU015519.1	+	4432004	4432101	4430488	4430615	4433328	4433416
96	"LOC114871547"	NA	chrOU015519.1	+	4432613	4432710	4432004	4432101	4433138	4433223
97	"LOC114871547"	NA	chrOU015519.1	+	4433138	4433223	4432004	4432101	4433328	4433416
98	"LOC114871547"	NA	chrOU015519.1	+	4433328	4433416	4430488	4430615	4434371	4434668
100	"LOC114871547"	NA	chrOU015519.1	+	4434793	4435114	4434371	4434668	4435275	4436896
101	"LOC114871537"	NA	chrOU015519.1	+	4255926	4256570	4254950	4255109	4257267	4257922
102	"LOC114871537"	NA	chrOU015519.1	+	4256663	4256745	4255926	4256570	4257267	4257922
104	"LOC114879066"	NA	chrOU015519.1	-	4187544	4187838	4187046	4187157	4188753	4188833
105	"LOC114879060"	NA	chrOU015519.1	+	4179644	4179822	4178890	4179182	4180487	4180680
106	"LOC114879060"	NA	chrOU015519.1	+	4182455	4182624	4182202	4182330	4183430	4183514
108	"LOC114879062"	NA	chrOU015519.1	-	4176364	4176421	4174669	4174849	4177914	4178100
110	"LOC114879054"	NA	chrOU015519.1	+	4073747	4074080	4072221	4072768	4075359	4075730
111	"LOC114879042"	NA	chrOU015519.1	-	3951361	3951496	3948738	3948858	3951877	3952323
112	"LOC114879042"	NA	chrOU015519.1	-	3951368	3951496	3948738	3948858	3951877	3952323
115	"LOC114880251"	NA	chrOU015519.1	+	3759716	3759860	3759469	3759652	3760304	3760457
116	"LOC114880249"	NA	chrOU015519.1	-	3746750	3746876	3746446	3746661	3746940	3747082
117	"LOC114880249"	NA	chrOU015519.1	-	3748377	3748564	3747727	3747854	3749004	3749280
118	"LOC114880249"	NA	chrOU015519.1	-	3748377	3748564	3747727	3747854	3749286	3749439
120	"LOC114880249"	NA	chrOU015519.1	-	3748377	3748564	3747727	3747854	3750136	3750342
121	"LOC114880249"	NA	chrOU015519.1	-	3748377	3748564	3747727	3747854	3750382	3750467
