Orthogroup	Nasonia_vitripennis	Tribolium_castaneum
OG0000000	XP_031777452.1, XP_031781161.1, XP_032457929.1, XP_031777424.1	XP_015839988.1
OG0000001	NP_001166007.1, NP_001165974.1, NP_001166008.1, XP_001606687.2, XP_001607043.2, NP_001166004.1, NP_001166003.1, XP_001602787.1	NP_001137200.1, XP_008192267.1, NP_001177722.1, XP_975563.1, NP_001280531.1, NP_001164249.1, XP_015834314.1, NP_001280532.1, XP_015834315.1, XP_975569.1, XP_008192269.1, XP_975562.1, XP_008192266.1, XP_015834510.1, XP_015834511.1
OG0000001	XP_032451623.1, XP_032451622.1, XP_008208821.1, XP_001599214.2, XP_032451621.1	XP_969875.1
OG0000001	XP_001603508.1, NP_001165940.1, XP_001599460.2, NP_001165997.1, NP_001165995.1, NP_001165996.1, XP_001599361.4, NP_001165998.1	XP_966774.1, XP_015833657.1, XP_970561.1, XP_970633.1, XP_015835338.1, XP_008194912.1
OG0000002	NP_001177430.1, NP_001177429.1, NP_001177432.1, NP_001177433.1, XP_032453629.1, NP_001177435.1, NP_001177467.1, NP_001177434.1, NP_001177431.1	XP_015839871.1
OG0000003	XP_031779857.1	XP_015840258.1
OG0000003	XP_031777339.1	XP_008200522.1, XP_015840079.1, XP_015837003.1
OG0000003	XP_031779781.1, XP_031783173.1, XP_016844361.3, XP_008204128.1, XP_031789079.1	XP_008199212.2
OG0000004	XP_008212369.2	XP_008200478.1, XP_008200487.1
OG0000006	XP_032452238.1, NP_001164401.1, NP_001177520.1, XP_016838735.1, NP_001177519.1, NP_001177521.1, NP_001177518.1, NP_001177522.1, NP_001164458.1, XP_031778329.1, XP_031786753.1, NP_001177525.1, XP_016841654.1, NP_001177526.1, XP_016841652.1, NP_001177524.1	XP_008192407.1, XP_015839178.1
OG0000007	XP_031778752.1	XP_015837969.1
OG0000007	XP_008213174.1	XP_015837964.1
OG0000008	XP_001602085.1	XP_972338.1
OG0000008	XP_008205990.2	XP_972175.3
OG0000008	XP_031788628.1	XP_969421.1
OG0000008	XP_003424681.1, XP_031782089.1, XP_016845733.1, XP_003427944.1, XP_003424536.2, XP_001602364.1, XP_016844951.1, XP_016843209.1	XP_008191987.1, XP_972532.1
OG0000008	XP_001602133.1	XP_972430.2
OG0000008	XP_001600419.1	XP_015836551.1, XP_015836552.1
OG0000008	XP_032456689.1, XP_032456688.1, XP_001601943.1	XP_008191970.1
OG0000009	XP_032456865.1, NP_001166017.1, XP_031788634.1, XP_031788637.1, NP_001166016.1, XP_031788638.1, NP_001165945.1, NP_001166009.1, NP_001166010.1, XP_001608020.1, XP_001608016.1, NP_001166011.1, NP_001166012.1, XP_001603857.1, XP_001605061.4, NP_001166013.1, XP_003423799.1, XP_003423800.1, XP_003423798.1, NP_001165942.1, XP_001608022.1	XP_008200085.1, XP_008197409.1, XP_015838530.1, XP_015838531.1, XP_015838490.1, XP_008197433.1, XP_008197432.2, XP_008197346.1, NP_001034541.1, XP_015838491.1, XP_008194628.1, XP_015838026.1, XP_015838027.1, XP_975385.1, NP_001164248.1, XP_015838170.1, NP_001123895.1, NP_001127706.1, XP_015838024.1, XP_972546.1, XP_973619.2
OG0000010	XP_031777480.1, XP_031788732.1, XP_031781364.1, XP_031777465.1, XP_031788839.1, XP_031781789.1, XP_031789236.1, XP_031786424.1, XP_031777471.1, XP_008213909.1, XP_008208132.1, XP_031788414.1	XP_008191471.1
OG0000012	NP_001166049.1, XP_032452528.1, XP_008205022.1, XP_008205021.1, XP_031781824.1, NP_001166051.1, XP_031778733.1, NP_001166074.1, XP_016836975.1, NP_001166093.1, XP_008204755.1, XP_016837090.2, NP_001155845.1, XP_001599663.2, XP_003425960.1, XP_001604966.2, NP_001166088.1, XP_001603672.1	XP_008192552.1
OG0000013	XP_001599179.2	XP_969677.1
OG0000013	XP_001607608.3, XP_031777922.1, XP_031777921.1	XP_966487.1
OG0000013	XP_001608166.1, XP_001608174.1	XP_008197392.1
OG0000014	XP_003424032.1, XP_003424031.1, XP_031777920.1, XP_008202922.2, XP_016839318.1, XP_031778022.1, XP_001607834.1, XP_001605477.2, XP_003427402.1, XP_003427829.1	XP_015840416.1, XP_008196666.2, XP_008201493.1, XP_008195798.2, XP_008193830.1
OG0000015	XP_031789010.1, XP_008202049.2, XP_031779863.1, XP_031788347.1	XP_015839984.1, XP_015834077.1
OG0000015	XP_008212376.1, XP_031789009.1, XP_031788343.1, XP_032458064.1, XP_031789178.1, XP_008202508.2, XP_016843648.1	XP_008199215.1, XP_015840019.1
OG0000016	XP_031782910.1, XP_031785914.1, XP_031785821.1, XP_032457816.1, XP_031786062.1, XP_031788870.1, XP_008206132.1, XP_031782977.1	XP_015840352.1, XP_015840124.1
OG0000017	NP_001165913.1, NP_001165914.1	XP_015834775.1, XP_974273.1
OG0000018	XP_008214580.1	XP_008200429.1
OG0000018	XP_001604347.2	XP_008194092.1, XP_969781.1
OG0000018	XP_032455220.1, XP_001603263.2, XP_001603558.2, XP_001603825.1	XP_969849.1, XP_008194093.1, XP_008193834.1
OG0000019	XP_032454031.1, XP_008206500.1, XP_032457652.1, XP_031776844.1	XP_975378.1
OG0000019	XP_016841509.1, XP_031783474.1, XP_003424417.1	XP_973103.2, XP_973187.1, XP_008192578.1, XP_001813143.1, XP_973063.1
OG0000019	XP_031777606.1, XP_008213182.2, XP_016840785.1, XP_001602620.2	XP_973324.1
OG0000019	XP_031783671.1	XP_972874.1, XP_015834337.1, XP_008192577.2
OG0000021	XP_032452884.1, XP_016845846.1, XP_001607795.1	XP_015838406.1, XP_015838407.1, XP_008197201.1
OG0000021	XP_031782052.1, XP_008203719.1	XP_015838169.1
OG0000021	XP_001603725.1	XP_008197404.1
OG0000021	XP_001601834.2	XP_008197199.1
OG0000021	XP_008201868.1	XP_008196932.1
OG0000022	XP_016836664.1, XP_031778026.1, XP_001607891.1, XP_001599199.1, XP_001599641.1, XP_001607931.1, XP_001608227.1, XP_031778029.1, XP_031778028.1, XP_031787981.1, XP_031787980.1, XP_001599883.1, XP_001603712.1, XP_001607947.1, XP_001607826.1, XP_032456654.1, XP_008202870.1, XP_001607717.1, XP_016843625.1, XP_001606447.1, XP_001600014.1	XP_966580.1, XP_966943.2, XP_973583.2, XP_974617.2, XP_967411.1
OG0000024	XP_008216554.1	XP_970056.2
OG0000024	XP_003425961.1, XP_016838044.1, XP_001606051.1, XP_001599715.1, XP_001599851.1, XP_001606577.2, XP_001604918.1, XP_001604981.1, XP_008209485.1, XP_008209484.1, XP_001600270.1	XP_968973.1, XP_015836276.1, XP_970629.1, XP_968453.1, XP_969481.3, XP_966714.3, XP_015836397.1, XP_970153.3, XP_970128.4, XP_969915.1, XP_008195025.1, XP_970890.1, XP_015836275.1, XP_008194723.1, XP_015836190.1, XP_015836389.1
OG0000026	XP_032452024.1	XP_015833705.1
OG0000026	XP_008204831.1	XP_008193329.1
OG0000026	XP_008210347.1, XP_016840213.1, XP_016840212.1, XP_031782078.1, XP_031782077.1, XP_031782079.1	XP_966472.1
OG0000026	XP_001599637.2, XP_001599666.2	XP_015840897.1
OG0000027	XP_001599471.2	XP_008199927.1
OG0000027	XP_001600560.1, XP_031785593.1, XP_031785592.1	XP_008199050.2
OG0000029	XP_031787434.1, NP_001166269.1, NP_001166268.1, NP_001166270.1, NP_001166276.1, NP_001166277.1, XP_032455898.1, NP_001153407.1, NP_001161335.1	XP_008201392.1, XP_967557.1, XP_015839833.1, XP_015839837.1, XP_971332.1
OG0000029	NP_001166265.1, NP_001166275.1, NP_001161319.1, NP_001166272.1	XP_015840495.1, XP_008201389.1, XP_008201390.1
OG0000030	XP_031776890.1, XP_032457890.1, XP_001600309.1, XP_031776892.1, XP_008217013.1	XP_015837668.1, XP_972973.1, XP_008195701.1, XP_971355.1, XP_015837936.1, XP_008197791.2, XP_008197787.1, XP_971534.2
OG0000032	XP_016838416.1	XP_001807564.1
OG0000032	XP_001600583.1	XP_008200043.1
OG0000032	XP_001605911.2	XP_008199233.1
OG0000032	XP_031787250.1	XP_008197173.2
OG0000032	XP_001608012.1, NP_001164368.1, XP_003426142.1, XP_016840393.1, NP_001164369.1	XP_969958.1, XP_970026.1
OG0000035	XP_016838618.1, XP_032453168.1, XP_031780251.1, XP_008204964.1	XP_008191815.1, XP_008191817.1, XP_971626.2, XP_008191746.2, XP_008191790.1
OG0000036	XP_001607369.1, XP_031776621.1, XP_032451907.1, XP_032451908.1, XP_008215341.1, NP_001155022.1, XP_031776641.1, XP_003423856.1, XP_032451911.1, XP_016845877.1, XP_008215340.1	XP_967476.1, XP_001811753.1
OG0000037	XP_008216622.1, XP_008216623.1	XP_008192993.1, XP_015835222.1, XP_970216.2, XP_008193006.2, XP_008193010.2, XP_015835218.1, XP_966991.2, XP_015835223.1, XP_001809825.2, XP_015835468.1, XP_968523.2, XP_015835220.1, XP_015835221.1, XP_008190973.2, XP_970770.1, XP_970895.1, XP_008200145.1
OG0000038	XP_031786847.1, XP_032452100.1	XP_966584.1
OG0000039	XP_031778424.1	XP_008191547.1
OG0000040	NP_001166071.1, XP_001607047.2, XP_016836762.1, XP_008203154.1, NP_001166072.1, XP_031787073.1	NP_001161088.1
OG0000040	XP_001607871.2, XP_031788471.1, XP_031783595.1, XP_032452313.1, XP_032456102.1, XP_016837475.1, XP_016836866.1, NP_001166253.1, XP_032457056.1, NP_001166073.1, NP_001166069.1, XP_016838948.1, NP_001166068.1, XP_016838625.2, XP_001605658.3, XP_031779738.1, XP_032453050.1, NP_001166054.1, XP_016837013.1	NP_001161129.1, XP_008193161.1, NP_001161087.1, XP_970321.1, NP_001161083.1
OG0000041	XP_032453601.1, NP_001157191.1, NP_001157192.1	NP_001165843.1, NP_001165844.1
OG0000041	XP_001600960.1, XP_001601342.1	XP_008199969.1, XP_966415.1, XP_008199982.1, XP_966495.1
OG0000041	XP_001601504.1, XP_016845814.1	XP_967305.1
OG0000042	XP_008205137.1, XP_008205135.1, XP_008205136.1	XP_008194542.2, NP_001306196.1, NP_001306192.1, XP_008197185.1, XP_015839870.1, XP_015839869.1, XP_015839872.1, XP_015839873.1, XP_015839874.1, XP_008197171.1, XP_008191083.1, NP_001137206.1, XP_968970.1, NP_001306194.1, NP_001306195.1, XP_008194716.1
OG0000042	XP_001607893.1	XP_974033.1, XP_015840580.1
OG0000042	XP_003425691.1, XP_032453872.1, XP_032453871.1, XP_031783785.1, XP_031783782.1, XP_031783784.1, XP_031783783.1	XP_008198874.1, NP_001182164.1, XP_008199928.1, NP_001180578.1
OG0000043	XP_008208463.1	XP_008193777.1, NP_001039289.1
OG0000044	XP_001602131.2	NP_001164285.1
OG0000044	XP_031788192.1	XP_008200957.1
OG0000044	XP_016842461.1	XP_008190382.2
OG0000045	XP_001604688.1, XP_001604507.3, XP_001604459.1, NP_001153339.1, NP_001153340.1, XP_001604662.2	XP_015834974.1, XP_015834972.1
OG0000046	XP_001604460.2	XP_008200986.2, XP_015838368.1
OG0000046	XP_001599773.3, XP_031779567.1, XP_001604951.2	NP_001164199.1, NP_001164200.1, XP_974442.1, NP_001164098.1
OG0000046	XP_032452163.1, NP_001166228.1, XP_001608044.1	XP_966611.1
OG0000048	XP_003426470.1	XP_008193917.1
OG0000049	XP_031781770.1, XP_031777956.1	XP_015840032.1, XP_015840259.1, XP_015839930.1, XP_015840220.1, XP_015840324.1, XP_015837476.1, XP_008194621.1
OG0000049	XP_031781361.1, XP_031777338.1, XP_031789251.1, XP_031785875.1	XP_015839705.1, XP_015837946.1, XP_015840443.1
OG0000050	NP_001165950.1, XP_003427743.2, XP_001602331.2, NP_001165951.1, XP_032455970.1, NP_001165962.1, NP_001165960.1, NP_001165958.1, NP_001165947.1, XP_008212266.2, XP_008216259.1, XP_001608200.1	XP_967835.1, XP_967268.2, XP_008195484.1, XP_967439.2, NP_001034512.1, NP_001034534.1, XP_008195481.1, XP_967916.2, XP_015838352.1, XP_015840854.1
OG0000052	XP_001607313.2, XP_031779680.1, XP_016838631.1	XP_015838429.1, XP_008197309.1, XP_974366.1, XP_015838434.1, XP_974340.1, XP_974289.1, XP_015838419.1, XP_008197312.1, XP_974427.1
OG0000052	XP_031779622.1, XP_003428054.1, XP_031776989.1, XP_001601084.2, XP_001602124.1, XP_016837116.1, XP_001602148.2, XP_001600160.2, XP_016838653.2, XP_008207931.1, XP_001602097.1, XP_031778518.1, XP_032452509.1, XP_016838309.1, XP_031778517.1, XP_031778516.1, XP_001600185.1, XP_001602071.1	XP_008197196.2, XP_008197191.1
OG0000054	XP_016837121.1, XP_001602743.1, NP_001161317.1, XP_031780215.1, XP_031780249.1, XP_001602894.2	XP_970381.1
OG0000055	XP_001602853.1	XP_971821.3
OG0000055	XP_008215920.1	XP_969454.3
OG0000055	XP_001600035.1, XP_008208159.3	XP_008194095.1
OG0000055	XP_008202483.2, XP_031777451.1, XP_008202440.2	XP_008194350.1
OG0000056	XP_031780252.1, XP_001604931.2	XP_015835680.1
OG0000056	XP_008202999.3	XP_008197222.1
OG0000056	XP_008204847.1	XP_015834565.1
OG0000056	XP_032455826.1	XP_015839288.1
OG0000056	XP_031784842.1	XP_970084.2
OG0000057	XP_031785452.1	XP_967267.1
OG0000057	XP_001602360.1	XP_969993.1
OG0000057	XP_003427519.1	XP_967348.1
OG0000057	XP_001600234.1, XP_001606290.1	XP_968314.1
OG0000060	XP_031784439.1, XP_031784422.1, XP_031784431.1	XP_008194927.2
OG0000060	XP_008205703.1, XP_016845553.1, XP_016845554.1, XP_016845551.1, XP_016845552.1	XP_015836433.1, XP_973431.2, XP_008194835.1, XP_008194834.1, XP_008194832.1, XP_015836434.1
OG0000061	XP_031786737.1, NP_001164380.1	XP_969936.2
OG0000062	XP_003425371.1, XP_032453005.1, XP_001604985.1, XP_003425370.1, XP_001605148.1, XP_008202211.1	XP_973442.1, XP_974390.1, XP_966780.1, XP_974367.1, XP_973378.1, XP_973344.1, XP_975377.1
OG0000063	XP_031784224.1, XP_032458024.1, XP_031784373.1, XP_032457267.1, XP_031781630.1, XP_031782179.1, XP_031784220.1	XP_015837412.1
OG0000065	XP_001606156.1, XP_016836539.1, XP_016836538.1, XP_016836540.1, XP_008215330.1, XP_008215325.1, XP_008215326.1	XP_015834020.1
OG0000065	XP_001605553.3, XP_032454719.1, XP_032453000.1, XP_008205745.1, XP_031776818.1, XP_001607018.2	XP_969514.1, XP_008198984.1, XP_008198951.1, XP_966889.1, XP_015837535.1, XP_015834023.1, XP_015834022.1
OG0000066	XP_031784236.1, XP_031781387.2	XP_015840033.1
OG0000067	XP_001605420.2	XP_008200210.1
OG0000067	XP_031788440.1	NP_001164095.1, XP_008200192.1
OG0000067	XP_008209138.1	XP_008198995.1
OG0000068	XP_016843017.2, XP_016844168.1, XP_032457246.1, XP_001605652.1, XP_031778765.1, XP_008209196.1, XP_031777573.1, XP_031789062.1, XP_032456103.1, XP_031781861.1, XP_032457240.1, XP_031779801.1, XP_016844694.1, XP_016843061.1, XP_008212693.2, XP_031784178.1, XP_031783922.1, XP_031777069.1, XP_031788795.1	XP_015840125.1, XP_015837077.1, XP_015840120.1
OG0000069	XP_031782526.1, XP_032453936.1, XP_008210453.1, XP_031787743.1, XP_031787545.1, XP_032457315.1, XP_031777449.1, XP_031777448.1, XP_001603733.2, XP_032453221.1, XP_032453241.1, XP_031777616.1, XP_031777617.1	XP_008191789.1
OG0000071	XP_001602581.1, XP_031788357.1, XP_016840145.2	XP_015835156.1
OG0000072	XP_008213440.1	XP_015840428.1
OG0000072	XP_031789247.1	XP_015840056.1
OG0000076	XP_031788956.1, XP_031778430.1, XP_031789008.1	XP_015840141.1
OG0000077	XP_003423914.1	XP_008200285.1
OG0000077	XP_001605700.1, XP_008203901.1	XP_008194480.2, XP_971466.1, XP_015836196.1
OG0000079	XP_031783468.1	XP_015834127.1, XP_015834125.1, XP_015834162.1, XP_015834130.1, XP_015834115.1, XP_015834114.1, XP_015834120.1, XP_015834129.1, XP_015834135.1, XP_015834158.1, XP_015834124.1, XP_015834123.1, XP_015834118.1, XP_015834166.1, XP_015834160.1, XP_015834147.1, XP_015834145.1, XP_015834144.1, XP_015834151.1, XP_015834143.1, XP_015834157.1, XP_015834134.1, XP_015834154.1, XP_015834122.1, XP_015834161.1, XP_015834126.1
OG0000080	XP_016838697.1, XP_001600017.1	XP_971544.1
OG0000080	XP_001600048.1	XP_015839289.1
OG0000080	XP_016838620.1	XP_015838833.1, XP_968784.1, XP_008199652.2
OG0000081	NP_001177502.1, NP_001164391.1, NP_001177501.1, XP_031786138.1	XP_015833047.1
OG0000082	XP_016845753.1, XP_003427814.1	XP_008196787.1, XP_008196786.1
OG0000084	XP_001600091.2, XP_001600141.2, NP_001161311.1	XP_008194205.2
OG0000084	NP_001161297.1, NP_001161274.1, NP_001161305.1	XP_008194337.1, XP_969263.1
OG0000085	XP_008205560.1, XP_032455585.1, XP_001604903.1, XP_031785409.1	XP_008190480.1, XP_008190479.1, XP_008190478.1
OG0000086	XP_031786740.1, NP_001166061.1	XP_973839.1, XP_008201361.1, XP_008200636.2, XP_971578.1, XP_008193572.1, XP_008197635.1, XP_008193352.1, XP_015839617.1
OG0000086	XP_008207491.1	XP_008194263.2
OG0000086	XP_008218019.2	XP_008200062.1, XP_015834290.1
OG0000087	NP_001153410.1, NP_001153411.1	XP_969526.1, XP_969601.1, XP_015838300.1, XP_970029.1, XP_969456.2
OG0000087	XP_001603938.2	XP_969383.1
OG0000087	XP_003425364.1, XP_001604204.2	XP_001808639.1, XP_008200953.1, XP_974493.2
OG0000089	XP_016843743.1	XP_967001.1, XP_966814.1, XP_966903.1, XP_015834458.1, XP_015834457.1, XP_971728.1, XP_968587.1
OG0000091	XP_016842346.1, XP_016842349.1, XP_001606111.2, XP_016842348.1, XP_001606152.2	XP_008200105.1, XP_973883.2, XP_974001.1, XP_015838041.1, XP_015838239.1, XP_015838040.1, XP_015838232.1, XP_008196804.1, XP_008196800.2, XP_974288.1, XP_974388.1, XP_972482.1, XP_015840665.1, XP_008196885.2
OG0000092	NP_001153343.1, XP_016843499.1	XP_967128.1
OG0000093	XP_008205782.1, XP_008212379.1, XP_031788023.1, XP_008205360.1, XP_031789189.1, XP_031781097.1	XP_008198969.1
OG0000094	XP_001605100.1	XP_008194293.1
OG0000094	XP_001600571.1	XP_008194180.1, XP_008191415.1, XP_015834034.1, XP_015837589.1, XP_974270.2
OG0000095	XP_031783038.1, NP_001165978.1, NP_001165932.1, XP_001601822.2, NP_001165935.1, XP_031785516.1, XP_008213359.1, XP_031781916.1, NP_001165938.1, NP_001165934.1, XP_016841077.1, NP_001165987.1, NP_001352146.1, XP_016840411.1, NP_001165985.1	XP_971423.1, NP_001034529.1, NP_001107847.1, NP_001034530.1, NP_001107861.1, NP_001107846.1, XP_015839255.1, NP_001107850.1
OG0000096	XP_008209422.1	XP_970191.2
OG0000096	XP_031777519.1, NP_001128139.2, XP_001600140.2, XP_008210082.1, XP_032454795.1, XP_008210079.1	NP_001038094.1, NP_001073567.1, XP_015836778.1, NP_001036034.1, XP_973005.1, NP_001034517.1, NP_001034516.3, NP_001038095.1, XP_015836950.1, XP_008195468.1, XP_015836949.1, NP_001038096.1, NP_001034515.1
OG0000097	XP_001600781.1	XP_966355.1, XP_008200463.1
OG0000098	XP_032454809.1, XP_032454803.1, XP_032454802.1, XP_032454801.1, XP_032454800.1, XP_032454805.1, XP_031786230.1, XP_016843896.1, XP_032454811.1, XP_032454806.1, XP_001603053.2, XP_032454810.1, XP_032454799.1, XP_032454808.1, XP_032454807.1	XP_976115.2, XP_008200746.1, XP_008200744.1, XP_008200745.1
OG0000099	XP_008207065.2	XP_973444.1
OG0000099	XP_031785392.1	XP_008198312.1
OG0000100	XP_008215741.1, XP_008215742.1, XP_031787872.1, XP_032457061.1, XP_016844119.1	XP_015833282.1, XP_008190946.1, XP_008190945.1
OG0000101	XP_016842653.2	XP_015840974.1, XP_968341.1, XP_968427.1, XP_008192885.1, XP_969438.2, XP_970214.1, XP_968268.2, XP_969384.1
OG0000101	XP_001603117.1, NP_001166254.1, XP_008211083.1, NP_001155060.1	XP_968658.1, XP_008190341.1, XP_968586.1
OG0000102	XP_031786135.1, XP_001605390.2, XP_008216939.1, XP_008216934.1, XP_031786805.1	XP_015836203.1, XP_972020.3, XP_971968.1
OG0000105	XP_031789231.1, XP_031779862.1, XP_031781833.1, XP_031788960.1, XP_008217406.2, XP_031776843.1, XP_031778436.1, XP_031778433.1, XP_032457458.1, XP_016842088.1, XP_031780005.1, XP_008211761.1, XP_031777955.1, XP_008217375.2, XP_031789139.1, XP_031788862.1, XP_031789250.1, XP_031781026.1, XP_008217972.1, XP_031785598.1	XP_015840325.1
OG0000108	XP_001600108.2, NP_001136332.1, XP_031777794.1, XP_008213502.1, XP_016842778.1	XP_015837318.1, XP_008195645.1, XP_972082.1, XP_972134.1, XP_968318.1, XP_015839337.1, XP_015839336.1, XP_972032.1, XP_972386.3, XP_972182.1, XP_008195643.1, XP_975666.1, XP_015837080.1, XP_966332.1
OG0000109	XP_031780775.1, XP_032452756.1, XP_008217859.1, XP_008217864.1, XP_016837633.1	XP_008200716.1
OG0000110	XP_008201867.1	XP_008193808.1, XP_008193810.1, XP_015836889.1, XP_008193809.1, XP_008193811.1, XP_008193812.1, XP_015836885.1, XP_015836884.1, XP_015836883.1, XP_015836887.1, XP_008193800.1, XP_015836924.1, XP_015836925.1, XP_008193802.1, XP_008193803.1, XP_008193805.1, XP_008193798.1, XP_008193799.1, XP_008193801.1, XP_008193797.1, XP_015836882.1, XP_015836881.1, XP_015836880.1, XP_008193806.1, XP_008193807.1, XP_015836886.1, XP_001807608.2
OG0000111	XP_031785278.1, XP_031786283.1, XP_008217621.1, XP_008217622.1, XP_016837442.1, XP_016839422.2, XP_031786448.1, NP_001155154.1, XP_031786258.1, XP_001603551.4, XP_032452574.1	XP_008201050.1, XP_970898.1, XP_970952.1, XP_975906.1, NP_001161227.1, NP_001161310.1, XP_015839309.1, XP_970839.1, XP_008201049.1
OG0000112	XP_003425489.1	XP_008191265.1
OG0000112	XP_031780635.1	XP_008198195.1, XP_015837714.1
OG0000113	XP_031785048.1, XP_001599906.1, XP_008208626.1, XP_001603394.1, XP_008204873.1, XP_001603447.1	XP_967872.2, XP_008198495.1, XP_008198500.1
OG0000114	XP_031785569.1, NP_001155077.1	XP_015836792.1, XP_015836794.1
OG0000114	XP_031788613.1, NP_001155043.1, XP_032454692.1	XP_008195366.2, XP_015837027.1, XP_015837028.1
OG0000115	NP_001165922.1, NP_001165921.1, NP_001165923.1, NP_001165920.1, XP_008203102.1, XP_008203103.1, XP_032452848.1, XP_032457577.1, NP_001165924.1, NP_001165919.1, NP_001165918.1	XP_969146.1, XP_970714.1, XP_970442.1, XP_015832951.1, XP_015833288.1, XP_008190960.1, XP_967475.1
OG0000116	XP_031779751.1, XP_031779749.1, XP_031779753.1, XP_032451719.1, XP_031779741.1, XP_031779737.1, XP_032451720.1, XP_032451721.1	XP_015837656.1
OG0000117	XP_003424885.1	XP_008198411.1
OG0000117	XP_016845279.1, XP_003428202.1, XP_008214870.1	XP_008200394.1, XP_008200396.1, XP_008200398.1, XP_008200397.1
