Orthogroup	Eufriesea_mexicana	Aedes_aegypti
OG0000001	XP_017758028.1, XP_017758027.1, XP_017758031.1, XP_017758026.1, XP_017757765.1, XP_017757760.1, XP_017757755.1, XP_017757759.1, XP_017757781.1, XP_017757757.1, XP_017757758.1, XP_017757797.1, XP_017757798.1, XP_017757795.1, XP_017757796.1, XP_017757799.1, XP_017757740.1, XP_017757764.1, XP_017757780.1, XP_017757738.1, XP_017759613.1, XP_017767083.1, XP_017759625.1	XP_021704701.1
OG0000002	XP_017759720.1, XP_017759719.1, XP_017759718.1, XP_017759717.1, XP_017759746.1, XP_017759702.1, XP_017759703.1, XP_017759734.1, XP_017759707.1, XP_017759704.1, XP_017759700.1, XP_017759706.1, XP_017759708.1, XP_017759729.1, XP_017759714.1, XP_017759715.1, XP_017759716.1, XP_017759712.1, XP_017759730.1, XP_017759757.1, XP_017759752.1, XP_017759759.1, XP_017759710.1, XP_017759755.1, XP_017759744.1, XP_017759709.1, XP_017759756.1, XP_017759713.1	XP_021711562.1
OG0000005	XP_017756505.1, XP_017756502.1	XP_021711844.1
OG0000005	XP_017760232.1, XP_017756229.1, XP_017765412.1, XP_017754456.1, XP_017761075.1	XP_021706484.1
OG0000008	XP_017764283.1	XP_001648300.1
OG0000008	XP_017764386.1	XP_001648297.2
OG0000008	XP_017752288.1	XP_001661923.2
OG0000008	XP_017765710.1	XP_021710654.1
OG0000008	XP_017764163.1	XP_021710651.1, XP_021710652.1, XP_021710650.1, XP_021710649.1, XP_021710648.1
OG0000008	XP_017764510.1	XP_001648302.1
OG0000008	XP_017764053.1, XP_017763974.1	XP_021710647.1
OG0000009	XP_017757841.1, XP_017757840.1, XP_017765586.1, XP_017758639.1, XP_017758640.1, XP_017758638.1, XP_017765620.1, XP_017758637.1	XP_021705958.1, XP_001649103.2, XP_001649101.2, XP_021700263.1, XP_001649098.2, XP_001649095.1, XP_001649100.3, XP_001649097.2, XP_021705963.1, XP_001649093.1, XP_001649094.1, XP_021700373.1, XP_001661968.1, XP_001661969.1, XP_001649106.2, XP_001652216.1, XP_001652217.1, XP_001649108.2, XP_001649107.2, XP_021705961.1, XP_001652222.1, XP_001652218.2, XP_021705962.1, XP_001657206.1
OG0000012	XP_017754921.1, XP_017754945.1	XP_001655419.1, XP_021709641.1
OG0000012	XP_017754933.1	XP_001658080.2, XP_001663002.1, XP_001652943.1, XP_001663900.2, XP_001658491.2, XP_001663898.2, XP_021707969.1, XP_001663895.2, XP_001660673.2, XP_001660676.2, XP_021703076.1, XP_001657786.1, XP_001650145.1, XP_021712427.1, XP_021707394.1
OG0000012	XP_017765063.1, XP_017765064.1, XP_017765060.1	XP_001651150.1, XP_001651148.1, XP_001651149.1, XP_001651147.1, XP_001651146.1
OG0000013	XP_017764546.1	XP_001662236.1, XP_001657279.1, XP_021705634.1, XP_021711156.1, XP_021711154.1, XP_001656985.1, XP_001656989.1, XP_021711158.1, XP_021711157.1, XP_021711153.1, XP_021701440.1
OG0000013	XP_017764545.1	XP_021706666.1
OG0000013	XP_017754146.1	XP_021705825.1, XP_021705826.1, XP_001657268.1, XP_021707704.1, XP_021708004.1, XP_001657265.1
OG0000013	XP_017760618.1	XP_001657554.1, XP_001655332.2
OG0000014	XP_017764543.1, XP_017754143.1	XP_021712022.1, XP_021712028.1
OG0000016	XP_017766957.1	XP_021712581.1, XP_021694278.1, XP_021695205.1
OG0000017	XP_017756243.1	XP_001658010.2
OG0000017	XP_017756241.1, XP_017756242.1, XP_017756232.1	XP_001658009.2, XP_021693938.1, XP_001658007.2
OG0000018	XP_017763433.1	XP_021697392.1, XP_021697390.1, XP_021697387.1, XP_021697388.1, XP_021697389.1, XP_021697393.1
