GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005515	protein binding	2774	367	318.97	1.8e-06	4.4e-09	3.726e-4	9.107999999999999e-7
GO:0005102	signaling receptor binding	206	45	23.69	9.0e-05	0.00015	0.009315	0.004435714285714286
GO:0022836	gated channel activity	91	20	10.46	0.00022	0.00026	0.013454999999999998	0.005979999999999999
GO:0005509	calcium ion binding	149	31	17.13	0.00026	0.00026	0.013454999999999998	0.005979999999999999
GO:0046872	metal ion binding	1214	165	139.59	0.00093	5.7e-05	0.030458571428571432	0.0023598
GO:0005088	Ras guanyl-nucleotide exchange factor activity	59	13	6.78	0.00103	0.00103	0.030458571428571432	0.017655882352941174
GO:0015077	monovalent inorganic cation transmembrane transporter activity	143	23	16.44	0.00103	0.01131	0.030458571428571432	0.052025999999999996
GO:0050839	cell adhesion molecule binding	57	16	6.55	0.00138	0.00138	0.03335	0.017655882352941174
GO:0004674	protein serine/threonine kinase activity	150	22	17.25	0.00145	0.00145	0.03335	0.017655882352941174
GO:0005261	cation channel activity	108	23	12.42	0.00180	0.00180	0.03500181818181818	0.01940625
GO:0140297	DNA-binding transcription factor binding	57	12	6.55	0.00186	0.00186	0.03500181818181818	0.01940625
GO:0051015	actin filament binding	66	13	7.59	0.00301	0.00301	0.05127230769230769	0.02150129032258065
GO:0015081	sodium ion transmembrane transporter activity	60	11	6.9	0.00322	0.00322	0.05127230769230769	0.02150129032258065
GO:0090079	translation regulator activity, nucleic acid binding	77	8	8.85	0.00406	0.82554	0.058926000000000006	0.9821079310344829
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	176	26	20.24	0.00427	0.00427	0.058926000000000006	0.0245525
GO:0046873	metal ion transmembrane transporter activity	136	23	15.64	0.00649	3.9e-05	0.08396437500000001	0.00201825
GO:0004497	monooxygenase activity	70	13	8.05	0.00786	0.00786	0.09570705882352941	0.04002000000000001
GO:0003682	chromatin binding	185	31	21.27	0.01040	0.01040	0.1196	0.049679999999999995
GO:0005506	iron ion binding	84	13	9.66	0.01175	0.01175	0.12801315789473686	0.052612500000000006
GO:0051082	unfolded protein binding	68	13	7.82	0.01412	0.01412	0.146142	0.058456799999999996
GO:0019904	protein domain specific binding	82	16	9.43	0.01692	0.01692	0.16678285714285715	0.06735461538461539
GO:0015291	secondary active transmembrane transporter activity	92	14	10.58	0.01947	0.01947	0.183195	0.074635
GO:0008509	anion transmembrane transporter activity	141	16	16.21	0.02196	0.02008	0.19585384615384616	0.07557381818181819
GO:0005096	GTPase activator activity	84	19	9.66	0.02374	0.02374	0.19585384615384616	0.08501275862068966
GO:0042803	protein homodimerization activity	115	19	13.22	0.02382	0.02382	0.19585384615384616	0.08501275862068966
GO:0003700	DNA-binding transcription factor activity	368	62	42.32	0.02460	0.00216	0.19585384615384616	0.01940625
GO:0005524	ATP binding	650	88	74.74	0.03026	0.03026	0.23199333333333333	0.104397
GO:0072509	divalent inorganic cation transmembrane transporter activity	57	6	6.55	0.03508	0.03508	0.25475275862068963	0.11002363636363637
GO:0004888	transmembrane signaling receptor activity	186	31	21.39	0.03569	0.09728	0.25475275862068963	0.2455726829268293
GO:0008289	lipid binding	162	22	18.63	0.03972	0.16020	0.2689664516129033	0.35454255319148936
GO:0038023	signaling receptor activity	229	36	26.33	0.04028	0.01220	0.2689664516129033	0.052612500000000006
GO:0004672	protein kinase activity	195	28	22.42	0.04511	0.00035	0.2909918181818182	0.007245
GO:0022857	transmembrane transporter activity	443	62	50.94	0.04639	0.00446	0.2909918181818182	0.024951891891891894
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	283	43	32.54	0.06803	0.02969	0.41418264705882346	0.10416661016949152
GO:0022853	active ion transmembrane transporter activity	100	10	11.5	0.07166	0.07166	0.4238177142857143	0.20045432432432433
GO:0032549	ribonucleoside binding	162	13	18.63	0.07501	0.49030	0.43130749999999995	0.7462654411764705
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	92	14	10.58	0.08065	0.08065	0.45120405405405406	0.21403269230769228
GO:0098772	molecular function regulator	910	141	104.64	0.08876	0.00132	0.48350842105263164	0.017655882352941174
GO:0003779	actin binding	133	22	15.29	0.09427	0.00188	0.5003561538461538	0.01940625
GO:0015276	ligand-gated ion channel activity	53	8	6.09	0.10380	0.10380	0.537165	0.25579285714285716
GO:0043565	sequence-specific DNA binding	408	62	46.91	0.11110	0.00111	0.5609195121951219	0.017655882352941174
GO:0140098	catalytic activity, acting on RNA	251	18	28.86	0.14023	0.58050	0.6911335714285715	0.7971951315789474
GO:0019842	vitamin binding	53	6	6.09	0.15570	0.15570	0.7144504838709678	0.35417472527472527
GO:0000976	transcription regulatory region sequence-specific DNA binding	315	48	36.22	0.15574	0.00571	0.7144504838709678	0.031104473684210526
GO:0046943	carboxylic acid transmembrane transporter activity	62	6	7.13	0.16100	0.16100	0.7144504838709678	0.35454255319148936
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	83	10	9.54	0.16883	0.16883	0.7144504838709678	0.36403968750000004
GO:0016757	transferase activity, transferring glycosyl groups	119	13	13.68	0.16938	0.58220	0.7144504838709678	0.7971951315789474
GO:0016791	phosphatase activity	126	13	14.49	0.17230	0.85582	0.7144504838709678	0.9879879999999999
GO:0016741	transferase activity, transferring one-carbon groups	122	13	14.03	0.17627	0.49779	0.7144504838709678	0.746685
GO:0042277	peptide binding	57	8	6.55	0.17668	0.17668	0.7144504838709678	0.37703876288659793
GO:0036094	small molecule binding	996	123	114.53	0.18411	0.03252	0.7144504838709678	0.10938142857142857
GO:0043169	cation binding	1228	168	141.2	0.18767	3.2e-05	0.7144504838709678	0.00201825
GO:0030695	GTPase regulator activity	87	19	10	0.19337	0.03694	0.7144504838709678	0.11249999999999999
GO:0017137	Rab GTPase binding	88	16	10.12	0.19392	0.19392	0.7144504838709678	0.4054690909090909
GO:1990837	sequence-specific double-stranded DNA binding	335	50	38.52	0.19821	0.00353	0.7144504838709678	0.02277
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	57	7	6.55	0.19988	0.19988	0.7144504838709678	0.4137516
GO:0008017	microtubule binding	107	14	12.3	0.20438	0.20438	0.7144504838709678	0.41852558823529407
GO:0004386	helicase activity	105	3	12.07	0.20438	0.11508	0.7144504838709678	0.27699488372093023
GO:0003729	mRNA binding	178	25	20.47	0.20623	0.20623	0.7144504838709678	0.41852558823529407
GO:0016410	N-acyltransferase activity	66	5	7.59	0.21003	0.38972	0.7144504838709678	0.64537632
GO:0035091	phosphatidylinositol binding	79	12	9.08	0.21377	0.23363	0.7144504838709678	0.46501355769230773
GO:1901363	heterocyclic compound binding	2236	278	257.11	0.21399	0.36241	0.7144504838709678	0.6199906611570248
GO:0033218	amide binding	74	11	8.51	0.23096	0.18416	0.7483373437499999	0.3889910204081632
GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	65	6	7.47	0.23137	0.23137	0.7483373437499999	0.46498631067961166
GO:0016874	ligase activity	129	18	14.83	0.24336	0.24336	0.7527694029850746	0.47976685714285716
GO:0097159	organic cyclic compound binding	2251	279	258.84	0.24353	0.35531	0.7527694029850746	0.6180602521008404
GO:0097367	carbohydrate derivative binding	913	114	104.98	0.24365	0.01359	0.7527694029850746	0.057410816326530605
GO:0000987	cis-regulatory region sequence-specific DNA binding	184	28	21.16	0.24781	0.00308	0.7543627941176471	0.02150129032258065
GO:0008324	cation transmembrane transporter activity	229	31	26.33	0.25594	0.00363	0.76782	0.02277
GO:0019900	kinase binding	106	14	12.19	0.26595	0.16408	0.7691893150684931	0.3575216842105263
GO:0005216	ion channel activity	133	24	15.29	0.26631	0.00086	0.7691893150684931	0.016183636363636362
GO:0004252	serine-type endopeptidase activity	66	8	7.59	0.26763	0.26763	0.7691893150684931	0.5129575
GO:0008236	serine-type peptidase activity	81	10	9.31	0.27126	0.12559	0.7691893150684931	0.2954219318181818
GO:0003712	transcription coregulator activity	153	24	17.59	0.27747	0.37013	0.7722867073170732	0.6203489516129033
GO:0003924	GTPase activity	130	9	14.95	0.28422	0.28422	0.7722867073170732	0.5356407272727273
GO:0048018	receptor ligand activity	64	12	7.36	0.28464	0.28464	0.7722867073170732	0.5356407272727273
GO:0008080	N-acetyltransferase activity	63	4	7.24	0.29295	0.45846	0.7722867073170732	0.7222731818181818
GO:0005085	guanyl-nucleotide exchange factor activity	85	17	9.77	0.30136	0.00123	0.7722867073170732	0.017655882352941174
GO:0016772	transferase activity, transferring phosphorus-containing groups	397	49	45.65	0.30175	0.06019	0.7722867073170732	0.17548352112676058
GO:0044877	protein-containing complex binding	252	35	28.98	0.30331	0.03281	0.7722867073170732	0.10938142857142857
GO:0019901	protein kinase binding	92	12	10.58	0.30381	0.30381	0.7722867073170732	0.560420442477876
GO:0030246	carbohydrate binding	59	7	6.78	0.30593	0.30593	0.7722867073170732	0.560420442477876
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	70	8	8.05	0.31655	0.13448	0.7894680722891566	0.31277932584269663
GO:0042393	histone binding	80	8	9.2	0.32175	0.32175	0.7928839285714285	0.5791499999999999
GO:0016853	isomerase activity	119	16	13.68	0.34736	0.34736	0.8446551724137931	0.61456
GO:0043021	ribonucleoprotein complex binding	54	5	6.21	0.35440	0.35440	0.8446551724137931	0.6180602521008404
GO:0016787	hydrolase activity	1252	125	143.96	0.35500	0.67721	0.8446551724137931	0.8973252229299362
GO:0003678	DNA helicase activity	50	1	5.75	0.36051	0.36051	0.8479512765957447	0.6199906611570248
GO:0043168	anion binding	1055	131	121.31	0.36575	0.06222	0.8479512765957447	0.1788825
GO:0020037	heme binding	87	14	10	0.37161	0.37161	0.8479512765957447	0.6203489516129033
GO:0015399	primary active transmembrane transporter activity	73	11	8.39	0.37863	0.61562	0.8479512765957447	0.8328976470588235
GO:0017016	Ras GTPase binding	163	32	18.74	0.38321	0.00209	0.8479512765957447	0.01940625
GO:0016788	hydrolase activity, acting on ester bonds	368	44	42.32	0.38469	0.84240	0.8479512765957447	0.9879879999999999
GO:0019207	kinase regulator activity	60	5	6.9	0.38506	0.67789	0.8479512765957447	0.8973252229299362
GO:0001216	DNA-binding transcription activator activity	85	11	9.77	0.39261	0.14828	0.8512228125	0.34104399999999996
GO:0008047	enzyme activator activity	138	24	15.87	0.39477	0.25410	0.8512228125	0.49621415094339616
GO:0052689	carboxylic ester hydrolase activity	77	14	8.85	0.41225	0.41225	0.87975	0.6719350393700787
GO:0003774	motor activity	69	6	7.93	0.43258	0.43258	0.9137148979591836	0.69414
GO:0017171	serine hydrolase activity	82	10	9.43	0.44080	0.11368	0.9147078504672898	0.2768442352941176
GO:0046914	transition metal ion binding	431	47	49.56	0.45796	0.47283	0.9147078504672898	0.7304164925373133
GO:0003713	transcription coactivator activity	69	8	7.93	0.46058	0.46058	0.9147078504672898	0.7222731818181818
GO:0017076	purine nucleotide binding	820	100	94.29	0.46412	0.03484	0.9147078504672898	0.11002363636363637
GO:0004527	exonuclease activity	52	2	5.98	0.46465	0.46465	0.9147078504672898	0.723177067669173
GO:0045182	translation regulator activity	86	9	9.89	0.46536	0.93084	0.9147078504672898	1
GO:0005215	transporter activity	486	69	55.88	0.46826	0.00812	0.9147078504672898	0.04002000000000001
GO:0001882	nucleoside binding	163	13	18.74	0.46936	0.47953	0.9147078504672898	0.7352793333333334
GO:0016887	ATPase activity	279	29	32.08	0.47282	0.40755	0.9147078504672898	0.6695464285714285
GO:0032553	ribonucleotide binding	823	100	94.63	0.49877	0.03718	0.9458975892857143	0.11249999999999999
GO:0003677	DNA binding	731	104	84.06	0.50790	0.07556	0.9458975892857143	0.20784434210526317
GO:0042626	ATPase-coupled transmembrane transporter activity	63	10	7.24	0.50879	0.50879	0.9458975892857143	0.75233
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	269	39	30.93	0.50968	0.01888	0.9458975892857143	0.0737388679245283
GO:0008168	methyltransferase activity	116	12	13.34	0.51179	0.58187	0.9458975892857143	0.7971951315789474
GO:0015318	inorganic molecular entity transmembrane transporter activity	303	38	34.84	0.51975	0.00277	0.9503115789473685	0.02150129032258065
GO:0005525	GTP binding	159	11	18.28	0.52336	0.52336	0.9503115789473685	0.75233
GO:0016740	transferase activity	1073	106	123.38	0.53057	0.95534	0.955026	1
GO:0008094	DNA-dependent ATPase activity	70	4	8.05	0.54858	0.71000	0.9763146153846154	0.9081204294478528
GO:0008237	metallopeptidase activity	85	6	9.77	0.55183	0.55183	0.9763146153846154	0.7823891095890411
GO:0016773	phosphotransferase activity, alcohol group as acceptor	249	34	28.63	0.56294	0.00319	0.9764970491803279	0.02150129032258065
GO:0008092	cytoskeletal protein binding	310	43	35.65	0.56308	0.04955	0.9764970491803279	0.14652642857142856
GO:0030554	adenyl nucleotide binding	669	89	76.93	0.56800	0.03393	0.9764970491803279	0.10974234375000001
GO:0016301	kinase activity	303	41	34.84	0.57543	0.00291	0.9764970491803279	0.02150129032258065
GO:0008134	transcription factor binding	161	26	18.51	0.57552	0.07757	0.9764970491803279	0.20853233766233764
GO:0019899	enzyme binding	468	69	53.81	0.59344	0.06814	0.9932327419354838	0.19321890410958906
GO:0042802	identical protein binding	173	28	19.89	0.59498	0.07631	0.9932327419354838	0.20784434210526317
GO:0008514	organic anion transmembrane transporter activity	94	10	10.81	0.60000	0.25693	0.9935999999999999	0.4970514953271028
GO:0016491	oxidoreductase activity	414	53	47.6	0.60633	0.43737	0.9944801574803149	0.6964276153846153
GO:0042578	phosphoric ester hydrolase activity	157	18	18.05	0.61014	0.93006	0.9944801574803149	1
GO:0001067	regulatory region nucleic acid binding	316	48	36.34	0.63308	0.00658	1	0.03492461538461538
GO:0022804	active transmembrane transporter activity	166	25	19.09	0.64017	0.08806	1	0.2307394936708861
GO:0030546	signaling receptor activator activity	65	12	7.47	0.64427	0.29675	1	0.5533986486486487
GO:0060589	nucleoside-triphosphatase regulator activity	108	21	12.42	0.64717	0.11983	1	0.2851127586206897
GO:0140096	catalytic activity, acting on a protein	887	91	101.99	0.64736	0.79974	1	0.9569143352601156
GO:0030545	receptor regulator activity	68	12	7.82	0.64910	0.33339	1	0.5949287068965518
GO:0031267	small GTPase binding	166	32	19.09	0.66512	0.00217	1	0.01940625
GO:0016758	transferase activity, transferring hexosyl groups	96	8	11.04	0.67120	0.67120	1	0.8973252229299362
GO:1901981	phosphatidylinositol phosphate binding	54	6	6.21	0.68058	0.68058	1	0.8973252229299362
GO:0005543	phospholipid binding	116	17	13.34	0.68356	0.31061	1	0.5640023684210527
GO:0016798	hydrolase activity, acting on glycosyl bonds	68	9	7.82	0.69093	0.69093	1	0.905205759493671
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	444	39	51.05	0.69526	0.51777	1	0.75233
GO:0008170	N-methyltransferase activity	52	5	5.98	0.69656	0.69656	1	0.9068422641509433
GO:0019787	ubiquitin-like protein transferase activity	173	13	19.89	0.70570	0.99394	1	1
GO:0004930	G protein-coupled receptor activity	75	11	8.62	0.71509	0.71509	1	0.9081204294478528
GO:0003676	nucleic acid binding	1382	161	158.91	0.71839	0.77112	1	0.9389519999999999
GO:0004519	endonuclease activity	68	4	7.82	0.72550	0.72550	1	0.9095280722891567
GO:0061659	ubiquitin-like protein ligase activity	127	10	14.6	0.72919	0.99558	1	1
GO:0034212	peptide N-acetyltransferase activity	53	3	6.09	0.72938	0.72938	1	0.9095280722891567
GO:0046983	protein dimerization activity	276	38	31.74	0.72965	0.71150	1	0.9081204294478528
GO:0003824	catalytic activity	2879	306	331.05	0.73253	0.88560	1	0.9963000000000001
GO:0008270	zinc ion binding	310	28	35.65	0.75670	0.75670	1	0.9323625000000001
GO:0000166	nucleotide binding	917	114	105.44	0.76190	0.09039	1	0.23099666666666666
GO:0030674	protein-macromolecule adaptor activity	84	4	9.66	0.76880	0.76880	1	0.9389519999999999
GO:0016407	acetyltransferase activity	73	4	8.39	0.77367	0.37065	1	0.6203489516129033
GO:0046906	tetrapyrrole binding	88	14	10.12	0.78245	0.42784	1	0.6918974999999999
GO:0004842	ubiquitin-protein transferase activity	163	12	18.74	0.78845	0.99033	1	1
GO:0019887	protein kinase regulator activity	54	5	6.21	0.79778	0.79778	1	0.9569143352601156
GO:0032559	adenyl ribonucleotide binding	665	88	76.47	0.79970	0.03750	1	0.11249999999999999
GO:0003690	double-stranded DNA binding	367	53	42.2	0.80540	0.01461	1	0.05929941176470588
GO:0016746	transferase activity, transferring acyl groups	156	10	17.94	0.81603	0.72338	1	0.9095280722891567
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	90	7	10.35	0.83737	0.83737	1	0.9879879999999999
GO:0008234	cysteine-type peptidase activity	53	5	6.09	0.84953	0.84953	1	0.9879879999999999
GO:0060090	molecular adaptor activity	112	6	12.88	0.85093	0.70325	1	0.9081204294478528
GO:0015267	channel activity	146	24	16.79	0.85503	0.00393	1	0.02324314285714286
