Orthogroup	Osmia_bicornis	Drosophila_melanogaster
OG0000001	XP_029047550.1, XP_029047546.1, XP_029047548.1, XP_029047547.1, XP_029055795.1, XP_029053627.1, XP_029053628.1, XP_029054076.1, XP_029054175.1, XP_029053437.1, XP_029048982.1, XP_029048983.1, XP_029048984.1, XP_029048981.1, XP_029053439.1, XP_029053440.1, XP_029054094.1, XP_029053433.1, XP_029053438.1, XP_029054161.1, XP_029052981.1, XP_029052980.1, XP_029052979.1, XP_029052978.1, XP_029053697.1, XP_029053980.1, XP_029053981.1, XP_029053979.1, XP_029053978.1, XP_029053876.1, XP_029053701.1, XP_029053700.1, XP_029053699.1, XP_029053698.1, XP_029053704.1, XP_029036021.1, XP_029033204.1, XP_029033205.1	NP_610744.1, NP_610745.1, NP_608457.1, NP_001285499.1, NP_001286335.1, NP_001286145.1
OG0000006	XP_029033655.1	NP_523647.2, NP_523721.1
OG0000008	XP_029037761.1	NP_572981.1
OG0000008	XP_029037752.1, XP_029037753.1	NP_572985.1
OG0000008	XP_029041248.1	NP_651466.1
OG0000008	XP_029037757.1	NP_001285251.1
OG0000008	XP_029037755.1	NP_001285249.1
OG0000008	XP_029037762.1	NP_572987.1
OG0000009	XP_029039353.1, XP_029039355.1, XP_029039354.1, XP_029050383.1, XP_029039416.1, XP_029039350.1, XP_029039348.1, XP_029039349.1	NP_523850.1, NP_610820.1, NP_523645.1, NP_523646.1, NP_001350862.1, NP_650189.1
OG0000011	XP_029054371.1, XP_029054367.1, XP_029039510.1, XP_029039509.1, XP_029039508.1, XP_029039506.1, XP_029039474.1, XP_029039507.1, XP_029053128.1, XP_029053127.1, XP_029052576.1, XP_029054131.1, XP_029054129.1, XP_029052577.1, XP_029053130.1, XP_029053132.1, XP_029053134.1, XP_029052579.1, XP_029053590.1, XP_029053754.1, XP_029053755.1, XP_029053123.1, XP_029054135.1, XP_029053126.1, XP_029053131.1, XP_029054368.1, XP_029054370.1, XP_029052586.1, XP_029054369.1	NP_523520.2
OG0000012	XP_029044618.1	NP_729270.1, NP_729271.1, NP_648134.1
OG0000012	XP_029040151.1	NP_610673.1, NP_523692.1, NP_523691.1, NP_610674.5, NP_651732.1
