Orthogroup	Anopheles_gambiae	Megachile_rotundata
OG0000001	XP_563971.3	XP_012136792.1, XP_012150537.1, XP_003707539.1, XP_012146067.1, XP_003704416.1, XP_012143065.1, XP_012143066.1, XP_003704415.1, XP_003704279.1, XP_012143067.1, XP_003704414.1, XP_012140371.1, XP_012140372.1, XP_003703231.1, XP_012143070.1, XP_012143071.1, XP_012143072.1, XP_003704281.1, XP_012143073.1, XP_003704278.1, XP_012143061.1, XP_003704412.1, XP_003703200.1, XP_003699913.1, XP_003701310.1, XP_003701343.1, XP_012136078.1, XP_012136077.1, XP_003701345.1, XP_012136079.1
OG0000002	XP_317343.1	XP_003700910.2, XP_003700909.2, XP_003700936.1, XP_003700935.1, XP_003700845.1, XP_003700846.1, XP_003700844.1, XP_003700934.1, XP_003700932.1, XP_003700933.2, XP_003700913.1, XP_003700912.1, XP_012135096.1, XP_003700836.1, XP_003700837.1, XP_003700911.2, XP_003700914.1, XP_012135238.1, XP_012135239.1, XP_012135236.1, XP_003700918.2, XP_012135244.1, XP_012135242.1, XP_012135246.1, XP_003700930.1, XP_003700925.1, XP_003700923.1, XP_003700922.1, XP_012135243.1, XP_012135245.1, XP_003700843.1, XP_003700842.2, XP_012135240.1, XP_012135237.1, XP_012135097.1, XP_012135098.1
OG0000003	XP_001688581.1	XP_012152452.1, XP_012146541.1, XP_003708371.1, XP_012149741.1, XP_012149735.1, XP_012137589.1
OG0000004	XP_310729.1	XP_012152144.1, XP_012147783.1, XP_012149743.1, XP_012153565.1, XP_012152102.1, XP_012146326.1
OG0000004	XP_320414.1	XP_012142569.1, XP_012151017.1, XP_012152967.1
OG0000005	XP_308124.5	XP_012140925.1, XP_012154410.1, XP_012154409.1, XP_012139976.1, XP_012134537.1, XP_012146667.1, XP_012147629.1, XP_012136356.1, XP_012148507.1, XP_012144558.1, XP_012151876.1, XP_012148419.1
OG0000006	XP_310173.1, XP_310172.2	XP_003707057.2, XP_012149242.1
OG0000008	XP_310333.7	XP_003705710.1
OG0000008	XP_310338.7, XP_310337.6	XP_003705708.1
OG0000008	XP_312388.4, XP_312387.5	XP_012141335.1
OG0000008	XP_003436608.1, XP_003436609.1, XP_003436607.1	XP_003705713.2
OG0000008	XP_310332.7, XP_003436611.1	XP_003705711.1
OG0000008	XP_559558.6, XP_003436610.1	XP_003705712.1
OG0000008	XP_310340.1	XP_003705707.1
OG0000009	XP_001689238.1, XP_001238278.2, XP_561320.5, XP_320243.1, XP_551896.3, XP_001238280.1, XP_316781.2	XP_012145773.1, XP_012145771.1, XP_012145774.1, XP_003703411.1, XP_003705489.1, XP_003705491.1
OG0000012	XP_317829.4	XP_003705464.1, XP_003705466.1
OG0000012	XP_321898.3, XP_001689374.2, XP_308888.1, XP_001689375.2, XP_001689376.2, XP_321901.4, XP_001238557.2	XP_003705999.2, XP_012146828.1, XP_012146827.1
OG0000013	XP_305996.3, XP_307081.3, XP_315130.3	XP_003707914.1
OG0000013	XP_321242.1, XP_320335.2, XP_320336.2	XP_003708097.1
OG0000013	XP_003435952.1	XP_003708096.1
OG0000017	XP_319968.3, XP_319970.3, XP_319969.1, XP_319967.1, XP_319966.1, XP_001238234.1, XP_319972.1	XP_012136742.1
OG0000017	XP_562676.3	XP_012145418.1
OG0000017	XP_562680.2, XP_313048.1, XP_313052.1, XP_313050.3, XP_313049.1	XP_012145417.1, XP_003705347.1, XP_012153570.1
OG0000018	XP_558678.4, XP_551022.4, XP_321300.4	XP_003699290.1
OG0000018	XP_312930.5	XP_012135493.1, XP_012146800.1, XP_012146802.1, XP_012146801.1, XP_012146803.1
OG0000019	XP_321444.5	XP_012138718.1, XP_012138710.1, XP_012138725.1
OG0000019	XP_003436388.1, XP_312768.5, XP_314084.4, XP_312606.4	XP_012148065.1, XP_012148068.1, XP_012148067.1, XP_012148063.1, XP_012148064.1
OG0000020	XP_554133.3	XP_012144180.1
OG0000020	XP_314903.3, XP_554132.3	XP_012136049.1
OG0000020	XP_314904.3	XP_012144181.1
OG0000020	XP_001238085.2, XP_319101.4	XP_003701701.2
OG0000020	XP_315006.4	XP_012141764.1
OG0000020	XP_321843.5	XP_012136672.1
OG0000020	XP_001231126.3	XP_012137465.1
OG0000021	XP_313342.5, XP_003436532.1	XP_012152676.1, XP_003708291.1
OG0000021	XP_320239.4, XP_312638.5	XP_012138701.1
OG0000021	XP_003436878.1, XP_315178.5, XP_315182.5, XP_315184.4	XP_012135825.1
OG0000022	XP_320674.3	XP_012137783.1
OG0000022	XP_318365.3	XP_003706155.1
OG0000023	XP_024667067.1	XP_003703728.2
OG0000024	XP_319504.3, XP_315663.4, XP_315499.1, XP_001237675.1, XP_001237676.2, XP_556135.3, XP_315496.4, XP_312977.3	XP_003700292.1
OG0000026	XP_558069.3	XP_003699994.1
OG0000026	XP_321915.5	XP_012144087.1
OG0000026	XP_003436038.1, XP_308060.4	XP_012137100.1
OG0000026	XP_320025.4, XP_320023.4, XP_320032.4, XP_320040.3, XP_320020.4, XP_553184.3	XP_012148280.1, XP_003706585.1
OG0000026	XP_322033.4	XP_012140605.1, XP_012140604.1, XP_012140603.1, XP_012140597.1, XP_012140598.1, XP_012140599.1, XP_012140600.1, XP_012140601.1, XP_012140602.1, XP_003703247.1
OG0000027	XP_311439.4, XP_305995.3, XP_318361.3, XP_315129.4	XP_012151723.1
OG0000029	XP_311670.4, XP_001688322.1, XP_001688325.1, XP_001688324.1, XP_001688323.1, XP_311667.3, XP_001230823.2, XP_001230824.2, XP_306539.4, XP_001230390.1, XP_321427.2, XP_001238481.1, XP_321429.3, XP_551138.2, XP_551139.2, XP_551141.1	XP_003704047.1, XP_012142317.1
OG0000029	XP_319711.4	XP_012154358.1
OG0000029	XP_001688326.1, XP_003436466.1, XP_560960.4, XP_311664.4	XP_003704721.1
OG0000030	XP_320774.4	XP_012151824.1
OG0000032	XP_321319.5, XP_320826.2, XP_320829.4, XP_313740.5, XP_310281.6	XP_012153617.1, XP_012153679.1, XP_012153681.1, XP_003700221.1, XP_012153682.1, XP_003700222.2, XP_003700219.1, XP_003700218.1, XP_012153678.1, XP_012153677.1, XP_012148506.1
OG0000035	XP_317561.4	XP_003699462.1
OG0000036	XP_316611.2	XP_012134943.1
OG0000036	XP_001688834.1, XP_001237786.1, XP_565386.2	XP_003700661.1
OG0000036	XP_001237843.1, XP_001688918.1, XP_316607.4, XP_001237840.1, XP_001688914.1, XP_001688917.1	XP_003708656.1, XP_003700660.1
OG0000037	XP_308914.4, XP_308913.3, XP_001237150.1, XP_308915.3, XP_316348.4, XP_308909.2, XP_556645.1, XP_308908.3, XP_308891.2, XP_316624.3, XP_001688133.1, XP_001688134.1, XP_308903.4, XP_001237148.2, XP_001688135.1, XP_001237147.2, XP_001688132.1, XP_001237146.1, XP_001688131.1, XP_308896.4, XP_308892.4, XP_001688124.1, XP_001688129.1, XP_001688130.1, XP_001688127.1, XP_001688128.1, XP_001688125.1, XP_001688120.1, XP_001688126.1, XP_001688123.1, XP_001237145.2, XP_001688119.1, XP_001688121.1, XP_001688122.1	XP_012141146.1
OG0000038	XP_551626.4, XP_321937.5, XP_309723.4	XP_012136030.1, XP_003703285.1
OG0000038	XP_312152.5	XP_012143992.1
OG0000040	XP_314093.2, XP_565496.1, XP_309032.2, XP_309033.2, XP_309036.1, XP_565054.3, XP_308619.3, XP_001689276.1, XP_318423.5, XP_001689275.1, XP_552320.3, XP_310364.7	XP_012139968.1, XP_003700885.1, XP_012135227.1, XP_003700881.1, XP_003700979.1, XP_012135225.1, XP_003700879.1, XP_003700882.2, XP_003700841.2, XP_012148108.1
OG0000041	XP_001230772.1, XP_003437050.1, XP_003437049.1	XP_012137793.1, XP_012137792.1, XP_003702208.1
OG0000041	XP_313971.4	XP_003706098.1, XP_003706097.1, XP_012147262.1, XP_012147261.1, XP_012147260.1, XP_012147263.1
OG0000041	XP_315271.4	XP_003700544.1
OG0000042	XP_003436850.1, XP_313877.5	XP_012140350.1
OG0000042	XP_003435912.1, XP_003435911.1, XP_003435913.1, XP_321375.3, XP_307056.3	XP_012142134.1, XP_003703962.2
OG0000043	XP_317400.2	XP_003705047.1
OG0000043	XP_317404.2	XP_003700214.1
OG0000044	XP_318000.4, XP_001689317.2, XP_003435967.1, XP_003435966.1, XP_003436699.1, XP_312430.5, XP_554544.3, XP_307174.4, XP_562562.2, XP_313478.5	XP_012148083.1, XP_012148084.1
OG0000044	XP_003436574.1	XP_003706475.2
OG0000045	XP_001689203.1, XP_316055.4, XP_552857.3, XP_319713.4, XP_320938.3, XP_320155.3, XP_320159.3, XP_320158.1, XP_552300.3	XP_003702695.1, XP_003703631.1
OG0000046	XP_313085.3	XP_012146503.1
OG0000046	XP_001689308.2	XP_003705538.1, XP_012153320.1
OG0000046	XP_315042.3	XP_003705669.2
OG0000050	XP_316295.4, XP_316296.3, XP_309020.3, XP_315770.4, XP_321363.4, XP_312052.3, XP_321362.2, XP_312564.5	XP_003700585.1, XP_003704799.2
OG0000052	XP_555802.2, XP_317786.3	XP_012144734.1
OG0000053	XP_312615.1	XP_012153561.1, XP_012145425.1, XP_012145426.1, XP_012149739.1, XP_012149740.1
OG0000054	XP_556684.2	XP_003707234.1
OG0000054	XP_316036.1, XP_316039.1, XP_316038.1, XP_316040.1, XP_316041.3	XP_012149797.1, XP_003707236.1
OG0000055	XP_553645.3	XP_003702736.1
OG0000055	XP_312790.4	XP_012143001.1
OG0000055	XP_321277.5	XP_012136069.1
OG0000056	XP_318579.4	XP_012140855.1, XP_012148645.1
OG0000056	XP_550805.4	XP_012147749.1
OG0000056	XP_317863.3	XP_012154207.1, XP_012154186.1
OG0000057	XP_309765.4	XP_003706217.1
OG0000057	XP_314483.4	XP_003706216.1
OG0000060	XP_318748.4	XP_012134573.1, XP_012134574.1, XP_012134572.1
OG0000061	XP_003436493.1, XP_003436494.1, XP_003436495.1, XP_309674.5	XP_003703873.1
OG0000061	XP_309223.5, XP_003437178.1, XP_003437179.1, XP_311857.4	XP_012143526.1, XP_003704544.2, XP_003704543.1, XP_003704539.1, XP_003704545.1, XP_003704542.1, XP_012143334.1, XP_003704521.1, XP_012143269.1, XP_012143273.1, XP_012143272.1, XP_003704535.1, XP_012143274.1, XP_012143275.1, XP_012153335.1
OG0000062	XP_308609.4, XP_308610.4, XP_315550.4, XP_315549.4, XP_308607.3, XP_308606.2, XP_001688031.1	XP_012135095.1
OG0000065	XP_321329.4	XP_012143903.1, XP_012143889.1, XP_012143895.1
OG0000067	XP_320481.4	XP_012148170.1
OG0000067	XP_315003.3, XP_001688603.1, XP_315671.4	XP_003701916.1
OG0000067	XP_315363.4	XP_003707128.1
OG0000073	XP_311477.4, XP_554263.1, XP_564483.1	XP_012147570.1
OG0000074	XP_321263.5	XP_003705844.2
OG0000077	XP_319941.4	XP_012150605.1, XP_012150604.1
OG0000077	XP_316979.4, XP_321166.4	XP_003703606.1
OG0000079	XP_001238492.1	XP_003703883.1, XP_012142004.1, XP_012142005.1, XP_012141949.1
OG0000079	XP_319818.4	XP_012142006.1, XP_012141955.1
OG0000080	XP_313655.5	XP_012154343.1, XP_012154339.1, XP_012154340.1, XP_012154342.1, XP_012154341.1
OG0000080	XP_313656.5, XP_003436798.1, XP_003436797.1	XP_003700524.1
OG0000082	XP_309846.3, XP_564070.3, XP_309845.4, XP_309840.2	XP_012151975.1, XP_012151997.1, XP_012151993.1
OG0000085	XP_003436490.1, XP_560023.4, XP_001688203.2, XP_309687.5, XP_316739.3	XP_003702681.1, XP_012135334.1, XP_012135335.1, XP_012135336.1, XP_012135337.1, XP_003701022.1, XP_012135341.1, XP_012135339.1, XP_012135338.1, XP_012135340.1
OG0000086	XP_552698.3	XP_003699659.2
OG0000086	XP_312070.5, XP_313588.3, XP_313589.2, XP_313388.5, XP_003436544.1, XP_562493.4, XP_003436543.1	XP_012143956.1, XP_012143955.1
OG0000087	XP_308086.3, XP_309579.4, XP_309577.4, XP_308085.4	XP_003708584.1
OG0000087	XP_306334.2, XP_308083.4, XP_308082.4	XP_012153278.1
OG0000088	XP_317091.3	XP_003701082.1
OG0000089	XP_319737.4	XP_012148159.1, XP_012148158.1, XP_012148161.1, XP_012148160.1, XP_012148157.1, XP_003706562.1
OG0000089	XP_310298.6	XP_003706466.1
OG0000091	XP_314159.2, XP_314157.3, XP_314156.2, XP_314158.2	XP_012147561.1, XP_012147560.1, XP_012147559.1, XP_012147526.1, XP_012147527.1, XP_012147542.1
OG0000092	XP_003435946.1, XP_003435945.1, XP_003435944.1, XP_003435942.1, XP_003435943.1	XP_012144682.1
OG0000092	XP_321262.1, XP_003435947.1	XP_012142981.1, XP_003704244.1
OG0000094	XP_317094.4, XP_001689000.1	XP_012151693.1
OG0000094	XP_312311.5	XP_012154361.1
OG0000096	XP_003436133.1, XP_003436134.1, XP_316142.4, XP_315650.4	XP_012147708.1
OG0000096	XP_307732.4, XP_319801.4, XP_316256.4, XP_314312.4, XP_316448.2	XP_012137363.1, XP_012137365.1
OG0000097	XP_003436515.1, XP_003436516.1, XP_562379.1	XP_012153341.1, XP_003705350.1
OG0000098	XP_314814.3	XP_012149140.1, XP_003706871.1, XP_012149138.1, XP_012149139.1, XP_012149137.1
OG0000099	XP_320987.5	XP_003705981.1, XP_012146974.1
OG0000099	XP_312290.4	XP_012140644.1, XP_012140638.1, XP_012140627.1, XP_012140632.1
OG0000099	XP_313462.4	XP_012136224.1
OG0000100	XP_313581.5	XP_012144538.1, XP_012144537.1, XP_012144535.1, XP_012144536.1, XP_003704922.1
OG0000101	XP_321098.5	XP_012141182.1, XP_012141571.1
OG0000101	XP_001238368.1, XP_552458.3, XP_320729.4, XP_320730.2, XP_320721.3, XP_320722.4, XP_320723.2, XP_320728.3, XP_552464.1	XP_012141186.1, XP_003703468.1
OG0000102	XP_308709.4, XP_565152.3	XP_012135996.1, XP_012135840.1, XP_012135835.1
OG0000108	XP_557098.2, XP_316461.3, XP_001237813.1, XP_316460.3, XP_557100.2	XP_012145715.1, XP_012145712.1, XP_012145714.1, XP_012145710.1, XP_012145711.1
OG0000109	XP_309801.3	XP_003700281.2
OG0000110	XP_001689285.1	XP_012147291.1, XP_012139832.1
