Orthogroup	Osmia_bicornis	Bombyx_mori
OG0000000	XP_029054805.1, XP_029054649.1	XP_037873921.1, XP_037871812.1
OG0000000	XP_029054585.1, XP_029054548.1	XP_037873721.1
OG0000000	XP_029055099.1	XP_037874474.1
OG0000000	XP_029053969.1	XP_037875266.1
OG0000000	XP_029053863.1	XP_037870339.1
OG0000000	XP_029054627.1, XP_029054117.1, XP_029053951.1, XP_029054286.1, XP_029054703.1	XP_037871132.1, XP_037873349.1, XP_037868785.1, XP_037877019.1, XP_037871118.1, XP_037867970.1, XP_037873726.1, XP_037877015.1, XP_037866942.1, XP_037870089.1, XP_037876482.1
OG0000000	XP_029053795.1, XP_029054177.1, XP_029054739.1, XP_029054402.1, XP_029054850.1, XP_029054450.1, XP_029054401.1	XP_037871995.1, XP_037871457.1, XP_037871459.1, XP_037874347.1, XP_037870555.1, XP_037873352.1, XP_037870375.1, XP_037871456.1, XP_004934341.2, XP_037874877.1, XP_037875254.1, XP_037868977.1, XP_037872500.1, XP_037868916.1, XP_037870348.1, XP_037877612.1, XP_037871971.1, XP_037866794.1, XP_037866960.1, XP_037871648.1, XP_037871120.1, XP_037871023.1, XP_037875881.1, XP_037868519.1, XP_037868121.1, XP_037869233.1, XP_037877020.1, XP_037872459.1, XP_037873687.1
OG0000001	XP_029047550.1, XP_029047546.1, XP_029047548.1, XP_029047547.1, XP_029055795.1, XP_029053627.1, XP_029053628.1, XP_029054076.1, XP_029054175.1, XP_029053437.1, XP_029048982.1, XP_029048983.1, XP_029048984.1, XP_029048981.1, XP_029053439.1, XP_029053440.1, XP_029054094.1, XP_029053433.1, XP_029053438.1, XP_029054161.1, XP_029052981.1, XP_029052980.1, XP_029052979.1, XP_029052978.1, XP_029053697.1, XP_029053980.1, XP_029053981.1, XP_029053979.1, XP_029053978.1, XP_029053876.1, XP_029053701.1, XP_029053700.1, XP_029053699.1, XP_029053698.1, XP_029053704.1	NP_001106226.1, NP_001266427.1, XP_012545238.2, NP_001073135.1, NP_001104007.1
OG0000001	XP_029036021.1	NP_001296520.1, NP_001266295.1
OG0000001	XP_029033204.1, XP_029033205.1	XP_037874444.1, XP_037874445.1, XP_037874443.1, XP_037874442.1, NP_001108340.1
OG0000003	XP_029054798.1	XP_037869604.1, XP_037867144.1, XP_037876915.1, XP_037877219.1, XP_037877221.1
OG0000003	XP_029054894.1	XP_037871022.1, XP_037871711.1, XP_037876186.1
OG0000003	XP_029053950.1, XP_029054738.1, XP_029054525.1, XP_029053944.1	XP_037870359.1, XP_037877164.1, XP_037869337.1, XP_037867960.1, XP_037866968.1, XP_037871610.1, XP_037873146.1, XP_037873148.1, XP_037873147.1, XP_037876654.1, XP_037870220.1
OG0000003	XP_029054611.1	XP_037867760.1, XP_037871729.1, XP_037872534.1, XP_037871580.1, XP_037868781.1, XP_037874099.1
OG0000003	XP_029054746.1	XP_037870101.1, XP_021204964.2, XP_037875250.1, XP_037870130.1, XP_037870373.1, XP_037867208.1
OG0000003	XP_029054258.1	XP_037866749.1, XP_037875440.1, XP_037875446.1, XP_037875869.1, XP_037869897.1, XP_037868552.1, XP_037875805.1
OG0000004	XP_029043188.1, XP_029055059.1, XP_029055222.1, XP_029055135.1	XP_037866663.1, XP_037874920.1
OG0000004	XP_029055109.1	XP_012549606.2
OG0000004	XP_029054294.1, XP_029054867.1, XP_029055008.1, XP_029055315.1, XP_029054950.1, XP_029055010.1, XP_029055230.1, XP_029054487.1, XP_029054704.1	XP_037872760.1, XP_037868220.1, XP_037874112.1, XP_037871694.1
OG0000005	XP_029040939.1	XP_037870301.1
OG0000006	XP_029033655.1	XP_012548049.2, NP_001155299.1, XP_037872108.1, NP_001104798.1, XP_037868147.1, XP_037868149.1, XP_012545176.2, NP_001166620.1, NP_001104819.1, XP_037873404.1, NP_001104832.2, NP_001091787.1
OG0000007	XP_029054123.1, XP_029055261.1, XP_029055254.1, XP_029054451.1, XP_029054587.1	XP_012547514.2, XP_037873313.1
OG0000007	XP_029053574.1	XP_021202050.1
OG0000007	XP_029053982.1, XP_029054695.1, XP_029055216.1, XP_029054809.1	XP_012546752.1
OG0000007	XP_029055155.1, XP_029054680.1	XP_037871092.1
OG0000008	XP_029037761.1	XP_012548163.2
OG0000008	XP_029041248.1	XP_012548032.1
OG0000008	XP_029037757.1	XP_012548168.1
OG0000008	XP_029037755.1	XP_021205470.2
OG0000008	XP_029037762.1	XP_037872353.1, XP_012548164.1
OG0000009	XP_029039353.1, XP_029039355.1, XP_029039354.1, XP_029050383.1, XP_029039416.1, XP_029039350.1, XP_029039348.1, XP_029039349.1	XP_037872543.1, NP_001095934.1, XP_037872544.1, NP_001103394.1, NP_001103404.1, NP_001077079.1, XP_021202508.2, NP_001108456.1
OG0000010	XP_029054044.1, XP_029054342.1, XP_029053689.1, XP_029053833.1, XP_029054571.1, XP_029055204.1, XP_029055000.1, XP_029054706.1, XP_029054282.1, XP_029054238.1	XP_021208868.2, XP_037877292.1, XP_037870974.1, XP_037877378.1, XP_004925231.2, XP_037871371.1, XP_037869407.1, XP_037873430.1, XP_037874123.1, XP_037877306.1, XP_004922866.1, XP_037877604.1, XP_037877550.1, XP_037869235.1
OG0000010	XP_029054267.1, XP_029053688.1, XP_029055081.1	XP_037872909.1
OG0000012	XP_029044618.1	XP_021205514.2
OG0000012	XP_029040151.1, XP_029040169.1	XP_012543999.1, NP_001037317.1
OG0000013	XP_029053452.1, XP_029054967.1, XP_029053453.1	XP_004933313.1
OG0000013	XP_029035638.1	NP_001040399.1
OG0000013	XP_029037650.1	NP_001091756.1
OG0000015	XP_029054814.1	XP_037867165.1, XP_037868016.1
OG0000015	XP_029054764.1, XP_029055153.1	XP_037869621.1, XP_037869019.1
OG0000015	XP_029055256.1	XP_037874319.1
OG0000015	XP_029054815.1	XP_037867584.1, XP_037866485.1, XP_037871430.1, XP_037871618.1
OG0000016	XP_029054344.1, XP_029054391.1, XP_029053686.1, XP_029054495.1, XP_029055268.1, XP_029053711.1, XP_029055014.1, XP_029051957.1, XP_029054619.1, XP_029053691.1, XP_029054936.1, XP_029054856.1, XP_029054642.1	XP_037875269.1, XP_037869058.1
OG0000017	XP_029036237.1	NP_001108466.1, XP_012546875.1, NP_001037420.1, NP_001037197.1, NP_001108464.1, NP_001108460.1
OG0000017	XP_029039562.1	NP_001037183.1
OG0000017	XP_029039555.1, XP_029039565.1, XP_029039563.1, XP_029039564.1	XP_037877194.1, NP_001037546.1, XP_037867588.1, XP_037877193.1, XP_037867593.1, NP_001036974.1
OG0000018	XP_029051327.1	XP_037871931.1
OG0000018	XP_029049735.1	XP_021205339.2, XP_037871705.1
OG0000018	XP_029036695.1	NP_001243945.1, XP_037871800.1
OG0000019	XP_029052871.1, XP_029052872.1	NP_001268819.1, XP_037869432.1, NP_001040220.1
OG0000019	XP_029052293.1	XP_037866672.1, XP_004931474.1, XP_004925522.1, XP_021203269.2, XP_004922003.2
OG0000019	XP_029033414.1	XP_004927318.1
OG0000020	XP_029050516.1	XP_021206581.1
OG0000020	XP_029043034.1	XP_012545030.1
OG0000020	XP_029055041.1, XP_029042549.1	XP_012552719.1, XP_021202222.1
OG0000020	XP_029051090.1	XP_037874470.1, XP_037874469.1
OG0000020	XP_029034229.1	XP_012548770.1
OG0000020	XP_029032757.1	XP_037867242.1, XP_012549186.1
OG0000021	XP_029039360.1, XP_029039361.1, XP_029039362.1	XP_004932475.1, XP_021207797.1
OG0000021	XP_029032147.1	XP_012546046.1
OG0000021	XP_029046571.1	XP_004926417.1
OG0000021	XP_029049609.1	XP_037869061.1
OG0000021	XP_029039365.1, XP_029039366.1, XP_029039367.1, XP_029039368.1, XP_029039369.1, XP_029039363.1	XP_037872785.1
OG0000024	XP_029045870.1	XP_004924130.1
OG0000025	XP_029050939.1	XP_004929074.1
OG0000026	XP_029039364.1	XP_037867257.1
OG0000026	XP_029032070.1, XP_029039545.1, XP_029055886.1, XP_029031842.1, XP_029032017.1, XP_029055971.1, XP_029055800.1, XP_029031929.1	XP_004929451.1, XP_012548588.1
OG0000027	XP_029053373.1	NP_001153669.1
OG0000028	XP_029053767.1, XP_029054640.1, XP_029053970.1	XP_037871212.1
OG0000028	XP_029054960.1, XP_029054456.1, XP_029053834.1	XP_037876866.1, XP_037874105.1, XP_037872934.1, XP_037868529.1, XP_037867214.1, XP_037877749.1, XP_037875622.1, XP_037873747.1, XP_037877519.1
OG0000028	XP_029055042.1, XP_029053911.1, XP_029055035.1, XP_029055068.1, XP_029053753.1	XP_037876479.1
OG0000029	XP_029041154.1, XP_029041149.1	NP_001036866.1, NP_001166691.1, NP_001166687.1
OG0000029	XP_029049864.1, XP_029049863.1, XP_029041266.1	NP_001093082.1, NP_001166690.1, NP_001166689.1
OG0000030	XP_029038013.1, XP_029038012.1	XP_037875304.1
OG0000030	XP_029049282.1	XP_004926017.1
OG0000031	XP_029054975.1, XP_029054109.1, XP_029055290.1, XP_029055318.1, XP_029054758.1, XP_029054093.1, XP_029039306.1, XP_029039307.1, XP_029039305.1, XP_029039303.1, XP_029039304.1, XP_029053776.1, XP_029053777.1, XP_029053775.1, XP_029053774.1, XP_029053773.1, XP_029053772.1, XP_029053771.1, XP_029054853.1, XP_029055093.1, XP_029054751.1, XP_029055141.1	XP_037875263.1, XP_012545031.2, XP_037871454.1, XP_037866963.1, XP_037871337.1
