Orthogroup	Habropoda_laboriosa	Dufourea_novaeangliae
OG0000000	XP_017791919.1	XP_015436978.1
OG0000000	XP_017797012.1	XP_015438109.1, XP_015438034.1
OG0000000	XP_017797005.1	XP_015432787.1
OG0000000	XP_017797536.1, XP_017792100.1, XP_017795695.1, XP_017796207.1, XP_017796351.1, XP_017796995.1, XP_017797538.1, XP_017796820.1, XP_017797015.1, XP_017796988.1, XP_017796388.1	XP_015438108.1
OG0000000	XP_017792102.1, XP_017794325.1, XP_017797004.1	XP_015433592.1, XP_015433132.1
OG0000000	XP_017795386.1	XP_015437138.1
OG0000000	XP_017796821.1	XP_015437077.1, XP_015438112.1
OG0000000	XP_017796554.1, XP_017788506.1, XP_017797013.1, XP_017791904.1	XP_015437886.1
OG0000000	XP_017788509.1, XP_017797028.1, XP_017796961.1, XP_017797535.1, XP_017794620.1, XP_017796727.1, XP_017797043.1, XP_017794319.1	XP_015435716.1, XP_015440280.1, XP_015438118.1, XP_015436991.1
OG0000001	XP_017796733.1	XP_015434777.1, XP_015434764.1, XP_015434775.1, XP_015434757.1, XP_015434758.1
OG0000001	XP_017796838.1	XP_015434778.1, XP_015434773.1, XP_015434772.1
OG0000001	XP_017796200.1, XP_017795399.1	XP_015434774.1
OG0000002	XP_017790869.1, XP_017793838.1, XP_017796220.1, XP_017791563.1	XP_015431885.1, XP_015430410.1, XP_015434271.1
OG0000002	XP_017787740.1	XP_015431457.1, XP_015439681.1, XP_015429399.1, XP_015431916.1, XP_015431919.1, XP_015431920.1, XP_015431917.1, XP_015431918.1, XP_015431915.1, XP_015429000.1
OG0000002	XP_017794487.1	XP_015437433.1
OG0000003	XP_017799489.1	XP_015429413.1, XP_015437007.1, XP_015440329.1
OG0000003	XP_017791914.1, XP_017796825.1	XP_015436815.1
OG0000003	XP_017797951.1	XP_015440315.1
OG0000003	XP_017798713.1	XP_015437574.1
OG0000003	XP_017795708.1	XP_015429306.1, XP_015435240.1
OG0000003	XP_017791461.1	XP_015437851.1, XP_015438720.1
OG0000006	XP_017797793.1	XP_015434157.1
OG0000006	XP_017799299.1	XP_015435345.1
OG0000007	XP_017787376.1, XP_017799435.1, XP_017799434.1, XP_017795874.1	XP_015439489.1
OG0000008	XP_017795667.1	XP_015433852.1
OG0000008	XP_017796749.1	XP_015434651.1
OG0000009	XP_017794605.1	XP_015437448.1, XP_015437450.1, XP_015437451.1
OG0000010	XP_017796643.1	XP_015437926.1
OG0000011	XP_017794869.1	XP_015432705.1, XP_015432704.1
OG0000012	XP_017792474.1, XP_017792476.1, XP_017792475.1, XP_017792472.1, XP_017792473.1	XP_015432146.1
OG0000013	XP_017797009.1	XP_015440395.1
OG0000013	XP_017796994.1	XP_015440032.1, XP_015433591.1, XP_015438886.1, XP_015438310.1, XP_015436653.1, XP_015435180.1, XP_015438096.1, XP_015438891.1, XP_015437428.1
OG0000014	XP_017795687.1	XP_015435403.1
OG0000014	XP_017799307.1	XP_015435405.1, XP_015440405.1
OG0000015	XP_017789847.1, XP_017788742.1, XP_017788743.1, XP_017797133.1	XP_015432301.1
OG0000016	XP_017790433.1	XP_015438494.1
OG0000017	XP_017795648.1	XP_015435373.1, XP_015435410.1, XP_015438105.1
OG0000018	XP_017787682.1, XP_017787687.1, XP_017787680.1, XP_017787681.1, XP_017787683.1, XP_017787684.1, XP_017787685.1, XP_017787686.1	XP_015429717.1
OG0000019	XP_017789119.1	XP_015437181.1
OG0000021	XP_017796728.1, XP_017793544.1	XP_015437897.1
OG0000021	XP_017796989.1, XP_017796209.1, XP_017795070.1	XP_015437076.1
OG0000022	XP_017794031.1, XP_017794029.1, XP_017794030.1, XP_017794026.1, XP_017794027.1, XP_017794028.1	XP_015433494.1
OG0000025	XP_017792776.1	XP_015428496.1
OG0000026	XP_017790036.1, XP_017790034.1, XP_017790035.1, XP_017790037.1, XP_017790033.1	XP_015431421.1, XP_015431420.1, XP_015431419.1, XP_015431417.1, XP_015431416.1
OG0000027	XP_017792739.1	XP_015436027.1
OG0000028	XP_017798042.1, XP_017798041.1	XP_015429673.1, XP_015429675.1, XP_015429674.1
