GO.ID,Term,Annotated,Significant,Expected,classicFisher,classicFisherPadj
GO:0098542,defense response to other organism,278,46,5,1e-30,3.5300000000000005e-28
GO:0006952,defense response,285,46,5.13,1e-30,3.5300000000000005e-28
GO:0009607,response to biotic stimulus,323,47,5.81,1e-30,3.5300000000000005e-28
GO:0043207,response to external biotic stimulus,323,47,5.81,1e-30,3.5300000000000005e-28
GO:0051707,response to other organism,323,47,5.81,1e-30,3.5300000000000005e-28
GO:0044419,interspecies interaction between organis...,331,47,5.96,1e-30,3.5300000000000005e-28
GO:0006950,response to stress,976,72,17.57,1.3e-30,3.933428571428571e-28
GO:0006955,immune response,234,38,4.21,6.8e-27,1.8003e-24
GO:0002376,immune system process,377,45,6.79,3.4e-26,8.001333333333333e-24
GO:0009605,response to external stimulus,792,61,14.25,6.9e-26,1.46142e-23
GO:0045087,innate immune response,152,30,2.74,9.9e-24,1.9062e-21
GO:0002682,regulation of immune system process,191,32,3.44,5.5e-23,9.707500000000001e-21
GO:0002831,regulation of response to biotic stimulu...,137,27,2.47,2.4e-21,3.9101538461538463e-19
GO:0031347,regulation of defense response,125,26,2.25,3.3e-21,4.992428571428572e-19
GO:0002252,immune effector process,127,26,2.29,5.1e-21,7.2012e-19
GO:0002697,regulation of immune effector process,71,21,1.28,1e-20,1.32375e-18
GO:0008219,cell death,330,36,5.94,2.3e-19,2.8240000000000004e-17
GO:0050776,regulation of immune response,132,25,2.38,2.4e-19,2.8240000000000004e-17
GO:0006959,humoral immune response,92,21,1.66,4e-18,4.458947368421053e-16
GO:0012501,programmed cell death,295,33,5.31,4.6e-18,4.871400000000001e-16
GO:0032101,regulation of response to external stimu...,201,28,3.62,6.9e-18,6.959142857142858e-16
GO:0080134,regulation of response to stress,263,31,4.73,1.3e-17,1.2515454545454544e-15
GO:0009617,response to bacterium,167,25,3.01,8.9e-17,8.195739130434782e-15
GO:0050896,response to stimulus,2290,86,41.22,9.6e-17,8.471999999999999e-15
GO:0016246,RNA interference,35,14,0.63,3e-16,2.5415999999999998e-14
GO:0031047,gene silencing by RNA,86,19,1.55,3.4e-16,2.769692307692308e-14
GO:0098869,cellular oxidant detoxification,31,13,0.56,1.7e-15,1.3335555555555556e-13
GO:0051716,cellular response to stimulus,1718,72,30.92,2.2e-15,1.664142857142857e-13
GO:0009615,response to virus,49,15,0.88,2.7e-15,1.9719310344827585e-13
GO:0009620,response to fungus,40,14,0.72,2.8e-15,1.9768e-13
GO:0042742,defense response to bacterium,157,23,2.83,2.9e-15,1.9813548387096776e-13
GO:0060033,anatomical structure regression,50,15,0.9,3.7e-15,2.4489375e-13
GO:0035194,post-transcriptional gene silencing by R...,61,16,1.1,4.6e-15,2.9523636363636363e-13
