Orthogroup	Osmia_lignaria	Osmia_bicornis
OG0000000	XP_034174770.1	XP_029054064.1, XP_029054855.1
OG0000000	XP_034195039.1, XP_034174768.1, XP_034194643.1	XP_029054805.1, XP_029054649.1
OG0000000	XP_034179313.1	XP_029054585.1, XP_029054548.1
OG0000000	XP_034192368.1	XP_029054552.1
OG0000000	XP_034195203.1	XP_029053969.1
OG0000000	XP_034194995.1, XP_034195295.1	XP_029054672.1
OG0000000	XP_034194536.1	XP_029054786.1, XP_029054770.1
OG0000000	XP_034195330.1, XP_034195249.1, XP_034195331.1, XP_034194829.1	XP_029054415.1
OG0000000	XP_034194808.1	XP_029054627.1, XP_029054117.1, XP_029053951.1
OG0000000	XP_034182478.1	XP_029054286.1
OG0000000	XP_034194838.1	XP_029054703.1
OG0000000	XP_034195313.1	XP_029054177.1
OG0000000	XP_034177367.1, XP_034195165.1, XP_034195149.1, XP_034195129.1	XP_029054739.1
OG0000000	XP_034182490.1	XP_029054402.1
OG0000000	XP_034194953.1	XP_029054850.1
OG0000000	XP_034194794.1	XP_029054450.1
OG0000000	XP_034195156.1	XP_029054401.1
OG0000001	XP_034175979.1	XP_029044867.1
OG0000001	XP_034183758.1	XP_029047550.1
OG0000001	XP_034183757.1	XP_029047546.1, XP_029047548.1, XP_029047547.1
OG0000001	XP_034177877.1	XP_029055795.1
OG0000001	XP_034194603.1, XP_034194619.1	XP_029053627.1, XP_029053628.1
OG0000001	XP_034194593.1	XP_029054076.1
OG0000001	XP_034194594.1	XP_029054175.1
OG0000001	XP_034178693.1, XP_034178694.1, XP_034178695.1, XP_034178692.1, XP_034178691.1	XP_029053437.1
OG0000001	XP_034178244.1	XP_029053439.1, XP_029053440.1, XP_029054094.1
OG0000001	XP_034178676.1	XP_029053433.1
OG0000001	XP_034194581.1, XP_034194582.1, XP_034194583.1	XP_029054161.1, XP_029052981.1, XP_029052980.1, XP_029052979.1, XP_029052978.1
OG0000001	XP_034178690.1	XP_029053697.1
OG0000001	XP_034178111.1	XP_029053980.1, XP_029053981.1, XP_029053979.1, XP_029053978.1
OG0000001	XP_034194601.1	XP_029053876.1
OG0000001	XP_034178688.1, XP_034178687.1, XP_034178689.1	XP_029053701.1, XP_029053700.1, XP_029053699.1, XP_029053698.1
OG0000001	XP_034178696.1	XP_029053704.1
OG0000001	XP_034187550.1	XP_029036021.1
OG0000001	XP_034190826.1, XP_034190827.1	XP_029033204.1, XP_029033205.1
OG0000002	XP_034171929.1	XP_029034426.1
OG0000002	XP_034171933.1	XP_029048273.1
OG0000002	XP_034171931.1	XP_029048274.1
OG0000002	XP_034170982.1	XP_029048309.1
OG0000002	XP_034171014.1	XP_029034429.1
OG0000002	XP_034171015.1	XP_029034428.1
OG0000002	XP_034171927.1	XP_029034389.1
OG0000002	XP_034170983.1	XP_029048307.1
OG0000002	XP_034170985.1	XP_029048304.1
OG0000002	XP_034170984.1	XP_029048306.1
OG0000002	XP_034171930.1	XP_029054355.1
OG0000002	XP_034171932.1	XP_029054352.1
OG0000002	XP_034171011.1	XP_029054358.1
OG0000002	XP_034171928.1	XP_029048308.1
OG0000002	XP_034171012.1	XP_029054353.1
OG0000003	XP_034194163.1	XP_029054798.1
OG0000003	XP_034195049.1	XP_029054525.1
OG0000003	XP_034195035.1	XP_029053920.1, XP_029055270.1
OG0000003	XP_034195209.1, XP_034195334.1	XP_029055276.1, XP_029055313.1
OG0000003	XP_034195210.1, XP_034194824.1, XP_034194797.1, XP_034195117.1, XP_034195051.1, XP_034194543.1, XP_034195139.1, XP_034194986.1	XP_029054746.1
OG0000003	XP_034192371.1, XP_034192425.1, XP_034192437.1, XP_034195197.1, XP_034195316.1, XP_034195201.1, XP_034174769.1, XP_034195346.1	XP_029054707.1
OG0000003	XP_034195041.1	XP_029054973.1
OG0000003	XP_034194962.1	XP_029055100.1, XP_029053801.1
OG0000004	XP_034182484.1	XP_029055255.1
OG0000004	XP_034194812.1	XP_029054728.1, XP_029054531.1
OG0000004	XP_034175783.1	XP_029054008.1
OG0000004	XP_034178409.1	XP_029046929.1
OG0000004	XP_034194807.1	XP_029054294.1
OG0000004	XP_034195176.1	XP_029055008.1
OG0000004	XP_034195009.1	XP_029055315.1
OG0000004	XP_034194636.1	XP_029054950.1
OG0000004	XP_034195065.1	XP_029054487.1, XP_029054704.1
OG0000005	XP_034196431.1	XP_029040190.1
OG0000005	XP_034175159.1, XP_034175160.1	XP_029048965.1
OG0000005	XP_034186984.1	XP_029038971.1
OG0000005	XP_034195050.1, XP_034194985.1	XP_029054264.1
OG0000005	XP_034195200.1	XP_029054697.1
