GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0005515	protein binding	282	27	24.12	0.0031	0.0031	0.0341	0.0341
GO:0043167	ion binding	172	15	14.71	0.1409	0.1409	0.6024857142857143	0.4018142857142857
GO:0098772	molecular function regulator	103	14	8.81	0.1722	0.1722	0.6024857142857143	0.4018142857142857
GO:0016787	hydrolase activity	113	6	9.66	0.2453	0.2453	0.6024857142857143	0.4018142857142857
GO:0097159	organic cyclic compound binding	177	17	15.14	0.3294	0.2236	0.6024857142857143	0.4018142857142857
GO:0003676	nucleic acid binding	109	10	9.32	0.3451	0.3451	0.6024857142857143	0.4745125
GO:1901363	heterocyclic compound binding	174	17	14.88	0.3834	0.2557	0.6024857142857143	0.4018142857142857
GO:0005488	binding	380	33	32.5	0.8481	0.0343	1	0.18864999999999998
GO:0003824	catalytic activity	236	17	20.18	0.9724	0.8855	1	1
GO:0003674	molecular_function	456	39	39	1.0000	1.0000	1	1
GO:0140096	catalytic activity, acting on a protein	119	7	10.18	1.0000	1.0000	1	1
