Orthogroup	Habropoda_laboriosa	Aedes_aegypti
OG0000001	XP_017793598.1, XP_017796836.1, XP_017796838.1, XP_017795399.1, XP_017796200.1, XP_017791301.1, XP_017795398.1, XP_017791778.1, XP_017791425.1	XP_021704701.1
OG0000002	XP_017795928.1, XP_017795926.1, XP_017795970.1, XP_017795940.1, XP_017795948.1, XP_017795929.1, XP_017795932.1, XP_017795931.1, XP_017795930.1, XP_017795934.1, XP_017797103.1, XP_017797055.1, XP_017797089.1, XP_017795969.1, XP_017795975.1, XP_017797057.1, XP_017795939.1, XP_017795938.1, XP_017795937.1, XP_017795933.1	XP_021711562.1
OG0000005	XP_017796951.1, XP_017789775.1, XP_017789770.1, XP_017794536.1	XP_021706484.1
OG0000006	XP_017789424.1	XP_001651754.2, XP_001651756.3
OG0000007	XP_017787674.1	XP_021709737.1, XP_021708700.1, XP_021712884.1, XP_021707298.1, XP_021708190.1, XP_021699796.1, XP_021700128.1, XP_021701239.1, XP_021708882.1
OG0000008	XP_017797987.1	XP_001648300.1
OG0000008	XP_017793615.1	XP_001661923.2
OG0000008	XP_017797940.1	XP_021710654.1
OG0000008	XP_017797975.1	XP_021710651.1, XP_021710652.1, XP_021710650.1, XP_021710649.1, XP_021710648.1
OG0000008	XP_017797962.1	XP_001648302.1
OG0000008	XP_017798022.1	XP_021710647.1
OG0000009	XP_017789192.1, XP_017794730.1, XP_017794617.1, XP_017794731.1, XP_017794737.1	XP_021705958.1, XP_001649103.2, XP_001649101.2, XP_021700263.1, XP_001649098.2, XP_001649095.1, XP_001649100.3, XP_001649097.2, XP_021705963.1, XP_001649093.1, XP_001649094.1, XP_021700373.1, XP_001661968.1, XP_001661969.1, XP_001649106.2, XP_001652216.1, XP_001652217.1, XP_001649108.2, XP_001649107.2, XP_021705961.1, XP_001652222.1, XP_001652218.2, XP_021705962.1, XP_001657206.1
OG0000012	XP_017797597.1	XP_001655419.1, XP_021709641.1
OG0000012	XP_017797590.1	XP_001658080.2, XP_001663002.1, XP_001652943.1, XP_001663900.2, XP_001658491.2, XP_001663898.2, XP_021707969.1, XP_001663895.2, XP_001660673.2, XP_001660676.2, XP_021703076.1, XP_001657786.1, XP_001650145.1, XP_021712427.1, XP_021707394.1
OG0000012	XP_017796583.1, XP_017796672.1	XP_001651150.1, XP_001651148.1, XP_001651149.1, XP_001651147.1, XP_001651146.1
OG0000013	XP_017799299.1	XP_021705634.1, XP_021711156.1, XP_021711154.1, XP_001656985.1, XP_001656989.1, XP_021711158.1, XP_021711157.1, XP_021711153.1, XP_021701440.1
OG0000013	XP_017795688.1	XP_021707704.1
OG0000013	XP_017797795.1	XP_001657554.1, XP_001655332.2
OG0000014	XP_017799148.1, XP_017799145.1	XP_021712022.1, XP_021712028.1
OG0000016	XP_017796994.1, XP_017797009.1	XP_021712581.1, XP_021694278.1, XP_021695205.1
OG0000017	XP_017788278.1	XP_021701980.1, XP_021701981.1, XP_001658752.1, XP_021701977.1, XP_021701978.1, XP_021701979.1, XP_001658750.1, XP_021701982.1, XP_021701973.1, XP_021701974.1, XP_021701975.1, XP_021701976.1, XP_001658753.1, XP_001658755.1
OG0000017	XP_017795363.1, XP_017795361.1	XP_001658009.2, XP_021693938.1, XP_001658007.2
OG0000018	XP_017793008.1	XP_021697392.1, XP_021697390.1, XP_021697387.1, XP_021697388.1, XP_021697389.1, XP_021697393.1
OG0000018	XP_017793490.1	XP_021706785.1, XP_021706786.1, XP_021706787.1, XP_021706788.1, XP_001651693.2
OG0000018	XP_017793336.1, XP_017796703.1	XP_021706781.1
OG0000019	XP_017790272.1	XP_021694331.1, XP_021694068.1
OG0000019	XP_017788514.1	XP_001651730.2, XP_001662493.2, XP_001662497.2, XP_001662494.2, XP_021694070.1, XP_001662317.1, XP_001650036.2, XP_001662495.2
OG0000020	XP_017790081.1, XP_017792589.1	XP_021703507.1, XP_021703506.1, XP_021703509.1, XP_001651414.2, XP_021703508.1, XP_021700207.1, XP_021700205.1, XP_021700206.1, XP_021700209.1, XP_021700211.1, XP_021700210.1
OG0000020	XP_017791574.1	XP_021703504.1
OG0000020	XP_017794423.1	XP_021700919.1, XP_001650147.2
OG0000020	XP_017793275.1	XP_021705068.1
OG0000020	XP_017796526.1	XP_021706790.1
OG0000020	XP_017795013.1	XP_021703783.1
OG0000020	XP_017794610.1	XP_021699908.1
OG0000021	XP_017798657.1	XP_001654997.1, XP_021710336.1, XP_021710335.1
OG0000021	XP_017790276.1	XP_021699404.1
OG0000021	XP_017787416.1, XP_017790325.1	XP_021713110.1, XP_001662165.1
OG0000022	XP_017795686.1	XP_001657157.1, XP_001657152.1, XP_001657149.1, XP_001662624.1
OG0000023	XP_017799305.1	XP_021705294.1, XP_021705295.1, XP_021705020.1, XP_021705019.1, XP_021705018.1, XP_021705026.1, XP_021705293.1, XP_021706644.1, XP_021706645.1, XP_021706808.1, XP_021706809.1, XP_021706669.1, XP_021706668.1, XP_021706564.1, XP_001656991.1, XP_001656987.1, XP_021706561.1, XP_021706555.1, XP_021706479.1, XP_021706481.1, XP_021705027.1, XP_001657281.1, XP_021705827.1, XP_001657266.1, XP_021705292.1
OG0000026	XP_017790381.1	XP_021706420.1
OG0000026	XP_017797652.1	XP_021708568.1, XP_021708571.1
OG0000026	XP_017792231.1	XP_021702583.1, XP_021702581.1, XP_021702582.1, XP_021702584.1
OG0000027	XP_017799307.1	XP_001657154.1, XP_001657155.1, XP_021705028.1, XP_001663888.1, XP_021706536.1, XP_021706547.1, XP_021706542.1
OG0000027	XP_017795687.1	XP_001656994.2
OG0000029	XP_017792656.1, XP_017792675.1	XP_001654720.1, XP_021711708.1, XP_021704638.1, XP_021712736.1, XP_001654721.1, XP_021693569.1, XP_001660358.1, XP_001657546.2, XP_001660353.1, XP_001660356.1, XP_001660354.2, XP_001660359.1, XP_001660349.1, XP_021693574.1, XP_001660357.1, XP_001650809.1
OG0000029	XP_017798436.1	XP_001664018.2
OG0000029	XP_017792700.1	XP_021704637.1, XP_021704641.1, XP_021712735.1
OG0000030	XP_017799391.1, XP_017799392.1	XP_001658050.1
OG0000032	XP_017791965.1	XP_021702783.1
OG0000032	XP_017793574.1, XP_017790226.1	XP_001652526.1, XP_021707253.1, XP_001652524.1, XP_001652523.2, XP_021707252.1, XP_001652525.1, XP_001652527.2, XP_001652528.2, XP_001652520.1, XP_021708318.1, XP_001662930.2, XP_021709531.1
OG0000033	XP_017796735.1, XP_017791631.1	XP_021702767.1
OG0000035	XP_017797282.1	XP_001650274.2, XP_001662128.2
OG0000035	XP_017793793.1, XP_017793792.1	XP_001659549.2, XP_001653600.1, XP_021695840.1, XP_011493156.1, XP_001653602.1, XP_021702436.1, XP_001660379.1, XP_021702428.1, XP_021696237.1, XP_021696236.1, XP_001663166.2, XP_001663167.2, XP_001663165.2, XP_001654498.2, XP_021699048.1, XP_021699049.1, XP_001654514.2, XP_021699050.1
OG0000036	XP_017791875.1, XP_017791824.1, XP_017791822.1, XP_017791523.1, XP_017791522.1	XP_021695536.1
OG0000037	XP_017798855.1	XP_021698956.1, XP_021698957.1, XP_021698955.1, XP_001655400.1, XP_001659628.2, XP_001654516.2, XP_001650153.1, XP_001659658.1, XP_001650182.1, XP_001659653.2, XP_001659654.2, XP_001659610.1, XP_001647747.1, XP_001659651.2, XP_001659656.2, XP_001659657.1
OG0000038	XP_017789191.1, XP_017795058.1	XP_001652144.1, XP_001663407.1
OG0000038	XP_017791877.1	XP_021707546.1, XP_021707545.1, XP_021707544.1, XP_021707542.1
OG0000040	XP_017793196.1	XP_001659969.2, XP_001659962.1
OG0000040	XP_017797294.1, XP_017797297.1, XP_017797034.1, XP_017789776.1	XP_021698609.1, XP_021698904.1, XP_001661388.1, XP_021698905.1, XP_021709866.1, XP_001654842.2, XP_001662080.2, XP_001662079.2, XP_001662078.2, XP_001658738.1, XP_001652121.2, XP_001662077.2, XP_001662076.1
OG0000041	XP_017796749.1	XP_001659963.1
OG0000041	XP_017798373.1	XP_001649531.1
OG0000042	XP_017797246.1	XP_021693433.1
OG0000043	XP_017797621.1	XP_001660749.1
OG0000043	XP_017793787.1	XP_001660756.1
OG0000043	XP_017793789.1	XP_001660753.1
OG0000044	XP_017792515.1, XP_017792514.1	XP_001662886.2, XP_021704584.1, XP_021704583.1, XP_021704585.1, XP_001658981.2, XP_001659766.2, XP_001662888.1, XP_021693815.1, XP_001662885.2, XP_021693817.1, XP_001651477.2
OG0000044	XP_017792527.1, XP_017792526.1	XP_021712943.1
OG0000045	XP_017797443.1, XP_017797444.1	XP_001660907.2, XP_021707666.1, XP_001660908.1, XP_001660906.2, XP_001660189.2, XP_001649784.1, XP_001649787.1, XP_001649783.1, XP_001649786.1, XP_001649788.1, XP_001656785.2
OG0000046	XP_017789468.1	XP_021707218.1, XP_011493320.1, XP_021711730.1, XP_021711729.1, XP_021711733.1, XP_021711731.1
OG0000046	XP_017790988.1, XP_017792943.1	XP_021707697.1
OG0000046	XP_017788243.1	XP_021698547.1, XP_021698548.1
OG0000048	XP_017799483.1	XP_001663296.2
OG0000050	XP_017787690.1	XP_001654509.1, XP_011493543.2, XP_001650372.3, XP_001648942.1, XP_001655125.2, XP_021711298.1, XP_001656532.2, XP_021712588.1, XP_001656533.1, XP_021711977.1, XP_021712587.1, XP_001656534.2, XP_021712580.1, XP_001656535.1, XP_021712578.1, XP_001656536.1, XP_021712579.1, XP_021712589.1, XP_001656537.1
OG0000052	XP_017798778.1	XP_001653763.1
OG0000052	XP_017793145.1	XP_021711564.1
OG0000054	XP_017797389.1, XP_017797390.1	XP_001661677.2, XP_001657098.2, XP_001663703.1, XP_001663705.1, XP_001658209.1, XP_001658210.1, XP_001663706.1, XP_001663702.2
OG0000055	XP_017799533.1	XP_021695325.1, XP_021695326.1, XP_001650510.1, XP_021695322.1, XP_021695324.1, XP_021695323.1
OG0000055	XP_017789854.1	XP_001654841.2
OG0000056	XP_017795795.1, XP_017792816.1	XP_021702305.1
OG0000056	XP_017792926.1	XP_021704129.1
OG0000056	XP_017792979.1	XP_021704390.1
