Orthogroup	Vespa_mandarinia	Acyrthosiphon_pisum
OG0000001	XP_035734021.1, XP_035734020.1, XP_035734019.1	XP_001943981.2, XP_001947920.1, XP_001948421.1, XP_016656332.1, XP_016659432.1, XP_016659132.2, XP_001952450.1, XP_016655759.1, XP_029344134.1, XP_029344133.1, XP_001948581.2, XP_029344135.1, XP_001943570.2, XP_008183473.1, XP_029341969.1, NP_001353126.1, XP_001946384.4, XP_029344453.1, XP_003248692.2, NP_001156683.2, XP_001945100.2, XP_001946428.1, XP_029344865.1, XP_016657118.1, XP_001944599.2, XP_008189491.3, XP_016660356.1
OG0000003	XP_035731237.1, XP_035742199.1, XP_035731232.1	XP_016661947.1
OG0000004	XP_035735035.1, XP_035734136.1, XP_035734899.1, XP_035744268.1	XP_008184892.1, XP_008189998.1, XP_016658202.2, XP_029348322.1, XP_029348356.1, XP_008186742.1, XP_008178409.1, XP_008189971.1, XP_029348597.1, XP_016661423.2, XP_008180700.1
OG0000004	XP_035737763.1, XP_035737762.1, XP_035742402.1, XP_035734902.1, XP_035739245.1	XP_008181189.1, XP_008178696.1, XP_008184865.1, XP_029348501.1, XP_008189957.1, XP_008187534.1, XP_029347760.1
OG0000006	XP_035718467.1, XP_035718471.1, XP_035718468.1, XP_035718469.1, XP_035718470.1, XP_035732062.1, XP_035740898.1	XP_016661819.1
OG0000008	XP_035740079.1, XP_035736062.1, XP_035736014.1, XP_035739952.1, XP_035739953.1	XP_016663037.1
OG0000008	XP_035736007.1	XP_001945226.1
OG0000008	XP_035736200.1, XP_035736201.1, XP_035736202.1	XP_001948787.1, XP_008186873.1
OG0000008	XP_035739950.1, XP_035739951.1, XP_035739948.1	XP_029347673.1, XP_001947912.2, XP_008185220.1, XP_029341168.1, XP_029345772.1, XP_029341167.1, XP_029347064.1, XP_029347063.1, XP_029347062.1, XP_001947727.3
OG0000010	XP_035740256.1, XP_035736363.1, XP_035723753.1, XP_035737757.1, XP_035742633.1, XP_035724078.1, XP_035736366.1, XP_035742251.1, XP_035737492.1, XP_035742783.1, XP_035737758.1, XP_035740321.1, XP_035737495.1, XP_035723442.1, XP_035742250.1	XP_008180149.1, XP_016655915.1, XP_008190142.1
OG0000010	XP_035742748.1, XP_035725549.1, XP_035737761.1, XP_035740330.1, XP_035741893.1, XP_035731225.1, XP_035742782.1, XP_035739222.1	XP_016657651.1
OG0000013	XP_035732971.1	XP_008190047.2, XP_008190048.2, XP_003246588.2
OG0000013	XP_035732326.1, XP_035732327.1, XP_035732323.1, XP_035732322.1, XP_035732328.1	XP_008188188.1
OG0000017	XP_035728385.1	XP_029345033.1, XP_016662561.1, XP_003246468.3, XP_016662288.1, XP_029345886.1, XP_008186550.1, XP_008186556.2, XP_029345031.1, NP_001156274.1
OG0000018	XP_035730877.1, XP_035718019.1, XP_035718148.1, XP_035735080.1	XP_016663044.1, XP_008186888.2, XP_001946763.2, XP_008188568.1, XP_029346478.1, XP_029346617.1, XP_016664244.1, XP_029346475.1, XP_029346477.1, XP_029346476.1, XP_001948798.2, XP_001943056.2, XP_016658122.1, XP_001943526.2
OG0000019	XP_035725561.1, XP_035725574.1, XP_035725576.1	XP_029347490.1, XP_001952550.2, XP_016662737.1, XP_016662736.1, XP_008186492.2, XP_003241200.1
OG0000019	XP_035720602.1	XP_001947401.1
OG0000020	XP_035723591.1	XP_003244194.1
OG0000020	XP_035725275.1	XP_029343120.1
OG0000020	XP_035728836.1	XP_029344335.1, XP_016664934.1
OG0000020	XP_035730287.1, XP_035730285.1, XP_035730286.1, XP_035730288.1, XP_035730289.1	XP_029347131.1
OG0000021	XP_035729141.1	XP_001945018.2
OG0000021	XP_035721174.1, XP_035721172.1, XP_035721170.1, XP_035721169.1, XP_035721173.1	XP_001944401.2
OG0000021	XP_035723530.1	XP_016663029.1, XP_003240228.1, XP_029342725.1
OG0000021	XP_035723165.1, XP_035723164.1, XP_035743843.1, XP_035743842.1, XP_035729144.1	XP_016659978.2, XP_016662637.1, XP_016659979.1, XP_001949549.1, XP_029343712.1, XP_029343713.1, XP_016659980.1, XP_008183245.1, XP_029343716.1, XP_029343717.1, XP_029343714.1, XP_029343715.1, XP_029343711.1, XP_029343709.1
OG0000022	XP_035725916.1	XP_003244391.2, XP_029347151.1, XP_029347343.1
OG0000022	XP_035725918.1, XP_035725921.1, XP_035725917.1, XP_035725920.1, XP_035721830.1, XP_035735991.1, XP_035732965.1, XP_035735255.1	XP_003241023.1, XP_003241031.1, XP_003241036.1, XP_003241039.1, XP_003248420.1, XP_001952706.2
OG0000023	XP_035735990.1	XP_003245102.1
OG0000023	XP_035725923.1, XP_035735383.1, XP_035735257.1, XP_035725926.1, XP_035725925.1, XP_035725924.1, XP_035725922.1, XP_035740848.1	XP_003248948.1, XP_003241030.1, XP_003241035.1, XP_003245104.1, XP_001950269.1, XP_001950698.1, XP_001947771.1
OG0000024	XP_035742194.1, XP_035728675.1, XP_035728676.1, XP_035728677.1	XP_001949358.2
OG0000024	XP_035738183.1, XP_035720575.1, XP_035720354.1, XP_035720356.1, XP_035720355.1, XP_035720353.1, XP_035738182.1	XP_001945823.1, XP_008178907.1, NP_001156186.1, XP_008184690.1, XP_008184689.1, XP_016661278.1, XP_029342088.1, XP_001944108.2, XP_029345418.1, NP_001156094.1, XP_029341993.1, NP_001280411.1, NP_001153866.1, NP_001155931.1, XP_008185581.1, XP_016659708.1, NP_001156430.1
OG0000026	XP_035728457.1	XP_029342349.1, XP_029342350.1
OG0000026	XP_035718093.1, XP_035718094.1	XP_029343074.1
OG0000027	XP_035725930.1	NP_001156692.1
OG0000027	XP_035735381.1, XP_035725928.1, XP_035725929.1	XP_008190046.1
OG0000029	XP_035732363.1, XP_035732348.1	XP_016663309.2, XP_001952418.1
OG0000029	XP_035732367.1, XP_035732349.1	NP_001165726.1, XP_001947860.1
OG0000030	XP_035723581.1	XP_029344636.1, XP_016658280.1, XP_003248260.1, XP_001948318.2, XP_016664102.1, XP_003248040.1, XP_001947250.2
OG0000032	XP_035723151.1	XP_003246235.1, XP_001947862.2, XP_001948097.2, XP_003246236.1
OG0000032	XP_035735826.1	XP_003243898.1
OG0000035	XP_035731371.1	XP_001951632.1, XP_016663720.1, XP_029345626.1, XP_003246783.1, XP_003246784.1, XP_001948117.1
OG0000037	XP_035725074.1	XP_008187877.2, NP_001155504.1, XP_003241041.1, XP_003243107.1, NP_001165431.1, NP_001155507.1, XP_029343963.1, XP_003247374.1, XP_008190010.1, NP_001165734.1
OG0000038	XP_035735002.1, XP_035735001.1, XP_035735000.1	XP_001948685.1
OG0000038	XP_035734959.1	XP_003243865.1
OG0000039	XP_035742491.1, XP_035738048.1, XP_035739234.1, XP_035741853.1, XP_035742781.1, XP_035742675.1, XP_035742780.1	XP_016661651.1
OG0000041	XP_035743035.1	NP_001119672.1, XP_008186344.1
OG0000041	XP_035742719.1, XP_035742718.1, XP_035742717.1	NP_001136108.1, XP_001948457.2
OG0000042	XP_035732212.1	XP_016662708.1, XP_008186444.1
OG0000043	XP_035731122.1	NP_001128404.1, XP_029342103.1, NP_001119651.1
OG0000044	XP_035717273.1, XP_035744089.1, XP_035744088.1	XP_001948350.2, XP_001948442.2, XP_001944286.2, NP_001119606.1, XP_029343988.1, XP_008179772.1, XP_001946754.2
OG0000045	XP_035720478.1, XP_035720481.1, XP_035720479.1, XP_035731034.1, XP_035731019.1, XP_035720482.1	XP_016659003.1, XP_001952163.2, NP_001119607.1, XP_001943317.1, XP_001943582.2
OG0000045	XP_035742841.1	XP_029347511.1, XP_003248124.2, XP_016656776.1, XP_008179193.1, XP_029346942.1, XP_003246887.1, XP_029346941.1, XP_016656775.1, XP_016659005.1, XP_001949423.2, XP_001949604.2, XP_008186205.1
OG0000046	XP_035742705.1	XP_008184380.1, NP_001156420.1
OG0000046	XP_035722173.1	XP_008190051.1, XP_001951915.1, XP_003248918.1, XP_001945786.2
OG0000046	XP_035734549.1, XP_035728851.1, XP_035728840.1	XP_001951207.1, XP_003244048.1
OG0000048	XP_035728121.1	XP_003246561.1
OG0000048	XP_035728382.1, XP_035728120.1	XP_016662412.1
OG0000050	XP_035737134.1, XP_035737133.1, XP_035737132.1, XP_035737155.1, XP_035737128.1, XP_035718383.1	XP_008186168.1, XP_029344195.1
OG0000052	XP_035730522.1, XP_035729830.1, XP_035729829.1, XP_035729805.1	XP_008180304.1, XP_008180303.1
OG0000052	XP_035743009.1, XP_035743008.1	XP_001949739.1, XP_001947560.2, XP_029343576.1, XP_001952551.3
OG0000053	XP_035742059.1, XP_035740273.1, XP_035741492.1, XP_035735020.1, XP_035737765.1, XP_035725546.1, XP_035739246.1	XP_008178754.1, XP_008188582.3
OG0000054	XP_035724338.1, XP_035724099.1, XP_035724441.1	NP_001162107.1, XP_003243273.1, NP_001233051.1
OG0000055	XP_035726348.1, XP_035726347.1	XP_016661453.1, XP_008184927.1, XP_029343156.1, XP_016661454.1
OG0000056	XP_035726130.1, XP_035718477.1	XP_029341785.1, XP_016658856.2
OG0000056	XP_035728622.1	XP_029347390.1, XP_029340985.1
OG0000056	XP_035733992.1, XP_035741213.1	XP_029341336.1
OG0000056	XP_035729096.1	XP_029345472.1, XP_029341337.1
OG0000057	XP_035734097.1	NP_001177327.1
OG0000057	XP_035734264.1	XP_008190203.1
OG0000060	XP_035730103.1	XP_029341750.1
OG0000060	XP_035738199.1, XP_035738201.1, XP_035738202.1	XP_016660546.1
OG0000061	XP_035724328.1	XP_001949814.2, XP_001946345.2, XP_001946301.2, XP_001946430.1, XP_001946479.3, XP_016660712.1
OG0000061	XP_035721661.1, XP_035721662.1, XP_035721660.1, XP_035721465.1	XP_008185969.1, XP_008185998.1, XP_001942953.1, XP_001950031.1, XP_001943804.2
OG0000062	XP_035737336.1, XP_035728895.1, XP_035728894.1, XP_035728892.1	XP_001951309.3
OG0000065	XP_035738514.1, XP_035738515.1, XP_035738510.1, XP_035738511.1, XP_035738513.1, XP_035738516.1	XP_001943808.2
OG0000067	XP_035734988.1	XP_001948642.2
OG0000067	XP_035718759.1	XP_016658458.1
OG0000067	XP_035729165.1, XP_035729166.1	XP_029347451.1, XP_001948493.1
OG0000067	XP_035724654.1	XP_008185788.1
OG0000069	XP_035737423.1, XP_035737135.1	XP_029344273.1
OG0000074	XP_035719932.1, XP_035736547.1	XP_016661872.1
OG0000075	XP_035737766.1, XP_035725545.1, XP_035722714.1	XP_016662368.1
OG0000077	XP_035738027.1	XP_001945190.2
OG0000077	XP_035722352.1, XP_035740324.1, XP_035742569.1, XP_035742630.1, XP_035738069.1	XP_008187030.1
OG0000079	XP_035741820.1, XP_035741810.1, XP_035741818.1	XP_001952588.1
OG0000079	XP_035741822.1	XP_001949542.2
