Orthogroup	Eufriesea_mexicana	Polistes_dominula
OG0000000	XP_017762447.1	XP_015189697.1, XP_015189651.1, XP_015189739.1
OG0000000	XP_017765002.1	XP_015180763.1, XP_015189653.1, XP_015189502.1, XP_015187776.1
OG0000001	XP_017753392.1, XP_017753391.1	XP_015182412.1, XP_015182413.1, XP_015181295.1
OG0000001	XP_017758028.1, XP_017758027.1, XP_017758031.1, XP_017758026.1	XP_015190970.1
OG0000001	XP_017757765.1, XP_017757760.1, XP_017757755.1, XP_017757759.1, XP_017757781.1, XP_017757757.1, XP_017757758.1, XP_017757797.1, XP_017757798.1, XP_017757795.1, XP_017757796.1, XP_017757799.1, XP_017757740.1, XP_017757764.1, XP_017757780.1, XP_017757738.1	XP_015183493.1
OG0000001	XP_017759613.1	XP_015174482.1
OG0000001	XP_017767083.1	XP_015174918.1
OG0000002	XP_017759720.1, XP_017759719.1, XP_017759718.1, XP_017759717.1	XP_015179319.1, XP_015179317.1
OG0000002	XP_017759746.1	XP_015179442.1
OG0000002	XP_017759702.1, XP_017759703.1, XP_017759734.1	XP_015179331.1
OG0000002	XP_017759707.1, XP_017759704.1, XP_017759700.1, XP_017759706.1, XP_017759708.1	XP_015179329.1, XP_015179330.1, XP_015179496.1
OG0000002	XP_017759729.1	XP_015179394.1
OG0000002	XP_017759714.1, XP_017759715.1, XP_017759716.1	XP_015179320.1, XP_015179321.1
OG0000004	XP_017765284.1	XP_015189661.1, XP_015189546.1
OG0000004	XP_017762861.1, XP_017753050.1	XP_015189180.1, XP_015189178.1, XP_015187797.1, XP_015177516.1
OG0000004	XP_017765503.1	XP_015176563.1, XP_015189937.1, XP_015177623.1
OG0000004	XP_017759221.1	XP_015189681.1, XP_015175257.1
OG0000004	XP_017759096.1	XP_015175256.1
OG0000004	XP_017757888.1, XP_017762896.1, XP_017764808.1, XP_017765506.1, XP_017764873.1, XP_017759467.1	XP_015171070.1
OG0000004	XP_017757887.1	XP_015189976.1
OG0000004	XP_017765490.1, XP_017752726.1	XP_015189732.1
OG0000004	XP_017763517.1	XP_015185818.1
OG0000005	XP_017763034.1	XP_015186874.1
OG0000006	XP_017766722.1	XP_015180561.1
OG0000008	XP_017764283.1	XP_015180320.1
OG0000008	XP_017752288.1	XP_015182812.1
OG0000008	XP_017764163.1	XP_015180327.1, XP_015180328.1
OG0000008	XP_017764510.1	XP_015180322.1, XP_015180321.1, XP_015180323.1
OG0000008	XP_017764053.1, XP_017763974.1	XP_015180324.1, XP_015180325.1
OG0000009	XP_017757841.1, XP_017757840.1	XP_015177367.1
OG0000009	XP_017758639.1, XP_017758640.1, XP_017758638.1, XP_017765620.1, XP_017758637.1	XP_015177306.1, XP_015177200.1, XP_015177307.1, XP_015177305.1
OG0000011	XP_017766925.1	XP_015183883.1, XP_015183802.1
OG0000012	XP_017754921.1	XP_015181488.1
OG0000012	XP_017754945.1	XP_015181463.1
OG0000012	XP_017765063.1	XP_015184231.1
OG0000012	XP_017765064.1	XP_015181630.1
OG0000012	XP_017765060.1	XP_015184244.1
OG0000013	XP_017764546.1, XP_017764545.1	XP_015172623.1
OG0000013	XP_017754146.1	XP_015174269.1
OG0000013	XP_017760618.1	XP_015172185.1
OG0000014	XP_017764543.1, XP_017754143.1	XP_015177523.1
OG0000017	XP_017756243.1	XP_015180943.1, XP_015180944.1
OG0000017	XP_017756232.1	XP_015180945.1
OG0000018	XP_017763433.1	XP_015184408.1
OG0000018	XP_017760876.1, XP_017760875.1	XP_015186827.1
OG0000018	XP_017760874.1	XP_015186828.1
OG0000018	XP_017758049.1	XP_015175602.1
OG0000019	XP_017758970.1	XP_015184618.1, XP_015184619.1, XP_015189804.1, XP_015189805.1
OG0000019	XP_017757913.1	XP_015182221.1, XP_015189673.1
OG0000020	XP_017759430.1	XP_015172633.1
OG0000020	XP_017758962.1	XP_015183576.1
OG0000020	XP_017756685.1	XP_015183590.1
OG0000020	XP_017763358.1	XP_015171445.1
OG0000020	XP_017758540.1	XP_015183950.1, XP_015183951.1, XP_015183952.1
OG0000020	XP_017764646.1	XP_015184365.1
OG0000020	XP_017763402.1	XP_015181633.1
OG0000021	XP_017759339.1	XP_015183660.1, XP_015183652.1, XP_015183642.1, XP_015183675.1, XP_015183668.1
OG0000021	XP_017763116.1	XP_015184436.1
OG0000021	XP_017758713.1, XP_017758722.1, XP_017758731.1	XP_015190080.1
OG0000021	XP_017764524.1	XP_015188837.1
OG0000021	XP_017763364.1	XP_015184407.1
OG0000021	XP_017759315.1	XP_015183774.1, XP_015183791.1, XP_015183783.1
OG0000022	XP_017765129.1	XP_015174052.1
OG0000022	XP_017760075.1	XP_015173497.1
OG0000024	XP_017760258.1, XP_017760233.1, XP_017760260.1	XP_015188584.1, XP_015188403.1, XP_015171793.1
OG0000024	XP_017753491.1	XP_015182123.1
OG0000024	XP_017753899.1	XP_015181825.1
OG0000024	XP_017753900.1	XP_015181824.1
OG0000025	XP_017765600.1	XP_015189686.1
OG0000025	XP_017765117.1	XP_015189019.1
OG0000025	XP_017752725.1	XP_015189308.1
OG0000025	XP_017767748.1, XP_017755835.1	XP_015174442.1
OG0000026	XP_017756869.1	XP_015181461.1, XP_015181460.1
OG0000026	XP_017760223.1	XP_015187707.1, XP_015187708.1, XP_015187709.1, XP_015187706.1
OG0000026	XP_017763291.1, XP_017763214.1	XP_015174903.1
OG0000026	XP_017767765.1	XP_015191534.1
OG0000026	XP_017752170.1	XP_015187302.1
OG0000027	XP_017764550.1, XP_017764549.1	XP_015172634.1
OG0000027	XP_017754149.1	XP_015177662.1
OG0000029	XP_017764405.1, XP_017764404.1	XP_015185507.1
OG0000029	XP_017755092.1	XP_015172137.1
OG0000030	XP_017764870.1	XP_015180792.1, XP_015180789.1, XP_015172637.1
OG0000030	XP_017761417.1, XP_017761416.1	XP_015187915.1, XP_015185971.1, XP_015185973.1, XP_015185974.1, XP_015185972.1, XP_015189947.1, XP_015189898.1, XP_015186637.1, XP_015189768.1, XP_015189842.1, XP_015186005.1, XP_015189795.1, XP_015189846.1, XP_015177899.1, XP_015186006.1, XP_015189579.1, XP_015189757.1, XP_015189580.1, XP_015189727.1, XP_015189305.1, XP_015189905.1, XP_015189578.1, XP_015186638.1
OG0000032	XP_017755945.1	XP_015190440.1
OG0000032	XP_017765759.1, XP_017765770.1	XP_015190537.1
OG0000032	XP_017762938.1	XP_015182537.1, XP_015182533.1
OG0000034	XP_017754777.1, XP_017754795.1, XP_017754776.1, XP_017754775.1, XP_017754778.1, XP_017754793.1, XP_017754773.1, XP_017754772.1	XP_015185288.1
OG0000035	XP_017767482.1	XP_015172482.1
OG0000036	XP_017761208.1, XP_017761207.1, XP_017761198.1	XP_015175890.1
OG0000036	XP_017761194.1	XP_015174610.1
OG0000036	XP_017761192.1	XP_015174768.1
OG0000037	XP_017756758.1	XP_015184679.1
OG0000038	XP_017761849.1	XP_015179091.1
OG0000038	XP_017758046.1	XP_015185565.1
OG0000038	XP_017752947.1	XP_015184119.1
OG0000040	XP_017754464.1	XP_015175500.1
OG0000040	XP_017760639.1	XP_015186212.1
OG0000041	XP_017765151.1	XP_015182472.1
OG0000041	XP_017759621.1	XP_015179142.1
OG0000041	XP_017759619.1, XP_017759620.1	XP_015179141.1
OG0000042	XP_017757032.1	XP_015186594.1, XP_015186595.1, XP_015186596.1, XP_015189781.1, XP_015189581.1, XP_015189834.1, XP_015171566.1, XP_015171565.1, XP_015171564.1, XP_015171563.1, XP_015171562.1
OG0000042	XP_017758606.1	XP_015171717.1, XP_015171718.1, XP_015171719.1
OG0000043	XP_017765446.1	XP_015177490.1, XP_015177491.1
OG0000043	XP_017760488.1	XP_015187201.1
OG0000043	XP_017755191.1	XP_015180729.1
OG0000044	XP_017767293.1	XP_015184594.1
OG0000044	XP_017767304.1	XP_015184599.1
OG0000045	XP_017753918.1	XP_015173221.1
OG0000045	XP_017763731.1	XP_015183312.1
OG0000045	XP_017757512.1	XP_015172085.1
OG0000046	XP_017765106.1	XP_015179269.1
OG0000046	XP_017757713.1	XP_015177712.1
OG0000046	XP_017764994.1	XP_015174688.1, XP_015174687.1
OG0000048	XP_017756884.1	XP_015178594.1
OG0000048	XP_017756824.1	XP_015178617.1
OG0000048	XP_017756888.1	XP_015178621.1
OG0000048	XP_017756890.1	XP_015178587.1
OG0000048	XP_017756810.1	XP_015178618.1
OG0000048	XP_017756812.1	XP_015178619.1
OG0000048	XP_017756818.1	XP_015178620.1
OG0000048	XP_017756889.1	XP_015178616.1
OG0000050	XP_017754840.1	XP_015187332.1, XP_015175623.1
OG0000051	XP_017765501.1, XP_017765020.1	XP_015188887.1
OG0000052	XP_017753622.1	XP_015186733.1
OG0000053	XP_017757949.1, XP_017757950.1, XP_017767290.1, XP_017760652.1	XP_015189792.1, XP_015186004.1
OG0000054	XP_017761989.1	XP_015175390.1
OG0000054	XP_017761973.1, XP_017761971.1	XP_015175295.1, XP_015175296.1, XP_015175389.1
OG0000055	XP_017756618.1, XP_017756620.1	XP_015171080.1
OG0000055	XP_017753007.1	XP_015176664.1
OG0000055	XP_017759282.1	XP_015173765.1, XP_015173767.1
OG0000056	XP_017763577.1	XP_015176704.1
OG0000056	XP_017761920.1	XP_015178312.1
OG0000056	XP_017759468.1	XP_015175416.1
OG0000056	XP_017758914.1	XP_015181793.1
OG0000056	XP_017762251.1	XP_015181325.1
OG0000057	XP_017757145.1	XP_015171970.1
OG0000057	XP_017767144.1	XP_015173587.1
OG0000057	XP_017757194.1	XP_015171878.1
OG0000057	XP_017757144.1	XP_015171877.1
OG0000057	XP_017757146.1	XP_015171777.1
OG0000058	XP_017758945.1	XP_015182294.1, XP_015182349.1, XP_015182350.1
OG0000060	XP_017755704.1	XP_015185766.1, XP_015185775.1
OG0000060	XP_017757183.1, XP_017756939.1, XP_017764156.1, XP_017757105.1, XP_017764190.1, XP_017764182.1, XP_017764164.1, XP_017757028.1, XP_017764173.1, XP_017757262.1	XP_015181080.1, XP_015181079.1
OG0000061	XP_017754233.1	XP_015188543.1
OG0000061	XP_017757875.1	XP_015177990.1
OG0000062	XP_017759727.1	XP_015179445.1
OG0000062	XP_017762224.1	XP_015173092.1
OG0000062	XP_017762229.1	XP_015178479.1
OG0000064	XP_017753432.1, XP_017753408.1, XP_017753409.1, XP_017753435.1, XP_017753433.1, XP_017753407.1, XP_017753436.1, XP_017753410.1	XP_015178584.1, XP_015185301.1, XP_015185287.1, XP_015185289.1, XP_015185300.1
OG0000065	XP_017764117.1	XP_015174229.1, XP_015174230.1, XP_015174227.1, XP_015174228.1, XP_015174231.1
OG0000067	XP_017760301.1	XP_015179349.1
OG0000067	XP_017757819.1	XP_015185638.1
OG0000067	XP_017754867.1	XP_015180637.1
OG0000067	XP_017760549.1	XP_015182629.1
OG0000069	XP_017754841.1	XP_015175625.1
OG0000069	XP_017754843.1	XP_015175624.1
OG0000070	XP_017758779.1	XP_015181201.1
OG0000070	XP_017764085.1	XP_015181189.1
OG0000073	XP_017761867.1	XP_015173919.1
OG0000074	XP_017761968.1, XP_017758620.1	XP_015188226.1, XP_015188225.1, XP_015174533.1, XP_015179365.1, XP_015174735.1
OG0000077	XP_017764095.1	XP_015188023.1
OG0000077	XP_017755927.1	XP_015179002.1, XP_015185970.1
OG0000078	XP_017753026.1, XP_017753027.1, XP_017753037.1, XP_017753029.1	XP_015185284.1, XP_015185291.1, XP_015185285.1
OG0000079	XP_017754553.1	XP_015176401.1
OG0000079	XP_017754550.1	XP_015176392.1
OG0000080	XP_017763299.1	XP_015185202.1, XP_015185201.1, XP_015185203.1
OG0000080	XP_017763330.1, XP_017763331.1	XP_015188705.1, XP_015188706.1
OG0000080	XP_017763303.1	XP_015185196.1
OG0000082	XP_017760548.1	XP_015175969.1
OG0000082	XP_017760559.1	XP_015175974.1
OG0000082	XP_017760564.1	XP_015175968.1
OG0000084	XP_017759810.1	XP_015180887.1
OG0000084	XP_017759821.1	XP_015180880.1
OG0000085	XP_017757451.1	XP_015172015.1
OG0000085	XP_017759168.1, XP_017759169.1	XP_015179519.1, XP_015175778.1, XP_015175777.1, XP_015175779.1
OG0000086	XP_017758047.1	XP_015175698.1
OG0000087	XP_017764961.1	XP_015179311.1
OG0000087	XP_017764986.1	XP_015179470.1, XP_015179472.1, XP_015179471.1, XP_015179473.1
OG0000088	XP_017758470.1	XP_015175828.1
OG0000089	XP_017760295.1, XP_017760292.1, XP_017760296.1, XP_017760294.1, XP_017760299.1, XP_017760298.1, XP_017760293.1	XP_015191649.1
OG0000089	XP_017760239.1	XP_015191842.1
OG0000091	XP_017755131.1	XP_015190282.1, XP_015190273.1
OG0000092	XP_017761157.1	XP_015182560.1
OG0000092	XP_017758288.1, XP_017758287.1	XP_015171266.1
OG0000092	XP_017758318.1	XP_015171261.1
OG0000092	XP_017766724.1, XP_017766723.1	XP_015180692.1
OG0000093	XP_017759423.1	XP_015189435.1, XP_015189434.1
OG0000093	XP_017764516.1	XP_015185820.1
OG0000094	XP_017754032.1	XP_015176150.1, XP_015184885.1
OG0000094	XP_017763745.1	XP_015189233.1
OG0000094	XP_017764407.1	XP_015175380.1
OG0000095	XP_017758948.1	XP_015179352.1, XP_015179379.1, XP_015187338.1, XP_015179387.1, XP_015179306.1, XP_015187259.1, XP_015179367.1, XP_015179368.1, XP_015179309.1, XP_015188211.1, XP_015188462.1, XP_015189731.1, XP_015177511.1, XP_015177513.1, XP_015177512.1, XP_015188691.1, XP_015189818.1, XP_015188693.1
OG0000096	XP_017759853.1	XP_015179711.1, XP_015179710.1, XP_015179714.1, XP_015179713.1
OG0000096	XP_017753661.1	XP_015178304.1
OG0000097	XP_017759272.1, XP_017759271.1	XP_015172032.1, XP_015172041.1
OG0000097	XP_017755959.1, XP_017755960.1	XP_015182319.1, XP_015182320.1, XP_015177848.1
OG0000098	XP_017760521.1, XP_017760519.1, XP_017760520.1, XP_017760517.1, XP_017760518.1, XP_017760523.1, XP_017760524.1, XP_017760522.1	XP_015183431.1, XP_015183430.1, XP_015183429.1, XP_015183432.1, XP_015183427.1, XP_015183428.1
OG0000099	XP_017762062.1, XP_017762063.1	XP_015176643.1
OG0000099	XP_017765789.1	XP_015176645.1
OG0000099	XP_017763025.1	XP_015179938.1
OG0000100	XP_017762097.1	XP_015189083.1, XP_015189082.1, XP_015189085.1, XP_015189084.1, XP_015189086.1, XP_015189080.1, XP_015189081.1
OG0000101	XP_017762608.1	XP_015184968.1
OG0000101	XP_017752973.1, XP_017752972.1, XP_017762351.1	XP_015178204.1, XP_015178201.1
OG0000102	XP_017755997.1	XP_015177204.1
OG0000102	XP_017756026.1	XP_015177232.1
OG0000103	XP_017761262.1	XP_015173914.1
