Orthogroup	Dufourea_novaeangliae	Vespa_mandarinia
OG0000001	XP_015431819.1	XP_035720574.1
OG0000001	XP_015434764.1, XP_015434777.1, XP_015434775.1, XP_015434757.1, XP_015434758.1, XP_015434772.1, XP_015434773.1, XP_015434778.1, XP_015434774.1, XP_015438122.1, XP_015438123.1	XP_035737410.1, XP_035737418.1, XP_035737424.1
OG0000001	XP_015437062.1	XP_035734021.1, XP_035734020.1, XP_035734019.1
OG0000001	XP_015431466.1	XP_035738421.1
OG0000002	XP_015431056.1, XP_015431069.1	XP_035737326.1
OG0000002	XP_015431184.1	XP_035737177.1
OG0000002	XP_015431151.1, XP_015431173.1	XP_035737160.1, XP_035737224.1
OG0000002	XP_015431139.1	XP_035737208.1
OG0000002	XP_015431081.1, XP_015431092.1	XP_035737172.1, XP_035737325.1, XP_035737203.1
OG0000002	XP_015431116.1, XP_015431127.1, XP_015431105.1, XP_015431162.1	XP_035737210.1
OG0000004	XP_015436031.1	XP_035731243.1, XP_035731251.1
OG0000004	XP_015437541.1	XP_035731236.1, XP_035737767.1, XP_035737738.1, XP_035725544.1
OG0000004	XP_015437848.1	XP_035737763.1
OG0000004	XP_015435722.1	XP_035737762.1
OG0000004	XP_015437624.1	XP_035742402.1, XP_035734902.1, XP_035739245.1
OG0000006	XP_015432327.1	XP_035718467.1
OG0000006	XP_015432300.1	XP_035718471.1
OG0000006	XP_015437631.1	XP_035740898.1
OG0000008	XP_015431031.1	XP_035740079.1, XP_035736062.1, XP_035736014.1, XP_035739952.1, XP_035739953.1
OG0000008	XP_015431032.1	XP_035736007.1
OG0000008	XP_015431033.1	XP_035736200.1, XP_035736201.1, XP_035736202.1
OG0000008	XP_015431233.1	XP_035739950.1, XP_035739951.1, XP_035739948.1
OG0000009	XP_015439019.1, XP_015438919.1, XP_015438920.1, XP_015438921.1, XP_015439018.1, XP_015438918.1	XP_035722232.1, XP_035722233.1, XP_035722235.1, XP_035722241.1, XP_035722237.1, XP_035722240.1, XP_035722236.1, XP_035722238.1, XP_035722239.1
OG0000010	XP_015440399.1	XP_035740330.1, XP_035741893.1, XP_035731225.1, XP_035742782.1, XP_035739222.1
OG0000012	XP_015429534.1	XP_035733658.1
OG0000012	XP_015431007.1	XP_035729179.1
OG0000012	XP_015432417.1	XP_035731128.1
OG0000012	XP_015432475.1	XP_035731058.1, XP_035731059.1
OG0000013	XP_015435345.1	XP_035732971.1
OG0000013	XP_015438102.1, XP_015435409.1, XP_015440404.1	XP_035725915.1
OG0000013	XP_015434156.1	XP_035732326.1, XP_035732327.1, XP_035732323.1, XP_035732322.1, XP_035732328.1
OG0000014	XP_015435357.1, XP_015435350.1	XP_035717855.1, XP_035725913.1, XP_035733113.1, XP_035733114.1, XP_035733115.1, XP_035735278.1
OG0000016	XP_015438891.1, XP_015437428.1, XP_015438096.1, XP_015440395.1, XP_015440032.1, XP_015433591.1, XP_015438310.1, XP_015438886.1	XP_035739379.1
OG0000017	XP_015431748.1, XP_015431740.1, XP_015431771.1, XP_015431763.1, XP_015431754.1	XP_035722701.1
OG0000017	XP_015436973.1, XP_015436975.1, XP_015436974.1, XP_015436971.1	XP_035728385.1
OG0000018	XP_015440533.1, XP_015440532.1	XP_035730877.1
OG0000018	XP_015437296.1	XP_035718019.1
OG0000018	XP_015437285.1, XP_015437283.1	XP_035718148.1
OG0000018	XP_015433210.1	XP_035735080.1
OG0000019	XP_015436531.1	XP_035725561.1, XP_035725574.1, XP_035725576.1
OG0000019	XP_015431150.1	XP_035726985.1
OG0000020	XP_015431107.1	XP_035723591.1
OG0000020	XP_015431804.1	XP_035728836.1
OG0000020	XP_015440423.1, XP_015433955.1	XP_035730287.1, XP_035730285.1, XP_035730286.1, XP_035730288.1, XP_035730289.1
OG0000021	XP_015436481.1	XP_035729141.1
OG0000021	XP_015436556.1	XP_035723530.1
OG0000021	XP_015430481.1	XP_035723165.1, XP_035723164.1
OG0000021	XP_015428676.1	XP_035743843.1, XP_035743842.1
OG0000021	XP_015436479.1	XP_035729144.1
OG0000022	XP_015430686.1	XP_035721830.1
OG0000022	XP_015435342.1	XP_035735991.1, XP_035732965.1
OG0000022	XP_015438104.1	XP_035735255.1
OG0000023	XP_015435373.1, XP_015435410.1	XP_035735383.1, XP_035735257.1, XP_035725926.1, XP_035725925.1, XP_035725924.1, XP_035725922.1, XP_035740848.1
OG0000024	XP_015433449.1, XP_015433466.1, XP_015433467.1, XP_015433468.1, XP_015432613.1	XP_035742194.1
OG0000024	XP_015436496.1	XP_035728675.1, XP_035728676.1, XP_035728677.1
OG0000024	XP_015435623.1	XP_035738183.1
OG0000024	XP_015435622.1	XP_035738182.1
OG0000025	XP_015429306.1, XP_015435240.1	XP_035723709.1
