ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC114880061"	NA	chrOU015519.1	-	8110382	8110575	8110382	8110566	8110637	8110878	0	17,10,9	7,15,23	75,14,9,10	98,12,25,40	108	99	0.362031518914	0.8656867667295907	0.69,0.379,0.264	0.412,0.517,0.248,0.186	0.104
1	"LOC114880052"	NA	chrOU015519.1	+	7998293	7998546	7998302	7998546	7998119	7998211	1	6,12,5	0,0,0	31,10,11,8	0,0,1,0	108	99	1	1.0	1.0,1.0,1.0	1.0,1.0,0.91,1.0	0.022
2	"LOC114872160"	NA	chrOU015519.1	-	7971652	7971911	7971652	7971894	7971992	7972120	2	6,3,1	3,4,3	11,1,1,4	5,4,3,3	116	99	0.937136551192	1.0	0.631,0.39,0.221	0.652,0.176,0.221,0.532	0.019
3	"LOC114872167"	NA	chrOU015519.1	+	7949599	7949772	7949602	7949772	7949382	7949529	3	57,58,39	3,1,1	227,44,44,37	11,3,1,5	102	99	0.0802872166759	0.38618738961369015	0.949,0.983,0.974	0.952,0.934,0.977,0.878	0.033
4	"LOC114872167"	NA	chrOU015519.1	+	7949857	7950028	7949896	7950028	7949599	7949772	4	46,43,39	5,4,1	229,42,34,38	13,1,2,3	138	99	0.611765229906	1.0	0.868,0.885,0.965	0.927,0.968,0.924,0.901	-0.024
5	"LOC114872170"	NA	chrOU015519.1	+	7945806	7946376	7945972	7946376	7945584	7945730	5	142,154,129	2,0,0	650,116,142,144	8,0,2,0	198	99	0.681782578639	1.0	0.973,1.0,1.0	0.976,1.0,0.973,1.0	0.004
6	"LOC114872191"	NA	chrOU015519.1	-	7807297	7811876	7807297	7811122	7815112	7815253	6	212,168,316	1,0,0	951,157,171,275	0,0,0,0	198	99	1	1.0	0.991,1.0,1.0	1.0,1.0,1.0,1.0	-0.003
7	"LOC114872191"	NA	chrOU015519.1	-	7815500	7815670	7815500	7815628	7816654	7816990	7	139,158,158	12,17,23	647,105,124,147	138,22,21,34	141	99	0.000496066961425	0.011944429705963695	0.891,0.867,0.828	0.767,0.77,0.806,0.752	0.088
8	"LOC114872195"	NA	chrOU015519.1	-	7778776	7778905	7778776	7778902	7778977	7779080	8	145,74,119	35,29,42	299,55,73,103	81,14,16,18	102	99	0.102684325108	0.4435770611919689	0.801,0.712,0.733	0.782,0.792,0.816,0.847	-0.061
9	"LOC114872198"	NA	chrOU015519.1	+	7732241	7732501	7732244	7732501	7732086	7732151	9	1,1,1	3,2,2	3,0,0,2	5,0,1,1	102	99	1	1.0	0.244,0.327,0.327	0.368,NA,0.0,0.66	-0.043
10	"LOC114872198"	NA	chrOU015519.1	+	7732241	7732501	7732293	7732501	7732086	7732151	10	4,8,4	3,10,5	12,2,0,5	23,3,6,3	151	99	0.287169447495	0.7702907510560638	0.466,0.344,0.344	0.255,0.304,0.0,0.522	0.114
11	"LOC114872198"	NA	chrOU015519.1	+	7732244	7732501	7732293	7732501	7732086	7732151	11	6,9,5	3,10,5	14,2,1,4	23,3,6,3	148	99	0.158440345853	0.5719965028252373	0.572,0.376,0.401	0.289,0.308,0.1,0.471	0.158
12	"LOC114872198"	NA	chrOU015519.1	+	7734801	7735337	7734997	7735337	7732618	7733164	12	41,73,37	1,2,0	107,22,28,37	2,1,0,0	198	99	1	1.0	0.953,0.948,1.0	0.964,0.917,1.0,1.0	-0.003
13	"LOC114872198"	NA	chrOU015519.1	+	7734801	7735337	7734965	7735337	7734030	7734382	13	43,62,33	0,0,0	87,22,25,34	3,0,0,0	198	99	1	1.0	1.0,1.0,1.0	0.935,1.0,1.0,1.0	0.016
14	"LOC114872198"	NA	chrOU015519.1	+	7734801	7735337	7734997	7735337	7734030	7734382	14	41,73,37	0,5,2	107,22,30,37	5,0,0,3	198	99	0.747392078635	1.0	1.0,0.88,0.902	0.915,1.0,1.0,0.86	-0.016
15	"LOC114872198"	NA	chrOU015519.1	+	7734965	7735337	7734997	7735337	7734030	7734382	15	8,31,12	0,5,2	49,7,10,10	5,0,0,3	131	99	0.586639660943	1.0	1.0,0.824,0.819	0.881,1.0,1.0,0.716	-0.018
16	"LOC114872198"	NA	chrOU015519.1	+	7737425	7738144	7737630	7738144	7736518	7736679	16	41,86,36	0,0,0	154,31,32,40	8,1,4,1	198	99	4.81470375749e-05	0.0020831116725765326	1.0,1.0,1.0	0.906,0.939,0.8,0.952	0.101
17	"LOC114872198"	NA	chrOU015519.1	+	7737425	7738144	7737672	7738144	7736518	7736679	17	28,57,22	0,3,0	112,22,28,32	4,1,2,3	198	99	0.0445660546596	0.27570270084773635	1.0,0.905,1.0	0.933,0.917,0.875,0.842	0.077
