GO.ID,Term,Annotated,Significant,Expected,classicFisher,classicFisherPadj
GO:0002376,immune system process,377,353,27.09,1e-30,1.9611111111111112e-29
GO:0006952,defense response,285,273,20.48,1e-30,1.9611111111111112e-29
GO:0009607,response to biotic stimulus,323,292,23.21,1e-30,1.9611111111111112e-29
GO:0043207,response to external biotic stimulus,323,292,23.21,1e-30,1.9611111111111112e-29
GO:0044419,interspecies interaction between organis...,331,292,23.78,1e-30,1.9611111111111112e-29
GO:0051707,response to other organism,323,292,23.21,1e-30,1.9611111111111112e-29
GO:0098542,defense response to other organism,278,273,19.97,1e-30,1.9611111111111112e-29
GO:0006955,immune response,234,216,16.81,1e-30,1.9611111111111112e-29
GO:0002682,regulation of immune system process,191,189,13.72,1e-30,1.9611111111111112e-29
GO:0009605,response to external stimulus,792,335,56.9,1e-30,1.9611111111111112e-29
GO:0009617,response to bacterium,167,161,12,1e-30,1.9611111111111112e-29
GO:0042742,defense response to bacterium,157,155,11.28,1e-30,1.9611111111111112e-29
GO:0045087,innate immune response,152,150,10.92,1e-30,1.9611111111111112e-29
GO:0006950,response to stress,976,322,70.12,1e-30,1.9611111111111112e-29
GO:0002831,regulation of response to biotic stimulu...,137,137,9.84,1e-30,1.9611111111111112e-29
GO:0050776,regulation of immune response,132,131,9.48,1e-30,1.9611111111111112e-29
GO:0002252,immune effector process,127,126,9.12,1e-30,1.9611111111111112e-29
GO:0031347,regulation of defense response,125,123,8.98,1e-30,1.9611111111111112e-29
GO:0032101,regulation of response to external stimu...,201,148,14.44,1e-30,1.9611111111111112e-29
GO:0050896,response to stimulus,2290,403,164.53,1e-30,1.9611111111111112e-29
GO:0002520,immune system development,102,97,7.33,1e-30,1.9611111111111112e-29
GO:0048534,hematopoietic or lymphoid organ developm...,102,97,7.33,1e-30,1.9611111111111112e-29
GO:0080134,regulation of response to stress,263,149,18.9,1e-30,1.9611111111111112e-29
GO:0002684,positive regulation of immune system pro...,89,89,6.39,1e-30,1.9611111111111112e-29
GO:0002833,positive regulation of response to bioti...,81,81,5.82,1e-30,1.9611111111111112e-29
GO:0050778,positive regulation of immune response,81,81,5.82,1e-30,1.9611111111111112e-29
GO:0050829,defense response to Gram-negative bacter...,81,81,5.82,1e-30,1.9611111111111112e-29
GO:0030097,hemopoiesis,88,85,6.32,1e-30,1.9611111111111112e-29
GO:0045088,regulation of innate immune response,74,74,5.32,1e-30,1.9611111111111112e-29
GO:0048583,regulation of response to stimulus,857,229,61.57,1e-30,1.9611111111111112e-29
GO:0032103,positive regulation of response to exter...,105,86,7.54,1e-30,1.9611111111111112e-29
GO:0002697,regulation of immune effector process,71,70,5.1,1e-30,1.9611111111111112e-29
GO:0031349,positive regulation of defense response,67,67,4.81,1e-30,1.9611111111111112e-29
GO:0006959,humoral immune response,92,79,6.61,1e-30,1.9611111111111112e-29
GO:0002920,regulation of humoral immune response,62,62,4.45,1e-30,1.9611111111111112e-29
GO:0002683,negative regulation of immune system pro...,63,62,4.53,1e-30,1.9611111111111112e-29
GO:0019730,antimicrobial humoral response,85,72,6.11,1e-30,1.9611111111111112e-29
GO:0002759,regulation of antimicrobial humoral resp...,59,59,4.24,1e-30,1.9611111111111112e-29
GO:0048542,lymph gland development,60,58,4.31,1e-30,1.9611111111111112e-29
GO:0002440,production of molecular mediator of immu...,55,55,3.95,1e-30,1.9611111111111112e-29
GO:0002700,regulation of production of molecular me...,55,55,3.95,1e-30,1.9611111111111112e-29
GO:0002775,antimicrobial peptide production,54,54,3.88,1e-30,1.9611111111111112e-29
GO:0002784,regulation of antimicrobial peptide prod...,54,54,3.88,1e-30,1.9611111111111112e-29
GO:0061844,antimicrobial humoral immune response me...,54,54,3.88,1e-30,1.9611111111111112e-29
GO:0048584,positive regulation of response to stimu...,462,142,33.19,1e-30,1.9611111111111112e-29
GO:0035166,post-embryonic hemopoiesis,45,45,3.23,1e-30,1.9611111111111112e-29
GO:0035167,larval lymph gland hemopoiesis,45,45,3.23,1e-30,1.9611111111111112e-29
GO:0050777,negative regulation of immune response,47,46,3.38,1e-30,1.9611111111111112e-29
GO:0032502,developmental process,2408,332,173.01,1e-30,1.9611111111111112e-29
GO:0002832,negative regulation of response to bioti...,44,44,3.16,1e-30,1.9611111111111112e-29
GO:1900424,regulation of defense response to bacter...,44,44,3.16,1e-30,1.9611111111111112e-29
GO:0002760,positive regulation of antimicrobial hum...,43,43,3.09,1e-30,1.9611111111111112e-29
GO:0002922,positive regulation of humoral immune re...,43,43,3.09,1e-30,1.9611111111111112e-29
GO:0035172,hemocyte proliferation,43,43,3.09,1e-30,1.9611111111111112e-29
GO:0007275,multicellular organism development,2076,302,149.15,1e-30,1.9611111111111112e-29
GO:0002225,positive regulation of antimicrobial pep...,42,42,3.02,1e-30,1.9611111111111112e-29
GO:0002699,positive regulation of immune effector p...,42,42,3.02,1e-30,1.9611111111111112e-29
GO:0002702,positive regulation of production of mol...,42,42,3.02,1e-30,1.9611111111111112e-29
GO:0045089,positive regulation of innate immune res...,42,42,3.02,1e-30,1.9611111111111112e-29
GO:0051607,defense response to virus,42,42,3.02,1e-30,1.9611111111111112e-29
GO:0048732,gland development,160,79,11.5,1e-30,1.9611111111111112e-29
GO:0048856,anatomical structure development,2298,317,165.1,1e-30,1.9611111111111112e-29
GO:0048518,positive regulation of biological proces...,1511,247,108.56,1e-30,1.9611111111111112e-29
GO:0050789,regulation of biological process,3225,381,231.71,1e-30,1.9611111111111112e-29
GO:0035006,melanization defense response,39,39,2.8,1e-30,1.9611111111111112e-29
GO:0032501,multicellular organismal process,2694,342,193.55,1e-30,1.9611111111111112e-29
GO:0031348,negative regulation of defense response,42,40,3.02,1e-30,1.9611111111111112e-29
GO:0048513,animal organ development,1085,201,77.95,1e-30,1.9611111111111112e-29
GO:0009615,response to virus,49,43,3.52,1e-30,1.9611111111111112e-29
GO:0042386,hemocyte differentiation,37,37,2.66,1e-30,1.9611111111111112e-29
GO:0048731,system development,1574,248,113.09,1e-30,1.9611111111111112e-29
GO:0032102,negative regulation of response to exter...,57,46,4.1,1e-30,1.9611111111111112e-29
GO:0035010,encapsulation of foreign target,36,36,2.59,1e-30,1.9611111111111112e-29
GO:0035206,regulation of hemocyte proliferation,36,36,2.59,1e-30,1.9611111111111112e-29
GO:0008283,cell population proliferation,333,104,23.92,1e-30,1.9611111111111112e-29
GO:0065007,biological regulation,3588,395,257.79,1e-30,1.9611111111111112e-29
GO:0007166,cell surface receptor signaling pathway,662,147,47.56,1e-30,1.9611111111111112e-29
GO:0061057,peptidoglycan recognition protein signal...,34,34,2.44,1e-30,1.9611111111111112e-29
GO:0050832,defense response to fungus,33,33,2.37,1e-30,1.9611111111111112e-29
GO:0051716,cellular response to stimulus,1718,252,123.43,1e-30,1.9611111111111112e-29
GO:0048522,positive regulation of cellular process,1396,222,100.3,1e-30,1.9611111111111112e-29
GO:0006582,melanin metabolic process,49,40,3.52,1e-30,1.9611111111111112e-29
GO:0042127,regulation of cell population proliferat...,228,82,16.38,1e-30,1.9611111111111112e-29
GO:0009620,response to fungus,40,36,2.87,1e-30,1.9611111111111112e-29
GO:0007154,cell communication,1526,232,109.64,1e-30,1.9611111111111112e-29
GO:0050794,regulation of cellular process,2992,349,214.97,1e-30,1.9611111111111112e-29
GO:0048869,cellular developmental process,1479,227,106.26,1e-30,1.9611111111111112e-29
GO:0030154,cell differentiation,1470,226,105.61,1e-30,1.9611111111111112e-29
GO:0007165,signal transduction,1294,209,92.97,1e-30,1.9611111111111112e-29
GO:0009791,post-embryonic development,577,130,41.46,1e-30,1.9611111111111112e-29
GO:0050793,regulation of developmental process,718,147,51.59,1e-30,1.9611111111111112e-29
GO:0009790,embryo development,460,113,33.05,1e-30,1.9611111111111112e-29
GO:0048519,negative regulation of biological proces...,1341,210,96.35,1e-30,1.9611111111111112e-29
GO:0019731,antibacterial humoral response,29,29,2.08,1e-30,1.9611111111111112e-29
GO:0051239,regulation of multicellular organismal p...,696,142,50.01,1e-30,1.9611111111111112e-29
GO:0048585,negative regulation of response to stimu...,367,99,26.37,1e-30,1.9611111111111112e-29
GO:0002164,larval development,146,62,10.49,1e-30,1.9611111111111112e-29
GO:0023052,signaling,1489,222,106.98,1e-30,1.9611111111111112e-29
GO:0009966,regulation of signal transduction,691,140,49.65,1e-30,1.9611111111111112e-29
GO:0002777,antimicrobial peptide biosynthetic proce...,28,28,2.01,1e-30,1.9611111111111112e-29
GO:0002805,regulation of antimicrobial peptide bios...,28,28,2.01,1e-30,1.9611111111111112e-29
GO:1900426,positive regulation of defense response ...,28,28,2.01,1e-30,1.9611111111111112e-29
GO:0009653,anatomical structure morphogenesis,1298,202,93.26,1e-30,1.9611111111111112e-29
GO:0035011,melanotic encapsulation of foreign targe...,27,27,1.94,1e-30,1.9611111111111112e-29
GO:0010646,regulation of cell communication,795,149,57.12,1e-30,1.9611111111111112e-29
GO:0023051,regulation of signaling,795,149,57.12,1e-30,1.9611111111111112e-29
GO:0008592,regulation of Toll signaling pathway,38,32,2.73,1e-30,1.9611111111111112e-29
GO:0051704,multi-organism process,881,157,63.3,1e-30,1.9611111111111112e-29
GO:0019222,regulation of metabolic process,1781,242,127.96,1.6e-30,3.1089908256880735e-29
GO:0009888,tissue development,922,160,66.24,4.7e-30,9.049636363636363e-29
GO:0042440,pigment metabolic process,107,50,7.69,1.4e-29,2.6010526315789473e-28
GO:0048468,cell development,1240,191,89.09,1.4e-29,2.6010526315789473e-28
GO:0002807,positive regulation of antimicrobial pep...,25,25,1.8,1.4e-29,2.6010526315789473e-28
GO:0045824,negative regulation of innate immune res...,25,25,1.8,1.4e-29,2.6010526315789473e-28
GO:0018958,phenol-containing compound metabolic pro...,67,40,4.81,2.7e-29,4.972695652173914e-28
GO:0048569,post-embryonic animal organ development,420,100,30.18,4e-29,7.3034482758620675e-28
GO:0060429,epithelium development,845,150,60.71,4.8e-29,8.689230769230768e-28
GO:0035162,embryonic hemopoiesis,24,24,1.72,2.1e-28,3.7376470588235294e-27
GO:0035168,larval lymph gland hemocyte differentiat...,24,24,1.72,2.1e-28,3.7376470588235294e-27
GO:0009893,positive regulation of metabolic process,853,149,61.29,5.1e-28,9.001499999999999e-27
GO:0031325,positive regulation of cellular metaboli...,798,143,57.33,5.7e-28,9.977355371900828e-27
GO:0048523,negative regulation of cellular process,1162,180,83.49,7.9e-28,1.360341463414634e-26
GO:0042221,response to chemical,952,159,68.4,7.9e-28,1.360341463414634e-26
GO:0002778,antibacterial peptide production,23,23,1.65,3.1e-27,5.169921259842519e-26
GO:0002780,antibacterial peptide biosynthetic proce...,23,23,1.65,3.1e-27,5.169921259842519e-26
GO:0002786,regulation of antibacterial peptide prod...,23,23,1.65,3.1e-27,5.169921259842519e-26
GO:0002808,regulation of antibacterial peptide bios...,23,23,1.65,3.1e-27,5.169921259842519e-26
