Orthogroup	Apis_mellifera	Bombyx_mori
OG0000001	XP_623362.3, XP_026300534.1, NP_001352129.1, NP_001352128.1, XP_026300533.1, XP_026300532.1, XP_026300343.1, NP_001035324.1, XP_006565062.2, XP_397347.4, XP_026300531.1, XP_623595.1, NP_001352068.1, XP_006565077.1, XP_026300601.1, XP_006565076.1, NP_001352069.1, XP_026300602.1, XP_026300530.1, XP_016771320.1, XP_026300535.1, XP_395671.3	NP_001106226.1, NP_001266427.1, XP_012545238.2, NP_001073135.1, NP_001104007.1
OG0000001	XP_026296210.1	NP_001296520.1, NP_001266295.1
OG0000001	XP_006564499.3, NP_001191991.1, XP_016770827.2	XP_037874444.1, XP_037874445.1, XP_037874443.1, XP_037874442.1, NP_001108340.1
OG0000004	XP_006572180.1	XP_037872760.1, XP_037868220.1, XP_037874112.1, XP_037871694.1
OG0000005	XP_006558866.1, XP_016768598.1	XP_037870301.1
OG0000006	XP_003250826.2	XP_012548049.2, NP_001155299.1, XP_037872108.1, NP_001104798.1, XP_037868147.1, XP_037868149.1, XP_012545176.2, NP_001166620.1, NP_001104819.1, XP_037873404.1, NP_001104832.2, NP_001091787.1
OG0000008	XP_006565046.2	XP_012548163.2
OG0000008	XP_396549.3	XP_012548032.1
OG0000008	XP_394219.3	XP_037872354.1
OG0000008	XP_003250567.1	XP_021205470.2
OG0000008	XP_016769477.1	XP_037872353.1, XP_012548164.1
OG0000009	XP_006562365.2, XP_006562363.1, XP_006562364.1, XP_392000.1, XP_026300962.1	XP_037872543.1, NP_001095934.1, XP_037872544.1, NP_001103394.1, NP_001103404.1, NP_001077079.1, XP_021202508.2, NP_001108456.1
OG0000012	XP_026298215.1	XP_021205514.2
OG0000012	XP_026297101.1, XP_026297165.1	XP_012543999.1, NP_001037317.1
OG0000012	XP_016768428.1	XP_037870940.1, XP_012547171.2, XP_021203795.1, XP_021204459.2
OG0000013	XP_003251619.1, XP_001120132.1	XP_004933313.1
OG0000013	XP_006570899.1	NP_001040399.1
OG0000013	XP_006563135.1, XP_006563134.1, XP_624499.1	NP_001091756.1
OG0000017	XP_006563394.1, NP_001171499.1	XP_037877194.1, NP_001037546.1, XP_037867588.1, XP_037877193.1, XP_037867593.1, NP_001036974.1
OG0000018	XP_393750.5	XP_037871931.1
OG0000018	XP_026299794.1	XP_021205339.2, XP_037871705.1
OG0000018	XP_006563569.1	NP_001243945.1, XP_037871800.1
OG0000019	XP_026299702.1	NP_001268819.1, XP_037869432.1, NP_001040220.1
OG0000019	XP_394827.4	XP_037866672.1, XP_004931474.1, XP_004925522.1, XP_021203269.2, XP_004922003.2
OG0000019	XP_006572051.3	XP_004927318.1
OG0000020	XP_006569751.2, XP_026301504.1	XP_012545030.1
OG0000020	XP_006560785.2	XP_012552719.1, XP_021202222.1
OG0000020	XP_026300927.1	XP_037867242.1, XP_012549186.1
OG0000022	XP_003251613.1	NP_001153666.1, NP_001036781.1
OG0000023	XP_001122218.1	NP_001153668.1
OG0000024	NP_001011620.1	XP_004924130.1
OG0000025	XP_026294993.1, XP_026295496.1	XP_004927353.2, XP_037870147.1
OG0000026	XP_392530.3	XP_037867257.1
OG0000026	XP_006557594.2	XP_021204803.2
OG0000026	XP_003251584.1	XP_004929451.1, XP_012548588.1
OG0000027	XP_003251624.1	NP_001153669.1
OG0000029	NP_001257747.1, NP_001257746.1	NP_001036866.1, NP_001166691.1, NP_001166687.1
OG0000029	NP_001257750.1, NP_001257748.1, NP_001257749.1	NP_001093082.1, NP_001166690.1, NP_001166689.1
OG0000030	NP_001177849.1, XP_006572276.1	XP_037875304.1
