Orthogroup	Aedes_aegypti	Megalopta_genalis
OG0000000	XP_021704707.1	XP_033333383.1
OG0000001	XP_021704701.1	XP_033326761.1, XP_033326760.1, XP_033326759.1, XP_033326758.1, XP_033326756.1, XP_033326755.1, XP_033326754.1, XP_033326753.1, XP_033326752.1, XP_033326751.1, XP_033326750.1, XP_033323542.1, XP_033326762.1, XP_033326763.1, XP_033326774.1, XP_033326767.1, XP_033326559.1, XP_033326766.1, XP_033326768.1, XP_033329022.1, XP_033329019.1, XP_033329018.1, XP_033329017.1, XP_033331299.1, XP_033331298.1, XP_033339718.1, XP_033326710.1, XP_033338373.1, XP_033338371.1, XP_033322509.1
OG0000002	XP_021711562.1	XP_033330629.1
OG0000003	XP_021712997.1	XP_033335210.1
OG0000005	XP_021706484.1	XP_033321098.1, XP_033328818.1, XP_033331348.1, XP_033331346.1
OG0000006	XP_001651754.2, XP_001651756.3	XP_033325709.1
OG0000007	XP_021709737.1, XP_021708700.1, XP_021712884.1, XP_021707298.1, XP_021708190.1, XP_021699796.1, XP_021700128.1, XP_021701239.1, XP_021708882.1	XP_033334294.1
OG0000008	XP_001648300.1	XP_033329050.1
OG0000008	XP_001648297.2	XP_033321018.1, XP_033321034.1
OG0000008	XP_001661923.2	XP_033329521.1
OG0000008	XP_021710651.1, XP_021710652.1, XP_021710650.1, XP_021710649.1, XP_021710648.1	XP_033329051.1
OG0000008	XP_001648302.1	XP_033329032.1, XP_033329033.1, XP_033329034.1
OG0000008	XP_021710647.1	XP_033321020.1, XP_033321019.1
OG0000009	XP_021705958.1, XP_001649103.2, XP_001649101.2, XP_021700263.1, XP_001649098.2, XP_001649095.1, XP_001649100.3, XP_001649097.2, XP_021705963.1, XP_001649093.1, XP_001649094.1, XP_021700373.1, XP_001661968.1, XP_001661969.1, XP_001649106.2, XP_001652216.1, XP_001652217.1, XP_001649108.2, XP_001649107.2, XP_021705961.1, XP_001652222.1, XP_001652218.2, XP_021705962.1, XP_001657206.1	XP_033323903.1, XP_033323904.1, XP_033323905.1, XP_033321090.1, XP_033323894.1, XP_033323884.1, XP_033323895.1, XP_033323898.1, XP_033323897.1, XP_033323886.1, XP_033323896.1, XP_033323885.1, XP_033323887.1
OG0000012	XP_001655419.1, XP_021709641.1	XP_033333560.1, XP_033333685.1
OG0000012	XP_001651150.1, XP_001651148.1, XP_001651149.1, XP_001651147.1, XP_001651146.1	XP_033324767.1, XP_033324764.1
OG0000013	XP_021705634.1, XP_021711156.1, XP_021711154.1, XP_001656985.1, XP_001656989.1, XP_021711158.1, XP_021711157.1, XP_021711153.1, XP_021701440.1	XP_033328965.1
OG0000013	XP_021707704.1	XP_033328623.1
OG0000013	XP_001657554.1, XP_001655332.2	XP_033330794.1, XP_033330796.1
OG0000014	XP_021712022.1, XP_021712028.1	XP_033328582.1, XP_033328621.1, XP_033328603.1, XP_033328576.1
OG0000016	XP_021712581.1, XP_021694278.1, XP_021695205.1	XP_033327074.1, XP_033337658.1, XP_033324994.1, XP_033334295.1, XP_033334291.1, XP_033334493.1, XP_033321457.1
OG0000017	XP_021701980.1, XP_021701981.1, XP_001658752.1, XP_021701977.1, XP_021701978.1, XP_021701979.1, XP_001658750.1, XP_021701982.1, XP_021701973.1, XP_021701974.1, XP_021701975.1, XP_021701976.1, XP_001658753.1, XP_001658755.1	XP_033323611.1
OG0000017	XP_001658009.2, XP_021693938.1, XP_001658007.2	XP_033341624.1, XP_033341626.1
OG0000018	XP_021697392.1, XP_021697390.1, XP_021697387.1, XP_021697388.1, XP_021697389.1, XP_021697393.1	XP_033334915.1
OG0000018	XP_021706785.1, XP_021706786.1, XP_021706787.1, XP_021706788.1, XP_001651693.2	XP_033342252.1
OG0000018	XP_021706781.1	XP_033342250.1, XP_033327648.1
OG0000019	XP_021694331.1, XP_021694068.1	XP_033335083.1
OG0000019	XP_001651730.2, XP_001662493.2, XP_001662497.2, XP_001662494.2, XP_021694070.1, XP_001662317.1, XP_001650036.2, XP_001662495.2	XP_033321516.1
OG0000020	XP_021703507.1, XP_021703506.1, XP_021703509.1, XP_001651414.2, XP_021703508.1, XP_021700207.1, XP_021700205.1, XP_021700206.1, XP_021700209.1, XP_021700211.1, XP_021700210.1	XP_033341111.1, XP_033336086.1
OG0000020	XP_021700919.1, XP_001650147.2	XP_033329902.1
OG0000020	XP_021705068.1	XP_033340707.1
OG0000020	XP_021706790.1	XP_033341861.1
OG0000020	XP_021699908.1	XP_033323952.1, XP_033323953.1
OG0000021	XP_021699404.1	XP_033334588.1
OG0000022	XP_001657157.1, XP_001657152.1, XP_001657149.1, XP_001662624.1	XP_033337184.1
OG0000022	XP_001657267.1, XP_021705823.1, XP_021705017.1, XP_021705021.1, XP_021706527.1, XP_021706530.1, XP_021706531.1, XP_021706558.1, XP_021706529.1, XP_021706526.1, XP_021706571.1, XP_021706528.1, XP_021705296.1, XP_001657271.1, XP_001657278.1, XP_021706534.1, XP_021706548.1, XP_001652489.1, XP_001656988.1, XP_021706565.1, XP_021706568.1	XP_033328967.1
OG0000026	XP_021706420.1	XP_033332814.1
OG0000026	XP_021708568.1, XP_021708571.1	XP_033330956.1, XP_033330958.1
OG0000026	XP_021702583.1, XP_021702581.1, XP_021702582.1, XP_021702584.1	XP_033340742.1
OG0000027	XP_001657155.1	XP_033328626.1
OG0000027	XP_001663888.1, XP_021706536.1	XP_033328968.1
OG0000027	XP_001656994.2, XP_021705828.1, XP_021705829.1, XP_021706482.1, XP_001657269.1, XP_021705635.1, XP_021705023.1, XP_021705301.1, XP_021705299.1, XP_021705297.1, XP_021706523.1	XP_033328627.1
OG0000029	XP_001654720.1, XP_021711708.1, XP_021704638.1, XP_021712736.1, XP_001654721.1, XP_021693569.1, XP_001660358.1, XP_001657546.2, XP_001660353.1, XP_001660356.1, XP_001660354.2, XP_001660359.1, XP_001660349.1, XP_021693574.1, XP_001660357.1, XP_001650809.1	XP_033327291.1, XP_033327295.1
OG0000029	XP_001664018.2	XP_033338642.1
OG0000029	XP_021704637.1, XP_021704641.1, XP_021712735.1	XP_033327378.1, XP_033327383.1
OG0000030	XP_001658050.1	XP_033328822.1, XP_033328819.1, XP_033328820.1, XP_033328821.1
OG0000032	XP_021702783.1	XP_033338046.1
OG0000032	XP_021705631.1, XP_021705632.1, XP_021705633.1, XP_021705630.1	XP_033335963.1
OG0000032	XP_001652526.1, XP_021707253.1, XP_001652524.1, XP_001652523.2, XP_021707252.1, XP_001652525.1, XP_001652527.2, XP_001652528.2, XP_001652520.1, XP_021708318.1, XP_001662930.2, XP_021709531.1	XP_033322500.1, XP_033322501.1, XP_033322502.1, XP_033339875.1, XP_033322503.1, XP_033340631.1
OG0000033	XP_021705680.1, XP_021704128.1	XP_033328398.1
OG0000033	XP_021702767.1	XP_033331624.1
OG0000035	XP_001650274.2, XP_001662128.2	XP_033326685.1
OG0000035	XP_001659549.2, XP_001653600.1, XP_021695840.1, XP_011493156.1, XP_001653602.1, XP_021702436.1, XP_001660379.1, XP_021702428.1, XP_021696237.1, XP_021696236.1, XP_001663166.2, XP_001663167.2, XP_001663165.2, XP_001654498.2, XP_021699048.1, XP_021699049.1, XP_001654514.2, XP_021699050.1	XP_033326629.1, XP_033326628.1
OG0000036	XP_021695536.1	XP_033340191.1, XP_033340178.1, XP_033341270.1, XP_033341293.1, XP_033341282.1, XP_033341364.1, XP_033324523.1, XP_033324493.1
OG0000037	XP_021698956.1, XP_021698957.1, XP_021698955.1, XP_001655400.1, XP_001659628.2, XP_001654516.2, XP_001650153.1, XP_001659658.1, XP_001650182.1, XP_001659653.2, XP_001659654.2, XP_001659610.1, XP_001647747.1, XP_001659651.2, XP_001659656.2, XP_001659657.1	XP_033322268.1
OG0000038	XP_001652144.1, XP_001663407.1	XP_033322848.1, XP_033330101.1
OG0000038	XP_021707546.1, XP_021707545.1, XP_021707544.1, XP_021707542.1	XP_033340658.1
OG0000040	XP_001659969.2, XP_001659962.1	XP_033322715.1, XP_033322612.1
OG0000040	XP_021698609.1, XP_021698904.1, XP_001661388.1, XP_021698905.1, XP_021709866.1, XP_001654842.2, XP_001662080.2, XP_001662079.2, XP_001662078.2, XP_001658738.1, XP_001652121.2, XP_001662077.2, XP_001662076.1	XP_033342116.1, XP_033323605.1, XP_033323606.1
OG0000041	XP_001655176.1, XP_001655175.1	XP_033333605.1
OG0000041	XP_001659963.1	XP_033339804.1, XP_033322547.1, XP_033322535.1, XP_033322540.1
OG0000041	XP_001649531.1	XP_033338815.1
OG0000042	XP_021693433.1	XP_033329807.1, XP_033329806.1
OG0000042	XP_001658411.2	XP_033339770.1, XP_033333624.1, XP_033342791.1
OG0000043	XP_001660749.1	XP_033340088.1
OG0000043	XP_001660756.1	XP_033339734.1
OG0000043	XP_001660753.1	XP_033339691.1
OG0000044	XP_001662886.2, XP_021704584.1, XP_021704583.1, XP_021704585.1, XP_001658981.2, XP_001659766.2, XP_001662888.1, XP_021693815.1, XP_001662885.2, XP_021693817.1, XP_001651477.2	XP_033322614.1, XP_033323078.1, XP_033323667.1
OG0000044	XP_021712943.1	XP_033334549.1
OG0000045	XP_001660907.2, XP_021707666.1, XP_001660908.1, XP_001660906.2, XP_001660189.2, XP_001649784.1, XP_001649787.1, XP_001649783.1, XP_001649786.1, XP_001649788.1, XP_001656785.2	XP_033323543.1, XP_033329211.1, XP_033323567.1, XP_033323555.1
OG0000046	XP_021707218.1, XP_011493320.1, XP_021711730.1, XP_021711729.1, XP_021711733.1, XP_021711731.1	XP_033341697.1
OG0000046	XP_021707697.1	XP_033341090.1
OG0000048	XP_001663296.2	XP_033333402.1
OG0000050	XP_001654509.1, XP_011493543.2, XP_001650372.3, XP_001648942.1, XP_001655125.2, XP_021711298.1, XP_001656532.2, XP_021712588.1, XP_001656533.1, XP_021711977.1, XP_021712587.1, XP_001656534.2, XP_021712580.1, XP_001656535.1, XP_021712578.1, XP_001656536.1, XP_021712579.1, XP_021712589.1, XP_001656537.1	XP_033332897.1, XP_033332837.1
OG0000054	XP_001661677.2, XP_001657098.2, XP_001663703.1, XP_001663705.1, XP_001658209.1, XP_001658210.1, XP_001663706.1, XP_001663702.2	XP_033321391.1, XP_033321390.1
OG0000055	XP_021695325.1, XP_021695326.1, XP_001650510.1, XP_021695322.1, XP_021695324.1, XP_021695323.1	XP_033327524.1, XP_033327522.1, XP_033327526.1, XP_033327525.1
OG0000055	XP_001654841.2	XP_033330133.1
OG0000056	XP_021702305.1	XP_033329125.1, XP_033343017.1
OG0000056	XP_021704129.1	XP_033329947.1
OG0000056	XP_021704390.1	XP_033342931.1, XP_033342927.1
OG0000057	XP_001656025.1	XP_033338100.1
OG0000057	XP_021701591.1	XP_033330917.1, XP_033338102.1
OG0000057	XP_001656026.2	XP_033338099.1
OG0000057	XP_001650054.1	XP_033338103.1
OG0000059	XP_021708124.1, XP_021711752.1, XP_021706436.1, XP_021695266.1, XP_021695996.1, XP_021694735.1	XP_033324362.1, XP_033324363.1, XP_033324361.1, XP_033332589.1, XP_033323469.1, XP_033329015.1, XP_033334385.1
OG0000060	XP_001663993.2	XP_033325149.1, XP_033325147.1
OG0000060	XP_021710092.1, XP_021710091.1, XP_001652667.1	XP_033326345.1, XP_033326346.1, XP_033326347.1, XP_033326349.1, XP_033326348.1, XP_033326352.1, XP_033326351.1, XP_033326344.1
OG0000061	XP_021693614.1, XP_021693615.1, XP_021693616.1	XP_033328585.1
OG0000061	XP_001664194.1, XP_001664195.2, XP_001661118.2	XP_033333649.1, XP_033340644.1
OG0000063	XP_021706514.1, XP_021712878.1	XP_033331128.1
OG0000065	XP_011493201.1	XP_033320904.1
OG0000066	XP_021704301.1	XP_033339069.1, XP_033339070.1, XP_033322899.1, XP_033336647.1, XP_033325791.1, XP_033330914.1, XP_033331125.1, XP_033335269.1, XP_033339072.1, XP_033339073.1, XP_033339079.1, XP_033339076.1, XP_033339080.1, XP_033322435.1
OG0000067	XP_001653435.1	XP_033333911.1
OG0000067	XP_001654897.1	XP_033335042.1
OG0000067	XP_001653950.2, XP_001654592.2	XP_033335707.1, XP_033335708.1
OG0000067	XP_001661370.1, XP_021698916.1	XP_033336615.1
OG0000071	XP_021703680.1, XP_021702229.1, XP_021694311.1, XP_021706464.1, XP_021703997.1, XP_021695236.1, XP_021701192.1, XP_021709271.1, XP_021695636.1, XP_021710570.1, XP_021708727.1, XP_021702221.1, XP_021706502.1, XP_021694267.1	XP_033329354.1
OG0000077	XP_001658180.2	XP_033333760.1
OG0000077	XP_001654967.2, XP_001654963.2, XP_021703368.1, XP_001659008.2	XP_033332959.1
OG0000079	XP_001662329.1	XP_033333904.1, XP_033333901.1
OG0000080	XP_021693685.1	XP_033326379.1, XP_033326376.1, XP_033326378.1, XP_033326380.1
OG0000082	XP_021710856.1, XP_021710857.1, XP_021710858.1, XP_021710859.1, XP_001657071.2, XP_021705242.1, XP_021705991.1, XP_001657061.2, XP_021707062.1, XP_021711080.1	XP_033336170.1, XP_033336010.1, XP_033336011.1, XP_033336012.1
OG0000085	XP_001657682.1, XP_021712292.1, XP_001657680.2, XP_021712303.1, XP_001657679.2, XP_021712327.1, XP_021693916.1, XP_021693917.1	XP_033339267.1, XP_033339268.1, XP_033339265.1, XP_033339264.1, XP_033337654.1
OG0000086	XP_021701219.1	XP_033341642.1
OG0000086	XP_021694055.1, XP_001658786.2, XP_001658476.2, XP_001661765.2, XP_001658478.3, XP_001658781.1, XP_021696093.1, XP_021696094.1, XP_001661116.2, XP_001661117.2	XP_033331032.1
OG0000087	XP_001648461.1, XP_001648458.1	XP_033330624.1, XP_033324927.1
OG0000087	XP_001648460.2, XP_001648456.1, XP_001648457.1, XP_001648454.1	XP_033324926.1
OG0000088	XP_021702205.1	XP_033340711.1
OG0000089	XP_001654187.2	XP_033329242.1, XP_033329243.1, XP_033329244.1
OG0000091	XP_021699738.1	XP_033327591.1, XP_033327610.1
OG0000092	XP_021707375.1	XP_033328764.1
OG0000092	XP_021709998.1, XP_001655951.1	XP_033332253.1
OG0000094	XP_021702456.1, XP_001660396.2	XP_033328912.1
OG0000094	XP_021704594.1	XP_033338575.1
OG0000095	XP_001649682.2	XP_033334699.1, XP_033334698.1
OG0000096	XP_001656233.2, XP_001663568.1, XP_021707618.1, XP_001662520.2, XP_021697666.1, XP_021697668.1, XP_021697665.1	XP_033336669.1
OG0000096	XP_021710758.1, XP_021710759.1, XP_001663099.2, XP_021698426.1, XP_001663097.2	XP_033321241.1, XP_033321218.1, XP_033321147.1, XP_033321130.1
OG0000097	XP_021709275.1, XP_021709276.1, XP_011493325.1, XP_021709274.1	XP_033322825.1
OG0000098	XP_001660410.1	XP_033321452.1, XP_033321450.1, XP_033321451.1
OG0000099	XP_021708064.1, XP_021708068.1, XP_021708072.1	XP_033322301.1
OG0000099	XP_001650952.2	XP_033322345.1
OG0000099	XP_021710287.1	XP_033341688.1
OG0000100	XP_001662579.2	XP_033332436.1, XP_033332438.1, XP_033332435.1
OG0000101	XP_001652481.1	XP_033329295.1
OG0000101	XP_021705368.1, XP_001655706.1, XP_021704385.1, XP_021706472.1, XP_001655711.1	XP_033329294.1, XP_033329291.1
OG0000102	XP_001654053.1, XP_021698700.1, XP_021698701.1, XP_021698703.1, XP_021698702.1, XP_021698704.1, XP_021698696.1, XP_021698697.1, XP_021698698.1, XP_021698699.1, XP_021698692.1, XP_021698693.1, XP_021698694.1, XP_001654056.2, XP_001654054.2	XP_033337546.1, XP_033327585.1
OG0000103	XP_001661506.1	XP_033320987.1, XP_033320986.1, XP_033320989.1, XP_033320988.1
OG0000108	XP_001650340.2, XP_021698830.1, XP_001659854.2, XP_021694990.1, XP_021698831.1, XP_021698828.1	XP_033333478.1
OG0000109	XP_021709303.1	XP_033339546.1, XP_033339549.1, XP_033339550.1, XP_033339547.1, XP_033339548.1
OG0000110	XP_021711612.1, XP_021711613.1	XP_033334675.1, XP_033333647.1
OG0000111	XP_021704753.1	XP_033327466.1
OG0000112	XP_001656354.2, XP_021704950.1, XP_021704946.1, XP_001656353.2, XP_021704942.1	XP_033342648.1, XP_033342649.1, XP_033342647.1, XP_033342644.1, XP_033342645.1
OG0000112	XP_021703753.1	XP_033338986.1
OG0000113	XP_021706759.1, XP_021708730.1, XP_021699104.1, XP_021711742.1, XP_021704959.1, XP_001659002.1, XP_001664257.2, XP_001664258.1, XP_021712497.1, XP_001658997.1, XP_001659000.1, XP_001658999.1, XP_021712496.1, XP_001659001.1, XP_001659007.1	XP_033339074.1, XP_033343072.1, XP_033343071.1, XP_033343075.1
OG0000114	XP_001656658.2	XP_033328279.1
OG0000115	XP_021711348.1	XP_033335200.1, XP_033335186.1, XP_033335198.1, XP_033335199.1, XP_033326630.1, XP_033336981.1, XP_033335187.1
OG0000116	XP_021695569.1	XP_033334929.1, XP_033334945.1, XP_033334936.1, XP_033334954.1, XP_033334963.1, XP_033334348.1, XP_033334350.1, XP_033334349.1
