geneID,geneDescription,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC114878177,peptidyl-prolyl cis-trans isomerase FKBP4-like,379.3525899005631,-0.6921994524063875,0.0856381138793525,-8.082843269780117,6.32739210465759e-16,5.974323625217697e-12
LOC114878297,chymotrypsin inhibitor-like,432.7283091345233,-1.2110280274663436,0.15970299479368258,-7.583001364694813,3.3765129350447555e-14,1.5940517566346291e-10
LOC114875943,histone deacetylase 4,953.0058854345109,0.7422209629056338,0.10906270275592243,6.8054517644468415,1.0073262666237287e-11,3.1703915364870824e-8
LOC114877207,mediator of RNA polymerase II transcription subunit 12-like,249.61937793371538,0.8393712605875594,0.13551041149539628,6.194145906021956,5.860192336759337e-10,1.3832984010920413e-6
LOC114873450,RING finger protein unkempt homolog,1027.8399969831432,0.4205109540874802,0.06953541826805466,6.0474354589547,1.4716959184274842e-9,2.7791505723584612e-6
LOC114872893,protein yippee-like 1,866.3093870302013,0.4605731937419495,0.07719679198601091,5.966221936080084,2.4280997050980723e-9,3.821019569256e-6
LOC114873913,aryl hydrocarbon receptor nuclear translocator-like protein 1,965.3945379624871,0.6450376949281179,0.10938685431923115,5.896848382216571,3.705100138331454e-9,4.372944438265699e-6
LOC114877236,uncharacterized LOC114877236,608.049718376152,0.5587250910375077,0.09444559673750852,5.915840550940299,3.301849648657397e-9,4.372944438265699e-6
LOC114873498,purine nucleoside phosphorylase-like,1023.0513255630808,1.371765494012945,0.24000477450619348,5.715575854002628,1.0933313597991144e-8,1.147026077691471e-5
LOC114875311,RNA-binding protein Musashi homolog 2,262.7745010288278,0.8685763961004183,0.15380503660542227,5.647255871917248,1.630290994669487e-8,1.5393207571669298e-5
LOC114879205,probable H/ACA ribonucleoprotein complex subunit 1-like protein,769.2483926865082,0.47469975710424783,0.08734313948923948,5.434883150298599,5.483235311994773e-8,4.706609801441332e-5
LOC114873739,signal recognition particle receptor subunit alpha homolog,810.9650932820266,-0.3740331646090271,0.06963258036459012,-5.371525263757598,7.807342734765312e-8,6.143077508471173e-5
LOC114878851,uncharacterized LOC114878851,142.2838137570477,0.7841212852864864,0.1477668349010699,5.30647682757404,1.1176436147370828e-7,8.117531546421181e-5
LOC114875780,peptidyl-prolyl cis-trans isomerase FKBP8,462.52059112683463,-0.4399634544383602,0.08596882449593789,-5.117709321000998,3.092687472185218e-7,2.0198303629843695e-4
LOC114877502,tubby-related protein 4,101.4271794000301,0.837766992705229,0.16392246312844289,5.11075161217404,3.208796382627149e-7,2.0198303629843695e-4
LOC114873499,potassium voltage-gated channel subfamily KQT member 1,98.54268591612929,0.8700178839920593,0.17206207487762873,5.0564186478096325,4.2720298135667263e-7,2.3355641241042897e-4
LOC114874393,dynein heavy chain 2,31.627975986430048,1.3488426584009703,0.26614058315421507,5.068158498846393,4.016828667401171e-7,2.3355641241042897e-4
LOC114874783,putative helicase mov-10-B.1,591.8417335047894,-1.064601639183279,0.21130683755540297,-5.038178846929878,4.699821897689208e-7,2.3355641241042897e-4
LOC114878683,insulin receptor substrate 1,640.0636125333681,0.6717622376160244,0.13327570432803937,5.04039532938859,4.645711650787231e-7,2.3355641241042897e-4
LOC114875023,protein BTG2-like,3001.700752939846,0.3423654930810163,0.06840054171625265,5.005303824950071,5.577398910939596e-7,2.5280019203764427e-4
LOC114879480,neutral alpha-glucosidase AB,1995.7145811855362,-0.3142434127351003,0.06280157073368316,-5.003750846737312,5.622541869085501e-7,2.5280019203764427e-4
LOC114880709,pyruvate dehydrogenase (acetyl-transferring) kinase,768.6846027341816,0.6626554173809269,0.13310179944581685,4.978560922090923,6.405878056294181e-7,2.749286391251348e-4
LOC114879996,minor histocompatibility antigen H13,875.8920141920335,-0.3335511069917935,0.0677655318049004,-4.922135163818977,8.560505402167086e-7,3.514273565533114e-4
LOC114878095,peroxidase-like,5685.0593812673505,0.44815537243862125,0.09128118100852015,4.909614090080524,9.125579613804953e-7,3.590155113064432e-4
LOC114875453,protein dead ringer-like,152.076737215418,0.7591129631117981,0.15501117909728654,4.897149789663695,9.723671755391297e-7,3.672436348576185e-4
LOC114872395,fibrillin-2-like,133.88602741268545,0.880102180087732,0.18083989738864445,4.866747840474038,1.134496281625275e-6,4.053897172347306e-4
LOC114879355,DNA N6-methyl adenine demethylase-like,338.0303225224343,0.7831324619526242,0.16105616323295677,4.862480554810414,1.1592377002052242e-6,4.053897172347306e-4
LOC114872102,max dimerization protein 1-like,708.0566466456503,0.47551761402227244,0.09865280264466464,4.820112569280255,1.4347723900233781e-6,4.274370912718265e-4
LOC114874832,putative fatty acyl-CoA reductase CG8306,1874.6972880394078,-0.4219634357412482,0.08747621316345866,-4.82375060009473,1.4088356130320774e-6,4.274370912718265e-4
LOC114875375,probable beta-hexosaminidase fdl,686.0118581479453,0.530733401333836,0.10987518516497238,4.8303299833985704,1.3630696130684194e-6,4.274370912718265e-4
LOC114876960,Down syndrome cell adhesion molecule-like protein Dscam2,106.01188356535474,1.058994701351886,0.21962723411008658,4.821782260487205,1.4228120819875183e-6,4.274370912718265e-4
LOC114879898,dual 3',766.464654664215,0.41414010278532526,0.08595338289345132,4.818194337955232,1.4486323788072916e-6,4.274370912718265e-4
LOC114871975,regulating synaptic membrane exocytosis protein 2,227.64175161102455,1.4212606843730449,0.2953591828256149,4.811973918590442,1.4944686038257275e-6,4.275991684037127e-4
LOC114878435,patatin-like phospholipase domain-containing protein 2,895.8974368187525,0.4605092500973957,0.09603740755957718,4.795102885422193,1.6259136054432908e-6,4.515257724292809e-4
LOC114873067,ornithine decarboxylase 1-like,300.83600097976165,0.6919826800239598,0.1449278632137775,4.7746697196745584,1.800024244508412e-6,4.7857560366594196e-4
LOC114876788,venom allergen 3-like,730.5889888843578,-1.4964254744056926,0.31358915479723154,-4.771929932887154,1.8246898678218503e-6,4.7857560366594196e-4
LOC114875593,tyrosine-protein phosphatase Lar,645.6861146230308,0.8130350159841456,0.1716942031624607,4.735366721815498,2.186593591837044e-6,5.433109656348781e-4
LOC114877146,stress-associated endoplasmic reticulum protein 2,344.9622370714152,-0.48083260493875035,0.10151807831186759,-4.736423432500499,2.1752286871869846e-6,5.433109656348781e-4
LOC114876876,protein slit,82.53637097973615,0.7838379346226362,0.16586941420135315,4.72563274185749,2.2939992213360828e-6,5.553830935347511e-4
LOC114872086,N-acetyl-D-glucosamine kinase,446.0471233217727,-0.5633728463769091,0.11935068361204486,-4.7203152032893225,2.3547945683255182e-6,5.558492578532386e-4
LOC114874309,zinc finger MIZ domain-containing protein 1,579.5652369789248,0.4439113883445734,0.09453673204242505,4.695649815199453,2.6576049980445826e-6,5.97454914084213e-4
LOC114877518,protein dachsous,86.44921757819353,0.9547446979987549,0.2032034800281365,4.69846627560983,2.62122460602237e-6,5.97454914084213e-4
LOC114872610,glutamate receptor ionotropic,255.41973155781776,0.6823094536001334,0.14614162831050218,4.668823397467925,3.0292963548168287e-6,6.651771205158255e-4
LOC114875030,heterogeneous nuclear ribonucleoprotein L,466.2160152316234,0.919937796616855,0.19833065005405734,4.638404585302953,3.511089600806492e-6,7.534479093367023e-4
LOC114875936,ski oncogene,283.4489525366398,0.45426571859524156,0.09822468173091933,4.62476142034927,3.7502981873652857e-6,7.868958996689562e-4
LOC114880158,delta-1-pyrroline-5-carboxylate synthase,4304.518706975766,0.4512392652441577,0.09790067991194373,4.6091535385660505,4.0431167729190246e-6,8.204991246582902e-4
LOC114882287,SH3 and multiple ankyrin repeat domains protein 3,401.1530753129165,0.716001704179566,0.15541440423140535,4.6070485404523405,4.084246860722267e-6,8.204991246582902e-4
LOC114872813,proton channel OtopLc,133.9986829505077,0.8056080880174038,0.17593974882731117,4.578886200457898,4.674584216820356e-6,9.007637586779144e-4
LOC114874937,hypoxia up-regulated protein 1,939.3151913632454,-0.4142367438125478,0.0904372949690341,-4.5803752086391265,4.641424937270235e-6,9.007637586779144e-4
LOC114872718,calmodulin-binding transcription activator 2,574.8402667931656,0.7362567083576392,0.16108580753145907,4.570587065616273,4.863598018549501e-6,9.025976963067669e-4
LOC114879271,amidophosphoribosyltransferase-like,789.493479302161,0.9541217304226216,0.20877553809155297,4.5700839243159646,4.875289399665867e-6,9.025976963067669e-4
LOC114878458,zinc finger SWIM domain-containing protein 8,631.9063203047682,0.5728694508262077,0.12552733968088312,4.563702634681515,5.025925349326161e-6,9.125920605449541e-4
LOC114873340,protein enhancer of sevenless 2B,762.316003746537,-0.39016958938223967,0.0855740094744049,-4.55944032281132,5.129012909620635e-6,9.137384885403403e-4
LOC114883140,transmembrane emp24 domain-containing protein eca,792.0702574559689,-0.2994805793063859,0.06586197880079867,-4.547093554722566,5.439182422505536e-6,9.510511191351345e-4
LOC114871528,pancreatic triacylglycerol lipase-like,217.0360714794715,0.9109271819265565,0.2018906302019347,4.511983448738708,6.422420095201426e-6,0.0011025543734343977
LOC114877955,transcriptional enhancer factor TEF-1,416.71975760640856,0.5557428533521502,0.12378898340127048,4.4894370894918145,7.1411633185671255e-6,0.0012040511438198356
LOC114876882,protein split ends-like,1099.4910587228592,0.6349704117729215,0.1416324608366795,4.483226571238667,7.352279297458981e-6,0.0012178986162562754
LOC114878931,serum response factor homolog,246.96880010098673,0.534595867173135,0.11940997926084192,4.476978142717464,7.57069970072123e-6,0.0012324576995553424
LOC114873146,uncharacterized LOC114873146,284.5927261224909,0.6718284958093541,0.1504077003927354,4.466716092694168,7.94294270092041e-6,0.0012499544163681754
LOC114879800,protein disulfide-isomerase A3,2534.766039093331,-0.40349773228322805,0.09027634514464196,-4.469584270793624,7.837177695611826e-6,0.0012499544163681754
LOC114873565,endoribonuclease Dicer,995.964222799916,-0.47013264499537544,0.1055980700991361,-4.452095048271357,8.503650712873351e-6,0.001316253607064757
LOC114872608,BTB/POZ domain-containing protein KCTD16,202.8655731425394,0.7095950834985613,0.16110111236618016,4.404656635055774,1.0595156278077926e-5,0.0015811817977039626
LOC114872720,5-hydroxytryptamine receptor 2B-like,72.49256517783367,1.1540757570494031,0.2621152178981962,4.402933054797446,1.0679712836162696e-5,0.0015811817977039626
LOC114874904,eukaryotic translation initiation factor 4E-1A-like,429.33111030326506,-0.4764927258553385,0.10844342985815095,-4.393928949670931,1.1132021185933048e-5,0.0015811817977039626
LOC114874985,protein split ends-like,1387.8909809970276,0.695489288961697,0.15803658403056434,4.400811959003044,1.0784655559151086e-5,0.0015811817977039626
LOC114875723,G-protein coupled receptor Mth2-like,1105.4494166166203,-0.627455663352975,0.14285620956140305,-4.392218338141468,1.121999369266739e-5,0.0015811817977039626
LOC114878164,nucleobindin-2,1909.0996173644164,-0.3830610838036831,0.0872124840158773,-4.392273515956106,1.1217145704751363e-5,0.0015811817977039626
LOC114879852,choline/ethanolamine kinase,2487.4026004593584,0.3438658422833694,0.07839226777689062,4.3864765242158,1.152015920698743e-5,0.0015996079887114017
LOC114879764,myo-inositol 2-dehydrogenase-like,170.40632631150967,0.9594783654603004,0.21929748978006733,4.375236426201494,1.2130093237305425e-5,0.0016361762906662543
LOC114882136,interaptin-like,751.0294599098025,-0.6137320637241974,0.14018905543422142,-4.3778885721372784,1.1983458609036574e-5,0.0016361762906662543
LOC114879768,uncharacterized LOC114879768,127.98002958558929,-1.7818435659853227,0.40877792215823816,-4.358952549535124,1.3068644223565725e-5,0.001737945616322642
LOC114870937,uncharacterized LOC114870937,7184.876945892922,-0.5207948299963491,0.11961233808096189,-4.354022656457389,1.3366188366632846e-5,0.001752827091079824
LOC114877407,ribonucleoside-diphosphate reductase subunit M2,302.5109615798322,-0.6002492435267512,0.1380499981281406,-4.3480568755212055,1.3734899035263305e-5,0.0017765057080952893
LOC114880013,zinc finger protein 853-like,903.4485756383466,0.768279140253381,0.17718545029653923,4.336017088127619,1.4508766975384703e-5,0.0018512402402916536
LOC114883083,A disintegrin and metalloproteinase with thrombospondin motifs 12-like,13.208946961956041,1.7872659114170537,0.4138101033524454,4.319048512681734,1.5670333627152862e-5,0.0019727905347676974
