Orthogroup	Habropoda_laboriosa	Nomia_melanderi
OG0000000	XP_017797085.1, XP_017796956.1, XP_017797138.1, XP_017796821.1	XP_031836774.1
OG0000000	XP_017797012.1, XP_017797005.1	XP_031839043.1
OG0000000	XP_017797028.1, XP_017788509.1, XP_017797535.1, XP_017796961.1, XP_017794319.1, XP_017796727.1, XP_017797043.1, XP_017794620.1, XP_017797129.1, XP_017797014.1, XP_017796389.1	XP_031836982.1, XP_031836767.1
OG0000000	XP_017795384.1	XP_031848962.1, XP_031848506.1
OG0000000	XP_017791920.1	XP_031836772.1
OG0000000	XP_017797032.1, XP_017797538.1	XP_031847716.1, XP_031848466.1, XP_031842135.1
OG0000000	XP_017797015.1, XP_017796820.1	XP_031848883.1
OG0000000	XP_017796984.1, XP_017795695.1, XP_017792100.1, XP_017797536.1	XP_031829449.1
OG0000000	XP_017796388.1, XP_017796988.1	XP_031848866.1
OG0000001	XP_017795702.1	XP_031834821.1
OG0000001	XP_017796838.1	XP_031842466.1
OG0000001	XP_017791301.1	XP_031836145.1, XP_031836144.1
OG0000001	XP_017791778.1	XP_031828824.1
OG0000001	XP_017791425.1	XP_031848708.1, XP_031848953.1, XP_031848952.1
OG0000002	XP_017795926.1	XP_031834615.1, XP_031834770.1
OG0000002	XP_017795970.1	XP_031834897.1, XP_031834893.1, XP_031834896.1, XP_031834895.1, XP_031834894.1
OG0000002	XP_017795940.1	XP_031834886.1
OG0000002	XP_017795948.1	XP_031834878.1
OG0000002	XP_017795932.1, XP_017795931.1, XP_017795930.1	XP_031834873.1
OG0000002	XP_017795939.1, XP_017795938.1, XP_017795937.1	XP_031834876.1, XP_031834875.1, XP_031834877.1
OG0000002	XP_017795933.1	XP_031834874.1
OG0000004	XP_017796210.1	XP_031842104.1
OG0000004	XP_017796976.1, XP_017796999.1	XP_031836773.1
OG0000004	XP_017792763.1	XP_031850304.1
OG0000004	XP_017795921.1, XP_017795068.1	XP_031848014.1
OG0000004	XP_017795072.1	XP_031842129.1
OG0000004	XP_017795846.1	XP_031847540.1
OG0000005	XP_017796951.1	XP_031850389.1
OG0000005	XP_017787740.1	XP_031844082.1, XP_031834591.1, XP_031848748.1, XP_031840849.1, XP_031840851.1, XP_031840848.1, XP_031825293.1, XP_031843598.1, XP_031843599.1, XP_031834032.1, XP_031844871.1
OG0000006	XP_017788744.1	XP_031827661.1
OG0000006	XP_017788745.1	XP_031827716.1
OG0000006	XP_017789424.1	XP_031847963.1, XP_031847958.1, XP_031847960.1
OG0000008	XP_017797987.1	XP_031838197.1
OG0000008	XP_017793615.1	XP_031845812.1
OG0000008	XP_017797940.1	XP_031838187.1
OG0000008	XP_017797975.1	XP_031838213.1
OG0000008	XP_017797962.1	XP_031838205.1
OG0000008	XP_017798022.1	XP_031838211.1
OG0000009	XP_017789192.1	XP_031839007.1
OG0000009	XP_017794730.1	XP_031837097.1
OG0000009	XP_017794617.1	XP_031848283.1
OG0000009	XP_017794731.1, XP_017794737.1	XP_031848703.1, XP_031848282.1, XP_031847205.1, XP_031848281.1, XP_031848280.1, XP_031837098.1, XP_031848136.1, XP_031842170.1
OG0000011	XP_017796295.1	XP_031849049.1, XP_031849051.1
OG0000011	XP_017795360.1, XP_017795358.1, XP_017795359.1, XP_017795357.1	XP_031844818.1, XP_031849057.1
OG0000011	XP_017796296.1, XP_017796294.1	XP_031849056.1
OG0000011	XP_017796293.1	XP_031838228.1
OG0000012	XP_017797597.1	XP_031836778.1
OG0000012	XP_017797590.1	XP_031836638.1
OG0000012	XP_017796583.1	XP_031842887.1
OG0000013	XP_017799299.1	XP_031839304.1
OG0000013	XP_017797795.1, XP_017797793.1	XP_031829654.1
OG0000014	XP_017799145.1	XP_031848785.1, XP_031848784.1, XP_031839374.1, XP_031839487.1
OG0000017	XP_017788278.1	XP_031840004.1, XP_031840003.1, XP_031840002.1, XP_031840001.1
OG0000017	XP_017795361.1	XP_031829454.1
OG0000018	XP_017797482.1	XP_031838689.1, XP_031838690.1, XP_031838691.1, XP_031838692.1
OG0000018	XP_017793490.1	XP_031835584.1
OG0000018	XP_017793336.1	XP_031835583.1
OG0000018	XP_017796703.1	XP_031847312.1
OG0000019	XP_017790272.1	XP_031838473.1, XP_031838474.1, XP_031838475.1
OG0000019	XP_017787413.1	XP_031830114.1
OG0000019	XP_017788514.1	XP_031838060.1
OG0000020	XP_017791573.1	XP_031839751.1
OG0000020	XP_017790081.1	XP_031845392.1
OG0000020	XP_017792589.1	XP_031837838.1
OG0000020	XP_017791574.1	XP_031845236.1
OG0000020	XP_017794423.1	XP_031828635.1
OG0000020	XP_017794434.1	XP_031828624.1
OG0000020	XP_017798982.1	XP_031847183.1
OG0000020	XP_017793275.1	XP_031830731.1
OG0000020	XP_017795013.1	XP_031843286.1
OG0000020	XP_017794610.1	XP_031837242.1, XP_031837243.1
OG0000021	XP_017798657.1	XP_031837236.1
OG0000021	XP_017790276.1	XP_031838575.1
OG0000021	XP_017787416.1	XP_031830175.1
OG0000022	XP_017792281.1	XP_031826113.1
OG0000022	XP_017798138.1	XP_031833191.1
OG0000023	XP_017799301.1	XP_031839375.1
OG0000023	XP_017799305.1	XP_031839363.1
OG0000024	XP_017798115.1	XP_031849116.1, XP_031849133.1, XP_031849117.1
OG0000025	XP_017791461.1, XP_017796120.1, XP_017791901.1, XP_017795708.1	XP_031834418.1
OG0000026	XP_017799538.1	XP_031843508.1
OG0000026	XP_017790381.1	XP_031834026.1
OG0000026	XP_017792231.1	XP_031828159.1
OG0000026	XP_017795812.1	XP_031839037.1
OG0000027	XP_017795687.1	XP_031849044.1
OG0000028	XP_017796209.1, XP_017796989.1	XP_031848885.1
OG0000028	XP_017791905.1, XP_017797006.1, XP_017792950.1, XP_017797074.1, XP_017794490.1, XP_017788507.1	XP_031836770.1
OG0000028	XP_017795387.1	XP_031836775.1
OG0000029	XP_017792656.1, XP_017792675.1	XP_031829744.1, XP_031829801.1
OG0000029	XP_017798436.1	XP_031827213.1, XP_031827214.1, XP_031827215.1
OG0000030	XP_017799391.1, XP_017799392.1	XP_031839105.1, XP_031839104.1
OG0000030	XP_017791372.1	XP_031848732.1, XP_031827412.1
OG0000031	XP_017795847.1	XP_031841206.1, XP_031836242.1, XP_031836264.1, XP_031829397.1, XP_031829398.1, XP_031829399.1, XP_031842134.1
OG0000032	XP_017791965.1	XP_031845598.1
OG0000032	XP_017793574.1	XP_031833782.1
OG0000032	XP_017790226.1	XP_031831095.1
OG0000033	XP_017796735.1	XP_031837901.1
OG0000035	XP_017797282.1	XP_031842253.1, XP_031842459.1
OG0000035	XP_017793793.1, XP_017793792.1	XP_031834401.1
OG0000036	XP_017791823.1	XP_031844816.1
OG0000036	XP_017791824.1	XP_031844820.1, XP_031844747.1
OG0000036	XP_017791822.1	XP_031844815.1
