Orthogroup	Habropoda_laboriosa	Megachile_rotundata
OG0000000	XP_017797095.1, XP_017797059.1, XP_017795696.1, XP_017792099.1	XP_012136801.1, XP_012152727.1
OG0000000	XP_017791629.1	XP_012147360.1
OG0000000	XP_017796726.1	XP_012153583.1
OG0000000	XP_017797032.1	XP_012153233.1, XP_012143819.1
OG0000000	XP_017795384.1	XP_012152740.1
OG0000000	XP_017796351.1, XP_017796995.1, XP_017797538.1	XP_012145447.1
OG0000000	XP_017792102.1, XP_017794325.1, XP_017797004.1	XP_012134488.1
OG0000000	XP_017795386.1	XP_012135784.1
OG0000000	XP_017788509.1, XP_017797028.1, XP_017796961.1, XP_017797535.1, XP_017794620.1, XP_017796727.1, XP_017797043.1, XP_017794319.1	XP_012147726.1
OG0000000	XP_017797537.1	XP_003708045.1
OG0000001	XP_017796733.1	XP_003704416.1
OG0000001	XP_017795398.1	XP_012143061.1, XP_003704412.1, XP_003704278.1
OG0000001	XP_017796838.1	XP_003704414.1
OG0000001	XP_017796200.1, XP_017795399.1	XP_012140371.1, XP_012140372.1, XP_003703231.1
OG0000002	XP_017797943.1	XP_012142409.1
OG0000002	XP_017790869.1	XP_012151833.1, XP_012151897.1, XP_012152158.1, XP_012148727.1, XP_012142570.1
OG0000002	XP_017793838.1, XP_017796220.1	XP_012139970.1
OG0000002	XP_017791563.1	XP_012139081.1, XP_012150985.1, XP_012151889.1, XP_012147245.1
OG0000002	XP_017794487.1, XP_017792714.1	XP_012134947.1
OG0000003	XP_017798713.1	XP_012143994.1
OG0000003	XP_017795848.1, XP_017795782.1, XP_017796822.1	XP_012152028.1, XP_003708364.1
OG0000004	XP_017797050.1, XP_017797125.1, XP_017794589.1, XP_017794414.1, XP_017794413.1, XP_017796982.1, XP_017794588.1, XP_017794416.1, XP_017797020.1, XP_017794592.1	XP_012142565.1, XP_012142564.1, XP_012142566.1, XP_003704115.1
OG0000005	XP_017795285.1	XP_012144545.1, XP_012145209.1, XP_012138607.1, XP_012144879.1, XP_012138783.1, XP_012152457.1, XP_012152458.1, XP_012143815.1, XP_012138602.1
OG0000005	XP_017795546.1	XP_012138996.1, XP_012135624.1, XP_012144983.1, XP_012144703.1, XP_012152700.1, XP_012138758.1, XP_012138767.1, XP_012143908.1
OG0000005	XP_017795547.1, XP_017795548.1	XP_012138734.1, XP_012138745.1
OG0000006	XP_017797793.1	XP_003708097.1, XP_003708096.1
OG0000006	XP_017799299.1	XP_003707914.1
OG0000007	XP_017787376.1	XP_012152319.1, XP_012152339.1, XP_012152307.1
OG0000007	XP_017799435.1, XP_017799434.1, XP_017795874.1	XP_012148352.1
OG0000008	XP_017795667.1, XP_017795668.1	XP_012137793.1, XP_012137792.1, XP_003702208.1
OG0000008	XP_017798373.1	XP_003700544.1
OG0000008	XP_017796748.1	XP_012147265.1, XP_012147266.1, XP_012147267.1, XP_003706099.1
OG0000009	XP_017794605.1	XP_012137585.1, XP_003701951.1, XP_012137586.1, XP_012137584.1, XP_012137583.1
OG0000010	XP_017796643.1	XP_012143890.1
OG0000011	XP_017794869.1	XP_012144536.1, XP_012144535.1, XP_003704922.1, XP_012144537.1, XP_012144538.1
OG0000012	XP_017792474.1, XP_017792476.1, XP_017792475.1, XP_017792472.1, XP_017792473.1	XP_003704990.1, XP_012144440.1, XP_012144439.1, XP_012144443.1, XP_012144442.1, XP_012144441.1, XP_012144449.1, XP_012144447.1, XP_012144448.1, XP_012144445.1, XP_012144446.1
OG0000013	XP_017797009.1	XP_012148641.1
OG0000013	XP_017796994.1	XP_012142648.1, XP_012148353.1, XP_012150588.1, XP_012150531.1, XP_012152709.1, XP_012147489.1, XP_012152965.1, XP_012135752.1, XP_012146605.1, XP_012145822.1, XP_012146322.1, XP_012141582.1
OG0000014	XP_017795687.1	XP_012151723.1
OG0000014	XP_017799307.1	XP_003703732.1
OG0000015	XP_017788741.1	XP_012143130.1, XP_003704378.1
OG0000015	XP_017789847.1, XP_017788742.1, XP_017788743.1, XP_017797133.1	XP_012143128.1, XP_012143127.1, XP_003704370.1, XP_012143125.1, XP_012143126.1, XP_012143129.1
OG0000017	XP_017795648.1	XP_003702158.1
OG0000018	XP_017787682.1, XP_017787687.1, XP_017787680.1, XP_017787681.1, XP_017787683.1, XP_017787684.1, XP_017787685.1, XP_017787686.1	XP_003700281.2
OG0000019	XP_017789119.1	XP_003703399.2
OG0000020	XP_017796294.1	XP_012142615.1, XP_012142616.1
OG0000021	XP_017796728.1, XP_017793544.1	XP_012146123.1
OG0000022	XP_017794031.1, XP_017794029.1, XP_017794030.1, XP_017794026.1, XP_017794027.1, XP_017794028.1	XP_012135670.1, XP_012135669.1, XP_012135674.1, XP_012135673.1, XP_012135668.1, XP_003701272.1, XP_012135671.1
OG0000023	XP_017796999.1	XP_012153684.1
OG0000023	XP_017796386.1	XP_012152733.1, XP_012145948.1, XP_003708235.1
OG0000023	XP_017795068.1, XP_017795921.1	XP_012151017.1, XP_012142569.1
OG0000025	XP_017792776.1	XP_012154268.1, XP_012154273.1, XP_012154274.1, XP_012154271.1, XP_012154272.1, XP_012154275.1, XP_012154270.1, XP_012154269.1
OG0000026	XP_017790034.1, XP_017790035.1, XP_017790037.1	XP_012149137.1, XP_012149140.1, XP_003706871.1, XP_012149138.1, XP_012149139.1
OG0000027	XP_017792739.1	XP_012149831.1, XP_012149830.1, XP_012149829.1, XP_012149828.1, XP_012149826.1, XP_012149827.1, XP_012149825.1
OG0000028	XP_017798042.1, XP_017798041.1	XP_003704470.2
OG0000029	XP_017796921.1, XP_017796923.1, XP_017796922.1, XP_017796926.1, XP_017796924.1, XP_017796925.1	XP_003702607.2
OG0000031	XP_017792478.1	XP_003704987.1, XP_012144433.1, XP_012144432.1, XP_012144434.1, XP_012144430.1, XP_012144435.1, XP_012144429.1
OG0000032	XP_017790596.1, XP_017790597.1, XP_017790598.1, XP_017790592.1, XP_017790593.1, XP_017790594.1, XP_017790595.1	XP_012148161.1, XP_012148158.1, XP_012148159.1, XP_003706562.1, XP_012148157.1, XP_012148160.1
OG0000033	XP_017794678.1, XP_017794677.1, XP_017794679.1, XP_017794675.1, XP_017794676.1	XP_003701918.1, XP_012137454.1, XP_012137456.1, XP_012137455.1
OG0000034	XP_017792148.1, XP_017792149.1, XP_017792150.1	XP_003707471.1, XP_012149993.1
OG0000034	XP_017799321.1	XP_012151556.1, XP_012151555.1, XP_003707862.1
OG0000035	XP_017794776.1, XP_017794775.1	XP_012141604.1
OG0000036	XP_017791515.1	XP_012152961.1, XP_012152968.1, XP_012152971.1, XP_012152963.1
OG0000037	XP_017788215.1, XP_017788216.1, XP_017788212.1, XP_017788214.1, XP_017788213.1	XP_012150894.1
OG0000038	XP_017791423.1, XP_017791424.1	XP_012153341.1
OG0000038	XP_017793649.1	XP_003705350.1
OG0000039	XP_017789586.1	XP_012141557.1, XP_012141554.1, XP_003703563.1, XP_012141555.1, XP_012141556.1
OG0000040	XP_017791263.1, XP_017791264.1, XP_017791265.1, XP_017791267.1, XP_017791266.1, XP_017791268.1, XP_017791262.1	XP_003707562.1, XP_012150853.1, XP_012150852.1
OG0000041	XP_017793837.1	XP_012153217.1
OG0000041	XP_017793816.1	XP_012153215.1, XP_012150922.1, XP_012142568.1
OG0000043	XP_017794557.1, XP_017794556.1	XP_012147890.1
OG0000044	XP_017795109.1	XP_012146996.1, XP_012146995.1, XP_012146998.1, XP_012146997.1, XP_012146999.1, XP_012147000.1
OG0000045	XP_017795383.1	XP_012151864.1, XP_012147289.1, XP_012153234.1, XP_012143820.1
OG0000045	XP_017797031.1, XP_017795922.1	XP_012146526.1, XP_012136213.1, XP_012136798.1, XP_012151893.1
OG0000046	XP_017795969.1, XP_017795975.1, XP_017795937.1, XP_017795938.1, XP_017795939.1	XP_003700842.2, XP_003700923.1, XP_003700925.1, XP_003700922.1, XP_012135245.1
OG0000047	XP_017799300.1, XP_017792281.1, XP_017799306.1	XP_012151724.1, XP_012141737.1
OG0000048	XP_017795703.1	XP_012149905.1
OG0000048	XP_017795987.1, XP_017793833.1	XP_012150434.1
OG0000048	XP_017792762.1	XP_012148628.1, XP_012146536.1
OG0000049	XP_017792787.1	XP_012147570.1, XP_012139248.1, XP_003702702.1, XP_012139216.1, XP_003702701.1
OG0000049	XP_017793055.1, XP_017793138.1	XP_003702704.1, XP_003702718.1
OG0000050	XP_017787399.1, XP_017787400.1, XP_017787401.1	XP_012138838.1, XP_012138835.1, XP_003702490.1, XP_012138837.1, XP_012138836.1
OG0000051	XP_017787543.1	XP_012134574.1, XP_012134573.1, XP_012134572.1
OG0000052	XP_017789050.1	XP_012140603.1, XP_012140604.1, XP_003703247.1, XP_012140602.1, XP_012140601.1, XP_012140598.1, XP_012140597.1, XP_012140600.1, XP_012140599.1, XP_012140605.1
OG0000053	XP_017792514.1	XP_012148084.1
OG0000054	XP_017795807.1, XP_017795809.1, XP_017795808.1, XP_017795803.1, XP_017795810.1, XP_017795806.1	XP_003703348.2
OG0000055	XP_017797342.1	XP_012144258.1
OG0000056	XP_017798800.1	XP_012139779.1, XP_012139778.1, XP_012139774.1, XP_012139776.1, XP_012139777.1, XP_012139775.1
OG0000058	XP_017795931.1	XP_003700912.1, XP_012135096.1, XP_003700913.1, XP_003700836.1, XP_003700837.1
OG0000058	XP_017795930.1	XP_003700914.1, XP_003700911.2
OG0000059	XP_017799148.1	XP_003703733.1, XP_012153581.1, XP_012141730.1
OG0000059	XP_017799145.1	XP_003707917.1
OG0000060	XP_017795112.1	XP_012154009.1
OG0000061	XP_017797025.1	XP_012151871.1, XP_012152955.1
OG0000061	XP_017795781.1	XP_012151327.1, XP_012137125.1, XP_012148418.1
OG0000062	XP_017787674.1	XP_012153568.1
OG0000063	XP_017791822.1	XP_003708656.1
OG0000063	XP_017791522.1, XP_017791523.1	XP_003700660.1
OG0000064	XP_017796680.1, XP_017796681.1	XP_012153286.1
OG0000064	XP_017789191.1, XP_017795058.1	XP_003703285.1
OG0000065	XP_017792968.1	XP_012135659.1
OG0000067	XP_017792512.1	XP_003706502.1
OG0000068	XP_017795940.1	XP_003700934.1
OG0000069	XP_017797758.1	XP_012139835.1
OG0000070	XP_017792725.1	XP_003702365.2
OG0000071	XP_017797358.1	XP_012140336.1, XP_003699580.1, XP_012140342.1, XP_012140354.1, XP_012140349.1
OG0000072	XP_017788172.1, XP_017788171.1, XP_017788170.1, XP_017788169.1, XP_017788173.1, XP_017788174.1	XP_003707713.1, XP_012151048.1
OG0000073	XP_017787586.1, XP_017787587.1	XP_012149658.1, XP_012149660.1, XP_003707166.1, XP_012149661.1, XP_012149659.1, XP_012149656.1, XP_012149657.1
OG0000074	XP_017794737.1	XP_003705489.1, XP_003705491.1
OG0000076	XP_017799593.1	XP_003700102.1
OG0000077	XP_017790553.1, XP_017790555.1	XP_003702219.1, XP_003702293.1
OG0000078	XP_017792569.1, XP_017797126.1, XP_017792570.1, XP_017795215.1, XP_017796732.1, XP_017797042.1, XP_017796957.1, XP_017796955.1, XP_017797122.1	XP_012140362.1, XP_012135466.1, XP_012138672.1
OG0000079	XP_017795101.1	XP_003705989.1, XP_012147006.1, XP_012147007.1, XP_012147009.1
OG0000080	XP_017792228.1	XP_012140163.1, XP_012140166.1, XP_012140140.1, XP_012140138.1, XP_012140145.1, XP_012140144.1, XP_012140143.1, XP_012140158.1, XP_012140149.1, XP_012140141.1, XP_012140161.1, XP_012140159.1, XP_012140160.1, XP_012140139.1, XP_012140165.1, XP_012140156.1, XP_012140147.1, XP_012140162.1, XP_012140137.1, XP_012140146.1, XP_012140148.1, XP_012140151.1, XP_012140150.1, XP_012140153.1, XP_012140155.1, XP_012140154.1, XP_012140164.1, XP_012140157.1, XP_012140142.1
OG0000081	XP_017793012.1	XP_012135630.1
OG0000082	XP_017799058.1	XP_012141781.1, XP_012141780.1, XP_012141779.1, XP_012141774.1, XP_012141775.1, XP_012141777.1, XP_012141778.1, XP_003703743.1, XP_012141782.1
OG0000083	XP_017788047.1	XP_003705021.1, XP_012144619.1, XP_012144618.1, XP_012144620.1, XP_012144622.1
OG0000084	XP_017795382.1	XP_012147794.1
OG0000084	XP_017792996.1, XP_017796553.1	XP_012145702.1, XP_012146537.1
OG0000085	XP_017794362.1	XP_012150709.1, XP_012150707.1, XP_012150713.1, XP_012150712.1, XP_012150711.1, XP_012150710.1, XP_012150708.1
OG0000086	XP_017796684.1	XP_003708587.1, XP_012153255.1, XP_012153256.1, XP_012153257.1
OG0000087	XP_017789247.1	XP_012148433.1, XP_012148442.1, XP_012148424.1, XP_003699981.1, XP_012148439.1, XP_012148450.1, XP_012148458.1
OG0000089	XP_017793317.1, XP_017793318.1, XP_017793285.1, XP_017797037.1	XP_012138647.1, XP_012138646.1, XP_012138648.1, XP_012138644.1
OG0000090	XP_017798266.1	XP_012138159.1, XP_012138151.1, XP_012138103.1, XP_012138138.1, XP_012138142.1, XP_012138107.1, XP_012138131.1, XP_012138125.1, XP_012138118.1
OG0000091	XP_017793696.1, XP_017793694.1, XP_017793697.1	XP_003705245.1
OG0000092	XP_017797058.1, XP_017797011.1, XP_017792998.1	XP_012150535.1
OG0000093	XP_017789280.1, XP_017789278.1	XP_012150943.1, XP_003707675.1, XP_012150944.1
OG0000094	XP_017788404.1	XP_003701456.1
OG0000095	XP_017792240.1	XP_003702089.1, XP_012138104.1
OG0000096	XP_017796141.1	XP_012142191.1
OG0000097	XP_017792113.1	XP_003707142.1, XP_012149524.1
OG0000098	XP_017790044.1	XP_003706809.1, XP_012148932.1, XP_012148931.1, XP_012148926.1, XP_012148934.1, XP_012148935.1, XP_012148937.1, XP_012148938.1, XP_012148928.1, XP_012148927.1, XP_012148933.1, XP_012148929.1
OG0000099	XP_017788335.1, XP_017788334.1, XP_017788333.1	XP_003703781.1, XP_012141871.1, XP_012141870.1, XP_012141872.1, XP_012141873.1
OG0000100	XP_017791917.1	XP_012153562.1
OG0000101	XP_017795008.1	XP_003704125.1
OG0000102	XP_017790496.1	XP_012141540.1
OG0000103	XP_017795578.1	XP_012135254.1, XP_012135257.1, XP_012135256.1, XP_012135255.1, XP_012135258.1
OG0000104	XP_017790369.1	XP_012135505.1
OG0000104	XP_017790362.1	XP_003701076.1
OG0000105	XP_017787598.1	XP_012136124.1
OG0000106	XP_017790882.1	XP_012138586.1, XP_003702422.1, XP_003701631.1
OG0000106	XP_017795920.1	XP_012145431.1, XP_012145432.1, XP_012145429.1
OG0000106	XP_017792764.1	XP_012145448.1
OG0000107	XP_017789577.1	XP_012136548.1, XP_012153588.1
OG0000107	XP_017794537.1	XP_012145580.1
OG0000108	XP_017795457.1, XP_017795456.1, XP_017795458.1, XP_017795454.1, XP_017795455.1	XP_012143361.1, XP_012143353.1, XP_012143348.1, XP_012143367.1, XP_012143333.1, XP_003699743.1, XP_012143339.1
OG0000109	XP_017791211.1	XP_003705113.1, XP_012144753.1, XP_012144754.1
OG0000110	XP_017798657.1	XP_012152676.1, XP_003708291.1
OG0000110	XP_017798692.1	XP_003708289.1, XP_012152675.1
OG0000112	XP_017795970.1	XP_003700936.1, XP_003700935.1
OG0000113	XP_017794671.1	XP_003707502.1
OG0000114	XP_017795102.1, XP_017795103.1	XP_003705927.2
OG0000115	XP_017794904.1, XP_017794905.1, XP_017794906.1	XP_012145495.1, XP_012145493.1, XP_012145496.1, XP_012145497.1, XP_012145494.1
OG0000116	XP_017797704.1	XP_012152486.1, XP_003708319.1
OG0000117	XP_017789755.1, XP_017789754.1, XP_017789756.1	XP_012142605.1
OG0000118	XP_017788114.1	XP_003707712.2
OG0000119	XP_017788550.1, XP_017795246.1	XP_003704535.1, XP_012143272.1, XP_012143275.1, XP_012143274.1, XP_012143273.1, XP_012143269.1, XP_012143334.1, XP_003704521.1, XP_003704545.1, XP_003704542.1, XP_003704539.1, XP_003704544.2, XP_012143526.1, XP_003704543.1
OG0000120	XP_017792695.1, XP_017792653.1	XP_012149882.1, XP_012149881.1, XP_003707222.2
OG0000121	XP_017797236.1	XP_003703934.2
OG0000122	XP_017797270.1, XP_017797280.1, XP_017797289.1	XP_003706376.1
OG0000124	XP_017792535.1, XP_017792534.1, XP_017792533.1, XP_017792539.1, XP_017792538.1, XP_017792537.1, XP_017792536.1	XP_003701800.2
OG0000125	XP_017791425.1	XP_012136077.1, XP_003701343.1, XP_012136078.1, XP_003701310.1, XP_003701345.1, XP_012136079.1
OG0000126	XP_017789648.1, XP_017789644.1, XP_017789645.1, XP_017789646.1, XP_017789647.1	XP_012137602.1, XP_012137603.1, XP_012137605.1, XP_012137606.1, XP_012137601.1, XP_003701985.1
OG0000127	XP_017795355.1	XP_003704159.1
OG0000128	XP_017796091.1	XP_003707308.1, XP_012150148.1, XP_012150149.1, XP_012150150.1
OG0000129	XP_017795022.1	XP_012137132.1, XP_012137131.1, XP_012137130.1, XP_012137133.1
OG0000130	XP_017791660.1	XP_012143873.1, XP_012143874.1, XP_012143872.1, XP_003704704.1
OG0000131	XP_017793513.1	XP_012147756.1
OG0000132	XP_017790774.1, XP_017790775.1	XP_003707345.2
OG0000134	XP_017797579.1	XP_003705457.1, XP_003705455.2, XP_003705458.1, XP_003705446.1
OG0000135	XP_017798375.1	XP_012154330.1, XP_003700520.1
OG0000136	XP_017791302.1	XP_012147779.1
OG0000137	XP_017797033.1	XP_012150918.1
OG0000137	XP_017796833.1	XP_003707254.1
OG0000137	XP_017795780.1, XP_017796993.1, XP_017792480.1, XP_017795850.1	XP_012152964.1
OG0000138	XP_017793589.1, XP_017793591.1, XP_017788546.1, XP_017793079.1, XP_017797023.1, XP_017788544.1, XP_017788543.1	XP_012144947.1, XP_012144976.1, XP_012144975.1, XP_012145003.1, XP_012145005.1, XP_012145004.1, XP_012151858.1
OG0000139	XP_017796909.1, XP_017796915.1, XP_017796914.1, XP_017796913.1, XP_017796916.1, XP_017796910.1, XP_017796912.1	XP_012139972.1, XP_012139971.1, XP_003703059.1
