Orthogroup	Bombus_terrestris	Tribolium_castaneum
OG0000000	XP_012175230.1	XP_015839988.1
OG0000001	XP_020720552.1, XP_003398646.1	NP_001137200.1, XP_008192267.1, NP_001177722.1, XP_975563.1, NP_001280531.1, NP_001164249.1, XP_015834314.1, NP_001280532.1, XP_015834315.1, XP_975569.1, XP_008192269.1, XP_975562.1, XP_008192266.1, XP_015834510.1, XP_015834511.1
OG0000001	XP_012168947.1	XP_969875.1
OG0000001	XP_012175298.1, XP_003393848.1, XP_012170233.1, XP_020721551.1, XP_012170221.2, XP_012170223.1, XP_003399696.2, XP_003403418.2, XP_003403397.3	XP_966774.1, XP_015833657.1, XP_970561.1, XP_970633.1, XP_015835338.1, XP_008194912.1
OG0000002	XP_003393901.1, XP_020722318.1, XP_020722314.1, XP_020723992.1, XP_020723938.1, XP_020724018.1, XP_003393988.2, XP_020722961.1, XP_012175713.1, XP_012175608.1, XP_012175715.1, XP_012175716.1, XP_012175714.1, XP_012175717.1, XP_012175609.1, XP_003393920.1, XP_003403429.1, XP_003394006.1, XP_003393921.1, XP_012175711.1, XP_003393917.1, XP_003393994.1, XP_020722331.1, XP_020722344.1, XP_003393905.1, XP_020723934.1, XP_012175700.1, XP_012175702.1, XP_003394000.1, XP_020723889.1, XP_012175705.1, XP_020722356.1, XP_012175707.1, XP_003393910.1, XP_003393907.1, XP_003393999.1, XP_003393913.1, XP_012175710.2, XP_012175708.2, XP_003394005.1, XP_003393918.1, XP_003394003.1, XP_003393998.1	XP_015839871.1
OG0000004	XP_020721352.1, XP_012173923.2, XP_020723502.1, XP_020723507.1, XP_020723504.1, XP_020723503.1, XP_020723506.1, XP_020723505.1, XP_020723508.1, XP_020723509.1, XP_020723510.1, XP_020724024.1	XP_015834342.1
OG0000005	XP_012174537.1, XP_012173838.1, XP_003402808.1, XP_012173837.1, XP_012175341.1	XP_008191200.1, XP_015833636.1
OG0000008	XP_012168744.1	XP_972338.1
OG0000008	XP_012168771.1	XP_972430.2
OG0000008	XP_003398745.1	XP_015836551.1, XP_015836552.1
OG0000008	XP_003402021.1, XP_012173573.1, XP_003402067.2, XP_003402064.1, XP_012173606.2, XP_003403320.2, XP_012176687.1, XP_012176691.1, XP_003394740.1, XP_020718362.1, XP_020718363.1, XP_020718364.1, XP_020718365.1, XP_012176686.1, XP_012176685.1, XP_012176683.1, XP_003394739.1, XP_012176688.1, XP_012176689.1, XP_012176690.1, XP_020721002.1	XP_008191970.1
OG0000009	XP_003393388.3, XP_003393376.1, XP_003393377.1, XP_020723850.1, XP_003393379.1	XP_008200085.1, XP_008197409.1, XP_015838530.1, XP_015838531.1, XP_015838490.1, XP_008197433.1, XP_008197432.2, XP_008197346.1, NP_001034541.1, XP_015838491.1, XP_008194628.1, XP_015838026.1, XP_015838027.1, XP_975385.1, NP_001164248.1, XP_015838170.1, NP_001123895.1, NP_001127706.1, XP_015838024.1, XP_972546.1, XP_973619.2
OG0000012	XP_003402916.2	XP_967167.2, XP_967253.1, NP_001164207.1, XP_015839971.1
OG0000012	XP_003401050.2, XP_003401048.1	XP_008192552.1
OG0000013	XP_003392965.1, XP_003392969.1	XP_969677.1
OG0000013	XP_020718381.1	XP_966487.1
OG0000013	XP_003400771.1, XP_003400772.1, XP_003400767.1	XP_008197392.1
OG0000014	XP_012175524.1, XP_003393114.1	XP_015840416.1, XP_008196666.2, XP_008201493.1, XP_008195798.2, XP_008193830.1
OG0000017	XP_012175461.1, XP_012175513.1, XP_012175528.1	XP_967395.1, XP_971136.1, XP_966872.2, XP_008200938.1, XP_966966.2, XP_967147.1, XP_971203.1, XP_966787.1, XP_015838196.1, XP_008201195.2, XP_015838248.1, XP_008190708.1, XP_015838206.1, XP_971509.1, XP_008200937.1
OG0000017	XP_012172050.1	XP_015834775.1, XP_974273.1
OG0000018	XP_012169775.2	XP_008200429.1
OG0000018	XP_012164635.1, XP_012164634.1, XP_012164629.1, XP_012164630.1	XP_008193119.1, XP_968748.1, XP_015835557.1, XP_973693.2, XP_015838295.1, XP_015838053.1, XP_969711.1, XP_008194698.1, XP_973658.2, XP_008193214.1, XP_008193215.1, XP_015835529.1, XP_008193213.1, XP_008193216.1, XP_972534.1
OG0000018	XP_012169298.1	XP_008194092.1, XP_969781.1
OG0000019	XP_003398973.1, XP_020721097.1, XP_020721100.1, XP_020721101.1, XP_020721098.1, XP_020721099.1	XP_975378.1
OG0000019	XP_003401753.1	XP_973103.2, XP_973187.1, XP_008192578.1, XP_001813143.1, XP_973063.1
OG0000019	XP_003401949.1	XP_972874.1, XP_015834337.1, XP_008192577.2
OG0000020	XP_003394639.2	XP_008201408.1
OG0000020	XP_003403319.2	XP_969457.2
OG0000021	XP_012171597.1, XP_020722326.1, XP_003400632.1	XP_015838406.1, XP_015838407.1, XP_008197201.1
OG0000021	XP_003396414.1, XP_012165450.1, XP_012165451.1	XP_015838169.1
OG0000021	XP_012169135.1	XP_008197404.1
OG0000021	XP_020722863.1, XP_003403430.2	XP_008197199.1
OG0000021	XP_012171598.1, XP_012171599.1, XP_003400635.1	XP_008197203.1, XP_969207.1
OG0000022	XP_003394856.1	XP_966580.1, XP_966943.2, XP_973583.2, XP_974617.2, XP_967411.1
OG0000024	XP_003401519.1	XP_970056.2
OG0000026	XP_020719884.1, XP_003397076.1, XP_012166367.1, XP_012166366.1, XP_012166369.1, XP_012166368.1	XP_008193329.1
OG0000026	XP_020719195.1	XP_966472.1
OG0000026	XP_003402888.1, XP_003402887.1, XP_012174757.1	XP_015840897.1
OG0000027	XP_012166136.1	XP_008199927.1, XP_008199050.2
OG0000029	XP_003399185.1, XP_012169459.1	XP_008201392.1, XP_967557.1, XP_015839833.1, XP_015839837.1, XP_971332.1
OG0000029	XP_003399852.3, XP_020721313.1, XP_020721315.1	XP_015840495.1, XP_008201389.1, XP_008201390.1
OG0000030	XP_020720274.1	XP_966905.1
OG0000030	XP_012170594.1, XP_003399944.1	XP_015837668.1, XP_972973.1, XP_008195701.1, XP_971355.1, XP_015837936.1, XP_008197791.2, XP_008197787.1, XP_971534.2
OG0000032	XP_020723342.1	XP_001807564.1
OG0000032	XP_003396103.1	XP_008200043.1
OG0000032	XP_003398435.1, XP_012174894.1, XP_003403021.1, XP_003398436.1, XP_003398432.1, XP_003398434.1	XP_969958.1, XP_970026.1
OG0000033	XP_003400510.1, XP_012171365.1	XP_015837581.1, XP_015839927.1, XP_015839926.1
OG0000035	XP_003394979.1	XP_008191815.1, XP_008191817.1, XP_971626.2, XP_008191746.2, XP_008191790.1
OG0000035	XP_020718418.1	XP_973091.2, XP_008190471.1, XP_015838951.1, XP_015838653.1, XP_967762.1, XP_967685.3, XP_015838842.1, XP_967924.1, XP_015838843.1, XP_972644.2, XP_015838642.1, XP_015838857.1, XP_972496.1, XP_008197534.1, XP_015838775.1, XP_015838840.1, XP_015838776.1, XP_008197589.1, XP_972090.2, XP_008197588.1, XP_008197586.1, XP_972349.2, XP_008197585.1, XP_008197584.1, XP_972444.1
OG0000036	XP_003401252.1, XP_012172397.1, XP_012175443.1	XP_967476.1, XP_001811753.1
OG0000037	XP_003403001.3	XP_008192993.1, XP_015835222.1, XP_970216.2, XP_008193006.2, XP_008193010.2, XP_015835218.1, XP_966991.2, XP_015835223.1, XP_001809825.2, XP_015835468.1, XP_968523.2, XP_015835220.1, XP_015835221.1, XP_008190973.2, XP_970770.1, XP_970895.1, XP_008200145.1
OG0000038	XP_012172201.2	XP_966584.1
OG0000039	XP_012173748.1	XP_008191547.1
OG0000040	XP_003402742.1	NP_001161088.1
OG0000040	XP_003393536.1, XP_003393535.1, XP_012164479.1	NP_001161129.1, XP_008193161.1, NP_001161087.1, XP_970321.1, NP_001161083.1
OG0000041	XP_003396990.1	NP_001165844.1
OG0000041	XP_003394488.1, XP_003394490.1	XP_008199969.1, XP_966415.1, XP_008199982.1, XP_966495.1
OG0000041	XP_003399722.1	XP_967305.1
OG0000042	NP_001272327.1, XP_012163186.1	XP_008194542.2, NP_001306196.1, NP_001306192.1, XP_008197185.1, XP_015839870.1, XP_015839869.1, XP_015839872.1, XP_015839873.1, XP_015839874.1, XP_008197171.1, XP_008191083.1, NP_001137206.1, XP_968970.1, NP_001306194.1, NP_001306195.1, XP_008194716.1
OG0000042	NP_001267818.1	XP_008198874.1, NP_001182164.1, XP_008199928.1, NP_001180578.1
OG0000043	XP_003392868.1	XP_008193777.1, NP_001039289.1
OG0000043	XP_012173547.1	NP_001039285.1
OG0000044	XP_020723251.1	XP_008200957.1
OG0000045	XP_003395914.2, XP_003403314.1, XP_020719958.1, XP_003402225.2, XP_012164669.1	XP_015834974.1, XP_015834972.1
OG0000046	XP_012176148.2	XP_008200986.2, XP_015838368.1
OG0000046	XP_003397462.1	XP_966611.1
OG0000048	XP_020720389.1	XP_008193917.1
OG0000050	XP_003398997.1, XP_003396910.2	XP_967835.1, XP_967268.2, XP_008195484.1, XP_967439.2, NP_001034512.1, NP_001034534.1, XP_008195481.1, XP_967916.2, XP_015838352.1, XP_015840854.1
OG0000052	XP_003397480.1, XP_003397483.1	XP_015838429.1, XP_008197309.1, XP_974366.1, XP_015838434.1, XP_974340.1, XP_974289.1, XP_015838419.1, XP_008197312.1, XP_974427.1
OG0000054	XP_003402283.1, XP_003403304.1, XP_003403303.1	XP_970381.1
OG0000055	XP_003401668.1, XP_020722884.1	XP_971821.3
OG0000055	XP_012170773.1	XP_969454.3
OG0000055	XP_012170213.1	XP_008194095.1
OG0000056	XP_020723650.1, XP_020721195.1	XP_015835680.1
OG0000056	XP_003399457.3	XP_008197222.1
OG0000056	XP_020723637.1	XP_015834565.1
OG0000056	XP_020718834.1	XP_015839288.1
OG0000056	XP_020720993.1	XP_970084.2
OG0000057	XP_003395180.1	XP_967267.1
OG0000057	XP_003400373.1	XP_969993.1
OG0000057	XP_003395170.1	XP_967348.1
OG0000057	XP_003395225.1	XP_968314.1
OG0000060	XP_020721716.1	XP_015836433.1, XP_973431.2, XP_008194835.1, XP_008194834.1, XP_008194832.1, XP_015836434.1
OG0000061	XP_003392898.1	XP_969936.2
OG0000061	XP_020723139.1, XP_020723140.1, XP_020723141.1, XP_020723142.1	XP_008197154.2
OG0000062	XP_012175695.2	XP_968760.1
OG0000062	XP_012169969.1, XP_012170000.1, XP_020722101.1	XP_973442.1, XP_974390.1, XP_966780.1, XP_974367.1, XP_973378.1, XP_973344.1, XP_975377.1
OG0000065	XP_003398334.1	XP_015834020.1
OG0000065	XP_012168045.1, XP_012168044.1, XP_003403408.2, XP_003398335.1	XP_969514.1, XP_008198984.1, XP_008198951.1, XP_966889.1, XP_015837535.1, XP_015834023.1, XP_015834022.1
OG0000067	XP_003397328.1	XP_008200210.1
OG0000067	XP_012169196.1	NP_001164095.1, XP_008200192.1
OG0000067	XP_020722130.1	XP_008198995.1
OG0000069	XP_012169151.1, XP_020721324.1	XP_008191789.1
OG0000073	XP_003393467.1	XP_008195260.1, NP_001161930.1, NP_001161928.1, XP_015832956.1, XP_015833016.1
OG0000074	XP_003396140.1	XP_015837890.1, XP_970945.2
OG0000077	NP_001267840.1	XP_008200285.1
OG0000077	XP_012166572.2	XP_008194480.2, XP_971466.1, XP_015836196.1
OG0000079	XP_020718409.1, XP_020718415.1, XP_020718406.1, XP_020718407.1, XP_020718414.1, XP_020718413.1, XP_020718410.1, XP_020718412.1	XP_015834127.1, XP_015834125.1, XP_015834162.1, XP_015834130.1, XP_015834115.1, XP_015834114.1, XP_015834120.1, XP_015834129.1, XP_015834135.1, XP_015834158.1, XP_015834124.1, XP_015834123.1, XP_015834118.1, XP_015834166.1, XP_015834160.1, XP_015834147.1, XP_015834145.1, XP_015834144.1, XP_015834151.1, XP_015834143.1, XP_015834157.1, XP_015834134.1, XP_015834154.1, XP_015834122.1, XP_015834161.1, XP_015834126.1
OG0000080	XP_003399522.1	XP_971544.1
OG0000080	XP_012169830.1	XP_015839289.1
OG0000080	XP_012169831.1	XP_015838833.1, XP_968784.1, XP_008199652.2
OG0000081	XP_003401176.1, XP_020722488.1, XP_003403423.2, XP_003403233.3, XP_020722596.1, XP_020722589.1, XP_003403422.1, XP_003403234.2, XP_020722487.1, XP_003401115.1, XP_003401178.1, XP_020722598.1, XP_020722486.1, XP_003401116.2, XP_020722597.1, XP_003403027.1	XP_015833047.1
OG0000082	XP_012171772.1, XP_012171770.1, XP_012171768.1, XP_003400713.1, XP_020722282.1, XP_003400712.1	XP_008196787.1, XP_008196786.1
OG0000084	XP_003393656.1, XP_003393657.1, XP_012172250.1	XP_008194205.2
OG0000084	XP_003400023.1	XP_008194337.1, XP_969263.1
OG0000085	XP_012164376.1, XP_003395843.1, XP_012164375.1, XP_012164374.1	XP_008190480.1, XP_008190479.1, XP_008190478.1
OG0000085	XP_012176300.1, XP_012176301.1, XP_020724351.1, XP_003394432.1, XP_003394433.1	XP_967226.1, XP_015836787.1, XP_008198171.2, XP_966820.2, XP_008193769.1, XP_968088.2, XP_967599.1
OG0000086	XP_003401334.1	XP_973839.1, XP_008201361.1, XP_008200636.2, XP_971578.1, XP_008193572.1, XP_008197635.1, XP_008193352.1, XP_015839617.1
OG0000086	XP_012172254.1	XP_008200062.1, XP_015834290.1
OG0000087	XP_020722624.1, XP_012172367.1	XP_969526.1, XP_969601.1, XP_015838300.1, XP_970029.1, XP_969456.2
OG0000087	XP_012172361.1, XP_012172362.1, XP_012172358.1, XP_012172360.1, XP_012172363.1	XP_969383.1
OG0000087	XP_012172366.1	XP_001808639.1, XP_008200953.1, XP_974493.2
OG0000088	XP_003398593.1	XP_015837887.1
OG0000089	XP_003397324.1, XP_003397322.1, XP_003397323.1, XP_012166700.1, XP_012166697.1	XP_967001.1, XP_966814.1, XP_966903.1, XP_015834458.1, XP_015834457.1, XP_971728.1, XP_968587.1
OG0000091	XP_020721177.1, XP_003402576.2, XP_020721343.1, XP_012169463.2	XP_008200105.1, XP_973883.2, XP_974001.1, XP_015838041.1, XP_015838239.1, XP_015838040.1, XP_015838232.1, XP_008196804.1, XP_008196800.2, XP_974288.1, XP_974388.1, XP_972482.1, XP_015840665.1, XP_008196885.2
OG0000092	XP_020718694.1	XP_008198926.1
OG0000092	XP_020718989.1, XP_003395974.1, XP_020718993.1, XP_020718992.1, XP_003395973.1	XP_967128.1
OG0000093	XP_012168446.1, XP_012174221.1, XP_012175536.1	XP_008198969.1
OG0000094	XP_012170607.1	XP_008194293.1
OG0000094	XP_003399925.2	XP_008194180.1, XP_008191415.1, XP_015834034.1, XP_015837589.1, XP_974270.2
OG0000095	XP_003398964.1	XP_971423.1, NP_001034529.1, NP_001107847.1, NP_001034530.1, NP_001107861.1, NP_001107846.1, XP_015839255.1, NP_001107850.1
OG0000096	XP_003400671.1, XP_003400637.1	XP_970191.2
OG0000096	XP_003395393.1, XP_012166067.2	NP_001038094.1, NP_001073567.1, XP_015836778.1, NP_001036034.1, XP_973005.1, NP_001034517.1, NP_001034516.3, NP_001038095.1, XP_015836950.1, XP_008195468.1, XP_015836949.1, NP_001038096.1, NP_001034515.1
OG0000097	XP_012170206.1, XP_003399689.1	XP_966355.1, XP_008200463.1
OG0000098	XP_012168084.1, XP_012168083.1, XP_012168086.1, XP_012168085.1, XP_003398369.1	XP_976115.2, XP_008200746.1, XP_008200744.1, XP_008200745.1
OG0000099	XP_020722786.1	XP_973444.1
OG0000099	XP_012172596.1	XP_967359.1
OG0000099	XP_020722424.1	XP_008198312.1
OG0000100	XP_003399794.1, XP_020721436.1, XP_020721435.1, XP_012170386.1, XP_012170387.1, XP_012170385.1, XP_012170380.1, XP_012170379.1	XP_015833282.1, XP_008190946.1, XP_008190945.1
OG0000101	XP_003397360.1	XP_015840974.1, XP_968341.1, XP_968427.1, XP_008192885.1, XP_969438.2, XP_970214.1, XP_968268.2, XP_969384.1
OG0000101	XP_020719744.1	XP_968658.1, XP_008190341.1, XP_968586.1
OG0000102	XP_020722917.1, XP_003401872.1, XP_020722911.1, XP_012173289.1, XP_012173290.1, XP_012173277.1	XP_015836203.1, XP_972020.3, XP_971968.1
OG0000103	XP_012168396.1, XP_012168395.1, XP_020720588.1	NP_001121967.1
OG0000108	XP_012174803.1	XP_015837318.1, XP_008195645.1, XP_972082.1, XP_972134.1, XP_968318.1, XP_015839337.1, XP_015839336.1, XP_972032.1, XP_972386.3, XP_972182.1, XP_008195643.1, XP_975666.1, XP_015837080.1, XP_966332.1
OG0000109	XP_003398706.1, XP_003398707.1	XP_008200716.1
OG0000110	XP_003400537.1, XP_012171442.1, XP_012171440.1, XP_012171439.1, XP_003400818.1	XP_008193808.1, XP_008193810.1, XP_015836889.1, XP_008193809.1, XP_008193811.1, XP_008193812.1, XP_015836885.1, XP_015836884.1, XP_015836883.1, XP_015836887.1, XP_008193800.1, XP_015836924.1, XP_015836925.1, XP_008193802.1, XP_008193803.1, XP_008193805.1, XP_008193798.1, XP_008193799.1, XP_008193801.1, XP_008193797.1, XP_015836882.1, XP_015836881.1, XP_015836880.1, XP_008193806.1, XP_008193807.1, XP_015836886.1, XP_001807608.2
OG0000111	XP_012165042.1	XP_008201050.1, XP_970898.1, XP_970952.1, XP_975906.1, NP_001161227.1, NP_001161310.1, XP_015839309.1, XP_970839.1, XP_008201049.1
OG0000112	XP_012168598.1, XP_020720998.1, XP_012168597.1, XP_012168596.1, XP_012168595.1	XP_008191265.1
OG0000112	XP_012163934.1	XP_008198195.1, XP_015837714.1
OG0000113	XP_020718272.1, XP_003394925.1	XP_967872.2, XP_008198495.1, XP_008198500.1
OG0000114	XP_020718755.1	XP_015836792.1, XP_015836794.1
OG0000114	XP_020718756.1	XP_008195366.2, XP_015837027.1, XP_015837028.1
OG0000115	XP_003395150.1, XP_003395075.1, XP_012163601.1	XP_969146.1, XP_970714.1, XP_970442.1, XP_015832951.1, XP_015833288.1, XP_008190960.1, XP_967475.1
OG0000116	XP_012167612.1, XP_020720167.1, XP_020720163.1, XP_020720164.1, XP_020720166.1, XP_012167610.1, XP_012167613.1, XP_020720165.1, XP_003397905.1, XP_003397904.1, XP_012167611.1, XP_003397903.1, XP_020720215.1, XP_003397775.1	XP_015837656.1
OG0000117	XP_012176486.1	XP_008198411.1
OG0000117	XP_003398039.1	XP_008200394.1, XP_008200396.1, XP_008200398.1, XP_008200397.1
OG0000119	XP_020720337.1, XP_020720348.1, XP_020720338.1, XP_020720336.1, XP_020720341.1	NP_001157311.1
OG0000120	XP_012176279.1, XP_003400542.1, XP_012171451.1, XP_012171452.1, XP_012171449.1, XP_012171450.1, XP_012171447.1, XP_012171454.1, XP_012171455.1	XP_015838347.1
OG0000122	XP_012165001.1	XP_015834556.1
OG0000122	XP_012174370.1	XP_008192222.1
OG0000122	XP_003401982.1, XP_012173486.1	XP_008190630.1, XP_970917.2, NP_001280526.1
OG0000123	XP_003397633.1, XP_012167209.1, XP_012167212.1, XP_012167211.1, XP_012167208.1, XP_012167210.1	XP_001813105.1
OG0000124	XP_012164839.1	XP_015834874.1
OG0000125	XP_003402889.2, XP_003402892.1, XP_003402547.3	XP_975608.1, XP_975649.1, XP_975653.1, XP_015837066.1, XP_975651.1
OG0000126	XP_012173626.1, XP_003402194.1, XP_020723219.1, XP_020723220.1, XP_020723218.1, XP_012173627.1	NP_001034505.1
OG0000127	XP_003393060.1, XP_003393061.1, XP_012163415.1, XP_012163409.1	XP_008201644.1
OG0000127	XP_003393059.1, XP_020718439.1, XP_020718434.1	NP_001280519.1, XP_015839687.1
OG0000129	XP_003398638.1, XP_012168489.1, XP_012168490.1, XP_012168488.1, XP_012168487.1, XP_012168486.1, XP_012168485.1, XP_012168484.1	XP_008192539.1, XP_008192541.1, XP_970374.1, XP_008192542.1, XP_015834648.1
OG0000130	XP_020719394.1, XP_003396651.1, XP_020719405.1, XP_003396650.1, XP_012165703.1	XP_008200084.1, XP_001811552.1
OG0000130	XP_003396649.1, XP_012165702.1	XP_008200083.1
OG0000131	XP_003398970.1	XP_001808435.1
OG0000131	XP_003396371.1, XP_003396370.1	XP_008198189.1, XP_968387.1, XP_008198188.1
OG0000132	XP_003402425.1	XP_008198166.1, XP_015839207.1
OG0000133	XP_012176311.1, XP_020724157.1, XP_020724156.1, XP_020724158.1	XP_975308.3
OG0000133	XP_012168402.1, XP_020718924.1, XP_012168435.1	XP_015840591.1
OG0000134	XP_003397204.1	XP_008201435.1
OG0000135	XP_003393370.1	XP_015833857.1, XP_008194086.1
OG0000135	XP_003393110.1	XP_008190640.1, XP_008190639.1
OG0000135	XP_003394582.1	NP_001153713.1
OG0000136	XP_012165909.1, XP_020719676.1, XP_012165896.1, XP_020723712.1, XP_003396782.1, XP_003402992.1	XP_971514.1, XP_971572.1
OG0000137	XP_012164639.1, XP_012164637.1, XP_012164636.1, XP_012164638.1, XP_012175108.1, XP_012170724.1	XP_015835481.1, XP_015835482.1, XP_015835483.1, XP_015835484.1, XP_015835486.1, XP_015835485.1
OG0000138	XP_003397345.2, XP_012166619.1, XP_003397339.1	XP_015840574.1, XP_967720.2, XP_015840573.1
OG0000139	XP_003399181.1, XP_003399195.1	XP_001808164.2, XP_967589.2, XP_967061.2, XP_015838049.1
OG0000140	XP_020718525.1	XP_015836386.1
OG0000140	XP_020722092.1, XP_012171285.1, XP_003400470.1	XP_008194986.1, XP_008194985.1, XP_008195037.1, XP_015836615.1, XP_008195039.1, XP_971347.1, XP_971406.1
OG0000141	XP_003400951.1	XP_015833202.1
OG0000141	XP_012174890.1, XP_003396959.1	XP_008193877.2
OG0000143	XP_003393823.1, XP_020722543.1, XP_012175058.1, XP_020722547.1, XP_020722544.1, XP_020722545.1	XP_008192676.1
OG0000144	XP_003401782.1, XP_003401778.1, XP_003401781.1	NP_001164245.1, XP_008197349.1, NP_001164202.1, NP_001107851.1, NP_001164358.1, NP_001164335.1, XP_008197347.1, NP_001164204.1
OG0000145	XP_003393298.1	XP_008193348.1
OG0000146	XP_003402123.1	XP_966544.1, XP_001811608.2
OG0000146	XP_012176245.1	XP_974294.1
OG0000147	XP_020721202.1, XP_020721198.1, XP_020721193.1, XP_003393447.1, XP_012164120.1, XP_012164121.1, XP_012164119.1	XP_966688.1
OG0000149	XP_003394540.1	XP_008191323.1
OG0000150	XP_012170499.1, XP_012170501.1, XP_012170500.1, XP_003399855.1, XP_020721682.1, XP_012170498.1	XP_015838556.1, XP_015838555.1, XP_015838554.1
OG0000151	XP_003402871.1, XP_012174602.1, XP_012174601.1, XP_012174604.1, XP_012174600.1, XP_012174599.1	XP_969439.1, XP_015840091.1
OG0000152	XP_012173071.1, XP_012173070.1, XP_012173069.1, XP_012173068.1, XP_012173075.1, XP_012173067.1	XP_966734.2
OG0000153	XP_003400832.1, XP_012171882.1, XP_012171883.1	XP_970869.1, XP_008195606.1
OG0000154	XP_012167367.1, XP_012167365.1	XP_008195104.1
OG0000155	XP_020723952.1	XP_015840329.1
OG0000156	XP_003396400.1	XP_008199571.1, XP_008199569.1, XP_008199570.1
OG0000157	XP_020721948.1, XP_003400109.2	NP_001161084.1, XP_008194710.1, NP_001161130.1
OG0000158	XP_012164498.1	XP_008198818.1
OG0000160	XP_012168631.1	XP_008199283.1
OG0000161	XP_003394677.1, XP_003394675.1, XP_020724240.1	NP_001164097.1, XP_015838131.1, XP_968215.1, XP_968291.1, XP_008198786.1, XP_015839834.1, XP_970896.1, XP_968653.3
OG0000162	XP_012168555.1	XP_008201498.1, NP_001103246.1
OG0000162	XP_012170034.1	XP_008200302.1, NP_001107770.1
OG0000162	XP_003397561.2	NP_001103245.1
OG0000164	XP_020718981.1, XP_020718982.1, XP_020718980.1	XP_015833602.1, XP_015840341.1, XP_015833616.1
OG0000165	XP_003397183.1, XP_012166526.1	XP_008192571.1
OG0000165	XP_012169083.1	XP_974173.2
OG0000166	XP_012175400.2, XP_012175364.1, XP_012175388.1	XP_008199436.1, XP_008199431.1
OG0000168	XP_020719024.1	XP_008199616.2, XP_015834098.1
OG0000168	XP_020718321.1	XP_015838873.1, NP_001107841.1
OG0000170	XP_012168004.1, XP_012168005.1, XP_003398306.1, XP_012168006.1	XP_008193117.1, XP_008193116.1
OG0000171	XP_003396553.1, XP_012174011.1	XP_971346.1, XP_015836633.1
OG0000173	XP_012172817.1, XP_012172816.1, XP_012172814.1, XP_012172815.1	XP_008194517.1
OG0000174	XP_003400605.1, XP_003400606.1, XP_012171555.1, XP_012171554.1, XP_012171558.1, XP_012171557.1	XP_015838513.1
OG0000175	XP_020721993.1, XP_003400937.1, XP_012171930.1, XP_012171929.1	XP_974770.1, XP_015836695.1
OG0000176	XP_003393819.1	XP_008195214.1
OG0000177	XP_003398931.1	XP_971910.1
OG0000177	XP_012169036.1	XP_008194311.1
OG0000177	XP_012169039.1	XP_972019.2
OG0000178	XP_003398577.1, XP_020720493.1	XP_008200484.2, XP_015835582.1
OG0000179	XP_012173790.1, XP_003402257.2	XP_008194977.1
OG0000179	XP_012173824.1, XP_003402266.1	XP_966308.2
OG0000180	XP_012175161.1, XP_012175160.1, XP_012175162.1, XP_003403152.1, XP_003403151.1, XP_020723773.1	XP_976031.1, XP_008200320.1
OG0000181	XP_003399390.1, XP_012169773.1, XP_012169774.1, XP_012169772.1	NP_001280548.1, XP_008193833.1
OG0000182	XP_012167067.1, XP_012167065.1, XP_003397602.1	XP_015832992.1
OG0000183	XP_012167140.1, XP_012167142.1, XP_003397591.1	XP_975025.1
OG0000183	XP_012163118.1	XP_970665.1
OG0000185	XP_003400788.1, XP_012171763.1, XP_012171761.1, XP_012171762.1, XP_012171760.1, XP_012171764.1	XP_008197397.1
OG0000186	XP_003393867.1, XP_020723943.1, XP_003393865.1, XP_003393866.1	XP_008199126.1, XP_008199118.1, XP_015835450.1
OG0000187	XP_012167100.1, XP_003397755.1, XP_012167097.1, XP_020720318.1, XP_020720316.1, XP_012167099.1, XP_012167098.1	XP_975362.1
OG0000188	XP_003399969.1	XP_008197500.1
OG0000188	XP_003395186.1	XP_967501.2
OG0000189	XP_012167526.1	XP_966528.2, XP_008201661.1
OG0000189	XP_003393320.1, XP_012167516.1	XP_008198457.1, XP_008193919.1
OG0000190	XP_012172000.1, XP_012171998.1, XP_012171999.1	XP_015839424.1, XP_968802.1
OG0000191	XP_012172676.1	XP_015840404.1, XP_972346.1, XP_008197015.2, XP_015838363.1, XP_015838365.1, XP_972237.1, XP_015833908.1, XP_015833861.1, XP_015838439.1, XP_966412.2, XP_015833969.1, XP_001812470.1, XP_972442.2, XP_008193548.2
OG0000192	XP_003393731.1	XP_976201.3, XP_008197081.1, XP_015838219.1, XP_008197084.1, XP_008197085.1, XP_008197082.1
OG0000194	XP_003397792.2	XP_008193011.1
OG0000194	XP_003397793.1, XP_003397791.1	NP_001280525.1
OG0000196	XP_003399490.1	XP_969047.2
OG0000196	XP_012170863.1, XP_003400132.1, XP_020721794.1, XP_012170865.1	XP_967948.2
OG0000197	XP_012171975.1, XP_012171976.1, XP_012171981.1, XP_012171980.1, XP_012171979.1, XP_003400969.1	XP_015837925.1
OG0000200	XP_003394667.1	XP_974164.1
OG0000200	XP_003398779.1, XP_012168586.1	XP_967143.1, XP_015839106.1, XP_974030.1
OG0000201	XP_020720655.1	XP_015833113.1
OG0000201	XP_012168139.1, XP_012168138.1	XP_974115.1
OG0000202	XP_012165963.1, XP_012165962.1, XP_012165961.1, XP_003396825.1, XP_020719260.1	XP_008196489.1, XP_008196491.1, XP_008196490.1
