Orthogroup	Acyrthosiphon_pisum	Solenopsis_invicta
OG0000000	XP_029346889.1, XP_029340893.1	XP_011171895.1
OG0000000	XP_008180484.1	XP_025997771.2, XP_039314220.1, XP_039312430.1, XP_011170871.3, XP_039310450.1
OG0000000	XP_016655727.1, XP_008189037.1, XP_029348568.1, XP_008189492.1, XP_008180316.1, XP_029348389.1, XP_016657058.1, XP_008189073.1, XP_008179733.1, XP_008187555.1, XP_008185172.2	XP_039312439.1, XP_039308831.1, XP_039311290.1, XP_039306064.1, XP_039309922.1, XP_025996261.2, XP_011165208.1, XP_025997856.2, XP_025996322.1, XP_039309123.1, XP_011171523.1, XP_011173050.1, XP_025997552.2
OG0000000	XP_008181101.1, XP_029347204.1, XP_008190207.1, XP_008190198.2, XP_008190181.1, XP_008187510.2, XP_008179860.1, XP_008181657.1, XP_008187352.1, XP_008185128.1, XP_008181175.1, XP_008181389.1, XP_008179896.1, XP_008187175.1, XP_008180601.1, XP_008189918.1, XP_008179889.1, XP_008182965.1, XP_029348135.1, XP_008180912.1, XP_008180911.1, XP_008187174.1, XP_008183125.1, XP_029345522.1, XP_008179019.1	XP_025995820.2, XP_025996528.2, XP_039303369.1, XP_039303384.1, XP_039315197.1, XP_025995613.2, XP_039305162.1, XP_039304826.1, XP_039304354.1, XP_039303464.1, XP_039311280.1, XP_039304376.1, XP_011175283.1, XP_025997196.2, XP_039302109.1, XP_039311320.1, XP_011175794.1, XP_011165058.1, XP_039310735.1, XP_011172569.3, XP_039311166.1
OG0000000	XP_029346803.1	XP_039315241.1, XP_039309085.1
OG0000000	XP_008184172.1, XP_008180656.1, XP_029345710.1, XP_008188479.1, XP_016661094.1, XP_008190177.1, XP_008178392.1, XP_008185772.1, XP_008183343.1, XP_008185678.1, XP_016659921.1, XP_008183820.1, XP_008183356.1, XP_008180654.1, XP_008183411.1, XP_029341258.1, XP_008179897.1, XP_008188489.1, XP_016660804.1, XP_029348271.1, XP_029345921.1, XP_008188687.1, XP_008179256.2, XP_008190111.1, XP_029345859.1, XP_008183355.1, XP_008179257.1, XP_008179517.1, XP_008186006.1, XP_008189836.2, XP_008183743.1, XP_008179879.1, XP_008187844.1, XP_008187709.1, XP_008179336.1, XP_008187708.1, XP_008189587.1, XP_029341173.1, XP_008182614.1, XP_008189367.1, XP_008183050.1, XP_008190090.1, XP_029344208.1, XP_008187869.1, XP_029348398.1, XP_008181739.1, XP_016659286.1, XP_008181643.1, XP_008180158.1, XP_008180526.1, XP_008180527.1	XP_039304363.1, XP_011172230.1, XP_039303473.1, XP_039311979.1, XP_039303513.1, XP_011174810.3, XP_011174921.3, XP_011170487.1, XP_039311325.1, XP_039309665.1, XP_025997133.2, XP_011170486.2, XP_039303514.1
OG0000001	XP_001943981.2, XP_001947920.1, XP_001948421.1, XP_016656332.1, XP_016659432.1, XP_016659132.2, XP_001952450.1, XP_016655759.1, XP_029344134.1, XP_029344133.1, XP_001948581.2, XP_029344135.1, XP_001943570.2, XP_008183473.1, XP_029341969.1, NP_001353126.1, XP_001946384.4, XP_029344453.1, XP_003248692.2, NP_001156683.2, XP_001945100.2, XP_001946428.1, XP_029344865.1, XP_016657118.1, XP_001944599.2, XP_008189491.3, XP_016660356.1	XP_011164185.1
OG0000003	XP_008180445.1	XP_039309362.1, XP_039304913.1, XP_039312739.1
OG0000003	XP_003241242.1, XP_008178499.1, XP_029345880.1, XP_016664851.1, XP_008180042.1, XP_008179051.1, XP_008190241.1	XP_039311136.1, XP_039314523.1
OG0000003	XP_008178248.1	XP_039306769.1
OG0000003	XP_008181385.1, XP_008182760.1, XP_008179884.1, XP_008189838.1, XP_029348460.1	XP_039310749.1, XP_039310750.1
OG0000003	XP_016659882.1	XP_011171782.2, XP_039310742.1, XP_011170649.2
OG0000003	XP_016660776.1	XP_011166665.1
