ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
5	"LOC114872233"	NA	chrOU015519.1	+	7676847	7678029	7676847	7677573	7678109	7679021
9	"LOC114876703"	NA	chrOU015519.1	-	6022709	6022855	6022727	6022855	6021613	6021747
29	"LOC114878004"	NA	chrOU015519.1	+	3439060	3439314	3439060	3439217	3439874	3440449
32	"LOC114879763"	NA	chrOU015519.1	-	3154596	3154747	3154600	3154747	3153042	3154033
33	"LOC114879763"	NA	chrOU015519.1	-	3154596	3154747	3154600	3154747	3154073	3154493
36	"LOC114877844"	NA	chrOU015519.1	+	2977588	2977927	2977588	2977775	2978013	2978400
44	"LOC114880226"	NA	chrOU015519.1	-	1926710	1927072	1926925	1927072	1924902	1925046
50	"LOC114880802"	NA	chrOU015518.1	+	8720577	8721827	8720577	8720774	8721942	8722313
53	"LOC114876504"	NA	chrOU015518.1	-	8437145	8437723	8437467	8437723	8436307	8436385
75	"LOC114882870"	NA	chrOU015518.1	-	2529104	2530501	2529862	2530501	2503720	2503803
82	"LOC114881700"	NA	chrOU015518.1	-	1644419	1644875	1644669	1644875	1644059	1644214
84	"LOC114872965"	NA	chrOU015518.1	+	1571294	1583032	1571294	1576936	1583515	1583722
93	"LOC114877996"	NA	chrOU015519.1	+	3340523	3341053	3340523	3340666	3341222	3341431
94	"LOC114877996"	NA	chrOU015519.1	+	3340523	3341053	3340523	3340666	3341936	3342141
95	"LOC114873001"	NA	chrOU015518.1	-	790030	790365	790142	790365	789340	789421
98	"LOC114873001"	NA	chrOU015518.1	-	790649	791101	790864	791101	789601	789705
99	"LOC114873001"	NA	chrOU015518.1	-	790649	791101	790864	791101	790142	790365
101	"LOC114872991"	NA	chrOU015518.1	-	672623	672808	672650	672808	672139	672316
104	"LOC114876026"	NA	chrOU015518.1	+	572839	573692	572839	573402	574987	575049
105	"LOC114876023"	NA	chrOU015518.1	-	518462	518639	518515	518639	517492	518225
122	"LOC114879615"	NA	chrOU015509.1	+	7895154	7895389	7895154	7895324	7895449	7895696
141	"LOC114875483"	NA	chrOU015505.1	-	3387960	3388334	3388026	3388334	3387837	3387895
157	"LOC114874669"	NA	chrOU015509.1	+	3180462	3180601	3180462	3180592	3180709	3180997
173	"LOC114878078"	NA	chrOU015508.1	-	8005633	8005811	8005676	8005811	8005341	8005563
174	"LOC114878078"	NA	chrOU015508.1	-	8005633	8005811	8005676	8005811	8005341	8005573
185	"LOC114873154"	NA	chrOU015509.1	-	317362	317559	317438	317559	317201	317269
186	"LOC114873154"	NA	chrOU015509.1	-	326654	327049	326766	327049	324685	324814
194	"LOC114872028"	NA	chrOU015505.1	+	6103740	6103843	6103740	6103839	6104824	6105375
196	"LOC114872028"	NA	chrOU015505.1	+	6103740	6104222	6103740	6103843	6104824	6105375
198	"LOC114879235"	NA	chrOU015514.1	-	9899464	9899937	9899653	9899937	9897450	9897878
201	"LOC114880062"	NA	chrOU015519.1	-	8092989	8094017	8093892	8094017	8092578	8092908
202	"LOC114880062"	NA	chrOU015519.1	-	8093151	8094017	8093892	8094017	8092578	8092908
210	"LOC114870925"	NA	chrOU015504.1	+	14337461	14338045	14337461	14337744	14338664	14338709
211	"LOC114870925"	NA	chrOU015504.1	+	14337461	14338344	14337461	14337744	14338664	14338709
213	"LOC114870925"	NA	chrOU015504.1	+	14337461	14338709	14337461	14338045	14340729	14340785
214	"LOC114870925"	NA	chrOU015504.1	+	14337461	14338709	14337461	14338045	14345378	14345464
217	"LOC114870925"	NA	chrOU015504.1	+	14358411	14358645	14358411	14358582	14359654	14360116
233	"LOC114874898"	NA	chrOU015509.1	-	8569669	8570422	8569797	8570422	8568755	8569023
239	"LOC114879923"	NA	chrOU015511.1	+	9860236	9860577	9860236	9860500	9864386	9864609
240	"LOC114879923"	NA	chrOU015511.1	+	9860236	9860767	9860236	9860500	9864386	9864609
241	"LOC114879923"	NA	chrOU015511.1	+	9860236	9860767	9860236	9860577	9864386	9864609
242	"LOC114879923"	NA	chrOU015511.1	+	9860236	9860767	9860236	9860577	9865405	9865542
253	"LOC114878628"	NA	chrOU015508.1	-	11370852	11371656	11371093	11371656	11367777	11369454
256	"LOC114877935"	NA	chrOU015508.1	-	5561413	5561995	5561441	5561995	5560502	5560621
262	"LOC114880381"	NA	chrOU015508.1	-	4881038	4881261	4881069	4881261	4880433	4880699
268	"LOC114878903"	NA	chrOU015509.1	+	5496712	5497119	5496712	5496834	5506390	5506451
282	"LOC114871000"	NA	chrOU015508.1	+	2268407	2269075	2268407	2268871	2269630	2269821
289	"LOC114871024"	NA	chrOU015508.1	+	1432053	1432250	1432053	1432176	1432528	1432737
290	"LOC114871056"	NA	chrOU015508.1	-	1380802	1381157	1380928	1381157	1380374	1380554
292	"LOC114871056"	NA	chrOU015508.1	-	1380928	1381157	1381077	1381157	1380374	1380554
295	"LOC114880957"	NA	chrOU015508.1	-	9988484	9990508	9989104	9990508	9987821	9988122
296	"LOC114878925"	NA	chrOU015514.1	-	9274935	9275051	9274956	9275051	9273511	9273627
298	"LOC114878888"	NA	chrOU015509.1	-	5555413	5555759	5555455	5555759	5554720	5555009
320	"LOC114877931"	NA	chrOU015508.1	-	5597610	5597727	5597614	5597727	5576803	5582483
330	"LOC114876087"	NA	chrOU015506.1	-	264210	264417	264259	264417	263993	264063
331	"LOC114876087"	NA	chrOU015506.1	-	264210	264417	264259	264417	263993	264089
351	"LOC114875179"	NA	chrOU015507.1	+	11368559	11368648	11368559	11368619	11368777	11368915
362	"LOC114873584"	NA	chrOU015516.1	-	9096495	9097168	9096944	9097168	9096120	9096265
363	"LOC114873584"	NA	chrOU015516.1	-	9096506	9097168	9096944	9097168	9096120	9096265
364	"LOC114873584"	NA	chrOU015516.1	-	9096495	9097168	9096506	9097168	9096120	9096282
365	"LOC114873584"	NA	chrOU015516.1	-	9096495	9097168	9096944	9097168	9096120	9096282
366	"LOC114873584"	NA	chrOU015516.1	-	9096506	9097168	9096944	9097168	9096120	9096282
373	"LOC114874717"	NA	chrOU015507.1	-	9825635	9825959	9825639	9825959	9825039	9825178
405	"LOC114879736"	NA	chrOU015507.1	+	4840218	4840408	4840218	4840372	4846112	4846489
418	"LOC114871121"	NA	chrOU015508.1	+	1911644	1911815	1911644	1911811	1912149	1912950
419	"LOC114871121"	NA	chrOU015508.1	+	1914024	1914532	1914024	1914148	1914779	1915419
420	"LOC114871121"	NA	chrOU015508.1	+	1914024	1914567	1914024	1914148	1914779	1915419
421	"LOC114871121"	NA	chrOU015508.1	+	1914024	1914653	1914024	1914148	1914779	1915419
425	"LOC114871121"	NA	chrOU015508.1	+	1914024	1914970	1914024	1914148	1915181	1915419
429	"LOC114871121"	NA	chrOU015508.1	+	1914508	1914567	1914508	1914532	1915267	1915419
437	"LOC114877282"	NA	chrOU015518.1	-	6501447	6503404	6501518	6503404	6498187	6498402
441	"LOC114877282"	NA	chrOU015518.1	-	6501447	6503404	6501518	6503404	6498187	6499119
444	"LOC114879681"	NA	chrOU015513.1	+	10669695	10670161	10669695	10669933	10670461	10670860
451	"LOC114880527"	NA	chrOU015509.1	-	8907418	8907730	8907680	8907730	8907227	8907287
452	"LOC114880527"	NA	chrOU015509.1	-	8907549	8907730	8907680	8907730	8907418	8907441
464	"LOC114872535"	NA	chrOU015506.1	-	9004634	9004672	9004659	9004672	9002552	9002622
472	"LOC114875181"	NA	chrOU015511.1	-	9499435	9500173	9499839	9500173	9497903	9498111
490	"LOC114873032"	NA	chrOU015512.1	+	957774	958175	957774	957796	958254	958477
506	"LOC114875877"	NA	chrOU015516.1	+	3808084	3808622	3808084	3808255	3810964	3811176
508	"LOC114871428"	NA	chrOU015506.1	+	6591313	6593184	6591313	6593181	6623169	6623984
509	"LOC114881594"	NA	chrOU015509.1	-	5351790	5352249	5351932	5352249	5351309	5351594
512	"LOC114881594"	NA	chrOU015509.1	-	5351790	5352249	5351932	5352249	5351309	5351689
518	"LOC114876881"	NA	chrOU015511.1	+	6935423	6935648	6935423	6935588	6938345	6938545
520	"LOC114876881"	NA	chrOU015511.1	+	6935423	6935648	6935423	6935588	6938583	6939161
536	"LOC114877849"	NA	chrOU015507.1	+	3307507	3307877	3307507	3307816	3308125	3308222
537	"LOC114877849"	NA	chrOU015507.1	+	3307507	3307877	3307507	3307816	3308137	3308222
539	"LOC114877849"	NA	chrOU015507.1	+	3307507	3307877	3307507	3307816	3309924	3310469
544	"LOC114872172"	NA	chrOU015519.1	+	7882101	7882424	7882101	7882276	7898842	7899120
548	"LOC114880742"	NA	chrOU015510.1	+	37724	37956	37724	37941	38114	38138
549	"LOC114880742"	NA	chrOU015510.1	+	37724	37956	37724	37941	38117	38138
552	"LOC114883119"	NA	chrOU015512.1	-	5325584	5325887	5325589	5325887	5324676	5324742
