GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0006468	protein phosphorylation	132	29	24.2	0.0014	0.00143	0.483	0.1233375
GO:0070588	calcium ion transmembrane transport	12	7	2.2	0.0067	0.00673	0.9422812500000001	0.2044125
GO:0006351	transcription, DNA-templated	190	37	34.83	0.0105	0.00481	0.9422812500000001	0.201825
GO:0009150	purine ribonucleotide metabolic process	23	5	4.22	0.0124	0.09071	0.9422812500000001	0.45605
GO:0006650	glycerophospholipid metabolic process	20	5	3.67	0.0174	0.55820	0.9422812500000001	0.8458978165938865
GO:0048468	cell development	11	3	2.02	0.0183	0.01833	0.9422812500000001	0.233335
GO:0006820	anion transport	29	7	5.32	0.0245	0.34730	0.9422812500000001	0.7306006097560975
GO:0120036	plasma membrane bounded cell projection organization	20	5	3.67	0.0304	0.60063	0.9422812500000001	0.8598230290456431
GO:0006355	regulation of transcription, DNA-templated	168	33	30.8	0.0312	0.01702	0.9422812500000001	0.233335
GO:0010564	regulation of cell cycle process	10	3	1.83	0.0320	0.03196	0.9422812500000001	0.30628333333333335
GO:0035556	intracellular signal transduction	93	20	17.05	0.0322	0.01544	0.9422812500000001	0.233335
GO:0007010	cytoskeleton organization	42	11	7.7	0.0354	0.31048	0.9422812500000001	0.7128451923076924
GO:0042221	response to chemical	22	6	4.03	0.0379	0.08699	0.9422812500000001	0.45605
GO:0007399	nervous system development	10	3	1.83	0.0416	0.04161	0.9422812500000001	0.34179642857142856
GO:0048523	negative regulation of cellular process	36	7	6.6	0.0433	0.34225	0.9422812500000001	0.7288657407407407
GO:0065003	protein-containing complex assembly	40	12	7.33	0.0437	0.20730	0.9422812500000001	0.6443867256637168
GO:0051493	regulation of cytoskeleton organization	12	5	2.2	0.0478	0.14436	0.9700588235294118	0.6186510638297872
GO:0016043	cellular component organization	162	38	29.7	0.0532	0.19107	1	0.6443867256637168
GO:0044237	cellular metabolic process	842	142	154.34	0.0598	0.05174	1	0.35000588235294117
GO:0098660	inorganic ion transmembrane transport	32	13	5.87	0.0688	0.01628	1	0.233335
GO:0034654	nucleobase-containing compound biosynthetic process	219	47	40.14	0.0697	0.00711	1	0.2044125
GO:0032940	secretion by cell	10	2	1.83	0.0892	0.08923	1	0.45605
GO:0006915	apoptotic process	12	5	2.2	0.0902	0.09015	1	0.45605
GO:0006913	nucleocytoplasmic transport	10	3	1.83	0.0912	0.09121	1	0.45605
GO:0007165	signal transduction	240	52	43.99	0.0924	0.16037	1	0.6186510638297872
GO:0071702	organic substance transport	78	13	14.3	0.1257	0.93179	1	0.9996375
GO:0006793	phosphorus metabolic process	246	52	45.09	0.1434	0.00036	1	0.0529
GO:0044093	positive regulation of molecular function	14	5	2.57	0.1485	0.18694	1	0.6443867256637168
GO:0007264	small GTPase mediated signal transduction	29	7	5.32	0.1574	0.06629	1	0.4235194444444445
GO:0007267	cell-cell signaling	22	5	4.03	0.1576	0.43375	1	0.8177254098360657
GO:0006974	cellular response to DNA damage stimulus	35	8	6.42	0.1586	0.47193	1	0.836081081081081
GO:0006357	regulation of transcription by RNA polymerase II	40	8	7.33	0.1625	0.16246	1	0.6186510638297872
GO:0043087	regulation of GTPase activity	15	4	2.75	0.1635	0.16353	1	0.6186510638297872
GO:0009605	response to external stimulus	10	3	1.83	0.1673	0.16728	1	0.6186510638297872
GO:0032259	methylation	12	4	2.2	0.1676	0.19180	1	0.6443867256637168
GO:0040011	locomotion	11	3	2.02	0.1773	0.17728	1	0.6438063157894737
GO:0010468	regulation of gene expression	199	35	36.48	0.1773	0.19553	1	0.6443867256637168
GO:0009117	nucleotide metabolic process	36	10	6.6	0.1874	0.11902	1	0.5548905405405405
GO:0016310	phosphorylation	150	32	27.5	0.1878	0.00036	1	0.0529
GO:0034655	nucleobase-containing compound catabolic process	16	1	2.93	0.1883	0.91469	1	0.9996375
GO:1903047	mitotic cell cycle process	11	0	2.02	0.1931	0.19313	1	0.6443867256637168
GO:0023051	regulation of signaling	33	7	6.05	0.1953	0.31552	1	0.7128451923076924
GO:0043603	cellular amide metabolic process	73	6	13.38	0.1993	0.81993	1	0.9996375
GO:0048518	positive regulation of biological process	30	5	5.5	0.2005	0.84041	1	0.9996375
GO:0033554	cellular response to stress	40	9	7.33	0.2021	0.42284	1	0.8143137362637363
GO:0000398	mRNA splicing, via spliceosome	13	0	2.38	0.2052	0.20523	1	0.6443867256637168
GO:0071704	organic substance metabolic process	946	156	173.41	0.2081	0.40542	1	0.7999071428571429
GO:0006511	ubiquitin-dependent protein catabolic process	27	5	4.95	0.2111	0.21106	1	0.6443867256637168
GO:0090407	organophosphate biosynthetic process	45	8	8.25	0.2188	0.33369	1	0.7240443396226416
GO:0008152	metabolic process	1043	166	191.19	0.2193	0.95449	1	0.9996375
GO:0046034	ATP metabolic process	11	3	2.02	0.2277	0.22772	1	0.6492842975206612
GO:0048856	anatomical structure development	36	7	6.6	0.2319	0.37900	1	0.7691470588235294
GO:0006164	purine nucleotide biosynthetic process	14	4	2.57	0.2365	0.31819	1	0.7128451923076924
GO:0048583	regulation of response to stimulus	29	6	5.32	0.2380	0.25438	1	0.6976119047619048
GO:0006928	movement of cell or subcellular component	31	4	5.68	0.2398	0.89516	1	0.9996375
GO:0015833	peptide transport	49	8	8.98	0.2430	0.52451	1	0.836081081081081
GO:0030154	cell differentiation	15	4	2.75	0.2516	0.00585	1	0.201825
GO:0008380	RNA splicing	17	1	3.12	0.2518	0.07100	1	0.4338526315789473
GO:0070646	protein modification by small protein removal	17	1	3.12	0.2535	0.49252	1	0.836081081081081
GO:0006813	potassium ion transport	23	8	4.22	0.2548	0.25478	1	0.6976119047619048
GO:0006091	generation of precursor metabolites and energy	21	2	3.85	0.2587	0.20273	1	0.6443867256637168
GO:0046394	carboxylic acid biosynthetic process	18	4	3.3	0.2631	0.30767	1	0.7128451923076924
GO:0051056	regulation of small GTPase mediated signal transduction	12	2	2.2	0.2659	0.26595	1	0.7069769784172661
GO:0070887	cellular response to chemical stimulus	10	3	1.83	0.2692	0.26922	1	0.7069769784172661
GO:0051726	regulation of cell cycle	22	5	4.03	0.2738	0.01937	1	0.233335
GO:0000226	microtubule cytoskeleton organization	18	6	3.3	0.2765	0.27650	1	0.7069769784172661
GO:0009451	RNA modification	13	3	2.38	0.2771	0.27706	1	0.7069769784172661
GO:0050896	response to stimulus	299	66	54.81	0.2793	0.09562	1	0.47127
GO:0043414	macromolecule methylation	11	3	2.02	0.2833	0.28333	1	0.7069769784172661
GO:0007155	cell adhesion	23	5	4.22	0.2848	0.28484	1	0.7069769784172661
GO:0016311	dephosphorylation	34	4	6.23	0.2861	0.53030	1	0.836081081081081
GO:0006950	response to stress	52	13	9.53	0.2929	0.33059	1	0.7232553797468355
GO:0051252	regulation of RNA metabolic process	173	33	31.71	0.2942	0.02165	1	0.24094354838709675
GO:0000280	nuclear division	10	1	1.83	0.2982	0.29822	1	0.7128451923076924
GO:0055085	transmembrane transport	179	46	32.81	0.2987	0.04545	1	0.34969200000000006
GO:0006796	phosphate-containing compound metabolic process	245	51	44.91	0.3032	0.00046	1	0.0529
GO:0032501	multicellular organismal process	45	10	8.25	0.3087	0.47562	1	0.836081081081081
GO:0006996	organelle organization	119	24	21.81	0.3106	0.66762	1	0.9032505882352941
GO:0006810	transport	321	75	58.84	0.3119	0.04873	1	0.34969200000000006
GO:0071705	nitrogen compound transport	59	9	10.81	0.3134	0.84347	1	0.9996375
GO:0032787	monocarboxylic acid metabolic process	13	4	2.38	0.3156	0.31564	1	0.7128451923076924
GO:0006325	chromatin organization	30	6	5.5	0.3186	0.25430	1	0.6976119047619048
GO:0006486	protein glycosylation	12	2	2.2	0.3223	0.32233	1	0.7128451923076924
GO:1901605	alpha-amino acid metabolic process	21	3	3.85	0.3432	0.50225	1	0.836081081081081
GO:0009152	purine ribonucleotide biosynthetic process	13	3	2.38	0.3455	0.34553	1	0.7306006097560975
GO:0022613	ribonucleoprotein complex biogenesis	15	1	2.75	0.3522	0.53299	1	0.836081081081081
GO:0000902	cell morphogenesis	12	2	2.2	0.3542	0.35415	1	0.7404954545454545
GO:0019637	organophosphate metabolic process	82	18	15.03	0.3574	0.15610	1	0.6186510638297872
GO:0044255	cellular lipid metabolic process	47	9	8.62	0.3589	0.55270	1	0.8458978165938865
GO:0043085	positive regulation of catalytic activity	11	3	2.02	0.3713	0.37127	1	0.7579180473372781
GO:0009058	biosynthetic process	382	63	70.02	0.3725	0.21773	1	0.6492842975206612
GO:0046907	intracellular transport	51	9	9.35	0.4003	0.39080	1	0.7793410404624277
GO:0034622	cellular protein-containing complex assembly	31	7	5.68	0.4055	0.69776	1	0.9294486486486487
GO:0006811	ion transport	134	39	24.56	0.4084	0.01891	1	0.233335
GO:0010033	response to organic substance	11	3	2.02	0.4114	0.41138	1	0.8063982954545454
GO:0051649	establishment of localization in cell	56	10	10.27	0.4143	0.33123	1	0.7232553797468355
GO:1901135	carbohydrate derivative metabolic process	64	12	11.73	0.4149	0.07689	1	0.44961101694915256
GO:0046486	glycerolipid metabolic process	21	5	3.85	0.4159	0.59500	1	0.8588912133891212
GO:0048878	chemical homeostasis	11	2	2.02	0.4196	0.41955	1	0.8143137362637363
GO:0006396	RNA processing	84	5	15.4	0.4265	0.97219	1	0.9996375
GO:0016570	histone modification	14	3	2.57	0.4273	0.42730	1	0.8143137362637363
GO:0009165	nucleotide biosynthetic process	24	7	4.4	0.4307	0.43944	1	0.8192080645161289
GO:0009966	regulation of signal transduction	28	5	5.13	0.4314	0.27262	1	0.7069769784172661
GO:0009101	glycoprotein biosynthetic process	13	2	2.38	0.4337	0.23340	1	0.6600245901639344
GO:0006470	protein dephosphorylation	23	3	4.22	0.4417	0.44166	1	0.8192080645161289
GO:0015672	monovalent inorganic cation transport	40	13	7.33	0.4506	0.16856	1	0.6186510638297872
GO:0044248	cellular catabolic process	70	10	12.83	0.4507	0.87103	1	0.9996375
GO:0044267	cellular protein metabolic process	332	55	60.86	0.4540	0.08302	1	0.45605
GO:0007167	enzyme linked receptor protein signaling pathway	15	4	2.75	0.4548	0.45477	1	0.834551329787234
GO:0003008	system process	13	2	2.38	0.4557	0.95160	1	0.9996375
GO:0044260	cellular macromolecule metabolic process	580	100	106.32	0.4566	0.03818	1	0.33633292682926824
GO:0050790	regulation of catalytic activity	25	6	4.58	0.4653	0.33864	1	0.7256571428571428
GO:0044087	regulation of cellular component biogenesis	11	3	2.02	0.4701	0.47011	1	0.836081081081081
