ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC114880061"	NA	chrOU015519.1	-	8110382	8110575	8110382	8110566	8110637	8110878	0	15,4,3,5	25,19,21,8	6,4,2,5	7,12,5,17	108	99	0.82438636218	1.0	0.355,0.162,0.116,0.364	0.44,0.234,0.268,0.212	-0.039
1	"LOC114872160"	NA	chrOU015519.1	-	7971652	7971911	7971652	7971894	7971992	7972120	1	1,2,0,1	1,0,1,2	0,1,0,1	1,1,1,2	116	99	0.278526377309	1.0	0.46,1.0,0.0,0.299	0.0,0.46,0.0,0.299	0.25
2	"LOC114872167"	NA	chrOU015519.1	+	7949599	7949772	7949602	7949772	7949382	7949529	2	50,18,23,22	4,0,1,1	16,14,22,24	1,0,0,0	102	99	0.131365059345	0.8296978725672804	0.924,1.0,0.957,0.955	0.94,1.0,1.0,1.0	-0.026
3	"LOC114872167"	NA	chrOU015519.1	+	7949857	7950028	7949896	7950028	7949599	7949772	3	51,22,36,20	2,1,0,1	18,22,36,22	0,1,0,0	138	99	0.275288074109	1.0	0.948,0.94,1.0,0.935	1.0,0.94,1.0,1.0	-0.029
4	"LOC114872170"	NA	chrOU015519.1	+	7945806	7946376	7945972	7946376	7945584	7945730	4	128,60,56,59	0,0,1,0	57,76,77,60	0,0,0,0	198	99	1	1.0	1.0,1.0,0.966,1.0	1.0,1.0,1.0,1.0	-0.008
5	"LOC114872191"	NA	chrOU015519.1	-	7815500	7815670	7815500	7815628	7816654	7816990	5	126,92,88,120	7,5,10,17	71,92,63,113	5,4,3,13	141	99	0.325653372451	1.0	0.927,0.928,0.861,0.832	0.909,0.942,0.936,0.859	-0.024
6	"LOC114872195"	NA	chrOU015519.1	-	7778776	7778905	7778776	7778902	7778977	7779080	6	29,11,28,25	6,3,8,6	12,8,22,22	8,5,11,6	102	99	0.051556198234	0.561554774476183	0.824,0.781,0.773,0.802	0.593,0.608,0.66,0.781	0.134
8	"LOC114872198"	NA	chrOU015519.1	+	7732241	7732501	7732293	7732501	7732086	7732151	8	3,0,2,3	0,8,0,5	0,2,0,0	1,1,1,1	151	99	0.00185911221376	0.07804763538898113	1.0,0.0,1.0,0.282	0.0,0.567,0.0,0.0	0.429
9	"LOC114872198"	NA	chrOU015519.1	+	7732244	7732501	7732293	7732501	7732086	7732151	9	5,0,2,3	0,8,0,5	0,2,0,0	1,1,1,1	148	99	0.000700054804305	0.037990779014112804	1.0,0.0,1.0,0.286	0.0,0.572,0.0,0.0	0.428
11	"LOC114872198"	NA	chrOU015519.1	+	7737425	7738144	7737630	7738144	7736518	7736679	11	26,30,20,30	0,2,0,1	19,20,14,36	0,0,1,1	198	99	1	1.0	1.0,0.882,1.0,0.938	1.0,1.0,0.875,0.947	-0.0
12	"LOC114872198"	NA	chrOU015519.1	+	7737425	7738144	7737672	7738144	7736518	7736679	12	18,18,17,23	1,0,1,0	13,19,10,27	0,0,1,0	198	99	1	1.0	0.9,1.0,0.895,1.0	1.0,1.0,0.833,1.0	-0.01
13	"LOC114872198"	NA	chrOU015519.1	+	7737630	7738144	7737672	7738144	7736518	7736679	13	1,2,1,1	1,0,1,0	0,1,1,2	0,0,1,0	141	99	1	1.0	0.413,1.0,0.413,1.0	NA,1.0,0.413,1.0	-0.098
14	"LOC114872179"	NA	chrOU015519.1	-	7706304	7706735	7706304	7706726	7706966	7707214	14	4,5,5,2	21,22,23,18	1,0,1,1	11,11,14,16	108	99	1	1.0	0.149,0.172,0.166,0.092	0.077,0.0,0.061,0.054	0.097
15	"LOC114872179"	NA	chrOU015519.1	-	7706304	7706793	7706304	7706726	7706966	7707214	15	4,3,5,3	21,22,23,18	3,3,3,0	11,11,14,16	166	99	0.630117128406	1.0	0.102,0.075,0.115,0.09	0.14,0.14,0.113,0.0	-0.003
16	"LOC114872179"	NA	chrOU015519.1	-	7706304	7706793	7706304	7706735	7706966	7707214	16	3,1,3,3	3,3,3,2	2,3,2,0	0,0,0,1	157	99	5.14386055273e-06	0.00228901794596485	0.387,0.174,0.387,0.486	1.0,1.0,1.0,0.0	-0.392
17	"LOC114872233"	NA	chrOU015519.1	+	7677707	7679021	7678109	7679021	7676847	7677573	17	5,4,5,0	0,1,0,0	1,2,1,1	1,0,0,2	198	99	1	1.0	1.0,0.667,1.0,NA	0.333,1.0,1.0,0.2	0.256
18	"LOC114872240"	NA	chrOU015519.1	+	7602399	7603706	7603131	7603706	7602222	7602324	18	85,28,40,47	1,1,3,0	40,38,43,34	2,4,4,1	198	99	0.0135871682694	0.25931531398792373	0.977,0.933,0.87,1.0	0.909,0.826,0.843,0.944	0.065
19	"LOC114872240"	NA	chrOU015519.1	+	7604449	7604802	7604464	7604802	7604142	7604398	19	3,2,1,3	3,3,1,6	5,2,1,4	3,5,6,1	114	99	0.830709027587	1.0	0.465,0.367,0.465,0.303	0.591,0.258,0.126,0.776	-0.038
