GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0007528	neuromuscular junction development	106	33	19.94	9.2e-06	9.2e-06	0.0037628	0.00214725
GO:0050803	regulation of synapse structure or activity	117	38	22.01	2.1e-05	2.1e-05	0.0042945	0.00214725
GO:0048511	rhythmic process	103	27	19.38	5.2e-05	5.2e-05	0.007089333333333334	0.0022202857142857146
GO:0030036	actin cytoskeleton organization	175	50	32.92	7.4e-05	7.4e-05	0.0075664999999999994	0.0022202857142857146
GO:0044087	regulation of cellular component biogenesis	182	50	34.24	0.00010	0.00010	0.00818	0.0022722222222222224
GO:0007416	synapse assembly	102	31	19.19	0.00069	0.00069	0.047035	0.006091489361702128
GO:0000226	microtubule cytoskeleton organization	154	48	28.97	0.00084	0.00084	0.048057499999999996	0.006636603773584906
GO:0008380	RNA splicing	106	21	19.94	0.00094	0.00094	0.048057499999999996	0.006990181818181818
GO:0030707	ovarian follicle cell development	149	38	28.03	0.00109	0.00109	0.04953444444444444	0.0071904838709677425
GO:0097435	supramolecular fiber organization	153	42	28.78	0.00124	0.00124	0.050716	0.007684242424242424
GO:0051241	negative regulation of multicellular organismal process	111	25	20.88	0.00138	0.00138	0.05131090909090909	0.008121571428571428
GO:0048646	anatomical structure formation involved in morphogenesis	251	56	47.22	0.00154	0.00154	0.05248833333333333	0.008871267605633802
GO:0009968	negative regulation of signal transduction	188	39	35.37	0.00167	0.00167	0.05254076923076923	0.009285405405405405
GO:0051960	regulation of nervous system development	191	46	35.93	0.00191	1.5e-05	0.05579928571428572	0.00214725
GO:1902531	regulation of intracellular signal transduction	198	41	37.25	0.00236	0.00012	0.06434933333333333	0.002337142857142857
GO:0007163	establishment or maintenance of cell polarity	118	34	22.2	0.00267	0.00267	0.068251875	0.013206265060240965
GO:0051130	positive regulation of cellular component organization	156	36	29.35	0.00299	0.00299	0.07193588235294118	0.013878426966292136
GO:0048878	chemical homeostasis	122	35	22.95	0.00341	0.00341	0.0746425	0.01515967391304348
GO:0051301	cell division	150	32	28.22	0.00354	0.00354	0.0746425	0.01540276595744681
GO:0071310	cellular response to organic substance	163	39	30.66	0.00365	0.00365	0.0746425	0.01571421052631579
GO:0051093	negative regulation of developmental process	115	24	21.63	0.00406	0.00406	0.07715227272727272	0.015791944444444445
