GO.ID	Term	Annotated	Significant	Expected	weight01KS	classicKS	weight01KSpadj	classicKSpadj
GO:0007166	cell surface receptor signaling pathway	77	32	17.4	2.5e-06	7.3e-05	9.475000000000001e-4	0.0030741111111111112
GO:0007165	signal transduction	440	159	99.41	4.0e-05	1.0e-11	0.007580000000000001	1.2633333333333331e-9
GO:0006813	potassium ion transport	43	23	9.71	9.2e-05	0.00023	0.011622666666666667	0.006705384615384616
GO:0007264	small GTPase mediated signal transduction	49	23	11.07	0.00013	0.00013	0.012317499999999999	0.004105833333333333
GO:0006355	regulation of transcription, DNA-templated	363	105	82.01	0.00064	0.00314	0.042953333333333336	0.0486636
GO:0007155	cell adhesion	47	21	10.62	0.00068	0.00068	0.042953333333333336	0.017181333333333333
GO:0007186	G protein-coupled receptor signaling pathway	115	42	25.98	0.00080	0.00080	0.04331428571428572	0.018281176470588235
GO:0030154	cell differentiation	27	13	6.1	0.00262	0.00262	0.12128	0.0486636
GO:0006468	protein phosphorylation	222	72	50.15	0.00304	0.00304	0.12128	0.0486636
GO:0030163	protein catabolic process	84	25	18.98	0.00320	0.09156	0.12128	0.48771589041095886
GO:0042221	response to chemical	43	14	9.71	0.00458	0.10500	0.15780181818181818	0.5101923076923076
GO:0120036	plasma membrane bounded cell projection organization	47	12	10.62	0.00757	0.58614	0.23908583333333333	1
GO:0006820	anion transport	49	18	11.07	0.01018	0.04735	0.2967861538461538	0.3148359649122807
GO:0048518	positive regulation of biological process	69	16	15.59	0.01397	0.64304	0.37818785714285713	1
GO:0065003	protein-containing complex assembly	113	21	25.53	0.02390	0.07765	0.5441994117647059	0.46178781249999995
GO:1901361	organic cyclic compound catabolic process	46	3	10.39	0.02422	0.22176	0.5441994117647059	0.7984385849056604
GO:0007275	multicellular organism development	53	20	11.97	0.02441	0.04637	0.5441994117647059	0.31382553571428573
GO:0006950	response to stress	140	24	31.63	0.02804	0.85697	0.549929	1
GO:0009057	macromolecule catabolic process	118	26	26.66	0.02832	0.25218	0.549929	0.8615301666666667
GO:0055085	transmembrane transport	355	105	80.2	0.02902	0.01204	0.549929	0.11129658536585367
GO:0009653	anatomical structure morphogenesis	24	11	5.42	0.03464	0.03464	0.591998	0.2625712
GO:0030001	metal ion transport	96	42	21.69	0.03674	0.00013	0.591998	0.004105833333333333
GO:0009987	cellular process	3410	790	770.39	0.03807	0.00082	0.591998	0.018281176470588235
GO:1902531	regulation of intracellular signal transduction	31	13	7	0.03841	0.03841	0.591998	0.2799498076923077
GO:0034645	cellular macromolecule biosynthetic process	766	160	173.06	0.03905	0.94900	0.591998	1
GO:0042592	homeostatic process	31	8	7	0.04383	0.04383	0.6257711111111111	0.30202854545454544
GO:0030036	actin cytoskeleton organization	42	10	9.49	0.04458	0.01945	0.6257711111111111	0.16381222222222222
GO:0046700	heterocycle catabolic process	44	3	9.94	0.05544	0.29985	0.7005183333333332	0.9091452
GO:0019439	aromatic compound catabolic process	44	3	9.94	0.05544	0.29985	0.7005183333333332	0.9091452
GO:0023052	signaling	466	168	105.28	0.05545	5.5e-12	0.7005183333333332	1.04225e-9
GO:0008154	actin polymerization or depolymerization	21	6	4.74	0.05797	0.05797	0.7087300000000001	0.36617716666666666
GO:0006928	movement of cell or subcellular component	73	17	16.49	0.06046	0.19984	0.716073125	0.7425427450980392
GO:0034622	cellular protein-containing complex assembly	98	14	22.14	0.06899	0.10906	0.7740262857142858	0.5232118987341772
GO:0007154	cell communication	464	169	104.83	0.06944	3.0e-12	0.7740262857142858	1.04225e-9
GO:0098662	inorganic cation transmembrane transport	66	20	14.91	0.07148	0.37633	0.7740262857142858	0.9904796527777778
GO:0016579	protein deubiquitination	34	9	7.68	0.08176	0.08176	0.8139235555555556	0.4767236923076923
GO:0016043	cellular component organization	397	80	89.69	0.08785	0.61617	0.8139235555555556	1
GO:0065008	regulation of biological quality	67	20	15.14	0.08807	0.00730	0.8139235555555556	0.07904857142857144
GO:0051649	establishment of localization in cell	184	42	41.57	0.08834	0.76880	0.8139235555555556	1
GO:0048731	system development	26	11	5.87	0.08933	0.08933	0.8139235555555556	0.48771589041095886
GO:0007268	chemical synaptic transmission	21	9	4.74	0.09281	0.09281	0.8139235555555556	0.48771589041095886
GO:0006323	DNA packaging	20	4	4.52	0.09394	0.09394	0.8139235555555556	0.48771589041095886
GO:0098660	inorganic ion transmembrane transport	68	21	15.36	0.09418	0.31703	0.8139235555555556	0.9335151937984496
GO:0009605	response to external stimulus	21	9	4.74	0.09624	0.09624	0.8139235555555556	0.4929048648648649
GO:0006811	ion transport	242	86	54.67	0.09664	0.00013	0.8139235555555556	0.004105833333333333
GO:0071824	protein-DNA complex subunit organization	20	3	4.52	0.10207	0.10207	0.8409680434782609	0.5090069736842104
GO:0006518	peptide metabolic process	229	32	51.74	0.10667	0.99395	0.8601687234042554	1
GO:0007010	cytoskeleton organization	83	18	18.75	0.11210	0.15274	0.8851229166666666	0.6159556382978724
GO:1901605	alpha-amino acid metabolic process	35	5	7.91	0.11696	0.11696	0.8852250980392158	0.5306
GO:0055086	nucleobase-containing small molecule metabolic process	113	20	25.53	0.11761	0.76289	0.8852250980392158	1
GO:0006508	proteolysis	289	66	65.29	0.11912	0.14949	0.8852250980392158	0.6159556382978724
GO:0044270	cellular nitrogen compound catabolic process	42	3	9.49	0.12681	0.32712	0.9190449206349206	0.946400610687023
GO:0006629	lipid metabolic process	161	34	36.37	0.13172	0.92224	0.9190449206349206	1
GO:0051493	regulation of cytoskeleton organization	23	8	5.2	0.13237	0.14968	0.9190449206349206	0.6159556382978724
GO:0051336	regulation of hydrolase activity	29	6	6.55	0.13399	0.13399	0.9190449206349206	0.5770705681818181
GO:0043412	macromolecule modification	568	128	128.32	0.13689	0.07584	0.9190449206349206	0.46178781249999995
GO:0033365	protein localization to organelle	35	7	7.91	0.14597	0.50809	0.9190449206349206	1
GO:0032502	developmental process	80	32	18.07	0.14840	0.00252	0.9190449206349206	0.0486636
GO:0044087	regulation of cellular component biogenesis	21	7	4.74	0.14967	0.14967	0.9190449206349206	0.6159556382978724
GO:0006351	transcription, DNA-templated	447	117	100.99	0.15113	0.00470	0.9190449206349206	0.0576790625
GO:0033554	cellular response to stress	113	16	25.53	0.15210	0.79807	0.9190449206349206	1
GO:0018205	peptidyl-lysine modification	29	8	6.55	0.15277	0.15277	0.9190449206349206	0.6159556382978724
